,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
0,1,11:40.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by W. Barton),0,3
1,1,11:22.0,Turnover by D. Howard (bad pass; steal by W. Barton),,0,3
2,1,11:18.0,,W. Barton makes 2-pt layup from 1 ft (assist by J. Murray),0,5
3,1,11:00.0,K. Walker misses 3-pt jump shot from 25 ft,,0,5
4,1,10:58.0,,Defensive rebound by N. Jokić,0,5
5,1,10:45.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),0,7
6,1,10:32.0,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),,2,7
7,1,10:08.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),2,9
8,1,9:45.0,F. Kaminsky makes 2-pt jump shot from 11 ft,,4,9
9,1,9:35.0,,W. Barton makes 3-pt jump shot from 25 ft,4,12
10,1,9:16.0,F. Kaminsky makes 3-pt jump shot from 24 ft (assist by N. Batum),,7,12
11,1,9:00.0,,G. Harris misses 3-pt jump shot from 22 ft,7,12
12,1,8:58.0,Defensive rebound by M. Kidd-Gilchrist,,7,12
13,1,8:48.0,D. Howard makes 2-pt jump shot from 18 ft (assist by M. Kidd-Gilchrist),,9,12
14,1,8:29.0,,W. Barton makes 2-pt layup from 1 ft,9,14
15,1,8:07.0,D. Howard makes 2-pt hook shot from 3 ft (assist by F. Kaminsky),,11,14
16,1,7:53.0,,N. Jokić misses 2-pt layup from 3 ft (block by D. Howard),11,14
17,1,7:49.0,Defensive rebound by K. Walker,,11,14
18,1,7:44.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by F. Kaminsky),,13,14
19,1,7:33.0,,W. Barton misses 3-pt jump shot from 25 ft,13,14
20,1,7:29.0,Defensive rebound by D. Howard,,13,14
21,1,7:25.0,K. Walker makes 2-pt layup from 1 ft (assist by D. Howard),,15,14
22,1,7:24.0,,Denver full timeout,15,14
23,1,7:05.0,,G. Harris makes 3-pt jump shot from 22 ft (assist by J. Murray),15,17
24,1,6:49.0,Turnover by K. Walker (bad pass; steal by J. Murray),,15,17
25,1,6:32.0,,J. Murray misses 3-pt jump shot from 24 ft,15,17
26,1,6:30.0,,Offensive rebound by N. Jokić,15,17
27,1,6:29.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),15,20
28,1,6:09.0,D. Howard makes 2-pt dunk from 2 ft (assist by N. Batum),,17,20
29,1,5:58.0,,W. Chandler misses 3-pt jump shot from 25 ft,17,20
30,1,5:57.0,,Offensive rebound by N. Jokić,17,20
31,1,5:55.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),17,23
32,1,5:30.0,K. Walker misses 2-pt layup from 2 ft,,17,23
33,1,5:28.0,,Defensive rebound by N. Jokić,17,23
34,1,5:20.0,,T. Craig enters the game for W. Chandler,17,23
35,1,5:20.0,T. Graham enters the game for F. Kaminsky,,17,23
36,1,5:09.0,,J. Murray misses 2-pt jump shot from 7 ft,17,23
37,1,5:04.0,Defensive rebound by N. Batum,,17,23
38,1,4:59.0,Shooting foul by W. Barton (drawn by N. Batum),,17,23
39,1,4:59.0,N. Batum makes free throw 1 of 2,,18,23
40,1,4:59.0,N. Batum misses free throw 2 of 2,,18,23
41,1,4:57.0,,Defensive rebound by T. Craig,18,23
42,1,4:41.0,,Turnover by N. Jokić (turnover),18,23
43,1,4:30.0,N. Batum misses 3-pt jump shot from 24 ft,,18,23
44,1,4:27.0,,Defensive rebound by J. Murray,18,23
45,1,4:20.0,,W. Barton makes 2-pt layup from 1 ft,18,25
46,1,3:53.0,D. Howard makes 2-pt layup from 3 ft (assist by T. Graham),,20,25
47,1,3:36.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by T. Craig),20,28
48,1,3:28.0,Charlotte full timeout,,20,28
49,1,3:28.0,,T. Lyles enters the game for W. Barton,20,28
50,1,3:28.0,J. Lamb enters the game for M. Kidd-Gilchrist,,20,28
51,1,3:08.0,J. Lamb misses 2-pt jump shot from 16 ft,,20,28
52,1,3:05.0,,Defensive rebound by T. Lyles,20,28
53,1,2:47.0,,Personal block foul by D. Howard (drawn by N. Jokić),20,28
54,1,2:47.0,M. Carter-Williams enters the game for K. Walker,,20,28
55,1,2:40.0,,Turnover by G. Harris (step out of bounds),20,28
56,1,2:23.0,D. Howard makes 2-pt jump shot from 3 ft,,22,28
57,1,2:23.0,Shooting foul by N. Jokić (drawn by D. Howard),,22,28
58,1,2:23.0,,E. Mudiay enters the game for J. Murray,22,28
59,1,2:23.0,D. Howard misses free throw 1 of 1,,22,28
60,1,2:20.0,,Defensive rebound by N. Jokić,22,28
61,1,2:09.0,,T. Lyles makes 3-pt jump shot from 22 ft (assist by T. Craig),22,31
62,1,1:50.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,22,31
63,1,1:48.0,,Defensive rebound by N. Jokić,22,31
64,1,1:42.0,,T. Craig makes 2-pt dunk from 1 ft (assist by E. Mudiay),22,33
65,1,1:32.0,Charlotte full timeout,,22,33
66,1,1:32.0,,D. Arthur enters the game for G. Harris,22,33
67,1,1:32.0,,W. Barton enters the game for N. Jokić,22,33
68,1,1:32.0,C. Zeller enters the game for D. Howard,,22,33
69,1,1:22.0,Shooting foul by D. Arthur (drawn by C. Zeller),,22,33
70,1,1:22.0,C. Zeller makes free throw 1 of 2,,23,33
71,1,1:22.0,C. Zeller makes free throw 2 of 2,,24,33
72,1,0:58.0,,D. Arthur misses 3-pt jump shot from 26 ft,24,33
73,1,0:56.0,Defensive rebound by J. Lamb,,24,33
74,1,0:49.0,J. Lamb misses 2-pt jump shot from 11 ft,,24,33
75,1,0:46.0,,Defensive rebound by T. Craig,24,33
76,1,0:40.0,,E. Mudiay makes 2-pt layup from 1 ft (assist by D. Arthur),24,35
77,1,0:40.0,,Shooting foul by J. Lamb (drawn by E. Mudiay),24,35
78,1,0:40.0,,E. Mudiay makes free throw 1 of 1,24,36
79,1,0:32.0,Personal foul by T. Craig (drawn by N. Batum),,24,36
80,1,0:32.0,N. Batum misses free throw 1 of 2,,24,36
81,1,0:32.0,Offensive rebound by Team,,24,36
82,1,0:32.0,N. Batum makes free throw 2 of 2,,25,36
83,1,0:17.0,,E. Mudiay misses 2-pt jump shot from 8 ft,25,36
84,1,0:15.0,Defensive rebound by C. Zeller,,25,36
85,1,0:01.0,J. Lamb misses 3-pt jump shot from 24 ft,,25,36
86,1,0:00.0,,Defensive rebound by T. Craig,25,36
87,2,11:48.0,C. Zeller misses 2-pt layup from 3 ft (block by T. Lyles),,25,36
88,2,11:46.0,,Defensive rebound by T. Lyles,25,36
89,2,11:37.0,,W. Chandler misses 2-pt layup from 5 ft,25,36
90,2,11:33.0,Defensive rebound by J. Lamb,,25,36
91,2,11:25.0,M. Carter-Williams makes 2-pt layup from 1 ft,,27,36
92,2,11:08.0,,W. Chandler makes 2-pt jump shot from 4 ft,27,38
93,2,10:49.0,F. Kaminsky misses 2-pt jump shot from 8 ft,,27,38
94,2,10:47.0,,Defensive rebound by T. Lyles,27,38
95,2,10:30.0,,D. Arthur makes 3-pt jump shot from 25 ft (assist by W. Barton),27,41
96,2,10:03.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by W. Chandler),,27,41
97,2,9:53.0,,T. Lyles misses 3-pt jump shot from 22 ft,27,41
98,2,9:49.0,Defensive rebound by C. Zeller,,27,41
99,2,9:35.0,M. Carter-Williams makes 2-pt jump shot from 4 ft,,29,41
100,2,9:19.0,,T. Lyles misses 2-pt hook shot from 5 ft,29,41
101,2,9:16.0,Defensive rebound by C. Zeller,,29,41
102,2,9:00.0,F. Kaminsky makes 2-pt jump shot from 3 ft,,31,41
103,2,8:37.0,,Shooting foul by M. Carter-Williams (drawn by W. Barton),31,41
104,2,8:37.0,,W. Barton makes free throw 1 of 2,31,42
105,2,8:37.0,,W. Barton makes free throw 2 of 2,31,43
106,2,8:25.0,J. Lamb makes 2-pt layup from 1 ft,,33,43
107,2,8:25.0,Shooting foul by W. Barton (drawn by J. Lamb),,33,43
108,2,8:25.0,J. Lamb makes free throw 1 of 1,,34,43
109,2,8:20.0,,Personal foul by J. Lamb (drawn by E. Mudiay),34,43
110,2,8:12.0,,E. Mudiay misses 2-pt jump shot from 6 ft,34,43
111,2,8:10.0,Defensive rebound by J. Lamb,,34,43
112,2,7:51.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,34,43
113,2,7:49.0,,Defensive rebound by Team,34,43
114,2,7:38.0,,Turnover by D. Arthur (bad pass; steal by J. Lamb),34,43
115,2,7:33.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft (block by W. Barton),,34,43
116,2,7:29.0,Offensive rebound by M. Carter-Williams,,34,43
117,2,7:28.0,M. Carter-Williams makes 2-pt layup at rim,,36,43
118,2,7:24.0,,Turnover by E. Mudiay (bad pass),36,43
119,2,7:24.0,,Denver full timeout,36,43
120,2,7:24.0,,N. Jokić enters the game for D. Arthur,36,43
121,2,7:24.0,,J. Murray enters the game for E. Mudiay,36,43
122,2,7:24.0,,G. Harris enters the game for W. Barton,36,43
123,2,7:24.0,,T. Craig enters the game for W. Chandler,36,43
124,2,7:24.0,K. Walker enters the game for M. Kidd-Gilchrist,,36,43
125,2,7:16.0,C. Zeller makes 2-pt dunk from 1 ft (assist by K. Walker),,38,43
126,2,7:03.0,,Personal foul by C. Zeller (drawn by N. Jokić),38,43
127,2,6:54.0,,N. Jokić misses 3-pt jump shot from 25 ft,38,43
128,2,6:51.0,,Offensive rebound by J. Murray,38,43
129,2,6:50.0,,T. Lyles makes 3-pt jump shot from 24 ft (assist by J. Murray),38,46
130,2,6:29.0,J. Lamb misses 3-pt jump shot from 24 ft,,38,46
131,2,6:27.0,Offensive rebound by C. Zeller,,38,46
132,2,6:23.0,J. Lamb makes 2-pt layup from 1 ft (assist by C. Zeller),,40,46
133,2,6:02.0,,N. Jokić makes 2-pt hook shot from 2 ft,40,48
134,2,5:43.0,F. Kaminsky misses 2-pt jump shot from 4 ft,,40,48
135,2,5:39.0,Offensive rebound by C. Zeller,,40,48
136,2,5:39.0,C. Zeller makes 2-pt layup at rim,,42,48
137,2,5:25.0,,T. Lyles misses 3-pt jump shot from 25 ft,42,48
138,2,5:22.0,Defensive rebound by K. Walker,,42,48
139,2,5:07.0,K. Walker makes 2-pt layup from 1 ft,,44,48
140,2,4:50.0,,G. Harris misses 2-pt jump shot from 13 ft,44,48
141,2,4:48.0,Defensive rebound by F. Kaminsky,,44,48
142,2,4:36.0,J. Lamb makes 2-pt dunk from 1 ft,,46,48
143,2,4:35.0,,Denver full timeout,46,48
144,2,4:35.0,,W. Barton enters the game for T. Lyles,46,48
145,2,4:35.0,,W. Chandler enters the game for T. Craig,46,48
146,2,4:35.0,N. Batum enters the game for M. Carter-Williams,,46,48
147,2,4:35.0,D. Howard enters the game for C. Zeller,,46,48
148,2,4:35.0,T. Graham enters the game for F. Kaminsky,,46,48
149,2,4:19.0,,J. Murray misses 3-pt jump shot from 25 ft,46,48
150,2,4:17.0,Defensive rebound by D. Howard,,46,48
151,2,4:07.0,K. Walker makes 3-pt jump shot from 24 ft (assist by J. Lamb),,49,48
152,2,3:43.0,,G. Harris misses 3-pt jump shot from 23 ft,49,48
153,2,3:41.0,Defensive rebound by T. Graham,,49,48
154,2,3:32.0,N. Batum makes 2-pt jump shot from 12 ft,,51,48
155,2,3:21.0,,Personal foul by J. Lamb (drawn by J. Murray),51,48
156,2,3:21.0,M. Kidd-Gilchrist enters the game for J. Lamb,,51,48
157,2,3:11.0,,Turnover by G. Harris (lost ball; steal by T. Graham),51,48
158,2,2:57.0,K. Walker makes 3-pt jump shot from 22 ft (assist by M. Kidd-Gilchrist),,54,48
159,2,2:39.0,,N. Jokić makes 2-pt jump shot from 7 ft,54,50
160,2,2:39.0,,Shooting foul by D. Howard (drawn by N. Jokić),54,50
161,2,2:39.0,,N. Jokić makes free throw 1 of 1,54,51
162,2,2:28.0,K. Walker misses 3-pt jump shot from 25 ft,,54,51
163,2,2:24.0,,Defensive rebound by G. Harris,54,51
164,2,2:19.0,,J. Murray makes 3-pt jump shot from 22 ft (assist by W. Barton),54,54
165,2,1:55.0,D. Howard makes 2-pt layup from 1 ft,,56,54
166,2,1:41.0,,W. Barton makes 2-pt dunk from 2 ft (assist by N. Jokić),56,56
167,2,1:25.0,T. Graham makes 3-pt jump shot from 24 ft (assist by N. Batum),,59,56
168,2,1:06.0,,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),59,58
169,2,0:43.0,Shooting foul by N. Jokić (drawn by D. Howard),,59,58
170,2,0:43.0,D. Howard makes free throw 1 of 2,,60,58
171,2,0:43.0,D. Howard misses free throw 2 of 2,,60,58
172,2,0:42.0,,Defensive rebound by N. Jokić,60,58
173,2,0:35.0,,J. Murray makes 2-pt dunk from 2 ft,60,60
174,2,0:28.0,Personal foul by N. Jokić (drawn by K. Walker),,60,60
175,2,0:28.0,C. Zeller enters the game for D. Howard,,60,60
176,2,0:28.0,K. Walker makes free throw 1 of 2,,61,60
177,2,0:28.0,K. Walker makes free throw 2 of 2,,62,60
178,2,0:11.0,,J. Murray misses 2-pt jump shot from 15 ft,62,60
179,2,0:08.0,Defensive rebound by C. Zeller,,62,60
180,2,0:07.0,Turnover by C. Zeller (bad pass; steal by G. Harris),,62,60
181,2,0:05.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by G. Harris),62,63
182,2,0:00.0,N. Batum misses 3-pt jump shot from 24 ft,,62,63
183,2,0:00.0,Offensive rebound by Team,,62,63
184,3,11:36.0,K. Walker misses 2-pt jump shot from 18 ft,,62,63
185,3,11:33.0,,Defensive rebound by N. Jokić,62,63
186,3,11:17.0,,N. Jokić misses 3-pt jump shot from 22 ft,62,63
187,3,11:14.0,Defensive rebound by D. Howard,,62,63
188,3,10:52.0,D. Howard misses 2-pt hook shot from 7 ft,,62,63
189,3,10:50.0,,Defensive rebound by N. Jokić,62,63
190,3,10:43.0,,Turnover by W. Barton (lost ball; steal by F. Kaminsky),62,63
191,3,10:36.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,62,63
192,3,10:33.0,,Defensive rebound by J. Murray,62,63
193,3,10:19.0,,N. Jokić makes 3-pt jump shot from 25 ft,62,66
194,3,9:58.0,Shooting foul by J. Murray (drawn by F. Kaminsky),,62,66
195,3,9:58.0,F. Kaminsky misses free throw 1 of 2,,62,66
196,3,9:58.0,Offensive rebound by Team,,62,66
197,3,9:58.0,F. Kaminsky misses free throw 2 of 2,,62,66
198,3,9:56.0,,Defensive rebound by N. Jokić,62,66
199,3,9:39.0,,G. Harris makes 2-pt layup from 1 ft,62,68
200,3,9:12.0,K. Walker misses 3-pt jump shot from 25 ft,,62,68
201,3,9:08.0,,Defensive rebound by N. Jokić,62,68
202,3,8:54.0,,W. Chandler misses 2-pt jump shot from 7 ft,62,68
203,3,8:52.0,Defensive rebound by F. Kaminsky,,62,68
204,3,8:44.0,K. Walker misses 2-pt jump shot from 5 ft,,62,68
205,3,8:43.0,,Defensive rebound by N. Jokić,62,68
206,3,8:38.0,,J. Murray misses 2-pt jump shot from 23 ft,62,68
207,3,8:34.0,Defensive rebound by M. Kidd-Gilchrist,,62,68
208,3,8:25.0,N. Batum misses 2-pt jump shot from 17 ft,,62,68
209,3,8:23.0,Offensive rebound by N. Batum,,62,68
210,3,8:21.0,F. Kaminsky makes 2-pt jump shot from 3 ft (assist by N. Batum),,64,68
211,3,8:02.0,,Turnover by J. Murray (lost ball; steal by K. Walker),64,68
212,3,7:59.0,Shooting foul by J. Murray (drawn by K. Walker),,64,68
213,3,7:59.0,K. Walker makes free throw 1 of 2,,65,68
214,3,7:59.0,K. Walker makes free throw 2 of 2,,66,68
215,3,7:39.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by J. Murray),66,71
216,3,7:21.0,F. Kaminsky misses 3-pt jump shot from 27 ft,,66,71
217,3,7:20.0,,Defensive rebound by Team,66,71
218,3,7:15.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by J. Murray),66,74
219,3,6:48.0,D. Howard misses 2-pt hook shot from 5 ft,,66,74
220,3,6:46.0,,Defensive rebound by N. Jokić,66,74
221,3,6:44.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),66,76
222,3,6:44.0,,Shooting foul by M. Kidd-Gilchrist (drawn by G. Harris),66,76
223,3,6:44.0,,Denver full timeout,66,76
224,3,6:44.0,,T. Craig enters the game for W. Chandler,66,76
225,3,6:44.0,,G. Harris makes free throw 1 of 1,66,77
226,3,6:31.0,N. Batum misses 2-pt jump shot from 20 ft,,66,77
227,3,6:27.0,,Defensive rebound by J. Murray,66,77
228,3,6:19.0,,Shooting foul by D. Howard (drawn by N. Jokić),66,77
229,3,6:19.0,,N. Jokić makes free throw 1 of 2,66,78
230,3,6:19.0,,N. Jokić makes free throw 2 of 2,66,79
