,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,NEW ORLEANS_ACTION,LA CLIPPERS_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,,A. Davis makes 2-pt dunk from 1 ft (assist by E. Moore),0,2
1,1,11:35.0,M. Teodosić misses 2-pt jump shot from 17 ft,,0,2
2,1,11:32.0,,Defensive rebound by D. Cunningham,0,2
3,1,11:21.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by A. Davis),0,5
4,1,11:19.0,LA Clippers full timeout,,0,5
5,1,11:13.0,B. Griffin misses 2-pt layup from 1 ft,,0,5
6,1,11:12.0,Offensive rebound by D. Jordan,,0,5
7,1,11:12.0,D. Jordan misses 2-pt layup at rim,,0,5
8,1,11:11.0,,Defensive rebound by Team,0,5
9,1,10:58.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by J. Holiday),0,8
10,1,10:40.0,T. Wallace misses 3-pt jump shot from 26 ft,,0,8
11,1,10:38.0,Offensive rebound by Team,,0,8
12,1,10:36.0,Turnover by M. Teodosić (bad pass; steal by D. Cunningham),,0,8
13,1,10:32.0,,R. Rondo misses 2-pt layup from 1 ft,0,8
14,1,10:29.0,Defensive rebound by D. Jordan,,0,8
15,1,10:15.0,M. Teodosić misses 3-pt jump shot from 25 ft,,0,8
16,1,10:10.0,,Defensive rebound by R. Rondo,0,8
17,1,10:01.0,,R. Rondo misses 3-pt jump shot from 25 ft,0,8
18,1,9:58.0,Defensive rebound by B. Griffin,,0,8
19,1,9:48.0,T. Wallace makes 2-pt jump shot from 13 ft,,2,8
20,1,9:42.0,,Turnover by E. Moore (traveling),2,8
21,1,9:27.0,T. Wallace misses 2-pt layup from 2 ft (block by J. Holiday),,2,8
22,1,9:23.0,,Defensive rebound by A. Davis,2,8
23,1,9:21.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by A. Davis),2,11
24,1,9:07.0,T. Wallace makes 2-pt layup from 2 ft,,4,11
25,1,8:49.0,,A. Davis makes 2-pt jump shot from 9 ft (assist by J. Holiday),4,13
26,1,8:44.0,W. Johnson makes 2-pt dunk at rim (assist by B. Griffin),,6,13
27,1,8:19.0,,Turnover by R. Rondo (bad pass),6,13
28,1,8:05.0,M. Teodosić makes 3-pt jump shot from 25 ft (assist by T. Wallace),,9,13
29,1,7:52.0,,J. Holiday misses 2-pt layup from 1 ft (block by W. Johnson),9,13
30,1,7:52.0,,Offensive rebound by Team,9,13
31,1,7:48.0,,A. Davis misses 2-pt jump shot from 14 ft,9,13
32,1,7:44.0,Defensive rebound by M. Teodosić,,9,13
33,1,7:40.0,W. Johnson misses 2-pt jump shot from 15 ft,,9,13
34,1,7:36.0,,Defensive rebound by D. Cunningham,9,13
35,1,7:32.0,,D. Cunningham makes 2-pt dunk at rim (assist by R. Rondo),9,15
36,1,7:19.0,B. Griffin misses 3-pt jump shot from 26 ft,,9,15
37,1,7:15.0,,Defensive rebound by J. Holiday,9,15
38,1,7:05.0,,D. Cunningham misses 3-pt jump shot from 25 ft,9,15
39,1,7:02.0,Defensive rebound by D. Jordan,,9,15
40,1,6:49.0,B. Griffin misses 2-pt layup from 5 ft,,9,15
41,1,6:48.0,Offensive rebound by T. Wallace,,9,15
42,1,6:46.0,T. Wallace makes 2-pt layup from 2 ft,,11,15
43,1,6:41.0,,Turnover by R. Rondo (bad pass; steal by W. Johnson),11,15
44,1,6:37.0,Personal foul by J. Holiday (drawn by T. Wallace),,11,15
45,1,6:37.0,,D. Miller enters the game for J. Holiday,11,15
46,1,6:37.0,L. Williams enters the game for M. Teodosić,,11,15
47,1,6:25.0,D. Jordan makes 2-pt layup from 1 ft (assist by B. Griffin),,13,15
48,1,6:25.0,Shooting foul by A. Davis (drawn by D. Jordan),,13,15
49,1,6:25.0,D. Jordan misses free throw 1 of 1,,13,15
50,1,6:23.0,,Defensive rebound by A. Davis,13,15
51,1,6:19.0,,R. Rondo misses 2-pt jump shot from 17 ft,13,15
52,1,6:15.0,Defensive rebound by D. Jordan,,13,15
53,1,6:02.0,W. Johnson misses 3-pt jump shot from 27 ft,,13,15
54,1,5:59.0,,Defensive rebound by Team,13,15
55,1,5:50.0,,Turnover by A. Davis (bad pass; steal by L. Williams),13,15
56,1,5:45.0,Personal foul by R. Rondo (drawn by L. Williams),,13,15
57,1,5:31.0,B. Griffin misses 2-pt layup from 1 ft,,13,15
58,1,5:29.0,,Defensive rebound by R. Rondo,13,15
59,1,5:22.0,,E. Moore makes 2-pt jump shot from 23 ft,13,17
60,1,5:10.0,L. Williams makes 2-pt jump shot from 20 ft,,15,17
61,1,4:53.0,,E. Moore misses 3-pt jump shot from 23 ft,15,17
62,1,4:49.0,,Offensive rebound by D. Cunningham,15,17
63,1,4:46.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by A. Davis),15,20
64,1,4:33.0,T. Wallace makes 2-pt jump shot from 11 ft (assist by W. Johnson),,17,20
65,1,4:20.0,,D. Cunningham misses 3-pt jump shot from 24 ft,17,20
66,1,4:17.0,Defensive rebound by L. Williams,,17,20
67,1,4:11.0,W. Johnson misses 2-pt jump shot from 19 ft,,17,20
68,1,4:08.0,,Defensive rebound by D. Cunningham,17,20
69,1,4:04.0,,E. Moore makes 2-pt layup from 1 ft (assist by R. Rondo),17,22
70,1,3:44.0,L. Williams misses 2-pt jump shot from 12 ft,,17,22
71,1,3:41.0,,Defensive rebound by E. Moore,17,22
72,1,3:34.0,,E. Moore makes 2-pt layup from 1 ft,17,24
73,1,3:21.0,B. Griffin makes 2-pt dunk at rim (assist by L. Williams),,19,24
74,1,3:06.0,,A. Davis misses 2-pt jump shot from 14 ft,19,24
75,1,3:04.0,Defensive rebound by L. Williams,,19,24
76,1,3:00.0,L. Williams misses 3-pt jump shot from 25 ft,,19,24
77,1,2:55.0,,Defensive rebound by R. Rondo,19,24
78,1,2:48.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by R. Rondo),19,26
79,1,2:30.0,L. Williams misses 3-pt jump shot from 28 ft,,19,26
80,1,2:25.0,,Defensive rebound by D. Cunningham,19,26
81,1,2:25.0,Loose ball foul by D. Jordan (drawn by D. Cunningham),,19,26
82,1,2:25.0,,New Orleans full timeout,19,26
83,1,2:25.0,,I. Clark enters the game for R. Rondo,19,26
84,1,2:25.0,,D. Liggins enters the game for A. Davis,19,26
85,1,2:25.0,,Ö. Aşık enters the game for D. Cunningham,19,26
86,1,2:25.0,,J. Holiday enters the game for E. Moore,19,26
87,1,2:25.0,M. Harrell enters the game for D. Jordan,,19,26
