,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
0,1,11:50.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by J. Smith),,3,0
1,1,11:46.0,,San Antonio full timeout,3,0
2,1,11:35.0,,L. Aldridge misses 2-pt jump shot from 19 ft,3,0
3,1,11:31.0,Defensive rebound by J. Crowder,,3,0
4,1,11:22.0,L. James misses 2-pt jump shot from 11 ft,,3,0
5,1,11:20.0,,Defensive rebound by K. Anderson,3,0
6,1,11:03.0,,D. Bertāns misses 3-pt jump shot from 25 ft,3,0
7,1,10:55.0,,Offensive rebound by D. Murray,3,0
8,1,10:55.0,,D. Murray misses 2-pt layup at rim,3,0
9,1,10:54.0,Defensive rebound by K. Love,,3,0
10,1,10:43.0,L. James misses 2-pt jump shot from 14 ft,,3,0
11,1,10:40.0,,Defensive rebound by K. Anderson,3,0
12,1,10:20.0,,K. Anderson makes 2-pt layup from 1 ft (assist by D. Murray),3,2
13,1,9:58.0,J. Crowder makes 3-pt jump shot from 24 ft (assist by L. James),,6,2
14,1,9:35.0,,D. Bertāns makes 2-pt dunk at rim (assist by K. Anderson),6,4
15,1,9:20.0,K. Love misses 2-pt jump shot from 17 ft,,6,4
16,1,9:17.0,,Defensive rebound by D. Murray,6,4
17,1,9:06.0,,Turnover by D. Murray (out of bounds lost ball),6,4
18,1,8:56.0,Turnover by I. Thomas (bad pass; steal by D. Murray),,6,4
19,1,8:33.0,,L. Aldridge makes 2-pt jump shot from 10 ft,6,6
20,1,8:21.0,K. Love makes 2-pt layup from 2 ft (assist by L. James),,8,6
21,1,8:21.0,Shooting foul by D. Green (drawn by K. Love),,8,6
22,1,8:21.0,K. Love makes free throw 1 of 1,,9,6
23,1,8:17.0,,Turnover by Team (turnover),9,6
24,1,8:17.0,K. Love makes technical free throw,,10,6
25,1,8:17.0,,B. Forbes enters the game for D. Green,10,6
26,1,8:04.0,J. Crowder misses 3-pt jump shot from 24 ft,,10,6
27,1,8:02.0,,Defensive rebound by K. Anderson,10,6
28,1,7:54.0,,B. Forbes misses 3-pt jump shot from 25 ft (block by J. Smith),10,6
29,1,7:50.0,Defensive rebound by K. Love,,10,6
30,1,7:47.0,I. Thomas misses 3-pt jump shot from 25 ft,,10,6
31,1,7:47.0,,Defensive rebound by K. Anderson,10,6
32,1,7:36.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Murray),10,8
33,1,7:19.0,L. James makes 2-pt layup from 1 ft,,12,8
34,1,7:04.0,,Shooting foul by K. Love (drawn by L. Aldridge),12,8
35,1,7:04.0,,L. Aldridge makes free throw 1 of 2,12,9
36,1,7:04.0,,L. Aldridge makes free throw 2 of 2,12,10
37,1,6:52.0,Personal foul by D. Murray (drawn by L. James),,12,10
38,1,6:38.0,I. Thomas makes 2-pt jump shot from 19 ft,,14,10
39,1,6:22.0,,K. Anderson misses 2-pt jump shot from 8 ft,14,10
40,1,6:15.0,,Offensive rebound by K. Anderson,14,10
41,1,6:15.0,,K. Anderson misses 2-pt layup at rim,14,10
42,1,6:14.0,Defensive rebound by K. Love,,14,10
43,1,6:11.0,J. Smith misses 3-pt jump shot from 24 ft,,14,10
44,1,6:11.0,,Defensive rebound by D. Bertāns,14,10
45,1,5:53.0,,D. Bertāns misses 3-pt jump shot from 25 ft,14,10
46,1,5:52.0,Defensive rebound by J. Smith,,14,10
47,1,5:33.0,Shooting foul by B. Forbes (drawn by I. Thomas),,14,10
48,1,5:33.0,I. Thomas makes free throw 1 of 2,,15,10
49,1,5:33.0,,T. Parker enters the game for D. Murray,15,10
50,1,5:33.0,I. Shumpert enters the game for J. Smith,,15,10
51,1,5:33.0,I. Thomas makes free throw 2 of 2,,16,10
52,1,5:16.0,,B. Forbes misses 3-pt jump shot from 25 ft,16,10
53,1,5:14.0,Defensive rebound by J. Crowder,,16,10
54,1,5:09.0,I. Shumpert misses 3-pt jump shot from 24 ft,,16,10
55,1,5:09.0,,Defensive rebound by D. Bertāns,16,10
56,1,4:52.0,,D. Bertāns misses 3-pt jump shot from 25 ft,16,10
