,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MINNESOTA_ACTION,LA CLIPPERS_SCORE,MINNESOTA_SCORE
0,1,11:45.0,A. Rivers makes 2-pt layup from 2 ft,,2,0
1,1,11:45.0,Shooting foul by K. Towns (drawn by A. Rivers),,2,0
2,1,11:45.0,A. Rivers misses free throw 1 of 1,,2,0
3,1,11:43.0,,Defensive rebound by K. Towns,2,0
4,1,11:30.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by J. Butler),2,2
5,1,11:13.0,Turnover by D. Jordan (lost ball; steal by J. Teague),,2,2
6,1,11:09.0,,Shooting foul by J. Wilson (drawn by T. Gibson),2,2
7,1,11:09.0,,T. Gibson makes free throw 1 of 2,2,3
8,1,11:09.0,,T. Gibson makes free throw 2 of 2,2,4
9,1,10:52.0,A. Rivers makes 3-pt jump shot from 26 ft (assist by C. Williams),,5,4
10,1,10:37.0,,J. Butler misses 2-pt layup from 1 ft,5,4
11,1,10:37.0,Defensive rebound by D. Jordan,,5,4
12,1,10:27.0,W. Johnson misses 2-pt jump shot from 17 ft,,5,4
13,1,10:27.0,,Defensive rebound by J. Butler,5,4
14,1,10:12.0,,K. Towns makes 2-pt jump shot from 13 ft (assist by J. Teague),5,6
15,1,9:58.0,A. Rivers makes 3-pt jump shot from 25 ft,,8,6
16,1,9:35.0,,T. Gibson makes 2-pt hook shot from 7 ft (assist by J. Butler),8,8
17,1,9:22.0,J. Wilson misses 3-pt jump shot from 25 ft,,8,8
18,1,9:18.0,,Defensive rebound by A. Wiggins,8,8
19,1,9:05.0,,J. Teague makes 3-pt jump shot from 24 ft,8,11
20,1,8:43.0,A. Rivers misses 3-pt jump shot from 25 ft,,8,11
21,1,8:40.0,,Defensive rebound by K. Towns,8,11
22,1,8:32.0,,K. Towns misses 2-pt dunk at rim,8,11
23,1,8:28.0,Defensive rebound by W. Johnson,,8,11
24,1,8:07.0,C. Williams makes 2-pt jump shot from 12 ft (assist by A. Rivers),,10,11
25,1,7:52.0,,Personal foul by J. Wilson (drawn by K. Towns),10,11
26,1,7:52.0,S. Dekker enters the game for J. Wilson,,10,11
27,1,7:43.0,,A. Wiggins makes 2-pt jump shot from 22 ft (assist by J. Teague),10,13
28,1,7:29.0,W. Johnson makes 2-pt jump shot from 20 ft,,12,13
29,1,7:13.0,,K. Towns misses 2-pt jump shot from 14 ft,12,13
30,1,7:09.0,,Offensive rebound by K. Towns,12,13
31,1,7:07.0,,K. Towns makes 2-pt layup from 1 ft,12,15
32,1,6:52.0,A. Rivers misses 2-pt jump shot from 12 ft,,12,15
33,1,6:49.0,,Defensive rebound by Team,12,15
34,1,6:49.0,,Minnesota full timeout,12,15
35,1,6:29.0,,T. Gibson makes 2-pt dunk at rim (assist by J. Teague),12,17
36,1,6:10.0,D. Jordan makes 2-pt layup at rim (assist by W. Johnson),,14,17
37,1,6:10.0,Shooting foul by J. Butler (drawn by D. Jordan),,14,17
38,1,6:10.0,L. Williams enters the game for C. Williams,,14,17
39,1,6:10.0,D. Jordan makes free throw 1 of 1,,15,17
40,1,6:04.0,,J. Teague makes 2-pt layup from 1 ft,15,19
41,1,5:44.0,Turnover by S. Dekker (lost ball; steal by J. Teague),,15,19
42,1,5:40.0,,J. Teague makes 2-pt layup from 1 ft,15,21
43,1,5:40.0,LA Clippers full timeout,,15,21
44,1,5:22.0,Shooting foul by K. Towns (drawn by D. Jordan),,15,21
45,1,5:22.0,D. Jordan misses free throw 1 of 2,,15,21
46,1,5:22.0,Offensive rebound by Team,,15,21
47,1,5:22.0,,G. Dieng enters the game for K. Towns,15,21
48,1,5:22.0,D. Jordan misses free throw 2 of 2,,15,21
