,QUARTER,TIME_REMAINING,INDIANA_ACTION,CHARLOTTE_ACTION,INDIANA_SCORE,CHARLOTTE_SCORE
0,1,11:44.0,,K. Walker misses 3-pt jump shot from 23 ft,0,0
1,1,11:39.0,Defensive rebound by M. Turner,,0,0
2,1,11:22.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),,2,0
3,1,11:06.0,,D. Howard makes 2-pt dunk at rim (assist by K. Walker),2,2
4,1,10:53.0,Shooting foul by N. Batum (drawn by B. Bogdanović),,2,2
5,1,10:53.0,B. Bogdanović makes free throw 1 of 2,,3,2
6,1,10:53.0,B. Bogdanović makes free throw 2 of 2,,4,2
7,1,10:34.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,4,2
8,1,10:28.0,,Offensive rebound by N. Batum,4,2
9,1,10:28.0,,N. Batum makes 2-pt layup at rim,4,4
10,1,10:07.0,Turnover by M. Turner (bad pass),,4,4
11,1,10:01.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),4,7
12,1,9:45.0,M. Turner misses 2-pt jump shot from 18 ft,,4,7
13,1,9:42.0,,Defensive rebound by D. Howard,4,7
14,1,9:33.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),4,10
15,1,9:12.0,M. Turner makes 2-pt jump shot from 16 ft (assist by B. Bogdanović),,6,10
16,1,8:58.0,,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),6,13
17,1,8:42.0,T. Young misses 2-pt hook shot from 7 ft,,6,13
18,1,8:40.0,,Defensive rebound by D. Howard,6,13
19,1,8:36.0,,N. Batum misses 3-pt jump shot from 27 ft,6,13
20,1,8:32.0,,Offensive rebound by K. Walker,6,13
21,1,8:29.0,,K. Walker makes 3-pt jump shot from 22 ft (assist by F. Kaminsky),6,16
22,1,8:22.0,Indiana full timeout,,6,16
23,1,8:17.0,V. Oladipo misses 2-pt jump shot from 19 ft,,6,16
24,1,8:14.0,,Defensive rebound by N. Batum,6,16
25,1,8:04.0,,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),6,18
26,1,7:48.0,V. Oladipo misses 3-pt jump shot from 25 ft,,6,18
27,1,7:46.0,,Defensive rebound by D. Howard,6,18
28,1,7:36.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by K. Walker),6,21
29,1,7:18.0,M. Turner makes 2-pt layup at rim (assist by V. Oladipo),,8,21
30,1,6:58.0,,Turnover by N. Batum (bad pass; steal by D. Collison),8,21
31,1,6:54.0,Shooting foul by K. Walker (drawn by V. Oladipo),,8,21
32,1,6:54.0,V. Oladipo makes free throw 1 of 2,,9,21
33,1,6:54.0,V. Oladipo makes free throw 2 of 2,,10,21
34,1,6:38.0,,D. Howard makes 2-pt layup from 1 ft (assist by F. Kaminsky),10,23
