,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:41.0,R. Rubio misses 3-pt jump shot from 25 ft,,0,0
1,1,11:38.0,,Defensive rebound by H. Barnes,0,0
2,1,11:28.0,,D. Powell misses 3-pt jump shot from 25 ft,0,0
3,1,11:26.0,Defensive rebound by R. Gobert,,0,0
4,1,11:17.0,R. Rubio makes 2-pt jump shot from 11 ft (assist by J. Ingles),,2,0
5,1,11:03.0,,H. Barnes misses 2-pt jump shot from 6 ft,2,0
6,1,11:01.0,Defensive rebound by R. Gobert,,2,0
7,1,10:54.0,D. Favors misses 2-pt jump shot from 9 ft,,2,0
8,1,10:50.0,Offensive rebound by D. Mitchell,,2,0
9,1,10:48.0,R. Gobert makes 2-pt dunk at rim (assist by D. Mitchell),,4,0
10,1,10:35.0,,J. Barea makes 2-pt jump shot from 6 ft,4,2
11,1,10:18.0,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),,6,2
12,1,10:03.0,,H. Barnes makes 2-pt jump shot from 3 ft,6,4
13,1,9:47.0,R. Rubio makes 2-pt layup from 1 ft (assist by J. Ingles),,8,4
14,1,9:29.0,,Turnover by D. Finney-Smith (bad pass; steal by D. Mitchell),8,4
15,1,9:20.0,D. Mitchell misses 3-pt jump shot from 22 ft,,8,4
16,1,9:18.0,,Defensive rebound by D. Powell,8,4
17,1,9:01.0,,Turnover by D. Nowitzki (lost ball; steal by R. Rubio),8,4
18,1,8:56.0,Turnover by R. Rubio (lost ball; steal by D. Powell),,8,4
19,1,8:54.0,,Personal take foul by J. Ingles (drawn by J. Barea),8,4
20,1,8:42.0,,J. Barea makes 3-pt jump shot from 24 ft (assist by D. Powell),8,7
21,1,8:25.0,D. Mitchell makes 2-pt layup at rim (assist by J. Ingles),,10,7
22,1,8:12.0,,J. Barea makes 3-pt jump shot from 24 ft,10,10
23,1,7:58.0,Shooting foul by D. Nowitzki (drawn by D. Favors),,10,10
24,1,7:58.0,D. Favors makes free throw 1 of 2,,11,10
25,1,7:58.0,D. Favors makes free throw 2 of 2,,12,10
26,1,7:49.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by J. Barea),12,13
27,1,7:32.0,R. Rubio makes 3-pt jump shot from 22 ft (assist by D. Favors),,15,13
28,1,7:19.0,,J. Barea makes 2-pt jump shot from 7 ft,15,15
29,1,7:04.0,D. Mitchell makes 2-pt jump shot from 4 ft,,17,15
30,1,6:52.0,,J. Barea misses 3-pt jump shot from 22 ft,17,15
31,1,6:50.0,Defensive rebound by D. Favors,,17,15
32,1,6:36.0,D. Favors makes 3-pt jump shot from 22 ft (assist by J. Ingles),,20,15
33,1,6:36.0,,Dallas full timeout,20,15
34,1,6:36.0,,Y. Ferrell enters the game for D. Nowitzki,20,15
35,1,6:36.0,,S. Mejri enters the game for D. Powell,20,15
36,1,6:36.0,,D. McDermott enters the game for J. Barea,20,15
37,1,6:36.0,J. Crowder enters the game for D. Favors,,20,15
38,1,6:13.0,,H. Barnes makes 2-pt hook shot from 4 ft (assist by D. Finney-Smith),20,17
39,1,5:56.0,Personal block foul by S. Mejri (drawn by D. Mitchell),,20,17
40,1,5:50.0,D. Mitchell makes 3-pt jump shot from 25 ft,,23,17
41,1,5:30.0,,D. Finney-Smith makes 3-pt jump shot from 22 ft (assist by H. Barnes),23,20
42,1,5:15.0,R. Gobert makes 2-pt hook shot from 3 ft (assist by J. Ingles),,25,20
43,1,5:02.0,,Y. Ferrell misses 2-pt jump shot from 16 ft,25,20
44,1,5:00.0,Defensive rebound by J. Ingles,,25,20
45,1,4:51.0,Turnover by J. Ingles (bad pass; steal by Y. Ferrell),,25,20
46,1,4:38.0,,H. Barnes makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),25,23
47,1,4:16.0,R. Rubio makes 2-pt jump shot from 18 ft (assist by J. Ingles),,27,23
48,1,3:54.0,,D. McDermott makes 2-pt layup from 1 ft (assist by S. Mejri),27,25
49,1,3:45.0,J. Crowder misses 3-pt jump shot from 25 ft,,27,25
50,1,3:43.0,,Defensive rebound by Y. Ferrell,27,25
51,1,3:33.0,,Personal foul by D. Mitchell (drawn by S. Mejri),27,25
52,1,3:33.0,R. O'Neale enters the game for J. Ingles,,27,25
53,1,3:33.0,J. Jerebko enters the game for R. Rubio,,27,25
54,1,3:19.0,,D. McDermott makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith),27,28
55,1,3:18.0,Utah full timeout,,27,28
56,1,3:07.0,J. Crowder misses 2-pt jump shot from 15 ft,,27,28
57,1,3:06.0,,Defensive rebound by D. McDermott,27,28
58,1,2:55.0,,Personal foul by R. O'Neale (drawn by D. McDermott),27,28
59,1,2:55.0,D. Favors enters the game for R. Gobert,,27,28
60,1,2:46.0,,Offensive foul by S. Mejri (drawn by D. Mitchell),27,28
61,1,2:46.0,,Turnover by S. Mejri (offensive foul),27,28
62,1,2:21.0,J. Jerebko misses 2-pt jump shot from 17 ft,,27,28
63,1,2:18.0,,Defensive rebound by D. Finney-Smith,27,28
64,1,2:12.0,,Y. Ferrell makes 2-pt jump shot from 22 ft,27,30
65,1,1:54.0,R. O'Neale makes 3-pt jump shot from 23 ft (assist by D. Favors),,30,30
66,1,1:35.0,,S. Mejri makes 2-pt dunk at rim (assist by H. Barnes),30,32
67,1,1:18.0,J. Jerebko makes 2-pt jump shot from 18 ft (assist by R. O'Neale),,32,32
68,1,1:08.0,,Turnover by Y. Ferrell (bad pass; steal by D. Mitchell),32,32
69,1,1:05.0,D. Mitchell makes 2-pt layup at rim,,34,32
70,1,1:04.0,,Dallas full timeout,34,32
71,1,1:04.0,,D. Powell enters the game for D. Finney-Smith,34,32
72,1,1:04.0,,D. Nowitzki enters the game for H. Barnes,34,32
73,1,1:04.0,,A. Harrison enters the game for S. Mejri,34,32
74,1,1:04.0,D. Exum enters the game for D. Mitchell,,34,32
75,1,0:41.0,,Y. Ferrell misses 2-pt jump shot from 6 ft,34,32
76,1,0:39.0,Defensive rebound by R. O'Neale,,34,32
77,1,0:31.0,D. Exum misses 2-pt layup from 1 ft,,34,32
78,1,0:28.0,,Defensive rebound by Y. Ferrell,34,32
79,1,0:25.0,,D. Powell misses 2-pt layup from 1 ft (block by D. Favors),34,32
80,1,0:25.0,,Offensive rebound by Team,34,32
81,1,0:22.0,,Shooting block foul by D. Favors (drawn by D. Powell),34,32
82,1,0:22.0,,D. Powell makes free throw 1 of 2,34,33
83,1,0:22.0,D. Mitchell enters the game for D. Exum,,34,33
84,1,0:22.0,,D. Powell makes free throw 2 of 2,34,34
85,1,0:04.0,D. Mitchell makes 2-pt jump shot from 5 ft,,36,34
86,1,0:04.0,Shooting foul by D. Nowitzki (drawn by D. Mitchell),,36,34
87,1,0:04.0,D. Exum enters the game for J. Jerebko,,36,34
88,1,0:04.0,D. Mitchell makes free throw 1 of 1,,37,34
89,1,0:00.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,37,34
90,1,0:00.0,,Offensive rebound by Team,37,34
91,2,12:00.0,,J. Barea enters the game for Y. Ferrell,37,34
92,2,11:49.0,,D. McDermott misses 2-pt jump shot from 15 ft,37,34
93,2,11:46.0,Defensive rebound by D. Favors,,37,34
94,2,11:38.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Favors),,40,34
95,2,11:22.0,,Turnover by D. McDermott (bad pass; steal by D. Favors),40,34
96,2,11:14.0,J. Jerebko makes 3-pt jump shot from 25 ft (assist by J. Crowder),,43,34
97,2,10:53.0,,Turnover by D. McDermott (bad pass),43,34
98,2,10:40.0,Personal foul by A. Harrison (drawn by J. Ingles),,43,34
99,2,10:30.0,D. Exum misses 2-pt layup from 5 ft,,43,34
100,2,10:25.0,,Defensive rebound by J. Barea,43,34
101,2,10:20.0,,J. Barea misses 2-pt layup from 3 ft,43,34
102,2,10:18.0,Defensive rebound by J. Crowder,,43,34
103,2,10:13.0,J. Crowder misses 3-pt jump shot from 27 ft,,43,34
104,2,10:12.0,,Defensive rebound by D. McDermott,43,34
105,2,9:56.0,,Shooting foul by J. Ingles (drawn by D. Powell),43,34
106,2,9:56.0,,D. Powell misses free throw 1 of 2,43,34
107,2,9:56.0,,Offensive rebound by Team,43,34
108,2,9:56.0,R. O'Neale enters the game for J. Crowder,,43,34
109,2,9:56.0,,D. Powell makes free throw 2 of 2,43,35
110,2,9:44.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Exum),,46,35
111,2,9:24.0,,D. Powell misses 2-pt layup from 3 ft,46,35
112,2,9:22.0,Defensive rebound by J. Jerebko,,46,35
113,2,9:17.0,D. Favors makes 2-pt hook shot from 2 ft (assist by D. Exum),,48,35
114,2,9:17.0,,Dallas full timeout,48,35
115,2,9:02.0,,Shooting foul by D. Exum (drawn by A. Harrison),48,35
116,2,9:02.0,,A. Harrison makes free throw 1 of 3,48,36
117,2,9:02.0,,A. Harrison makes free throw 2 of 3,48,37
118,2,9:02.0,,A. Harrison misses free throw 3 of 3,48,37
119,2,9:00.0,Defensive rebound by J. Jerebko,,48,37
120,2,8:39.0,D. Favors misses 2-pt layup from 1 ft,,48,37
121,2,8:38.0,Offensive rebound by D. Favors,,48,37
122,2,8:35.0,D. Favors misses 2-pt layup at rim,,48,37
123,2,8:34.0,,Defensive rebound by D. Powell,48,37
124,2,8:27.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,48,37
125,2,8:27.0,Defensive rebound by D. Favors,,48,37
126,2,8:04.0,J. Jerebko misses 2-pt layup from 2 ft,,48,37
127,2,8:02.0,Offensive rebound by D. Favors,,48,37
128,2,8:01.0,D. Favors makes 2-pt dunk from 1 ft,,50,37
129,2,7:53.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,50,37
130,2,7:53.0,Defensive rebound by J. Jerebko,,50,37
131,2,7:38.0,J. Ingles makes 2-pt layup at rim,,52,37
132,2,7:15.0,,D. Powell makes 2-pt dunk at rim (assist by J. Barea),52,39
133,2,7:15.0,Utah full timeout,,52,39
134,2,7:15.0,R. Rubio enters the game for J. Ingles,,52,39
135,2,7:15.0,D. Mitchell enters the game for J. Jerebko,,52,39
136,2,7:15.0,R. Gobert enters the game for D. Exum,,52,39
137,2,7:01.0,D. Mitchell misses 2-pt layup from 6 ft (block by D. Powell),,52,39
138,2,6:58.0,,Defensive rebound by A. Harrison,52,39
139,2,6:49.0,,Turnover by D. McDermott (bad pass; steal by R. Rubio),52,39
140,2,6:45.0,R. Rubio misses 3-pt jump shot from 24 ft,,52,39
141,2,6:41.0,Offensive rebound by R. Gobert,,52,39
142,2,6:38.0,Turnover by R. Rubio (bad pass; steal by A. Harrison),,52,39
143,2,6:30.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by A. Harrison),52,42
144,2,6:10.0,R. O'Neale misses 3-pt jump shot from 25 ft,,52,42
145,2,6:08.0,,Defensive rebound by J. Barea,52,42
146,2,6:01.0,,J. Barea makes 2-pt jump shot from 4 ft,52,44
147,2,5:47.0,D. Favors misses 3-pt jump shot from 23 ft,,52,44
148,2,5:47.0,,Defensive rebound by D. Nowitzki,52,44
149,2,5:47.0,Loose ball foul by R. Gobert (drawn by D. Nowitzki),,52,44
150,2,5:47.0,,Y. Ferrell enters the game for A. Harrison,52,44
151,2,5:47.0,J. Crowder enters the game for R. O'Neale,,52,44
152,2,5:31.0,,Y. Ferrell makes 2-pt layup at rim,52,46
153,2,5:20.0,Turnover by J. Crowder (bad pass; steal by D. Nowitzki),,52,46
154,2,5:20.0,Loose ball foul by D. Favors (drawn by D. Nowitzki),,52,46
155,2,5:20.0,,D. Finney-Smith enters the game for D. Powell,52,46
156,2,5:20.0,,H. Barnes enters the game for D. McDermott,52,46
157,2,5:20.0,,S. Mejri enters the game for D. Nowitzki,52,46
158,2,5:09.0,,J. Barea makes 2-pt jump shot from 17 ft,52,48
159,2,5:02.0,Utah full timeout,,52,48
