,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,Turnover by W. Cauley-Stein (bad pass),,0,0
1,1,11:25.0,,Turnover by J. Henson (traveling),0,0
2,1,11:05.0,K. Koufos misses 2-pt hook shot from 9 ft,,0,0
3,1,11:03.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:00.0,,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),0,0
5,1,11:00.0,,G. Antetokounmpo makes free throw 1 of 2,0,1
6,1,11:00.0,,G. Antetokounmpo misses free throw 2 of 2,0,1
7,1,10:57.0,Defensive rebound by K. Koufos,,0,1
8,1,10:48.0,Turnover by D. Fox (bad pass; steal by K. Middleton),,0,1
9,1,10:44.0,,Turnover by E. Bledsoe (bad pass; steal by G. Hill),0,1
10,1,10:25.0,G. Temple misses 3-pt jump shot from 28 ft,,0,1
11,1,10:19.0,,Defensive rebound by G. Antetokounmpo,0,1
12,1,10:14.0,,K. Middleton makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),0,4
13,1,9:56.0,Turnover by K. Koufos (bad pass; steal by G. Antetokounmpo),,0,4
14,1,9:53.0,,T. Snell makes 2-pt dunk at rim,0,6
15,1,9:41.0,Turnover by G. Hill (bad pass; steal by G. Antetokounmpo),,0,6
16,1,9:39.0,,G. Antetokounmpo makes 2-pt dunk at rim,0,8
17,1,9:39.0,Sacramento full timeout,,0,8
18,1,9:24.0,D. Fox misses 2-pt dunk from 19 ft,,0,8
19,1,9:24.0,,Defensive rebound by Team,0,8
20,1,9:12.0,,J. Henson makes 2-pt dunk from 1 ft (assist by E. Bledsoe),0,10
21,1,8:53.0,Turnover by K. Koufos (bad pass; steal by G. Antetokounmpo),,0,10
22,1,8:50.0,,Shooting foul by D. Fox (drawn by G. Antetokounmpo),0,10
23,1,8:50.0,,G. Antetokounmpo makes free throw 1 of 2,0,11
24,1,8:50.0,S. Labissière enters the game for G. Temple,,0,11
25,1,8:50.0,B. Bogdanović enters the game for W. Cauley-Stein,,0,11
26,1,8:50.0,Z. Randolph enters the game for K. Koufos,,0,11
27,1,8:50.0,B. Hield enters the game for G. Hill,,0,11
28,1,8:50.0,F. Mason enters the game for D. Fox,,0,11
29,1,8:50.0,,G. Antetokounmpo makes free throw 2 of 2,0,12
30,1,8:26.0,S. Labissière misses 2-pt jump shot from 5 ft,,0,12
31,1,8:24.0,,Defensive rebound by G. Antetokounmpo,0,12
32,1,8:20.0,,Shooting foul by S. Labissière (drawn by G. Antetokounmpo),0,12
33,1,8:20.0,,G. Antetokounmpo makes free throw 1 of 2,0,13
34,1,8:20.0,,G. Antetokounmpo misses free throw 2 of 2,0,13
35,1,8:18.0,Defensive rebound by B. Bogdanović,,0,13
36,1,8:04.0,B. Bogdanović misses 2-pt layup from 5 ft,,0,13
37,1,8:02.0,,Defensive rebound by G. Antetokounmpo,0,13
38,1,8:00.0,,Shooting foul by B. Hield (drawn by G. Antetokounmpo),0,13
39,1,8:00.0,,G. Antetokounmpo makes free throw 1 of 2,0,14
40,1,8:00.0,,G. Antetokounmpo misses free throw 2 of 2,0,14
41,1,7:58.0,Defensive rebound by Z. Randolph,,0,14
42,1,7:44.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by B. Hield),,2,14
43,1,7:21.0,,G. Antetokounmpo makes 2-pt jump shot from 20 ft,2,16
44,1,7:13.0,,Offensive charge foul by S. Labissière (drawn by G. Antetokounmpo),2,16
45,1,7:13.0,Turnover by S. Labissière (offensive foul),,2,16
46,1,7:13.0,Technical foul by Team,,2,16
47,1,7:13.0,,K. Middleton misses technical free throw,2,16
48,1,7:13.0,,Offensive rebound by Team,2,16
49,1,7:03.0,,T. Snell misses 3-pt jump shot from 25 ft,2,16
50,1,7:00.0,Defensive rebound by B. Bogdanović,,2,16
51,1,6:56.0,F. Mason misses 2-pt jump shot from 14 ft,,2,16
52,1,6:56.0,Offensive rebound by S. Labissière,,2,16
53,1,6:50.0,S. Labissière makes 2-pt dunk at rim,,4,16
54,1,6:37.0,,Offensive foul by K. Middleton (drawn by B. Hield),4,16
55,1,6:37.0,,Turnover by K. Middleton (offensive foul),4,16
56,1,6:22.0,Shooting foul by J. Henson (drawn by F. Mason),,4,16
57,1,6:22.0,F. Mason makes free throw 1 of 2,,5,16
