,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:49.0,Shooting foul by M. Smart (drawn by K. Lowry),,0,0
1,1,11:49.0,K. Lowry makes free throw 1 of 3,,1,0
2,1,11:49.0,K. Lowry makes free throw 2 of 3,,2,0
3,1,11:49.0,K. Lowry makes free throw 3 of 3,,3,0
4,1,11:43.0,,Personal foul by S. Ibaka (drawn by M. Smart),3,0
5,1,11:28.0,,J. Tatum misses 2-pt jump shot from 17 ft,3,0
6,1,11:23.0,Defensive rebound by J. Valančiūnas,,3,0
7,1,11:11.0,N. Powell misses 2-pt layup from 1 ft,,3,0
8,1,11:11.0,,Defensive rebound by A. Baynes,3,0
9,1,11:03.0,,J. Brown makes 2-pt jump shot from 13 ft (assist by A. Horford),3,2
10,1,10:47.0,Turnover by J. Valančiūnas (traveling),,3,2
11,1,10:36.0,,J. Brown makes 2-pt jump shot from 16 ft (assist by A. Baynes),3,4
12,1,10:12.0,Turnover by K. Lowry (bad pass; steal by A. Horford),,3,4
13,1,10:08.0,,J. Tatum makes 2-pt dunk from 1 ft (assist by J. Brown),3,6
14,1,9:55.0,Shooting foul by J. Tatum (drawn by K. Lowry),,3,6
15,1,9:55.0,K. Lowry makes free throw 1 of 2,,4,6
16,1,9:55.0,K. Lowry makes free throw 2 of 2,,5,6
17,1,9:44.0,,Def 3 sec tech foul by S. Ibaka,5,6
18,1,9:44.0,,A. Horford misses technical free throw,5,6
19,1,9:44.0,,Offensive rebound by Team,5,6
20,1,9:36.0,,Turnover by J. Brown (bad pass; steal by N. Powell),5,6
21,1,9:25.0,,Violation by A. Horford (def goaltending),5,6
22,1,9:25.0,D. DeRozan makes 2-pt layup from 1 ft,,7,6
23,1,9:07.0,,J. Brown misses 2-pt layup from 1 ft (block by S. Ibaka),7,6
24,1,8:58.0,,Offensive rebound by J. Brown,7,6
25,1,8:58.0,,J. Brown makes 2-pt layup at rim,7,8
26,1,8:52.0,Turnover by D. DeRozan (bad pass; steal by J. Brown),,7,8
27,1,8:51.0,Offensive charge foul by J. Tatum (drawn by K. Lowry),,7,8
28,1,8:51.0,,Turnover by J. Tatum (bad pass),7,8
29,1,8:36.0,N. Powell misses 2-pt jump shot from 22 ft,,7,8
30,1,8:32.0,,Defensive rebound by A. Baynes,7,8
31,1,8:22.0,,J. Tatum misses 3-pt jump shot from 24 ft,7,8
32,1,8:19.0,,Offensive rebound by A. Horford,7,8
33,1,8:13.0,,Shooting foul by K. Lowry (drawn by M. Smart),7,8
34,1,8:13.0,,M. Smart makes free throw 1 of 2,7,9
35,1,8:13.0,,M. Smart makes free throw 2 of 2,7,10
36,1,7:58.0,Turnover by D. DeRozan (lost ball; steal by J. Brown),,7,10
37,1,7:52.0,,M. Smart misses 3-pt jump shot from 23 ft,7,10
38,1,7:49.0,,Offensive rebound by J. Brown,7,10
39,1,7:39.0,,A. Horford makes 2-pt dunk from 2 ft,7,12
40,1,7:14.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,10,12
41,1,6:50.0,,J. Tatum makes 3-pt jump shot from 26 ft (assist by M. Smart),10,15
42,1,6:35.0,K. Lowry makes 3-pt jump shot from 27 ft,,13,15
43,1,6:21.0,,J. Tatum misses 2-pt jump shot from 16 ft,13,15
44,1,6:21.0,Defensive rebound by Team,,13,15
45,1,6:21.0,,Boston full timeout,13,15
46,1,6:21.0,,M. Morris enters the game for J. Tatum,13,15
47,1,6:05.0,Turnover by K. Lowry (bad pass; steal by M. Smart),,13,15
48,1,5:47.0,,A. Horford makes 2-pt dunk at rim (assist by J. Brown),13,17
49,1,5:37.0,D. DeRozan misses 2-pt layup from 5 ft,,13,17
50,1,5:34.0,Offensive rebound by D. DeRozan,,13,17
51,1,5:32.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by N. Powell),,16,17
52,1,5:15.0,,J. Brown misses 2-pt layup at rim,16,17
53,1,5:13.0,Defensive rebound by N. Powell,,16,17
54,1,5:04.0,J. Valančiūnas misses 3-pt jump shot from 27 ft,,16,17
55,1,5:02.0,,Defensive rebound by M. Morris,16,17
56,1,4:56.0,,M. Smart misses 2-pt jump shot from 11 ft,16,17
57,1,4:54.0,,Offensive rebound by A. Baynes,16,17
58,1,4:54.0,,Shooting foul by D. DeRozan (drawn by A. Baynes),16,17
59,1,4:54.0,,A. Baynes misses free throw 1 of 2,16,17
60,1,4:54.0,,Offensive rebound by Team,16,17
61,1,4:54.0,C. Miles enters the game for J. Valančiūnas,,16,17
62,1,4:54.0,L. Nogueira enters the game for N. Powell,,16,17
63,1,4:54.0,,A. Baynes makes free throw 2 of 2,16,18
64,1,4:38.0,D. DeRozan makes 3-pt jump shot from 27 ft (assist by K. Lowry),,19,18
65,1,4:23.0,,A. Baynes misses 2-pt dunk from 1 ft,19,18
66,1,4:17.0,,Offensive rebound by A. Baynes,19,18
67,1,4:17.0,,A. Baynes misses 2-pt layup at rim,19,18
68,1,4:16.0,Defensive rebound by S. Ibaka,,19,18
69,1,4:10.0,K. Lowry misses 2-pt layup from 3 ft,,19,18
70,1,4:07.0,,Defensive rebound by M. Morris,19,18
71,1,3:53.0,,M. Morris misses 2-pt jump shot from 12 ft,19,18
72,1,3:49.0,,Offensive rebound by A. Baynes,19,18
73,1,3:49.0,,A. Baynes misses 2-pt layup at rim,19,18
74,1,3:48.0,Defensive rebound by L. Nogueira,,19,18
75,1,3:42.0,Turnover by S. Ibaka (bad pass; steal by M. Smart),,19,18
76,1,3:39.0,,A. Horford makes 2-pt dunk from 1 ft (assist by M. Smart),19,20
77,1,3:38.0,Toronto full timeout,,19,20
78,1,3:38.0,,T. Rozier enters the game for M. Smart,19,20
79,1,3:38.0,,D. Theis enters the game for A. Baynes,19,20
80,1,3:38.0,P. Siakam enters the game for S. Ibaka,,19,20
81,1,3:29.0,K. Lowry misses 3-pt jump shot from 27 ft,,19,20
82,1,3:26.0,,Defensive rebound by D. Theis,19,20
83,1,3:13.0,,Turnover by A. Horford (bad pass; steal by C. Miles),19,20
84,1,3:04.0,D. DeRozan makes 2-pt jump shot from 7 ft (assist by K. Lowry),,21,20
85,1,2:43.0,,Turnover by J. Brown (traveling),21,20
86,1,2:43.0,,S. Larkin enters the game for A. Horford,21,20
87,1,2:43.0,D. Wright enters the game for K. Lowry,,21,20
88,1,2:33.0,D. DeRozan misses 3-pt jump shot from 26 ft,,21,20
89,1,2:30.0,,Defensive rebound by M. Morris,21,20
90,1,2:14.0,,S. Larkin misses 2-pt layup from 2 ft (block by L. Nogueira),21,20
91,1,2:12.0,,Offensive rebound by D. Theis,21,20
92,1,2:12.0,,D. Theis misses 2-pt layup from 1 ft (block by C. Miles),21,20
93,1,2:11.0,Defensive rebound by P. Siakam,,21,20
94,1,2:09.0,C. Miles misses 3-pt jump shot from 27 ft,,21,20
95,1,2:07.0,Offensive rebound by P. Siakam,,21,20
96,1,1:53.0,D. DeRozan misses 3-pt jump shot from 25 ft,,21,20
97,1,1:53.0,,Defensive rebound by D. Theis,21,20
98,1,1:43.0,,J. Brown misses 3-pt jump shot from 24 ft,21,20
99,1,1:38.0,Defensive rebound by C. Miles,,21,20
100,1,1:33.0,Turnover by L. Nogueira (bad pass; steal by D. Theis),,21,20
101,1,1:28.0,,J. Brown makes 2-pt layup from 1 ft (assist by M. Morris),21,22
102,1,1:07.0,Shooting foul by S. Larkin (drawn by D. DeRozan),,21,22
103,1,1:07.0,D. DeRozan misses free throw 1 of 2,,21,22
104,1,1:07.0,Offensive rebound by Team,,21,22
105,1,1:07.0,,J. Tatum enters the game for J. Brown,21,22
106,1,1:07.0,D. DeRozan makes free throw 2 of 2,,22,22
107,1,0:57.0,,T. Rozier makes 2-pt jump shot from 15 ft,22,24
108,1,0:45.0,D. DeRozan misses 2-pt jump shot from 8 ft,,22,24
109,1,0:43.0,,Defensive rebound by T. Rozier,22,24
110,1,0:31.0,,Turnover by D. Theis (bad pass; steal by C. Miles),22,24
111,1,0:10.0,D. DeRozan makes 2-pt layup from 2 ft,,24,24
112,1,0:02.0,,T. Rozier misses 2-pt jump shot from 8 ft,24,24
113,1,0:02.0,Defensive rebound by D. DeRozan,,24,24
114,2,11:40.0,,S. Larkin misses 3-pt jump shot from 24 ft,24,24
115,2,11:36.0,Defensive rebound by P. Siakam,,24,24
116,2,11:31.0,Personal foul by S. Ojeleye (drawn by L. Nogueira),,24,24
117,2,11:25.0,Turnover by D. Wright (out of bounds lost ball),,24,24
118,2,11:12.0,,J. Tatum misses 2-pt jump shot from 9 ft,24,24
119,2,11:09.0,Defensive rebound by L. Nogueira,,24,24
120,2,11:03.0,C. Miles makes 2-pt layup from 1 ft (assist by F. VanVleet),,26,24
121,2,10:48.0,,S. Ojeleye misses 3-pt jump shot from 23 ft,26,24
122,2,10:48.0,Defensive rebound by L. Nogueira,,26,24
123,2,10:42.0,,Offensive charge foul by F. VanVleet (drawn by S. Larkin),26,24
124,2,10:42.0,Turnover by F. VanVleet (offensive foul),,26,24
125,2,10:31.0,,S. Larkin misses 2-pt layup from 1 ft,26,24
126,2,10:29.0,Defensive rebound by P. Siakam,,26,24
127,2,10:23.0,Turnover by F. VanVleet (bad pass),,26,24
128,2,10:09.0,,J. Tatum misses 3-pt jump shot from 24 ft,26,24
129,2,10:07.0,Defensive rebound by L. Nogueira,,26,24
130,2,9:57.0,D. Wright makes 2-pt jump shot from 5 ft,,28,24
131,2,9:30.0,,T. Rozier misses 3-pt jump shot from 24 ft,28,24
132,2,9:28.0,,Offensive rebound by J. Tatum,28,24
133,2,9:15.0,,S. Larkin misses 2-pt jump shot from 20 ft,28,24
134,2,9:13.0,Defensive rebound by P. Siakam,,28,24
135,2,9:11.0,Personal foul by S. Larkin (drawn by C. Miles),,28,24
136,2,9:06.0,P. Siakam makes 2-pt layup from 1 ft,,30,24
137,2,9:06.0,Shooting foul by S. Ojeleye (drawn by P. Siakam),,30,24
138,2,9:06.0,,M. Morris enters the game for S. Ojeleye,30,24
139,2,9:06.0,P. Siakam misses free throw 1 of 1,,30,24
140,2,9:03.0,,Defensive rebound by D. Theis,30,24
141,2,8:44.0,,Def 3 sec tech foul by L. Nogueira,30,24
142,2,8:44.0,,M. Morris misses technical free throw,30,24
143,2,8:44.0,,Offensive rebound by Team,30,24
144,2,8:44.0,,A. Baynes enters the game for D. Theis,30,24
145,2,8:44.0,O. Anunoby enters the game for C. Miles,,30,24
146,2,8:44.0,J. Poeltl enters the game for L. Nogueira,,30,24
147,2,8:35.0,,Shooting foul by O. Anunoby (drawn by M. Morris),30,24
148,2,8:35.0,,M. Morris makes free throw 1 of 2,30,25
149,2,8:35.0,,M. Morris makes free throw 2 of 2,30,26
150,2,8:18.0,Turnover by J. Poeltl (lost ball; steal by T. Rozier),,30,26
151,2,8:14.0,,J. Tatum misses 2-pt layup from 3 ft,30,26
152,2,8:14.0,,Offensive rebound by M. Morris,30,26
153,2,8:14.0,,Personal foul by J. Poeltl (drawn by M. Morris),30,26
154,2,7:49.0,,J. Tatum makes 2-pt layup at rim (assist by S. Larkin),30,28
155,2,7:36.0,P. Siakam misses 3-pt jump shot from 27 ft,,30,28
156,2,7:32.0,Offensive rebound by O. Anunoby,,30,28
157,2,7:21.0,P. Siakam makes 3-pt jump shot from 23 ft (assist by F. VanVleet),,33,28
158,2,7:11.0,,Turnover by T. Rozier (out of bounds lost ball),33,28
159,2,7:11.0,K. Lowry enters the game for F. VanVleet,,33,28
160,2,6:59.0,J. Poeltl misses 2-pt jump shot from 11 ft,,33,28
161,2,6:56.0,,Defensive rebound by J. Tatum,33,28
162,2,6:51.0,,Boston full timeout,33,28
163,2,6:51.0,,J. Brown enters the game for J. Tatum,33,28
164,2,6:51.0,,A. Horford enters the game for A. Baynes,33,28
165,2,6:51.0,S. Ibaka enters the game for P. Siakam,,33,28
166,2,6:51.0,D. DeRozan enters the game for D. Wright,,33,28
167,2,6:37.0,,S. Larkin misses 2-pt layup from 1 ft (block by J. Poeltl),33,28
168,2,6:37.0,,Offensive rebound by Team,33,28
169,2,6:37.0,,M. Smart enters the game for S. Larkin,33,28
170,2,6:33.0,,M. Morris misses 2-pt jump shot from 17 ft,33,28
171,2,6:33.0,,Offensive rebound by Team,33,28
172,2,6:33.0,,Turnover by Team (shot clock),33,28
173,2,6:22.0,D. DeRozan misses 2-pt jump shot from 14 ft,,33,28
174,2,6:11.0,Offensive rebound by J. Poeltl,,33,28
175,2,6:11.0,J. Poeltl makes 2-pt dunk at rim,,35,28
176,2,5:58.0,,J. Brown misses 2-pt jump shot from 3 ft,35,28
177,2,5:56.0,Defensive rebound by S. Ibaka,,35,28
178,2,5:46.0,D. DeRozan misses 2-pt layup from 2 ft,,35,28
179,2,5:44.0,,Defensive rebound by M. Smart,35,28
180,2,5:40.0,,T. Rozier makes 3-pt jump shot from 23 ft (assist by J. Brown),35,31
181,2,5:23.0,O. Anunoby misses 3-pt jump shot from 26 ft,,35,31
182,2,5:22.0,,Defensive rebound by Team,35,31
183,2,5:09.0,,M. Smart makes 2-pt layup at rim,35,33
184,2,5:02.0,Toronto full timeout,,35,33
185,2,5:02.0,J. Valančiūnas enters the game for J. Poeltl,,35,33
186,2,4:55.0,K. Lowry misses 3-pt jump shot from 26 ft,,35,33
187,2,4:51.0,,Defensive rebound by M. Smart,35,33
188,2,4:41.0,Violation by J. Valančiūnas (def goaltending),,35,33
189,2,4:41.0,,A. Horford makes 2-pt layup at rim (assist by M. Smart),35,35
