,QUARTER,TIME_REMAINING,ATLANTA_ACTION,GOLDEN STATE_ACTION,ATLANTA_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,,S. Curry misses 2-pt jump shot from 14 ft,0,0
1,1,11:41.0,Defensive rebound by D. Dedmon,,0,0
2,1,11:26.0,D. Schröder misses 2-pt jump shot from 10 ft,,0,0
3,1,11:23.0,,Defensive rebound by S. Curry,0,0
4,1,11:17.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),0,2
5,1,11:00.0,J. Collins misses 2-pt jump shot from 17 ft,,0,2
6,1,10:56.0,,Defensive rebound by Z. Pachulia,0,2
7,1,10:52.0,,P. McCaw misses 2-pt layup from 2 ft (block by T. Prince),0,2
8,1,10:46.0,Defensive rebound by D. Dedmon,,0,2
9,1,10:43.0,D. Lee misses 3-pt jump shot from 24 ft,,0,2
10,1,10:40.0,,Defensive rebound by Z. Pachulia,0,2
11,1,10:37.0,,S. Curry misses 3-pt jump shot from 29 ft,0,2
12,1,10:30.0,,Offensive rebound by J. Bell,0,2
13,1,10:28.0,,Turnover by J. Bell (bad pass; steal by D. Dedmon),0,2
14,1,10:24.0,D. Schröder makes 2-pt layup from 3 ft (assist by D. Dedmon),,2,2
15,1,10:24.0,,Golden State full timeout,2,2
16,1,10:24.0,,A. Iguodala enters the game for P. McCaw,2,2
17,1,10:04.0,,Personal foul by T. Prince (drawn by A. Iguodala),2,2
18,1,10:00.0,,N. Young misses 2-pt jump shot from 12 ft,2,2
19,1,9:56.0,Defensive rebound by D. Lee,,2,2
20,1,9:52.0,D. Dedmon makes 2-pt dunk from 2 ft (assist by D. Schröder),,4,2
21,1,9:31.0,,Z. Pachulia misses 2-pt layup from 2 ft (block by J. Collins),4,2
22,1,9:27.0,Defensive rebound by J. Collins,,4,2
23,1,9:11.0,D. Schröder makes 2-pt layup from 10 ft,,6,2
24,1,8:59.0,,J. Bell misses 2-pt layup from 2 ft,6,2
25,1,8:56.0,Defensive rebound by D. Dedmon,,6,2
26,1,8:54.0,D. Schröder misses 3-pt jump shot from 25 ft,,6,2
27,1,8:51.0,,Defensive rebound by Team,6,2
28,1,8:51.0,Loose ball foul by J. Collins (drawn by Z. Pachulia),,6,2
29,1,8:40.0,,S. Curry makes 2-pt jump shot from 17 ft,6,4
30,1,8:18.0,D. Dedmon misses 2-pt jump shot from 12 ft,,6,4
31,1,8:14.0,,Defensive rebound by S. Curry,6,4
32,1,8:09.0,,J. Bell misses 2-pt dunk from 4 ft,6,4
33,1,8:05.0,Defensive rebound by D. Lee,,6,4
34,1,8:03.0,T. Prince misses 3-pt jump shot from 27 ft,,6,4
35,1,7:59.0,Offensive rebound by D. Dedmon,,6,4
36,1,7:56.0,D. Schröder misses 3-pt jump shot from 27 ft,,6,4
37,1,7:53.0,,Defensive rebound by Z. Pachulia,6,4
38,1,7:48.0,,J. Bell makes 2-pt jump shot from 13 ft (assist by N. Young),6,6
39,1,7:26.0,D. Dedmon misses 3-pt jump shot from 26 ft,,6,6
40,1,7:23.0,,Defensive rebound by S. Curry,6,6
41,1,7:18.0,,Shooting foul by D. Dedmon (drawn by J. Bell),6,6
42,1,7:18.0,,J. Bell makes free throw 1 of 2,6,7
43,1,7:18.0,,J. Bell makes free throw 2 of 2,6,8
44,1,7:04.0,J. Collins makes 2-pt dunk from 2 ft (assist by D. Schröder),,8,8
45,1,6:47.0,,A. Iguodala misses 3-pt jump shot from 25 ft,8,8
46,1,6:44.0,Defensive rebound by D. Lee,,8,8
47,1,6:37.0,Personal foul by J. Bell (drawn by D. Schröder),,8,8
48,1,6:26.0,J. Collins makes 2-pt layup from 5 ft (assist by D. Schröder),,10,8
49,1,6:15.0,,S. Curry misses 3-pt jump shot from 25 ft,10,8
50,1,6:12.0,Defensive rebound by T. Prince,,10,8
51,1,6:06.0,T. Prince misses 2-pt jump shot from 19 ft,,10,8
52,1,6:02.0,,Defensive rebound by J. Bell,10,8
53,1,5:54.0,,N. Young misses 3-pt jump shot from 26 ft,10,8
54,1,5:48.0,,Offensive rebound by J. Bell,10,8
55,1,5:48.0,,J. Bell misses 2-pt layup at rim,10,8
56,1,5:46.0,Defensive rebound by T. Prince,,10,8
57,1,5:29.0,D. Schröder makes 2-pt layup from 2 ft,,12,8
58,1,5:17.0,,S. Curry misses 2-pt jump shot from 16 ft,12,8
59,1,5:14.0,,Offensive rebound by Z. Pachulia,12,8
60,1,5:14.0,,Z. Pachulia misses 2-pt layup from 1 ft (block by D. Dedmon),12,8
61,1,5:12.0,Defensive rebound by T. Prince,,12,8
62,1,4:59.0,T. Prince misses 3-pt jump shot from 23 ft,,12,8
63,1,4:56.0,,Defensive rebound by S. Curry,12,8
64,1,4:45.0,,N. Young makes 2-pt jump shot from 13 ft,12,10
65,1,4:42.0,Atlanta full timeout,,12,10
66,1,4:42.0,,J. McGee enters the game for J. Bell,12,10
67,1,4:42.0,,K. Looney enters the game for Z. Pachulia,12,10
68,1,4:42.0,M. Muscala enters the game for T. Prince,,12,10
69,1,4:42.0,T. Dorsey enters the game for J. Collins,,12,10
70,1,4:24.0,D. Schröder makes 2-pt jump shot from 17 ft,,14,10
71,1,4:03.0,,N. Young misses 2-pt jump shot from 12 ft,14,10
72,1,4:01.0,Defensive rebound by Team,,14,10
73,1,4:01.0,,Q. Cook enters the game for N. Young,14,10
74,1,4:01.0,T. Cavanaugh enters the game for D. Dedmon,,14,10
75,1,3:53.0,Personal foul by Q. Cook (drawn by T. Dorsey),,14,10
76,1,3:44.0,M. Muscala makes 2-pt layup from 2 ft (assist by D. Schröder),,16,10
77,1,3:32.0,,S. Curry misses 3-pt jump shot from 24 ft,16,10
78,1,3:29.0,Defensive rebound by D. Lee,,16,10
79,1,3:21.0,D. Schröder misses 3-pt jump shot from 27 ft,,16,10
80,1,3:15.0,Offensive rebound by T. Cavanaugh,,16,10
81,1,3:14.0,M. Muscala misses 3-pt jump shot from 27 ft,,16,10
82,1,3:11.0,,Defensive rebound by Q. Cook,16,10
83,1,3:03.0,,Turnover by Q. Cook (bad pass; steal by D. Schröder),16,10
84,1,2:55.0,Turnover by T. Dorsey (bad pass; steal by Q. Cook),,16,10
85,1,2:50.0,,Q. Cook makes 2-pt layup from 1 ft,16,12
86,1,2:29.0,D. Lee misses 2-pt jump shot from 12 ft,,16,12
87,1,2:23.0,,Defensive rebound by J. McGee,16,12
88,1,2:18.0,,J. McGee misses 2-pt jump shot from 5 ft (block by M. Muscala),16,12
89,1,2:18.0,Defensive rebound by Team,,16,12
90,1,2:18.0,,S. Livingston enters the game for S. Curry,16,12
91,1,2:18.0,A. White enters the game for D. Schröder,,16,12
92,1,2:18.0,I. Taylor enters the game for D. Lee,,16,12
93,1,2:03.0,T. Dorsey makes 2-pt layup from 3 ft,,18,12
94,1,1:47.0,,S. Livingston misses 2-pt jump shot from 11 ft,18,12
95,1,1:44.0,Defensive rebound by A. White,,18,12
96,1,1:34.0,A. White misses 2-pt jump shot from 18 ft,,18,12
97,1,1:32.0,,Defensive rebound by J. McGee,18,12
98,1,1:19.0,,A. Iguodala makes 2-pt jump shot from 9 ft,18,14
99,1,1:07.0,T. Dorsey misses 2-pt jump shot from 11 ft,,18,14
