,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,WASHINGTON_ACTION,LA LAKERS_SCORE,WASHINGTON_SCORE
0,1,11:53.0,,O. Porter makes 2-pt layup from 1 ft (assist by M. Morris),0,2
1,1,11:37.0,L. Ball makes 2-pt layup at rim (assist by B. Ingram),,2,2
2,1,11:10.0,,M. Morris makes 2-pt jump shot from 4 ft,2,4
3,1,10:57.0,B. Lopez misses 3-pt jump shot from 26 ft,,2,4
4,1,10:57.0,Offensive rebound by K. Kuzma,,2,4
5,1,10:52.0,K. Kuzma makes 2-pt layup from 1 ft,,4,4
6,1,10:35.0,,Turnover by B. Beal (out of bounds lost ball),4,4
7,1,10:25.0,K. Kuzma misses 2-pt jump shot from 12 ft,,4,4
8,1,10:21.0,,Defensive rebound by M. Morris,4,4
9,1,10:11.0,,B. Beal makes 2-pt jump shot from 13 ft (assist by O. Porter),4,6
10,1,10:03.0,L. Ball misses 2-pt jump shot from 19 ft,,4,6
11,1,9:59.0,,Defensive rebound by M. Morris,4,6
12,1,9:50.0,,O. Porter misses 2-pt jump shot from 16 ft,4,6
13,1,9:42.0,,Offensive rebound by M. Gortat,4,6
14,1,9:42.0,,M. Gortat makes 2-pt layup at rim,4,8
15,1,9:35.0,B. Lopez misses 2-pt layup from 13 ft,,4,8
16,1,9:35.0,,Defensive rebound by Team,4,8
17,1,9:35.0,Turnover by K. Kuzma (offensive goaltending),,4,8
18,1,9:25.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),4,11
19,1,9:21.0,LA Lakers full timeout,,4,11
20,1,9:10.0,K. Caldwell-Pope makes 2-pt jump shot from 17 ft (assist by L. Ball),,6,11
21,1,8:56.0,,Turnover by M. Gortat (bad pass; steal by L. Ball),6,11
22,1,8:53.0,Personal foul by M. Morris (drawn by L. Ball),,6,11
23,1,8:53.0,,K. Oubre enters the game for M. Morris,6,11
24,1,8:48.0,B. Lopez makes 2-pt layup from 1 ft (assist by L. Ball),,8,11
25,1,8:48.0,Shooting foul by O. Porter (drawn by B. Lopez),,8,11
26,1,8:48.0,B. Lopez makes free throw 1 of 1,,9,11
27,1,8:38.0,,K. Oubre misses 3-pt jump shot from 24 ft,9,11
28,1,8:33.0,Defensive rebound by B. Lopez,,9,11
29,1,8:30.0,K. Caldwell-Pope makes 2-pt layup at rim,,11,11
30,1,8:30.0,Shooting foul by B. Beal (drawn by K. Caldwell-Pope),,11,11
31,1,8:30.0,K. Caldwell-Pope makes free throw 1 of 1,,12,11
32,1,8:17.0,,B. Beal makes 2-pt jump shot from 9 ft,12,13
33,1,8:07.0,B. Lopez misses 2-pt jump shot from 9 ft,,12,13
34,1,8:03.0,,Defensive rebound by O. Porter,12,13
35,1,8:00.0,,Shooting foul by B. Lopez (drawn by J. Wall),12,13
36,1,8:00.0,,J. Wall makes free throw 1 of 2,12,14
37,1,8:00.0,,J. Wall makes free throw 2 of 2,12,15
38,1,7:47.0,B. Ingram misses 2-pt jump shot from 18 ft,,12,15
39,1,7:43.0,,Defensive rebound by B. Beal,12,15
40,1,7:28.0,,J. Wall makes 2-pt jump shot from 18 ft,12,17
41,1,7:23.0,Personal foul by K. Oubre (drawn by B. Ingram),,12,17
42,1,7:16.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,12,17
43,1,7:11.0,Offensive rebound by B. Ingram,,12,17
44,1,7:06.0,K. Kuzma misses 3-pt jump shot from 23 ft,,12,17
45,1,6:56.0,Offensive rebound by L. Ball,,12,17
46,1,6:56.0,L. Ball makes 2-pt layup at rim,,14,17
47,1,6:47.0,,K. Oubre misses 2-pt jump shot from 3 ft,14,17
48,1,6:42.0,Defensive rebound by B. Ingram,,14,17
49,1,6:38.0,K. Kuzma misses 2-pt jump shot from 15 ft,,14,17
50,1,6:38.0,,Defensive rebound by J. Wall,14,17
51,1,6:31.0,,K. Oubre makes 2-pt layup from 1 ft (assist by J. Wall),14,19
52,1,6:15.0,B. Lopez makes 2-pt layup at rim (assist by K. Caldwell-Pope),,16,19
53,1,5:58.0,,J. Wall misses 2-pt layup from 4 ft,16,19
54,1,5:58.0,Defensive rebound by L. Ball,,16,19
55,1,5:53.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by L. Ball),,18,19
56,1,5:51.0,,Washington full timeout,18,19
57,1,5:31.0,,B. Beal misses 2-pt jump shot from 9 ft,18,19
58,1,5:27.0,Defensive rebound by B. Lopez,,18,19
59,1,5:27.0,Offensive foul by L. Ball (drawn by B. Beal),,18,19
60,1,5:27.0,Turnover by L. Ball (offensive foul),,18,19
61,1,5:12.0,,J. Wall misses 2-pt jump shot from 18 ft,18,19
62,1,5:08.0,Defensive rebound by K. Caldwell-Pope,,18,19
63,1,4:51.0,K. Kuzma makes 2-pt layup from 1 ft (assist by L. Ball),,20,19
64,1,4:30.0,,B. Beal misses 2-pt layup from 3 ft,20,19
65,1,4:30.0,Defensive rebound by Team,,20,19
66,1,4:30.0,J. Clarkson enters the game for K. Kuzma,,20,19
67,1,4:22.0,Shooting foul by M. Gortat (drawn by B. Lopez),,20,19
68,1,4:22.0,B. Lopez makes free throw 1 of 2,,21,19
69,1,4:22.0,B. Lopez makes free throw 2 of 2,,22,19
70,1,4:11.0,,O. Porter misses 3-pt jump shot from 23 ft,22,19
71,1,4:07.0,Defensive rebound by L. Ball,,22,19
72,1,4:04.0,J. Clarkson misses 2-pt layup from 3 ft (block by J. Wall),,22,19
73,1,4:04.0,L. Ball misses 2-pt layup from 1 ft,,22,19
74,1,4:04.0,Offensive rebound by L. Ball,,22,19
75,1,4:04.0,Offensive rebound by L. Ball,,22,19
76,1,4:04.0,Turnover by L. Ball (bad pass; steal by O. Porter),,22,19
77,1,3:49.0,,J. Wall misses 2-pt layup from 2 ft,22,19
78,1,3:49.0,,Offensive rebound by O. Porter,22,19
79,1,3:44.0,,O. Porter makes 2-pt layup from 1 ft,22,21
80,1,3:35.0,Turnover by B. Lopez (traveling),,22,21
81,1,3:35.0,C. Brewer enters the game for B. Ingram,,22,21
82,1,3:19.0,,O. Porter makes 2-pt layup at rim (assist by B. Beal),22,23
83,1,3:19.0,,Shooting foul by C. Brewer (drawn by O. Porter),22,23
84,1,3:19.0,,O. Porter makes free throw 1 of 1,22,24
85,1,2:57.0,C. Brewer misses 3-pt jump shot from 23 ft,,22,24
86,1,2:52.0,,Defensive rebound by K. Oubre,22,24
87,1,2:46.0,,O. Porter makes 2-pt jump shot from 7 ft (assist by B. Beal),22,26
88,1,2:34.0,C. Brewer makes 2-pt dunk from 1 ft,,24,26
89,1,2:20.0,,J. Wall makes 2-pt dunk at rim,24,28
90,1,2:12.0,C. Brewer misses 2-pt layup from 2 ft,,24,28
91,1,2:12.0,,Defensive rebound by O. Porter,24,28
92,1,2:06.0,,O. Porter misses 2-pt layup from 1 ft,24,28
93,1,2:05.0,,Offensive rebound by K. Oubre,24,28
94,1,2:05.0,,Shooting foul by J. Clarkson (drawn by K. Oubre),24,28
95,1,2:05.0,,K. Oubre makes free throw 1 of 2,24,29
96,1,2:05.0,,T. Frazier enters the game for J. Wall,24,29
97,1,2:05.0,J. Randle enters the game for L. Ball,,24,29
98,1,2:05.0,J. Hart enters the game for B. Lopez,,24,29
99,1,2:05.0,,K. Oubre makes free throw 2 of 2,24,30
100,1,1:51.0,J. Clarkson makes 2-pt layup from 1 ft (assist by J. Randle),,26,30
101,1,1:36.0,,M. Gortat makes 2-pt hook shot from 7 ft,26,32
102,1,1:17.0,J. Clarkson makes 3-pt jump shot from 22 ft (assist by J. Hart),,29,32
103,1,1:06.0,,Turnover by O. Porter (traveling),29,32
104,1,0:53.0,Personal foul by K. Oubre (drawn by J. Clarkson),,29,32
105,1,0:53.0,J. Clarkson makes free throw 1 of 2,,30,32
106,1,0:53.0,,J. Meeks enters the game for K. Oubre,30,32
107,1,0:53.0,J. Clarkson misses free throw 2 of 2,,30,32
108,1,0:50.0,,Defensive rebound by B. Beal,30,32
109,1,0:38.0,,B. Beal makes 2-pt layup at rim,30,34
110,1,0:38.0,,Shooting foul by J. Randle (drawn by B. Beal),30,34
111,1,0:38.0,,B. Beal makes free throw 1 of 1,30,35
112,1,0:28.0,J. Randle makes 2-pt layup from 1 ft,,32,35
113,1,0:06.0,,B. Beal makes 2-pt layup from 1 ft,32,37
114,1,0:01.0,J. Clarkson makes 2-pt layup from 1 ft,,34,37
115,2,11:41.0,Turnover by J. Randle (out of bounds lost ball),,34,37
116,2,11:38.0,,Turnover by T. Frazier (bad pass),34,37
117,2,11:19.0,Turnover by J. Randle (lost ball; steal by T. Frazier),,34,37
118,2,11:10.0,,O. Porter makes 2-pt jump shot from 11 ft,34,39
119,2,11:01.0,Offensive foul by K. Kuzma (drawn by T. Frazier),,34,39
120,2,11:01.0,Turnover by K. Kuzma (offensive foul),,34,39
121,2,10:41.0,,M. Scott makes 2-pt jump shot from 3 ft (assist by T. Frazier),34,41
122,2,10:39.0,LA Lakers full timeout,,34,41
123,2,10:22.0,K. Kuzma makes 2-pt jump shot from 21 ft,,36,41
124,2,10:11.0,,Offensive foul by I. Mahinmi (drawn by J. Hart),36,41
125,2,10:11.0,,Turnover by I. Mahinmi (offensive foul),36,41
126,2,10:02.0,J. Hart misses 2-pt jump shot from 15 ft,,36,41
127,2,9:59.0,,Defensive rebound by O. Porter,36,41
128,2,9:53.0,,T. Frazier makes 2-pt jump shot from 10 ft (assist by O. Porter),36,43
129,2,9:32.0,K. Kuzma misses 2-pt jump shot from 12 ft,,36,43
130,2,9:29.0,,Defensive rebound by O. Porter,36,43
131,2,9:16.0,,O. Porter misses 2-pt jump shot from 22 ft,36,43
132,2,9:11.0,Defensive rebound by K. Kuzma,,36,43
133,2,9:08.0,Shooting foul by I. Mahinmi (drawn by J. Clarkson),,36,43
134,2,9:08.0,J. Clarkson makes free throw 1 of 2,,37,43
135,2,9:08.0,,B. Beal enters the game for O. Porter,37,43
136,2,9:08.0,J. Clarkson makes free throw 2 of 2,,38,43
137,2,8:50.0,,T. Frazier makes 3-pt jump shot from 24 ft (assist by M. Scott),38,46
138,2,8:33.0,J. Clarkson makes 3-pt jump shot from 26 ft (assist by K. Kuzma),,41,46
139,2,8:19.0,B. Ingram enters the game for C. Brewer,,41,46
140,2,8:07.0,,M. Scott makes 2-pt layup at rim (assist by T. Frazier),41,48
141,2,7:39.0,J. Hart misses 3-pt jump shot from 26 ft,,41,48
142,2,7:34.0,Offensive rebound by K. Kuzma,,41,48
143,2,7:33.0,K. Kuzma misses 2-pt hook shot from 10 ft,,41,48
144,2,7:33.0,,Defensive rebound by M. Scott,41,48
145,2,7:27.0,,Shooting foul by J. Randle (drawn by I. Mahinmi),41,48
146,2,7:27.0,L. Ball enters the game for J. Hart,,41,48
147,2,7:27.0,,I. Mahinmi makes free throw 1 of 1,41,52
148,2,7:26.0,,B. Beal makes 3-pt jump shot from 24 ft (assist by T. Frazier),41,51
149,2,7:21.0,Offensive foul by K. Kuzma (drawn by T. Frazier),,41,51
150,2,7:21.0,Turnover by K. Kuzma (offensive foul),,41,51
151,2,7:11.0,,B. Beal misses 2-pt jump shot from 12 ft,41,51
152,2,7:07.0,Defensive rebound by J. Clarkson,,41,51
153,2,7:00.0,L. Ball misses 3-pt jump shot from 26 ft,,41,51
154,2,6:56.0,,Defensive rebound by I. Mahinmi,41,51
