,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:49.0,,M. Gortat makes 2-pt jump shot from 5 ft (assist by O. Porter),0,2
1,1,11:49.0,,Shooting foul by N. Vučević (drawn by M. Gortat),0,2
2,1,11:49.0,,M. Gortat makes free throw 1 of 1,0,3
3,1,11:27.0,J. Simmons misses 3-pt jump shot from 26 ft,,0,3
4,1,11:23.0,,Defensive rebound by B. Beal,0,3
5,1,11:09.0,,Turnover by J. Wall (bad pass),0,3
6,1,10:46.0,M. Hezonja makes 2-pt jump shot from 20 ft,,2,3
7,1,10:33.0,,M. Morris makes 2-pt jump shot from 8 ft,2,5
8,1,10:24.0,W. Iwundu misses 2-pt layup from 6 ft (block by O. Porter),,2,5
9,1,10:22.0,,Defensive rebound by J. Wall,2,5
10,1,10:19.0,,O. Porter misses 3-pt jump shot from 26 ft,2,5
11,1,10:15.0,,Offensive rebound by M. Gortat,2,5
12,1,10:14.0,,J. Wall misses 3-pt jump shot from 24 ft,2,5
13,1,10:14.0,Defensive rebound by W. Iwundu,,2,5
14,1,10:10.0,,Technical foul by M. Morris,2,5
15,1,10:10.0,N. Vučević misses technical free throw,,2,5
16,1,10:10.0,Offensive rebound by Team,,2,5
17,1,10:03.0,Personal foul by M. Gortat (drawn by E. Payton),,2,5
18,1,9:54.0,N. Vučević misses 2-pt jump shot from 16 ft,,2,5
19,1,9:52.0,,Defensive rebound by J. Wall,2,5
20,1,9:41.0,,M. Morris makes 2-pt dunk from 1 ft (assist by J. Wall),2,7
21,1,9:25.0,J. Simmons makes 3-pt jump shot from 23 ft (assist by E. Payton),,5,7
22,1,9:13.0,,Personal foul by W. Iwundu (drawn by M. Morris),5,7
23,1,9:09.0,,Shooting foul by J. Simmons (drawn by B. Beal),5,7
24,1,9:09.0,,B. Beal makes free throw 1 of 2,5,8
25,1,9:09.0,,B. Beal makes free throw 2 of 2,5,9
26,1,8:59.0,M. Hezonja makes 2-pt dunk from 1 ft (assist by E. Payton),,7,9
27,1,8:41.0,,Offensive foul by M. Gortat (drawn by W. Iwundu),7,9
28,1,8:41.0,,Turnover by M. Gortat (offensive foul),7,9
29,1,8:41.0,,I. Mahinmi enters the game for M. Gortat,7,9
30,1,8:22.0,Turnover by N. Vučević (bad pass; steal by O. Porter),,7,9
31,1,8:17.0,,O. Porter makes 2-pt layup at rim (assist by J. Wall),7,11
32,1,8:04.0,J. Simmons makes 2-pt jump shot from 13 ft,,9,11
33,1,7:54.0,,M. Morris makes 2-pt jump shot from 5 ft (assist by J. Wall),9,13
34,1,7:41.0,J. Simmons makes 2-pt hook shot from 10 ft (assist by N. Vučević),,11,13
35,1,7:27.0,,I. Mahinmi makes 2-pt jump shot from 6 ft (assist by M. Morris),11,15
36,1,7:02.0,Orlando full timeout,,11,15
37,1,7:02.0,,Technical foul by J. Wall,11,15
38,1,7:02.0,N. Vučević makes technical free throw,,12,15
39,1,6:57.0,Orlando full timeout,,12,15
40,1,6:57.0,B. Biyombo enters the game for N. Vučević,,12,15
41,1,6:51.0,Turnover by J. Simmons (lost ball; steal by I. Mahinmi),,12,15
42,1,6:46.0,,Turnover by I. Mahinmi (bad pass; steal by M. Hezonja),12,15
43,1,6:38.0,J. Simmons makes 2-pt jump shot from 18 ft,,14,15
44,1,6:17.0,,Personal foul by B. Biyombo (drawn by I. Mahinmi),14,15
45,1,6:07.0,,O. Porter misses 2-pt jump shot from 19 ft,14,15
46,1,6:06.0,,Offensive rebound by Team,14,15
47,1,6:06.0,,Personal foul by W. Iwundu (drawn by M. Morris),14,15
48,1,6:06.0,,M. Morris makes free throw 1 of 2,14,16
49,1,6:06.0,A. Afflalo enters the game for W. Iwundu,,14,16
50,1,6:06.0,,M. Morris makes free throw 2 of 2,14,17
51,1,5:59.0,J. Simmons makes 2-pt jump shot from 18 ft,,16,17
52,1,5:38.0,,J. Wall misses 2-pt jump shot from 8 ft,16,17
53,1,5:35.0,,Offensive rebound by I. Mahinmi,16,17
54,1,5:34.0,,I. Mahinmi makes 2-pt layup from 1 ft,16,19
55,1,5:24.0,E. Payton makes 2-pt layup from 1 ft,,18,19
56,1,5:13.0,,J. Wall misses 2-pt layup from 1 ft,18,19
57,1,5:12.0,Defensive rebound by M. Hezonja,,18,19
58,1,5:06.0,M. Hezonja makes 2-pt jump shot from 23 ft,,20,19
59,1,4:53.0,,Personal foul by M. Hezonja (drawn by M. Morris),20,19
60,1,4:53.0,,M. Morris misses free throw 1 of 2,20,19
