,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:45.0,,Shooting foul by M. Hezonja (drawn by L. Markkanen),0,0
1,1,11:45.0,,L. Markkanen makes free throw 1 of 2,0,1
2,1,11:45.0,,L. Markkanen makes free throw 2 of 2,0,2
3,1,11:26.0,Turnover by N. Vučević (bad pass),,0,2
4,1,11:13.0,,L. Markkanen makes 2-pt jump shot from 13 ft (assist by R. Lopez),0,4
5,1,10:57.0,N. Vučević misses 2-pt jump shot from 12 ft,,0,4
6,1,10:54.0,,Defensive rebound by L. Markkanen,0,4
7,1,10:42.0,,D. Valentine makes 3-pt jump shot from 22 ft (assist by J. Holiday),0,7
8,1,10:30.0,N. Vučević misses 3-pt jump shot from 25 ft,,0,7
9,1,10:24.0,,Defensive rebound by K. Dunn,0,7
10,1,10:15.0,,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),0,9
11,1,10:15.0,Orlando full timeout,,0,9
12,1,9:56.0,N. Vučević misses 2-pt jump shot from 16 ft,,0,9
13,1,9:53.0,,Defensive rebound by D. Valentine,0,9
14,1,9:44.0,,D. Valentine makes 3-pt jump shot from 22 ft (assist by K. Dunn),0,12
15,1,9:25.0,M. Hezonja misses 2-pt layup from 2 ft,,0,12
16,1,9:23.0,,Defensive rebound by D. Valentine,0,12
17,1,9:18.0,,L. Markkanen misses 3-pt jump shot from 25 ft,0,12
18,1,9:15.0,Defensive rebound by M. Hezonja,,0,12
19,1,9:03.0,M. Hezonja makes 2-pt layup from 2 ft (assist by N. Vučević),,2,12
20,1,9:03.0,Shooting foul by J. Holiday (drawn by M. Hezonja),,2,12
21,1,9:03.0,M. Hezonja makes free throw 1 of 1,,3,12
22,1,8:53.0,,Personal foul by W. Iwundu (drawn by L. Markkanen),3,12
23,1,8:37.0,,R. Lopez makes 2-pt layup from 2 ft (assist by K. Dunn),3,14
24,1,8:29.0,W. Iwundu makes 2-pt layup at rim (assist by E. Payton),,5,14
25,1,8:18.0,,J. Holiday misses 3-pt jump shot from 25 ft,5,14
26,1,8:16.0,,Offensive rebound by D. Valentine,5,14
27,1,8:14.0,,L. Markkanen misses 3-pt jump shot from 24 ft,5,14
28,1,8:11.0,Defensive rebound by E. Payton,,5,14
29,1,8:03.0,N. Vučević misses 2-pt jump shot from 10 ft,,5,14
30,1,7:59.0,,Defensive rebound by J. Holiday,5,14
31,1,7:51.0,,K. Dunn misses 2-pt jump shot from 18 ft,5,14
32,1,7:44.0,,Offensive rebound by L. Markkanen,5,14
33,1,7:44.0,,L. Markkanen misses 2-pt layup at rim,5,14
34,1,7:38.0,Defensive rebound by J. Simmons,,5,14
35,1,7:38.0,E. Payton misses 3-pt jump shot from 23 ft,,5,14
36,1,7:35.0,,Defensive rebound by L. Markkanen,5,14
37,1,7:21.0,,L. Markkanen misses 3-pt jump shot from 23 ft,5,14
38,1,7:18.0,Defensive rebound by W. Iwundu,,5,14
39,1,7:13.0,J. Simmons misses 2-pt layup from 5 ft (block by K. Dunn),,5,14
40,1,7:09.0,Offensive rebound by J. Simmons,,5,14
41,1,7:07.0,J. Simmons misses 3-pt jump shot from 23 ft,,5,14
42,1,7:07.0,,Defensive rebound by D. Valentine,5,14
43,1,6:59.0,,Shooting foul by N. Vučević (drawn by D. Valentine),5,14
44,1,6:59.0,,D. Valentine makes free throw 1 of 2,5,15
45,1,6:59.0,,D. Valentine misses free throw 2 of 2,5,15
46,1,6:56.0,Defensive rebound by M. Hezonja,,5,15
47,1,6:45.0,N. Vučević makes 2-pt hook shot from 5 ft,,7,15
48,1,6:24.0,,R. Lopez makes 2-pt hook shot from 8 ft,7,17
49,1,6:17.0,Personal foul by D. Valentine (drawn by N. Vučević),,7,17
50,1,6:11.0,N. Vučević makes 2-pt layup from 3 ft,,9,17
51,1,5:47.0,,R. Lopez makes 2-pt layup from 2 ft (assist by D. Valentine),9,19
52,1,5:38.0,N. Vučević misses 3-pt jump shot from 26 ft,,9,19
53,1,5:35.0,Offensive rebound by E. Payton,,9,19
54,1,5:34.0,,N. Mirotić enters the game for L. Markkanen,9,19
55,1,5:26.0,E. Payton misses 2-pt layup from 2 ft,,9,19
56,1,5:24.0,,Defensive rebound by R. Lopez,9,19
57,1,5:05.0,,N. Mirotić misses 2-pt jump shot from 18 ft,9,19
58,1,5:02.0,Defensive rebound by N. Vučević,,9,19
59,1,4:51.0,Def 3 sec tech foul by D. Valentine,,9,19
60,1,4:51.0,N. Vučević makes technical free throw,,10,19
61,1,4:51.0,J. Isaac enters the game for M. Hezonja,,10,19
62,1,4:51.0,D. Augustin enters the game for W. Iwundu,,10,19
63,1,4:45.0,N. Vučević misses 2-pt jump shot from 11 ft,,10,19
64,1,4:43.0,,Defensive rebound by Team,10,19
65,1,4:28.0,,K. Dunn makes 2-pt layup from 1 ft,10,21
66,1,4:28.0,Orlando full timeout,,10,21
67,1,4:10.0,Shooting foul by K. Dunn (drawn by J. Simmons),,10,21
68,1,4:10.0,J. Simmons makes free throw 1 of 2,,11,21
69,1,4:10.0,J. Simmons makes free throw 2 of 2,,12,21
70,1,3:55.0,,K. Dunn makes 2-pt jump shot from 16 ft (assist by J. Holiday),12,23
71,1,3:33.0,Personal foul by K. Dunn (drawn by J. Isaac),,12,23
72,1,3:33.0,,D. Nwaba enters the game for K. Dunn,12,23
73,1,3:33.0,,J. Grant enters the game for D. Valentine,12,23
74,1,3:28.0,E. Payton makes 2-pt layup from 1 ft (assist by N. Vučević),,14,23
75,1,3:09.0,,N. Mirotić misses 3-pt jump shot from 25 ft,14,23
76,1,3:07.0,Defensive rebound by N. Vučević,,14,23
77,1,3:03.0,J. Isaac makes 2-pt layup at rim (assist by E. Payton),,16,23
78,1,2:53.0,,J. Grant makes 2-pt jump shot from 19 ft,16,25
79,1,2:31.0,E. Payton misses 2-pt layup from 2 ft (block by R. Lopez),,16,25
80,1,2:31.0,Offensive rebound by E. Payton,,16,25
81,1,2:26.0,D. Augustin makes 3-pt jump shot from 22 ft (assist by E. Payton),,19,25
82,1,2:18.0,,Turnover by J. Grant (lost ball; steal by E. Payton),19,25
83,1,2:16.0,N. Vučević makes 2-pt layup at rim (assist by E. Payton),,21,25
84,1,2:16.0,,Chicago full timeout,21,25
85,1,1:55.0,,N. Mirotić misses 3-pt jump shot from 24 ft,21,25
86,1,1:51.0,Defensive rebound by J. Simmons,,21,25
87,1,1:49.0,,Violation by D. Nwaba (kicked ball),21,25
88,1,1:29.0,D. Augustin misses 2-pt layup from 1 ft,,21,25
89,1,1:27.0,,Defensive rebound by N. Mirotić,21,25
90,1,1:20.0,,Personal foul by E. Payton (drawn by J. Grant),21,25
91,1,1:20.0,S. Mack enters the game for E. Payton,,21,25
92,1,1:20.0,A. Afflalo enters the game for N. Vučević,,21,25
93,1,1:20.0,B. Biyombo enters the game for J. Simmons,,21,25
94,1,1:02.0,,N. Mirotić misses 2-pt jump shot from 5 ft,21,25
95,1,1:00.0,Defensive rebound by S. Mack,,21,25
96,1,0:54.0,Shooting foul by R. Lopez (drawn by B. Biyombo),,21,25
97,1,0:54.0,B. Biyombo makes free throw 1 of 2,,22,25
98,1,0:54.0,,B. Portis enters the game for R. Lopez,22,25
99,1,0:54.0,B. Biyombo misses free throw 2 of 2,,22,25
100,1,0:52.0,,Defensive rebound by N. Mirotić,22,25
101,1,0:41.0,,J. Holiday misses 2-pt jump shot from 18 ft,22,25
102,1,0:40.0,Defensive rebound by Team,,22,25
103,1,0:31.0,Personal foul by J. Grant (drawn by D. Augustin),,22,25
104,1,0:31.0,D. Augustin makes free throw 1 of 2,,23,25
105,1,0:31.0,D. Augustin makes free throw 2 of 2,,24,25
106,1,0:14.0,,B. Portis makes 3-pt jump shot from 24 ft (assist by J. Holiday),24,28
107,1,0:06.0,Turnover by D. Augustin (out of bounds lost ball),,24,28
108,1,0:01.0,,J. Grant makes 2-pt layup from 1 ft,24,30
109,1,0:01.0,,Shooting foul by S. Mack (drawn by J. Grant),24,30
110,1,0:01.0,,P. Zipser enters the game for J. Holiday,24,30
111,1,0:01.0,,J. Grant makes free throw 1 of 1,24,31
112,1,0:00.0,A. Afflalo misses 3-pt jump shot from 27 ft,,24,31
113,1,0:00.0,Offensive rebound by Team,,24,31
114,2,11:36.0,A. Afflalo misses 3-pt jump shot from 25 ft,,24,31
115,2,11:33.0,,Defensive rebound by N. Mirotić,24,31
116,2,11:24.0,,B. Portis misses 3-pt jump shot from 24 ft,24,31
117,2,11:24.0,,Offensive rebound by Team,24,31
118,2,11:24.0,Loose ball foul by D. Augustin (drawn by D. Nwaba),,24,31
119,2,11:13.0,,J. Grant makes 2-pt jump shot from 21 ft,24,33
120,2,11:04.0,S. Mack misses 2-pt jump shot from 22 ft,,24,33
121,2,11:01.0,,Defensive rebound by N. Mirotić,24,33
122,2,10:43.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by B. Portis),24,35
123,2,10:25.0,J. Isaac misses 3-pt jump shot from 26 ft,,24,35
124,2,10:22.0,,Defensive rebound by B. Portis,24,35
125,2,10:16.0,,B. Portis makes 3-pt jump shot from 26 ft (assist by D. Nwaba),24,38
126,2,10:15.0,Orlando full timeout,,24,38
127,2,9:59.0,D. Augustin makes 3-pt jump shot from 26 ft,,27,38
128,2,9:39.0,,N. Mirotić makes 3-pt jump shot from 23 ft (assist by B. Portis),27,41
129,2,9:14.0,S. Mack misses 2-pt jump shot from 7 ft,,27,41
130,2,9:12.0,,Defensive rebound by D. Nwaba,27,41
131,2,9:05.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by D. Nwaba),27,43
132,2,8:58.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by J. Isaac),,30,43
133,2,8:44.0,,J. Grant makes 2-pt dunk at rim,30,45
134,2,8:22.0,Shooting foul by D. Nwaba (drawn by S. Mack),,30,45
135,2,8:22.0,S. Mack makes free throw 1 of 2,,31,45
136,2,8:22.0,J. Simmons enters the game for A. Afflalo,,31,45
137,2,8:22.0,N. Vučević enters the game for B. Biyombo,,31,45
138,2,8:22.0,S. Mack makes free throw 2 of 2,,32,45
139,2,8:12.0,,B. Portis misses 3-pt jump shot from 24 ft,32,45
140,2,8:08.0,Defensive rebound by S. Mack,,32,45
141,2,8:07.0,Turnover by S. Mack (lost ball; steal by D. Nwaba),,32,45
142,2,8:07.0,Offensive charge foul by D. Nwaba (drawn by D. Augustin),,32,45
143,2,8:07.0,,Turnover by D. Nwaba (offensive foul),32,45
144,2,8:07.0,E. Payton enters the game for S. Mack,,32,45
145,2,7:50.0,J. Isaac makes 2-pt layup from 1 ft (assist by N. Vučević),,34,45
146,2,7:33.0,Violation by D. Augustin (kicked ball),,34,45
147,2,7:17.0,,N. Mirotić misses 3-pt jump shot from 26 ft,34,45
148,2,7:15.0,,Offensive rebound by P. Zipser,34,45
149,2,7:13.0,,P. Zipser misses 2-pt layup from 3 ft,34,45
150,2,7:13.0,Defensive rebound by N. Vučević,,34,45
151,2,7:05.0,Personal foul by D. Nwaba (drawn by J. Isaac),,34,45
152,2,7:05.0,,D. Valentine enters the game for D. Nwaba,34,45
153,2,7:05.0,,L. Markkanen enters the game for N. Mirotić,34,45
154,2,7:05.0,M. Hezonja enters the game for J. Isaac,,34,45
155,2,6:54.0,J. Simmons misses 2-pt layup from 1 ft,,34,45
156,2,6:52.0,,Defensive rebound by B. Portis,34,45
157,2,6:48.0,,Personal foul by M. Hezonja (drawn by L. Markkanen),34,45
158,2,6:38.0,,B. Portis makes 2-pt layup from 2 ft (assist by J. Grant),34,47
159,2,6:22.0,N. Vučević misses 2-pt layup from 3 ft,,34,47
160,2,6:20.0,,Defensive rebound by D. Valentine,34,47
161,2,6:13.0,,B. Portis makes 2-pt layup from 4 ft (assist by D. Valentine),34,49
162,2,6:02.0,M. Hezonja misses 3-pt jump shot from 26 ft,,34,49
163,2,6:02.0,,Defensive rebound by P. Zipser,34,49
164,2,5:54.0,,Offensive foul by P. Zipser (drawn by E. Payton),34,49
165,2,5:54.0,,Turnover by P. Zipser (offensive foul),34,49
166,2,5:54.0,,K. Dunn enters the game for J. Grant,34,49
167,2,5:37.0,Turnover by N. Vučević (bad pass; steal by K. Dunn),,34,49
168,2,5:30.0,,D. Valentine misses 2-pt jump shot from 18 ft,34,49
169,2,5:28.0,Defensive rebound by J. Simmons,,34,49
170,2,5:14.0,E. Payton makes 2-pt layup from 1 ft,,36,49
171,2,5:03.0,,K. Dunn misses 3-pt jump shot from 22 ft,36,49
172,2,5:00.0,Defensive rebound by E. Payton,,36,49
173,2,4:53.0,E. Payton makes 2-pt layup at rim,,38,49
174,2,4:53.0,Shooting foul by L. Markkanen (drawn by E. Payton),,38,49
175,2,4:53.0,,R. Lopez enters the game for B. Portis,38,49
176,2,4:53.0,,J. Holiday enters the game for P. Zipser,38,49
177,2,4:53.0,E. Payton misses free throw 1 of 1,,38,49
178,2,4:50.0,,Defensive rebound by L. Markkanen,38,49
179,2,4:36.0,,Personal foul by N. Vučević (drawn by L. Markkanen),38,49
180,2,4:30.0,,D. Valentine misses 3-pt jump shot from 24 ft,38,49
181,2,4:28.0,,Offensive rebound by R. Lopez,38,49
182,2,4:22.0,,Turnover by D. Valentine (bad pass; steal by D. Augustin),38,49
183,2,4:16.0,M. Hezonja misses 3-pt jump shot from 25 ft,,38,49
184,2,4:12.0,,Defensive rebound by K. Dunn,38,49
185,2,4:11.0,,Turnover by K. Dunn (lost ball; steal by D. Augustin),38,49
186,2,4:07.0,N. Vučević misses 3-pt jump shot from 25 ft,,38,49
187,2,4:07.0,Offensive rebound by Team,,38,49
188,2,4:07.0,,Loose ball foul by L. Markkanen (drawn by M. Hezonja),38,49
189,2,4:02.0,E. Payton makes 2-pt layup from 1 ft,,40,49
190,2,4:02.0,,Chicago full timeout,40,49
191,2,3:48.0,,D. Valentine makes 3-pt jump shot from 23 ft (assist by K. Dunn),40,52
192,2,3:27.0,D. Augustin misses 3-pt jump shot from 24 ft,,40,52
193,2,3:25.0,,Defensive rebound by R. Lopez,40,52
194,2,3:10.0,,R. Lopez misses 2-pt jump shot from 19 ft,40,52
195,2,3:07.0,Defensive rebound by E. Payton,,40,52
196,2,2:58.0,N. Vučević makes 2-pt jump shot from 6 ft (assist by E. Payton),,42,52
197,2,2:34.0,,L. Markkanen misses 2-pt layup from 5 ft,42,52
198,2,2:32.0,Defensive rebound by N. Vučević,,42,52
199,2,2:28.0,M. Hezonja makes 2-pt layup from 1 ft (assist by E. Payton),,44,52
200,2,2:20.0,,J. Holiday makes 2-pt jump shot from 21 ft,44,54
201,2,2:06.0,E. Payton makes 2-pt layup from 1 ft,,46,54
202,2,1:50.0,,K. Dunn misses 2-pt jump shot from 11 ft,46,54
203,2,1:44.0,Defensive rebound by E. Payton,,46,54
204,2,1:34.0,N. Vučević makes 2-pt layup from 1 ft (assist by E. Payton),,48,54
205,2,1:18.0,,Turnover by K. Dunn (bad pass),48,54
206,2,1:18.0,,J. Grant enters the game for L. Markkanen,48,54
207,2,1:18.0,,N. Mirotić enters the game for K. Dunn,48,54
208,2,0:57.0,M. Hezonja misses 3-pt jump shot from 26 ft,,48,54
209,2,0:57.0,,Defensive rebound by Team,48,54
210,2,0:57.0,B. Biyombo enters the game for N. Vučević,,48,54
211,2,0:51.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Grant),48,57
212,2,0:40.0,J. Simmons misses 2-pt layup from 5 ft,,48,57
213,2,0:36.0,,Defensive rebound by D. Valentine,48,57
214,2,0:16.0,,J. Grant makes 2-pt layup at rim,48,59
215,2,0:02.0,J. Simmons misses 2-pt jump shot from 9 ft,,48,59
216,2,0:02.0,,Defensive rebound by N. Mirotić,48,59
217,3,11:47.0,J. Simmons makes 2-pt layup from 1 ft,,50,59
218,3,11:36.0,,Personal foul by M. Hezonja (drawn by L. Markkanen),50,59
219,3,11:32.0,,Shooting foul by E. Payton (drawn by K. Dunn),50,59
220,3,11:32.0,,K. Dunn makes free throw 1 of 2,50,60
221,3,11:32.0,,K. Dunn makes free throw 2 of 2,50,61
222,3,11:12.0,J. Simmons makes 2-pt jump shot from 20 ft (assist by N. Vučević),,52,61
223,3,10:55.0,,D. Valentine makes 2-pt layup from 1 ft (assist by K. Dunn),52,63
224,3,10:44.0,W. Iwundu misses 3-pt jump shot from 25 ft,,52,63
225,3,10:41.0,,Defensive rebound by K. Dunn,52,63
226,3,10:35.0,,K. Dunn misses 3-pt jump shot from 25 ft,52,63
227,3,10:34.0,Defensive rebound by Team,,52,63
228,3,10:16.0,N. Vučević misses 2-pt jump shot from 13 ft,,52,63
229,3,10:14.0,,Defensive rebound by K. Dunn,52,63
230,3,10:05.0,,R. Lopez makes 2-pt layup from 3 ft (assist by K. Dunn),52,65
231,3,9:53.0,E. Payton misses 2-pt layup from 3 ft (block by R. Lopez),,52,65
232,3,9:53.0,Offensive rebound by Team,,52,65
233,3,9:51.0,Turnover by J. Simmons (bad pass; steal by K. Dunn),,52,65
234,3,9:40.0,,L. Markkanen makes 2-pt jump shot from 14 ft (assist by K. Dunn),52,67
235,3,9:38.0,Orlando full timeout,,52,67
236,3,9:15.0,N. Vučević misses 2-pt jump shot from 20 ft,,52,67
237,3,9:12.0,,Defensive rebound by D. Valentine,52,67
238,3,9:02.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. Valentine),52,70
239,3,8:46.0,N. Vučević misses 3-pt jump shot from 26 ft,,52,70
240,3,8:43.0,,Defensive rebound by D. Valentine,52,70
