,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
0,1,11:38.0,C. Capela makes 2-pt hook shot from 1 ft (assist by L. Mbah a Moute),,2,0
1,1,11:26.0,,Turnover by L. James (lost ball; steal by J. Harden),2,0
2,1,11:21.0,L. Mbah a Moute misses 2-pt layup from 3 ft,,2,0
3,1,11:18.0,,Defensive rebound by I. Thomas,2,0
4,1,11:08.0,,I. Thomas makes 2-pt layup at rim,2,2
5,1,11:01.0,L. Mbah a Moute makes 2-pt layup from 1 ft (assist by C. Paul),,4,2
6,1,10:43.0,,T. Thompson makes 2-pt hook shot from 1 ft,4,4
7,1,10:29.0,L. Mbah a Moute misses 3-pt jump shot from 22 ft,,4,4
8,1,10:26.0,,Defensive rebound by T. Thompson,4,4
9,1,10:16.0,,L. James misses 2-pt jump shot from 14 ft,4,4
10,1,10:14.0,Defensive rebound by R. Anderson,,4,4
11,1,9:52.0,J. Harden misses 3-pt jump shot from 26 ft,,4,4
12,1,9:48.0,,Defensive rebound by J. Smith,4,4
13,1,9:35.0,,T. Thompson misses 2-pt jump shot from 9 ft,4,4
14,1,9:33.0,,Offensive rebound by T. Thompson,4,4
15,1,9:31.0,,I. Thomas misses 3-pt jump shot from 25 ft,4,4
16,1,9:28.0,Defensive rebound by C. Capela,,4,4
17,1,9:10.0,C. Paul makes 3-pt jump shot from 22 ft,,7,4
18,1,8:58.0,,I. Thomas misses 2-pt layup from 1 ft,7,4
19,1,8:56.0,Defensive rebound by C. Capela,,7,4
20,1,8:49.0,R. Anderson misses 3-pt jump shot from 30 ft,,7,4
21,1,8:45.0,,Defensive rebound by L. James,7,4
22,1,8:44.0,,Personal foul by R. Anderson (drawn by I. Thomas),7,4
23,1,8:38.0,,J. Smith misses 2-pt jump shot from 20 ft,7,4
24,1,8:36.0,Defensive rebound by R. Anderson,,7,4
25,1,8:16.0,J. Harden makes 2-pt layup from 1 ft,,9,4
26,1,8:16.0,Shooting foul by J. Crowder (drawn by J. Harden),,9,4
27,1,8:16.0,J. Harden makes free throw 1 of 1,,10,4
28,1,8:03.0,,J. Smith misses 3-pt jump shot from 23 ft,10,4
29,1,7:59.0,,Offensive rebound by L. James,10,4
30,1,7:50.0,,J. Smith misses 3-pt jump shot from 25 ft,10,4
31,1,7:45.0,Defensive rebound by C. Paul,,10,4
32,1,7:32.0,Shooting foul by I. Thomas (drawn by J. Harden),,10,4
33,1,7:32.0,J. Harden makes free throw 1 of 2,,11,4
34,1,7:32.0,J. Harden makes free throw 2 of 2,,12,4
35,1,7:07.0,,J. Smith misses 3-pt jump shot from 29 ft,12,4
36,1,7:07.0,Defensive rebound by Team,,12,4
37,1,6:54.0,C. Paul makes 3-pt jump shot from 29 ft,,15,4
38,1,6:52.0,,Cleveland full timeout,15,4
39,1,6:52.0,G. Green enters the game for R. Anderson,,15,4
40,1,6:52.0,P. Tucker enters the game for C. Paul,,15,4
41,1,6:40.0,,J. Smith misses 3-pt jump shot from 26 ft,15,4
42,1,6:37.0,Defensive rebound by J. Harden,,15,4
43,1,6:19.0,G. Green misses 2-pt jump shot from 9 ft,,15,4
44,1,6:17.0,,Defensive rebound by L. James,15,4
45,1,6:10.0,,J. Smith makes 2-pt jump shot from 6 ft,15,6
46,1,5:52.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,17,6
47,1,5:41.0,,L. James makes 2-pt layup from 1 ft (assist by J. Crowder),17,8
48,1,5:32.0,,Violation by L. James (kicked ball),17,8
49,1,5:32.0,,C. Frye enters the game for T. Thompson,17,8
50,1,5:18.0,Turnover by G. Green (out of bounds lost ball),,17,8
51,1,5:14.0,,Offensive foul by J. Crowder (drawn by P. Tucker),17,8
52,1,5:14.0,,Turnover by J. Crowder (offensive foul),17,8
53,1,5:05.0,J. Harden makes 2-pt layup at rim,,19,8
54,1,4:57.0,,I. Thomas misses 3-pt jump shot from 25 ft,19,8
55,1,4:55.0,Defensive rebound by C. Capela,,19,8
56,1,4:44.0,C. Capela misses 2-pt layup from 2 ft (block by L. James),,19,8
57,1,4:41.0,,Defensive rebound by L. James,19,8
58,1,4:38.0,,J. Crowder misses 2-pt layup from 1 ft,19,8
59,1,4:36.0,Defensive rebound by C. Capela,,19,8
60,1,4:28.0,L. Mbah a Moute misses 2-pt layup at rim,,19,8
61,1,4:26.0,,Defensive rebound by C. Frye,19,8
62,1,4:26.0,,Shooting foul by J. Harden (drawn by L. James),19,8
63,1,4:26.0,,L. James makes free throw 1 of 2,19,9
64,1,4:26.0,,J. Green enters the game for I. Thomas,19,9
65,1,4:26.0,,D. Wade enters the game for J. Crowder,19,9
66,1,4:26.0,N. Hilário enters the game for C. Capela,,19,9
67,1,4:26.0,,L. James makes free throw 2 of 2,19,10
68,1,4:17.0,Turnover by N. Hilário (out of bounds lost ball),,19,10
69,1,4:09.0,,D. Wade makes 2-pt dunk from 1 ft (assist by L. James),19,12
70,1,3:52.0,G. Green makes 3-pt jump shot from 23 ft (assist by N. Hilário),,22,12
71,1,3:34.0,,Personal foul by G. Green (drawn by L. James),22,12
72,1,3:34.0,,K. Korver enters the game for J. Smith,22,12
73,1,3:30.0,,K. Korver misses 2-pt layup from 2 ft (block by G. Green),22,12
74,1,3:26.0,,Offensive rebound by K. Korver,22,12
75,1,3:21.0,,C. Frye makes 2-pt layup from 1 ft (assist by L. James),22,14
76,1,3:02.0,Offensive foul by J. Harden (drawn by J. Green),,22,14
77,1,3:02.0,Turnover by J. Harden (offensive foul),,22,14
78,1,3:02.0,C. Paul enters the game for J. Harden,,22,14
79,1,2:55.0,Houston full timeout,,22,14
80,1,2:55.0,R. Anderson enters the game for L. Mbah a Moute,,22,14
81,1,2:50.0,,K. Korver misses 3-pt jump shot from 23 ft,22,14
82,1,2:48.0,Defensive rebound by R. Anderson,,22,14
83,1,2:39.0,N. Hilário makes 2-pt layup from 1 ft (assist by C. Paul),,24,14
84,1,2:28.0,,Personal foul by P. Tucker (drawn by D. Wade),24,14
85,1,2:21.0,,D. Wade makes 2-pt jump shot from 15 ft,24,16
86,1,2:01.0,N. Hilário makes 2-pt layup at rim (assist by C. Paul),,26,16
87,1,1:40.0,,J. Green misses 2-pt jump shot from 16 ft,26,16
88,1,1:38.0,Defensive rebound by G. Green,,26,16
89,1,1:18.0,P. Tucker misses 2-pt jump shot from 11 ft,,26,16
90,1,1:14.0,,Defensive rebound by L. James,26,16
91,1,1:11.0,,J. Green makes 2-pt layup from 1 ft (assist by L. James),26,18
92,1,0:55.0,C. Paul makes 3-pt jump shot from 26 ft,,29,18
93,1,0:44.0,,D. Wade misses 2-pt layup from 2 ft (block by G. Green),29,18
94,1,0:40.0,Defensive rebound by C. Paul,,29,18
95,1,0:38.0,G. Green makes 3-pt jump shot from 25 ft (assist by C. Paul),,32,18
96,1,0:22.0,,L. James misses 2-pt layup from 3 ft (block by G. Green),32,18
97,1,0:21.0,,Offensive rebound by Team,32,18
98,1,0:17.0,,L. James makes 2-pt dunk from 1 ft,32,20
99,1,0:02.0,C. Paul misses 2-pt jump shot from 13 ft,,32,20
100,1,0:01.0,,Defensive rebound by L. James,32,20
101,2,11:41.0,,D. Rose misses 2-pt layup at rim,32,20
102,2,11:39.0,Defensive rebound by P. Tucker,,32,20
103,2,11:30.0,R. Anderson misses 2-pt layup from 3 ft,,32,20
104,2,11:27.0,,Defensive rebound by D. Rose,32,20
105,2,11:24.0,,K. Korver misses 3-pt jump shot from 23 ft,32,20
106,2,11:21.0,Defensive rebound by C. Paul,,32,20
107,2,11:17.0,C. Paul makes 3-pt jump shot from 25 ft,,35,20
108,2,11:01.0,,D. Wade makes 2-pt layup at rim,35,22
109,2,10:35.0,C. Paul misses 3-pt jump shot from 24 ft,,35,22
110,2,10:32.0,,Defensive rebound by J. Green,35,22
111,2,10:27.0,,J. Green misses 2-pt layup from 1 ft,35,22
112,2,10:24.0,Defensive rebound by N. Hilário,,35,22
113,2,10:16.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Paul),,38,22
114,2,9:57.0,,I. Thomas misses 2-pt jump shot from 9 ft,38,22
115,2,9:54.0,Defensive rebound by P. Tucker,,38,22
116,2,9:47.0,R. Anderson makes 3-pt jump shot from 23 ft (assist by C. Paul),,41,22
117,2,9:46.0,,Cleveland full timeout,41,22
118,2,9:46.0,C. Capela enters the game for N. Hilário,,41,22
119,2,9:33.0,,Turnover by D. Wade (out of bounds lost ball),41,22
120,2,9:33.0,,T. Thompson enters the game for J. Green,41,22
121,2,9:22.0,P. Tucker misses 3-pt jump shot from 23 ft,,41,22
122,2,9:19.0,Offensive rebound by R. Anderson,,41,22
123,2,9:17.0,R. Anderson makes 2-pt layup at rim,,43,22
124,2,9:04.0,,D. Rose makes 3-pt jump shot from 22 ft (assist by K. Korver),43,25
125,2,8:58.0,G. Green misses 3-pt jump shot from 25 ft,,43,25
126,2,8:55.0,,Defensive rebound by D. Rose,43,25
127,2,8:48.0,,D. Wade misses 2-pt layup from 1 ft (block by C. Capela),43,25
128,2,8:45.0,Defensive rebound by G. Green,,43,25
129,2,8:39.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,45,25
130,2,8:27.0,,I. Thomas misses 2-pt layup from 1 ft,45,25
131,2,8:25.0,Defensive rebound by C. Capela,,45,25
132,2,8:16.0,R. Anderson makes 3-pt jump shot from 29 ft (assist by C. Paul),,48,25
133,2,7:58.0,,K. Korver misses 3-pt jump shot from 22 ft,48,25
134,2,7:55.0,Defensive rebound by P. Tucker,,48,25
135,2,7:47.0,C. Paul misses 2-pt jump shot from 12 ft,,48,25
136,2,7:44.0,,Defensive rebound by K. Korver,48,25
137,2,7:39.0,,D. Wade misses 3-pt jump shot from 26 ft,48,25
138,2,7:35.0,Defensive rebound by C. Capela,,48,25
139,2,7:33.0,R. Anderson misses 3-pt jump shot from 26 ft,,48,25
140,2,7:31.0,,Defensive rebound by I. Thomas,48,25
141,2,7:22.0,,Turnover by I. Thomas (traveling),48,25
142,2,7:22.0,,J. Smith enters the game for D. Wade,48,25
143,2,7:22.0,,L. James enters the game for K. Korver,48,25
144,2,7:22.0,L. Mbah a Moute enters the game for C. Paul,,48,25
145,2,7:22.0,J. Harden enters the game for P. Tucker,,48,25
146,2,7:10.0,J. Harden misses 3-pt jump shot from 24 ft,,48,25
147,2,7:08.0,,Defensive rebound by I. Thomas,48,25
148,2,7:05.0,,Shooting foul by R. Anderson (drawn by D. Rose),48,25
149,2,7:05.0,,D. Rose makes free throw 1 of 2,48,26
150,2,7:05.0,,D. Rose makes free throw 2 of 2,48,27
151,2,6:41.0,G. Green misses 3-pt jump shot from 26 ft,,48,27
152,2,6:37.0,,Defensive rebound by J. Smith,48,27
153,2,6:33.0,,D. Rose misses 3-pt jump shot from 23 ft,48,27
154,2,6:29.0,Defensive rebound by R. Anderson,,48,27
155,2,6:19.0,C. Capela misses 2-pt layup at rim (block by D. Rose),,48,27
156,2,6:17.0,,Defensive rebound by J. Smith,48,27
157,2,6:09.0,,T. Thompson makes 2-pt hook shot from 1 ft (assist by L. James),48,29
158,2,5:48.0,J. Harden makes 2-pt layup from 1 ft,,50,29
159,2,5:33.0,,I. Thomas makes 2-pt layup at rim,50,31
160,2,5:23.0,G. Green misses 2-pt layup from 1 ft,,50,31
161,2,5:20.0,,Defensive rebound by T. Thompson,50,31
162,2,5:16.0,,I. Thomas misses 3-pt jump shot from 24 ft,50,31
163,2,5:13.0,Defensive rebound by J. Harden,,50,31
164,2,5:06.0,C. Capela makes 2-pt layup at rim (assist by J. Harden),,52,31
165,2,5:06.0,,Cleveland full timeout,52,31
166,2,5:06.0,,J. Crowder enters the game for I. Thomas,52,31
167,2,5:06.0,C. Paul enters the game for G. Green,,52,31
168,2,5:06.0,P. Tucker enters the game for R. Anderson,,52,31
169,2,4:48.0,,L. James misses 2-pt layup at rim,52,31
170,2,4:44.0,Defensive rebound by J. Harden,,52,31
171,2,4:41.0,J. Harden misses 3-pt jump shot from 27 ft,,52,31
172,2,4:37.0,,Defensive rebound by J. Smith,52,31
173,2,4:20.0,,D. Rose misses 2-pt jump shot from 21 ft,52,31
174,2,4:17.0,Defensive rebound by P. Tucker,,52,31
175,2,4:11.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,54,31
176,2,3:54.0,,T. Thompson misses 2-pt layup at rim,54,31
177,2,3:51.0,Defensive rebound by P. Tucker,,54,31
178,2,3:41.0,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by P. Tucker),,57,31
179,2,3:20.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by J. Crowder),57,34
180,2,3:01.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,59,34
181,2,2:39.0,,L. James misses 2-pt layup at rim (block by C. Capela),59,34
182,2,2:36.0,,Offensive rebound by D. Rose,59,34
183,2,2:35.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by D. Rose),59,37
184,2,2:35.0,Houston full timeout,,59,37
185,2,2:35.0,,D. Wade enters the game for D. Rose,59,37
186,2,2:35.0,,J. Green enters the game for T. Thompson,59,37
187,2,2:35.0,N. Hilário enters the game for C. Capela,,59,37
188,2,2:20.0,Personal foul by J. Green (drawn by J. Harden),,59,37
189,2,2:11.0,C. Paul makes 2-pt jump shot from 15 ft (assist by J. Harden),,61,37
190,2,2:04.0,,Personal block foul by P. Tucker (drawn by L. James),61,37
191,2,1:52.0,,J. Smith misses 2-pt jump shot from 14 ft,61,37
192,2,1:47.0,,Offensive rebound by D. Wade,61,37
193,2,1:47.0,,D. Wade makes 2-pt layup at rim,61,39
194,2,1:33.0,L. Mbah a Moute makes 2-pt layup at rim (assist by J. Harden),,63,39
195,2,1:20.0,,J. Smith misses 3-pt jump shot from 25 ft,63,39
196,2,1:18.0,,Offensive rebound by Team,63,39
197,2,1:18.0,Loose ball foul by C. Paul (drawn by J. Green),,63,39
198,2,1:00.0,,Turnover by D. Wade (lost ball; steal by L. Mbah a Moute),63,39
199,2,0:49.0,N. Hilário makes 2-pt layup at rim (assist by J. Harden),,65,39
200,2,0:49.0,Shooting foul by J. Smith (drawn by N. Hilário),,65,39
