,QUARTER,TIME_REMAINING,TORONTO_ACTION,SAN ANTONIO_ACTION,TORONTO_SCORE,SAN ANTONIO_SCORE
0,1,11:43.0,,L. Aldridge makes 2-pt jump shot from 14 ft,0,2
1,1,11:21.0,D. DeRozan makes 2-pt jump shot from 15 ft (assist by K. Lowry),,2,2
2,1,10:57.0,Offensive charge foul by P. Gasol (drawn by K. Lowry),,2,2
3,1,10:57.0,,Turnover by P. Gasol (offensive foul),2,2
4,1,10:42.0,D. DeRozan misses 2-pt jump shot from 14 ft,,2,2
5,1,10:39.0,,Defensive rebound by L. Aldridge,2,2
6,1,10:29.0,,D. Green misses 2-pt layup from 1 ft,2,2
7,1,10:29.0,,Offensive rebound by Team,2,2
8,1,10:24.0,,Personal foul by D. DeRozan (drawn by L. Aldridge),2,2
9,1,10:10.0,,Turnover by D. Green (bad pass; steal by L. Nogueira),2,2
10,1,10:04.0,S. Ibaka misses 2-pt layup from 3 ft (block by D. Green),,2,2
11,1,10:00.0,,Defensive rebound by D. Murray,2,2
12,1,9:56.0,,K. Anderson makes 2-pt jump shot from 7 ft,2,4
13,1,9:47.0,Personal foul by K. Anderson (drawn by D. DeRozan),,2,4
14,1,9:31.0,D. DeRozan misses 2-pt jump shot from 11 ft,,2,4
15,1,9:29.0,,Defensive rebound by P. Gasol,2,4
16,1,9:28.0,,Personal foul by S. Ibaka (drawn by L. Aldridge),2,4
17,1,9:08.0,,D. Green misses 2-pt jump shot from 22 ft,2,4
18,1,9:08.0,,Offensive rebound by Team,2,4
19,1,9:08.0,Loose ball foul by L. Nogueira (drawn by P. Gasol),,2,4
20,1,9:07.0,,Shooting foul by K. Lowry (drawn by D. Murray),2,4
21,1,9:07.0,,D. Murray misses free throw 1 of 2,2,4
22,1,9:07.0,,Offensive rebound by Team,2,4
23,1,9:07.0,,D. Murray makes free throw 2 of 2,2,5
24,1,8:58.0,K. Lowry misses 3-pt jump shot from 26 ft (block by K. Anderson),,2,5
25,1,8:54.0,,Defensive rebound by L. Aldridge,2,5
26,1,8:54.0,,Turnover by D. Murray (bad pass),2,5
27,1,8:45.0,L. Nogueira makes 2-pt dunk from 2 ft (assist by K. Lowry),,4,5
28,1,8:24.0,,Turnover by K. Anderson (bad pass; steal by D. DeRozan),4,5
29,1,8:08.0,S. Ibaka makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,7,5
30,1,7:47.0,,K. Anderson misses 3-pt jump shot from 22 ft,7,5
31,1,7:39.0,,Offensive rebound by D. Murray,7,5
32,1,7:39.0,,D. Murray makes 2-pt layup at rim,7,7
33,1,7:23.0,S. Ibaka makes 2-pt jump shot from 12 ft,,9,7
34,1,7:12.0,,D. Murray makes 2-pt layup at rim,9,9
35,1,6:55.0,D. DeRozan makes 3-pt jump shot from 22 ft (assist by N. Powell),,12,9
36,1,6:53.0,,San Antonio full timeout,12,9
37,1,6:38.0,,K. Anderson misses 2-pt jump shot from 8 ft,12,9
38,1,6:38.0,Defensive rebound by Team,,12,9
39,1,6:38.0,Personal foul by L. Aldridge (drawn by S. Ibaka),,12,9
40,1,6:22.0,D. DeRozan misses 2-pt jump shot from 15 ft,,12,9
41,1,6:22.0,,Defensive rebound by D. Green,12,9
42,1,6:11.0,,L. Aldridge misses 2-pt hook shot from 2 ft,12,9
43,1,6:11.0,Defensive rebound by D. DeRozan,,12,9
44,1,6:00.0,L. Nogueira misses 2-pt layup from 2 ft (block by K. Anderson),,12,9
45,1,5:56.0,,Defensive rebound by K. Anderson,12,9
46,1,5:44.0,,P. Gasol misses 2-pt jump shot from 20 ft,12,9
