,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
0,1,11:38.0,M. Beasley makes 2-pt jump shot from 7 ft,,2,0
1,1,11:20.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by D. DeRozan),2,3
2,1,11:05.0,K. O'Quinn misses 2-pt jump shot from 15 ft,,2,3
3,1,11:03.0,,Defensive rebound by D. DeRozan,2,3
4,1,10:55.0,,Shooting foul by J. Jack (drawn by J. Valančiūnas),2,3
5,1,10:55.0,,J. Valančiūnas misses free throw 1 of 2,2,3
6,1,10:55.0,,Offensive rebound by Team,2,3
7,1,10:55.0,,J. Valančiūnas makes free throw 2 of 2,2,4
8,1,10:34.0,M. Beasley misses 2-pt dunk from 1 ft,,2,4
9,1,10:32.0,,Defensive rebound by D. DeRozan,2,4
10,1,10:24.0,,J. Valančiūnas makes 2-pt jump shot from 16 ft (assist by S. Ibaka),2,6
11,1,9:57.0,Turnover by M. Beasley (bad pass; steal by J. Valančiūnas),,2,6
12,1,9:48.0,,O. Anunoby misses 3-pt jump shot from 22 ft,2,6
13,1,9:46.0,Defensive rebound by J. Jack,,2,6
14,1,9:38.0,Turnover by J. Jack (out of bounds lost ball),,2,6
15,1,9:22.0,,Personal foul by K. O'Quinn (drawn by J. Valančiūnas),2,6
16,1,9:15.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,2,6
17,1,9:14.0,Defensive rebound by Team,,2,6
18,1,9:02.0,C. Lee makes 2-pt jump shot from 18 ft,,4,6
19,1,8:49.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by D. DeRozan),4,9
20,1,8:36.0,T. Hardaway makes 2-pt jump shot from 15 ft (assist by J. Jack),,6,9
21,1,8:24.0,,D. DeRozan misses 3-pt jump shot from 25 ft,6,9
22,1,8:22.0,Defensive rebound by T. Hardaway,,6,9
23,1,8:06.0,J. Jack makes 3-pt jump shot from 25 ft (assist by C. Lee),,9,9
24,1,7:56.0,,Turnover by J. Valančiūnas (bad pass),9,9
25,1,7:33.0,M. Beasley misses 2-pt layup from 3 ft (block by D. DeRozan),,9,9
26,1,7:29.0,,Defensive rebound by D. DeRozan,9,9
27,1,7:26.0,,K. Lowry misses 3-pt jump shot from 25 ft,9,9
28,1,7:23.0,,Offensive rebound by J. Valančiūnas,9,9
29,1,7:22.0,,J. Valančiūnas misses 2-pt hook shot at rim,9,9
30,1,7:22.0,,Offensive rebound by J. Valančiūnas,9,9
31,1,7:21.0,,J. Valančiūnas makes 2-pt layup at rim,9,11
32,1,7:01.0,K. O'Quinn misses 2-pt jump shot from 21 ft,,9,11
33,1,7:01.0,Offensive rebound by C. Lee,,9,11
34,1,6:48.0,Turnover by C. Lee (lost ball; steal by J. Valančiūnas),,9,11
35,1,6:40.0,,D. DeRozan misses 3-pt jump shot from 22 ft,9,11
36,1,6:37.0,,Offensive rebound by S. Ibaka,9,11
37,1,6:35.0,,S. Ibaka misses 2-pt layup from 2 ft (block by K. O'Quinn),9,11
38,1,6:35.0,Defensive rebound by K. O'Quinn,,9,11
39,1,6:29.0,C. Lee misses 3-pt jump shot from 24 ft,,9,11
40,1,6:29.0,,Defensive rebound by J. Valančiūnas,9,11
41,1,6:21.0,,Toronto full timeout,9,11
42,1,6:16.0,,Shooting foul by M. Beasley (drawn by S. Ibaka),9,11
43,1,6:16.0,,S. Ibaka makes free throw 1 of 2,9,12
44,1,6:16.0,L. Thomas enters the game for C. Lee,,9,12
45,1,6:16.0,,S. Ibaka makes free throw 2 of 2,9,13
46,1,6:06.0,J. Jack misses 2-pt jump shot from 16 ft,,9,13
47,1,6:04.0,,Defensive rebound by S. Ibaka,9,13
48,1,5:57.0,,O. Anunoby misses 3-pt jump shot from 22 ft,9,13
49,1,5:53.0,Defensive rebound by K. O'Quinn,,9,13
50,1,5:50.0,Personal foul by S. Ibaka (drawn by M. Beasley),,9,13
51,1,5:45.0,T. Hardaway makes 2-pt jump shot from 12 ft (assist by J. Jack),,11,13
52,1,5:22.0,,D. DeRozan misses 3-pt jump shot from 26 ft,11,13
53,1,5:19.0,Defensive rebound by K. O'Quinn,,11,13
54,1,5:13.0,Personal foul by O. Anunoby (drawn by J. Jack),,11,13
55,1,5:13.0,F. Ntilikina enters the game for J. Jack,,11,13
56,1,5:02.0,M. Beasley misses 2-pt jump shot from 11 ft,,11,13
57,1,5:00.0,,Defensive rebound by J. Valančiūnas,11,13
58,1,4:44.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by S. Ibaka),11,16
59,1,4:33.0,T. Hardaway misses 3-pt jump shot from 25 ft,,11,16
60,1,4:33.0,,Defensive rebound by K. Lowry,11,16
61,1,4:21.0,,S. Ibaka misses 3-pt jump shot from 22 ft,11,16
