,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
98,1,1:12.0,T. Burke enters the game for T. Hardaway,,20,24
99,1,1:12.0,,F. Mason makes free throw 2 of 2,20,25
100,1,0:56.0,L. Thomas misses 3-pt jump shot from 23 ft,,20,25
101,1,0:56.0,,Defensive rebound by B. Hield,20,25
102,1,0:49.0,,B. Hield makes 3-pt jump shot from 25 ft,20,28
103,1,0:39.0,T. Williams misses 3-pt jump shot from 23 ft,,20,28
104,1,0:39.0,,Defensive rebound by V. Carter,20,28
105,1,0:28.0,,Personal foul by T. Williams (drawn by S. Labissière),20,28
106,1,0:28.0,,S. Labissière makes free throw 1 of 2,20,29
107,1,0:28.0,,S. Labissière makes free throw 2 of 2,20,30
108,1,0:10.0,F. Ntilikina misses 2-pt jump shot from 20 ft,,20,30
109,1,0:06.0,,Defensive rebound by F. Mason,20,30
110,1,0:02.0,,F. Mason makes 2-pt jump shot from 5 ft,20,32
111,2,11:42.0,Turnover by T. Burke (traveling),,20,32
112,2,11:31.0,,Personal foul by L. Thomas (drawn by V. Carter),20,32
113,2,11:23.0,,S. Labissière misses 2-pt jump shot from 5 ft,20,32
114,2,11:19.0,Defensive rebound by T. Williams,,20,32
115,2,11:11.0,Shooting foul by G. Temple (drawn by K. O'Quinn),,20,32
116,2,11:11.0,K. O'Quinn makes free throw 1 of 2,,21,32
117,2,11:11.0,K. O'Quinn makes free throw 2 of 2,,22,32
118,2,10:52.0,,Turnover by F. Mason (lost ball; steal by L. Thomas),22,32
119,2,10:33.0,Personal foul by V. Carter (drawn by T. Burke),,22,32
120,2,10:28.0,T. Williams misses 2-pt layup from 3 ft (block by G. Temple),,22,32
121,2,10:25.0,,Defensive rebound by V. Carter,22,32
122,2,10:22.0,,F. Mason makes 2-pt jump shot from 6 ft,22,34
123,2,10:09.0,Shooting foul by S. Labissière (drawn by K. O'Quinn),,22,34
124,2,10:09.0,K. O'Quinn makes free throw 1 of 2,,23,34
125,2,10:09.0,K. O'Quinn makes free throw 2 of 2,,24,34
126,2,9:45.0,,V. Carter misses 2-pt layup from 5 ft,24,34
127,2,9:44.0,Defensive rebound by Team,,24,34
128,2,9:44.0,,Loose ball foul by V. Carter (drawn by T. Williams),24,34
129,2,9:29.0,Personal foul by V. Carter (drawn by L. Thomas),,24,34
130,2,9:29.0,L. Thomas makes free throw 1 of 2,,25,34
131,2,9:29.0,,B. Caboclo enters the game for V. Carter,25,34
132,2,9:29.0,L. Thomas makes free throw 2 of 2,,26,34
133,2,9:17.0,,S. Labissière misses 2-pt jump shot from 10 ft,26,34
134,2,9:13.0,Defensive rebound by K. O'Quinn,,26,34
135,2,9:09.0,T. Williams misses 2-pt jump shot from 6 ft,,26,34
136,2,9:09.0,,Defensive rebound by S. Labissière,26,34
137,2,8:56.0,,Personal foul by T. Williams (drawn by S. Labissière),26,34
138,2,8:50.0,,Personal foul by L. Thomas (drawn by B. Caboclo),26,34
139,2,8:50.0,,Sacramento full timeout,26,34
140,2,8:50.0,I. Hicks enters the game for L. Thomas,,26,34
141,2,8:42.0,,Turnover by B. Hield (lost ball; steal by T. Williams),26,34
142,2,8:39.0,T. Williams makes 2-pt dunk from 1 ft (assist by K. O'Quinn),,28,34
143,2,8:39.0,Shooting foul by G. Temple (drawn by T. Williams),,28,34
144,2,8:39.0,T. Williams makes free throw 1 of 1,,29,34
145,2,8:27.0,,Personal foul by T. Williams (drawn by S. Labissière),29,34
146,2,8:27.0,,D. Fox enters the game for F. Mason,29,34
147,2,8:20.0,,B. Caboclo misses 3-pt jump shot from 25 ft,29,34
148,2,8:16.0,Defensive rebound by K. O'Quinn,,29,34
149,2,8:09.0,Shooting foul by S. Labissière (drawn by T. Williams),,29,34
150,2,8:09.0,T. Williams makes free throw 1 of 2,,30,34
151,2,8:09.0,,B. Bogdanović enters the game for B. Hield,30,34
152,2,8:09.0,T. Williams misses free throw 2 of 2,,30,34
153,2,8:03.0,,Defensive rebound by B. Caboclo,30,34
