,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:45.0,H. Barnes makes 2-pt jump shot from 16 ft (assist by D. Smith),,2,0
1,1,11:21.0,,M. Gasol misses 2-pt hook shot from 4 ft,2,0
2,1,11:17.0,,Offensive rebound by J. Martin,2,0
3,1,11:14.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by J. Martin),2,3
4,1,11:01.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,2,3
5,1,10:59.0,,Defensive rebound by J. Ennis,2,3
6,1,10:52.0,,M. Conley misses 3-pt jump shot from 25 ft,2,3
7,1,10:48.0,Defensive rebound by D. Nowitzki,,2,3
8,1,10:37.0,Shooting foul by A. Harrison (drawn by W. Matthews),,2,3
9,1,10:37.0,W. Matthews makes free throw 1 of 2,,3,3
10,1,10:37.0,W. Matthews makes free throw 2 of 2,,4,3
11,1,10:26.0,,Turnover by M. Gasol (turnover),4,3
12,1,10:26.0,,Loose ball foul by M. Gasol (drawn by N. Noel),4,3
13,1,10:09.0,Turnover by D. Nowitzki (bad pass),,4,3
14,1,10:00.0,,M. Conley misses 2-pt jump shot from 15 ft,4,3
15,1,9:56.0,Defensive rebound by H. Barnes,,4,3
16,1,9:50.0,H. Barnes makes 2-pt jump shot from 21 ft,,6,3
17,1,9:28.0,,J. Ennis misses 3-pt jump shot from 23 ft,6,3
18,1,9:26.0,Defensive rebound by N. Noel,,6,3
19,1,9:12.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,6,3
20,1,9:09.0,,Defensive rebound by M. Gasol,6,3
21,1,9:03.0,,J. Martin makes 3-pt jump shot from 25 ft (assist by M. Conley),6,6
22,1,8:51.0,D. Smith makes 2-pt jump shot from 17 ft,,8,6
23,1,8:36.0,,Personal foul by N. Noel (drawn by M. Conley),8,6
24,1,8:21.0,,A. Harrison misses 2-pt jump shot from 15 ft,8,6
25,1,8:19.0,Defensive rebound by D. Nowitzki,,8,6
26,1,8:13.0,D. Smith misses 3-pt jump shot from 25 ft,,8,6
27,1,8:08.0,,Defensive rebound by J. Martin,8,6
28,1,8:04.0,,Personal foul by N. Noel (drawn by M. Gasol),8,6
29,1,8:04.0,D. Powell enters the game for N. Noel,,8,6
30,1,7:56.0,,M. Conley misses 2-pt layup from 1 ft (block by D. Smith),8,6
31,1,7:53.0,Defensive rebound by D. Powell,,8,6
32,1,7:42.0,W. Matthews misses 3-pt jump shot from 25 ft,,8,6
33,1,7:39.0,,Defensive rebound by J. Ennis,8,6
34,1,7:32.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),8,8
35,1,7:26.0,Turnover by D. Smith (bad pass),,8,8
36,1,7:10.0,,J. Martin makes 3-pt jump shot from 24 ft (assist by M. Conley),8,11
37,1,6:55.0,H. Barnes misses 2-pt jump shot from 20 ft,,8,11
38,1,6:52.0,,Defensive rebound by M. Gasol,8,11
39,1,6:44.0,,Personal foul by D. Powell (drawn by A. Harrison),8,11
40,1,6:44.0,,Memphis full timeout,8,11
41,1,6:44.0,Y. Ferrell enters the game for W. Matthews,,8,11
42,1,6:44.0,M. Kleber enters the game for D. Nowitzki,,8,11
43,1,6:41.0,,Turnover by A. Harrison (traveling),8,11
44,1,6:24.0,D. Powell misses 2-pt layup from 1 ft,,8,11
45,1,6:21.0,,Defensive rebound by Team,8,11
46,1,6:16.0,,M. Gasol misses 3-pt jump shot from 26 ft,8,11
47,1,6:13.0,Defensive rebound by H. Barnes,,8,11
48,1,5:58.0,D. Smith misses 2-pt layup at rim,,8,11
49,1,5:53.0,,Defensive rebound by J. Martin,8,11
50,1,5:47.0,,M. Conley makes 2-pt layup at rim,8,13
51,1,5:25.0,D. Smith misses 2-pt jump shot from 18 ft,,8,13
52,1,5:22.0,,Defensive rebound by M. Gasol,8,13
53,1,5:16.0,,J. Ennis misses 3-pt jump shot from 22 ft,8,13
54,1,5:13.0,Defensive rebound by D. Powell,,8,13
55,1,5:02.0,H. Barnes makes 2-pt layup from 1 ft (assist by D. Smith),,10,13
56,1,4:48.0,,M. Gasol makes 2-pt layup at rim (assist by A. Harrison),10,15
57,1,4:48.0,,Shooting foul by D. Powell (drawn by M. Gasol),10,15
58,1,4:48.0,,M. Chalmers enters the game for A. Harrison,10,15
59,1,4:48.0,,T. Evans enters the game for M. Conley,10,15
60,1,4:48.0,J. Barea enters the game for D. Smith,,10,15
61,1,4:48.0,S. Mejri enters the game for D. Powell,,10,15
62,1,4:48.0,,M. Gasol makes free throw 1 of 1,10,16
63,1,4:27.0,Turnover by Y. Ferrell (bad pass; steal by M. Chalmers),,10,16
64,1,4:23.0,,J. Ennis makes 2-pt layup from 1 ft (assist by M. Chalmers),10,18
65,1,4:21.0,Dallas full timeout,,10,18
66,1,4:10.0,M. Kleber misses 3-pt jump shot from 27 ft,,10,18
67,1,4:07.0,Offensive rebound by S. Mejri,,10,18
68,1,4:03.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,10,18
69,1,4:03.0,,Defensive rebound by Team,10,18
70,1,3:44.0,,M. Gasol makes 2-pt hook shot at rim,10,20
71,1,3:40.0,,Technical foul by Team,10,20
72,1,3:40.0,,M. Gasol makes technical free throw,10,21
73,1,3:40.0,,D. Brooks enters the game for J. Martin,10,21
74,1,3:40.0,,C. Parsons enters the game for J. Ennis,10,21
75,1,3:26.0,H. Barnes misses 3-pt jump shot from 23 ft,,10,21
76,1,3:26.0,S. Mejri misses 2-pt layup at rim,,10,21
77,1,3:26.0,,Defensive rebound by M. Gasol,10,21
78,1,3:23.0,Defensive rebound by S. Mejri,,10,21
79,1,3:13.0,,M. Gasol misses 2-pt hook shot from 6 ft,10,21
80,1,3:10.0,Defensive rebound by M. Kleber,,10,21
81,1,3:04.0,J. Barea misses 3-pt jump shot from 25 ft,,10,21
82,1,3:02.0,,Defensive rebound by M. Gasol,10,21
83,1,2:42.0,,D. Brooks makes 2-pt jump shot from 17 ft (assist by C. Parsons),10,23
84,1,2:28.0,Turnover by J. Barea (bad pass),,10,23
