,QUARTER,TIME_REMAINING,TORONTO_ACTION,SACRAMENTO_ACTION,TORONTO_SCORE,SACRAMENTO_SCORE
0,1,11:37.0,S. Ibaka makes 2-pt jump shot from 21 ft (assist by K. Lowry),,2,0
1,1,11:18.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,2,0
2,1,11:14.0,Defensive rebound by S. Ibaka,,2,0
3,1,11:05.0,S. Ibaka makes 2-pt hook shot from 3 ft (assist by D. DeRozan),,4,0
4,1,10:44.0,,Shooting foul by S. Ibaka (drawn by Z. Randolph),4,0
5,1,10:44.0,,Z. Randolph misses free throw 1 of 2,4,0
6,1,10:44.0,,Offensive rebound by Team,4,0
7,1,10:44.0,,Z. Randolph misses free throw 2 of 2,4,0
8,1,10:41.0,Defensive rebound by J. Valančiūnas,,4,0
9,1,10:34.0,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,7,0
10,1,10:19.0,,Turnover by D. Fox (bad pass; steal by J. Valančiūnas),7,0
11,1,10:14.0,O. Anunoby makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,10,0
12,1,10:07.0,,Sacramento full timeout,10,0
13,1,9:58.0,,S. Labissière misses 2-pt hook shot from 6 ft,10,0
14,1,9:55.0,Defensive rebound by J. Valančiūnas,,10,0
15,1,9:47.0,S. Ibaka misses 3-pt jump shot from 24 ft,,10,0
16,1,9:45.0,Offensive rebound by O. Anunoby,,10,0
17,1,9:36.0,D. DeRozan makes 2-pt layup from 2 ft,,12,0
18,1,9:26.0,,Turnover by S. Labissière (offensive goaltending),12,0
19,1,9:08.0,Shooting foul by G. Temple (drawn by D. DeRozan),,12,0
20,1,9:08.0,D. DeRozan misses free throw 1 of 2,,12,0
21,1,9:08.0,Offensive rebound by Team,,12,0
22,1,9:08.0,D. DeRozan makes free throw 2 of 2,,13,0
23,1,8:45.0,,Z. Randolph makes 2-pt jump shot from 16 ft (assist by B. Bogdanović),13,2
24,1,8:25.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by D. DeRozan),,15,2
25,1,8:14.0,,Turnover by D. Fox (bad pass),15,2
