,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,BROOKLYN_ACTION,MINNESOTA_SCORE,BROOKLYN_SCORE
0,1,11:39.0,J. Butler misses 2-pt jump shot from 6 ft,,0,0
1,1,11:35.0,,Defensive rebound by T. Zeller,0,0
2,1,11:33.0,,Turnover by D. Carroll (lost ball; steal by J. Butler),0,0
3,1,11:25.0,Shooting foul by S. Dinwiddie (drawn by T. Jones),,0,0
4,1,11:25.0,T. Jones makes free throw 1 of 2,,1,0
5,1,11:25.0,T. Jones makes free throw 2 of 2,,2,0
6,1,11:06.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,2,0
7,1,11:03.0,Defensive rebound by T. Gibson,,2,0
8,1,10:52.0,K. Towns misses 2-pt jump shot from 19 ft (block by R. Hollis-Jefferson),,2,0
9,1,10:49.0,,Defensive rebound by A. Crabbe,2,0
10,1,10:44.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft,2,2
11,1,10:32.0,A. Wiggins misses 2-pt jump shot from 9 ft,,2,2
12,1,10:28.0,,Defensive rebound by T. Zeller,2,2
13,1,10:24.0,,Shooting block foul by K. Towns (drawn by R. Hollis-Jefferson),2,2
14,1,10:24.0,,R. Hollis-Jefferson makes free throw 1 of 2,2,3
15,1,10:24.0,,R. Hollis-Jefferson makes free throw 2 of 2,2,4
16,1,10:12.0,A. Wiggins makes 2-pt hook shot from 3 ft (assist by J. Butler),,4,4
17,1,10:02.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by T. Zeller),4,7
18,1,9:46.0,J. Butler makes 2-pt jump shot from 11 ft,,6,7
19,1,9:20.0,,A. Crabbe misses 3-pt jump shot from 25 ft,6,7
20,1,9:17.0,Defensive rebound by K. Towns,,6,7
21,1,9:05.0,Personal foul by R. Hollis-Jefferson (drawn by K. Towns),,6,7
22,1,8:51.0,J. Butler misses 2-pt jump shot from 13 ft,,6,7
23,1,8:47.0,,Defensive rebound by A. Crabbe,6,7
24,1,8:44.0,,T. Zeller makes 2-pt layup at rim (assist by A. Crabbe),6,9
25,1,8:34.0,T. Jones misses 2-pt jump shot from 15 ft,,6,9
26,1,8:34.0,,Defensive rebound by T. Zeller,6,9
27,1,8:27.0,,Turnover by A. Crabbe (step out of bounds),6,9
28,1,8:11.0,A. Wiggins misses 2-pt jump shot from 19 ft,,6,9
29,1,8:09.0,,Defensive rebound by A. Crabbe,6,9
30,1,8:01.0,,D. Carroll misses 3-pt jump shot from 24 ft,6,9
31,1,8:00.0,Defensive rebound by Team,,6,9
32,1,7:45.0,K. Towns makes 2-pt hook shot from 5 ft,,8,9
33,1,7:29.0,,R. Hollis-Jefferson makes 2-pt jump shot from 11 ft (assist by S. Dinwiddie),8,11
34,1,7:13.0,T. Gibson misses 2-pt jump shot from 13 ft,,8,11
35,1,7:09.0,,Defensive rebound by D. Carroll,8,11
36,1,6:58.0,,R. Hollis-Jefferson makes 2-pt jump shot from 16 ft,8,13
37,1,6:41.0,K. Towns makes 2-pt layup from 1 ft,,10,13
38,1,6:41.0,Shooting foul by T. Zeller (drawn by K. Towns),,10,13
39,1,6:41.0,,Brooklyn full timeout,10,13
40,1,6:41.0,K. Towns misses free throw 1 of 1,,10,13
41,1,6:39.0,,Defensive rebound by T. Zeller,10,13
42,1,6:16.0,,T. Zeller misses 2-pt layup from 2 ft (block by T. Gibson),10,13
43,1,6:14.0,Defensive rebound by K. Towns,,10,13
44,1,6:10.0,J. Butler misses 2-pt layup from 1 ft,,10,13
45,1,6:06.0,,Defensive rebound by D. Carroll,10,13
46,1,5:55.0,,Def 3 sec tech foul by T. Gibson,10,13
47,1,5:55.0,,A. Crabbe makes technical free throw,10,14
48,1,5:55.0,,J. Harris enters the game for T. Zeller,10,14
49,1,5:55.0,,J. Allen enters the game for A. Crabbe,10,14
50,1,5:48.0,,J. Allen misses 2-pt dunk at rim,10,14
51,1,5:46.0,Defensive rebound by T. Jones,,10,14
52,1,5:39.0,A. Wiggins makes 2-pt jump shot from 16 ft,,12,14
53,1,5:22.0,,Shooting block foul by T. Jones (drawn by S. Dinwiddie),12,14
54,1,5:22.0,,S. Dinwiddie makes free throw 1 of 2,12,15
55,1,5:22.0,,S. Dinwiddie makes free throw 2 of 2,12,16
56,1,5:03.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Gibson),,14,16
57,1,4:45.0,,J. Allen makes 2-pt hook shot from 4 ft (assist by S. Dinwiddie),14,18
58,1,4:32.0,,N. Stauskas enters the game for D. Carroll,14,18
59,1,4:32.0,,Q. Acy enters the game for R. Hollis-Jefferson,14,18
60,1,4:32.0,G. Dieng enters the game for K. Towns,,14,18
61,1,4:26.0,G. Dieng makes 2-pt jump shot from 21 ft (assist by J. Butler),,16,18
62,1,4:00.0,,Turnover by N. Stauskas (traveling),16,18
63,1,3:46.0,A. Wiggins misses 2-pt jump shot from 15 ft,,16,18
64,1,3:42.0,,Defensive rebound by J. Harris,16,18
65,1,3:32.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,16,18
66,1,3:29.0,Defensive rebound by T. Gibson,,16,18
67,1,3:20.0,Shooting foul by J. Allen (drawn by J. Butler),,16,18
68,1,3:20.0,J. Butler makes free throw 1 of 2,,17,18
69,1,3:20.0,J. Butler makes free throw 2 of 2,,18,18
70,1,2:59.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),18,21
71,1,2:45.0,G. Dieng misses 2-pt jump shot from 18 ft,,18,21
72,1,2:41.0,,Defensive rebound by N. Stauskas,18,21
73,1,2:20.0,,S. Dinwiddie misses 2-pt jump shot from 11 ft,18,21
74,1,2:16.0,Defensive rebound by G. Dieng,,18,21
75,1,2:03.0,T. Gibson misses 2-pt jump shot from 7 ft (block by J. Allen),,18,21
76,1,2:00.0,,Defensive rebound by N. Stauskas,18,21
77,1,1:56.0,,Q. Acy misses 3-pt jump shot from 22 ft,18,21
78,1,1:52.0,Defensive rebound by T. Jones,,18,21
79,1,1:47.0,Turnover by T. Jones (bad pass),,18,21
80,1,1:47.0,Minnesota full timeout,,18,21
81,1,1:47.0,,A. Crabbe enters the game for S. Dinwiddie,18,21
82,1,1:47.0,J. Crawford enters the game for J. Butler,,18,21
83,1,1:47.0,N. Bjelica enters the game for T. Gibson,,18,21
84,1,1:31.0,,Turnover by Q. Acy (lost ball; steal by A. Wiggins),18,21
85,1,1:15.0,G. Dieng makes 2-pt jump shot from 18 ft (assist by A. Wiggins),,20,21
86,1,0:54.0,,N. Stauskas makes 3-pt jump shot from 24 ft (assist by J. Allen),20,24
87,1,0:39.0,A. Wiggins makes 2-pt layup from 1 ft,,22,24
88,1,0:33.0,,Turnover by N. Stauskas (lost ball; steal by G. Dieng),22,24
89,1,0:27.0,T. Jones misses 2-pt layup from 1 ft,,22,24
90,1,0:24.0,,Defensive rebound by A. Crabbe,22,24
91,1,0:03.0,,Turnover by Team (shot clock),22,24
92,1,0:03.0,K. Towns enters the game for G. Dieng,,22,24
93,1,0:00.0,A. Wiggins misses 3-pt jump shot from 30 ft,,22,24
94,1,0:00.0,Offensive rebound by Team,,22,24
95,2,11:47.0,,N. Stauskas misses 3-pt jump shot from 24 ft,22,24
