,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,OKLAHOMA CITY_ACTION,BROOKLYN_SCORE,OKLAHOMA CITY_SCORE
0,1,11:47.0,,S. Adams misses 2-pt jump shot from 5 ft,0,0
1,1,11:44.0,Defensive rebound by A. Crabbe,,0,0
2,1,11:22.0,A. Crabbe misses 3-pt jump shot from 24 ft,,0,0
3,1,11:20.0,,Defensive rebound by C. Anthony,0,0
4,1,11:16.0,,S. Adams misses 2-pt layup from 1 ft (block by T. Zeller),0,0
5,1,11:12.0,,Offensive rebound by S. Adams,0,0
6,1,11:08.0,,P. George makes 2-pt jump shot from 10 ft,0,2
7,1,10:48.0,D. Carroll misses 2-pt jump shot from 12 ft,,0,2
8,1,10:44.0,,Defensive rebound by P. George,0,2
9,1,10:42.0,,Shooting foul by S. Dinwiddie (drawn by R. Westbrook),0,2
10,1,10:42.0,,R. Westbrook makes free throw 1 of 2,0,3
11,1,10:42.0,,R. Westbrook makes free throw 2 of 2,0,4
12,1,10:33.0,A. Crabbe makes 2-pt layup from 1 ft,,2,4
13,1,10:21.0,,P. George misses 3-pt jump shot from 25 ft,2,4
14,1,10:19.0,Defensive rebound by T. Zeller,,2,4
15,1,10:03.0,S. Dinwiddie makes 3-pt jump shot from 22 ft (assist by D. Carroll),,5,4
16,1,9:53.0,,Personal foul by A. Crabbe (drawn by P. George),5,4
17,1,9:47.0,,P. George makes 2-pt jump shot from 12 ft (assist by R. Westbrook),5,6
18,1,9:37.0,Personal foul by R. Westbrook (drawn by R. Hollis-Jefferson),,5,6
19,1,9:32.0,D. Carroll misses 3-pt jump shot from 24 ft,,5,6
20,1,9:29.0,,Defensive rebound by A. Roberson,5,6
21,1,9:24.0,,R. Westbrook makes 2-pt jump shot from 19 ft,5,8
22,1,9:02.0,T. Zeller makes 2-pt jump shot from 7 ft (assist by A. Crabbe),,7,8
23,1,8:52.0,,R. Westbrook misses 2-pt jump shot from 19 ft,7,8
24,1,8:48.0,,Offensive rebound by S. Adams,7,8
25,1,8:46.0,,S. Adams misses 2-pt layup from 1 ft,7,8
26,1,8:46.0,,Offensive rebound by S. Adams,7,8
27,1,8:44.0,,S. Adams misses 2-pt layup at rim,7,8
28,1,8:44.0,,Offensive rebound by Team,7,8
29,1,8:42.0,,S. Adams misses 2-pt layup from 9 ft,7,8
30,1,8:42.0,Defensive rebound by R. Hollis-Jefferson,,7,8
31,1,8:35.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,,7,8
32,1,8:35.0,,Defensive rebound by S. Adams,7,8
33,1,8:26.0,,C. Anthony misses 2-pt jump shot from 17 ft,7,8
34,1,8:26.0,Defensive rebound by A. Crabbe,,7,8
35,1,8:01.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,7,8
36,1,8:01.0,Offensive rebound by Team,,7,8
37,1,8:00.0,Turnover by Team (shot clock),,7,8
38,1,7:52.0,,P. George misses 2-pt jump shot from 9 ft,7,8
39,1,7:46.0,Defensive rebound by R. Hollis-Jefferson,,7,8
40,1,7:45.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,9,8
41,1,7:33.0,,Shooting foul by T. Zeller (drawn by S. Adams),9,8
42,1,7:33.0,,S. Adams misses free throw 1 of 2,9,8
43,1,7:33.0,,Offensive rebound by Team,9,8
44,1,7:33.0,,S. Adams misses free throw 2 of 2,9,8
45,1,7:30.0,Defensive rebound by R. Hollis-Jefferson,,9,8
46,1,7:20.0,A. Crabbe misses 3-pt jump shot from 24 ft (block by A. Roberson),,9,8
47,1,7:17.0,,Defensive rebound by A. Roberson,9,8
48,1,7:14.0,,A. Roberson makes 2-pt layup from 1 ft (assist by P. George),9,10
49,1,6:46.0,A. Crabbe makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),,12,10
50,1,6:36.0,,R. Westbrook misses 2-pt jump shot from 11 ft,12,10
51,1,6:33.0,Defensive rebound by R. Hollis-Jefferson,,12,10
52,1,6:28.0,A. Crabbe misses 3-pt jump shot from 26 ft,,12,10
53,1,6:28.0,,Defensive rebound by R. Westbrook,12,10
54,1,6:19.0,,R. Westbrook makes 2-pt jump shot from 14 ft,12,12
55,1,6:19.0,Brooklyn full timeout,,12,12
56,1,5:57.0,T. Zeller makes 2-pt hook shot from 5 ft (assist by S. Dinwiddie),,14,12
57,1,5:29.0,,C. Anthony makes 2-pt jump shot from 7 ft,14,14
58,1,5:11.0,D. Carroll misses 2-pt jump shot from 5 ft,,14,14
59,1,5:10.0,,Defensive rebound by C. Anthony,14,14
60,1,4:53.0,,Turnover by R. Westbrook (bad pass; steal by A. Crabbe),14,14
61,1,4:47.0,T. Zeller misses 2-pt layup from 1 ft,,14,14
62,1,4:46.0,,Defensive rebound by S. Adams,14,14
63,1,4:40.0,,P. George misses 3-pt jump shot from 26 ft,14,14
64,1,4:37.0,Defensive rebound by T. Zeller,,14,14
65,1,4:21.0,A. Crabbe makes 3-pt jump shot from 22 ft (assist by T. Zeller),,17,14
66,1,4:04.0,,P. George makes 2-pt jump shot from 22 ft,17,16
67,1,3:40.0,A. Crabbe misses 2-pt layup at rim,,17,16
68,1,3:40.0,,Defensive rebound by P. George,17,16
69,1,3:32.0,,R. Westbrook misses 2-pt layup from 1 ft,17,16
70,1,3:32.0,Defensive rebound by R. Hollis-Jefferson,,17,16
71,1,3:26.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,20,16
72,1,3:02.0,,C. Anthony misses 2-pt jump shot from 14 ft,20,16
73,1,3:02.0,Defensive rebound by S. Dinwiddie,,20,16
74,1,2:51.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by C. Anthony),,20,16
75,1,2:51.0,,Defensive rebound by S. Adams,20,16
76,1,2:46.0,,P. George makes 2-pt layup from 1 ft,20,18
77,1,2:46.0,,Shooting foul by T. Zeller (drawn by P. George),20,18
78,1,2:46.0,,J. Grant enters the game for R. Westbrook,20,18
79,1,2:46.0,,T. Ferguson enters the game for C. Anthony,20,18
80,1,2:46.0,,R. Felton enters the game for A. Roberson,20,18
81,1,2:46.0,J. Harris enters the game for D. Carroll,,20,18
82,1,2:46.0,D. Russell enters the game for R. Hollis-Jefferson,,20,18
83,1,2:46.0,Q. Acy enters the game for T. Zeller,,20,18
84,1,2:46.0,J. Allen enters the game for A. Crabbe,,20,18
85,1,2:46.0,C. LeVert enters the game for S. Dinwiddie,,20,18
86,1,2:46.0,,P. George makes free throw 1 of 1,20,19
87,1,2:28.0,Turnover by D. Russell (bad pass; steal by S. Adams),,20,19
88,1,2:19.0,,P. George misses 2-pt layup from 2 ft (block by J. Harris),20,19
89,1,2:16.0,,Offensive rebound by S. Adams,20,19
90,1,2:15.0,,S. Adams makes 2-pt hook shot from 1 ft,20,21
91,1,2:00.0,Turnover by J. Harris (bad pass; steal by S. Adams),,20,21
92,1,2:00.0,Loose ball foul by J. Allen (drawn by P. George),,20,21
93,1,2:00.0,,P. George makes free throw 1 of 2,20,22
94,1,2:00.0,,P. Patterson enters the game for S. Adams,20,22
95,1,2:00.0,,P. George makes free throw 2 of 2,20,23
96,1,1:40.0,D. Russell misses 3-pt jump shot from 24 ft,,20,23
97,1,1:37.0,,Defensive rebound by J. Grant,20,23
98,1,1:31.0,,R. Felton misses 2-pt jump shot from 13 ft,20,23
99,1,1:31.0,Defensive rebound by C. LeVert,,20,23
100,1,1:10.0,J. Allen makes 2-pt jump shot from 10 ft (assist by C. LeVert),,22,23
101,1,0:56.0,,P. George makes 3-pt jump shot from 22 ft (assist by R. Felton),22,26
102,1,0:37.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,25,26
103,1,0:33.0,,R. Felton makes 2-pt jump shot from 16 ft,25,28
104,1,0:15.0,Shooting foul by J. Grant (drawn by J. Allen),,25,28
105,1,0:15.0,J. Allen makes free throw 1 of 2,,26,28
106,1,0:15.0,R. Hollis-Jefferson enters the game for D. Russell,,26,28
107,1,0:15.0,J. Allen misses free throw 2 of 2,,26,28
108,1,0:14.0,,Defensive rebound by P. George,26,28
109,1,0:01.0,,P. George makes 2-pt jump shot from 15 ft (assist by R. Felton),26,30
110,2,11:40.0,J. Harris makes 2-pt jump shot from 12 ft (assist by C. LeVert),,28,30
111,2,11:19.0,,T. Ferguson misses 3-pt jump shot from 25 ft,28,30
112,2,11:16.0,Defensive rebound by J. Allen,,28,30
113,2,10:54.0,D. Russell misses 2-pt jump shot from 11 ft,,28,30
114,2,10:52.0,Offensive rebound by J. Allen,,28,30
115,2,10:51.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),,31,30
116,2,10:34.0,,Turnover by R. Felton (bad pass),31,30
117,2,10:24.0,J. Allen misses 2-pt layup from 1 ft,,31,30
118,2,10:22.0,Offensive rebound by Q. Acy,,31,30
119,2,10:11.0,J. Harris misses 2-pt layup from 5 ft (block by T. Ferguson),,31,30
120,2,10:09.0,,Defensive rebound by J. Grant,31,30
121,2,10:00.0,,J. Grant makes 2-pt layup from 2 ft (assist by R. Felton),31,32
122,2,9:39.0,C. LeVert makes 2-pt jump shot from 1 ft,,33,32
123,2,9:25.0,,R. Felton makes 2-pt jump shot from 18 ft,33,34
124,2,9:09.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,36,34
125,2,8:52.0,,J. Grant misses 2-pt jump shot from 18 ft,36,34
126,2,8:50.0,Defensive rebound by Q. Acy,,36,34
127,2,8:31.0,Turnover by D. Russell (lost ball; steal by P. Patterson),,36,34
128,2,8:21.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by R. Felton),36,37
129,2,8:20.0,Brooklyn full timeout,,36,37
130,2,8:20.0,,R. Westbrook enters the game for T. Ferguson,36,37
131,2,8:20.0,J. Okafor enters the game for J. Allen,,36,37
132,2,7:57.0,C. LeVert misses 2-pt jump shot from 22 ft,,36,37
133,2,7:54.0,,Defensive rebound by P. Patterson,36,37
134,2,7:49.0,,R. Westbrook misses 3-pt jump shot from 25 ft,36,37
135,2,7:46.0,Defensive rebound by C. LeVert,,36,37
136,2,7:38.0,J. Okafor makes 2-pt layup at rim (assist by C. LeVert),,38,37
137,2,7:22.0,,J. Huestis misses 3-pt jump shot from 23 ft,38,37
138,2,7:18.0,Defensive rebound by Team,,38,37
139,2,7:18.0,,C. Anthony enters the game for J. Grant,38,37
140,2,6:56.0,Q. Acy makes 3-pt jump shot from 24 ft (assist by D. Russell),,41,37
141,2,6:40.0,,R. Felton misses 2-pt jump shot from 19 ft,41,37
142,2,6:38.0,Defensive rebound by Q. Acy,,41,37
143,2,6:33.0,Shooting foul by J. Huestis (drawn by J. Okafor),,41,37
144,2,6:33.0,J. Okafor makes free throw 1 of 2,,42,37
145,2,6:33.0,,S. Adams enters the game for R. Felton,42,37
146,2,6:33.0,,P. George enters the game for J. Huestis,42,37
