,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHOENIX_ACTION,MINNESOTA_SCORE,PHOENIX_SCORE
0,1,11:39.0,K. Towns misses 2-pt jump shot from 12 ft,,0,0
1,1,11:33.0,,Defensive rebound by D. Booker,0,0
2,1,11:23.0,,T. Ulis misses 2-pt layup from 1 ft (block by J. Teague),0,0
3,1,11:23.0,Defensive rebound by Team,,0,0
4,1,11:11.0,Turnover by J. Teague (bad pass),,0,0
5,1,10:59.0,,T. Warren makes 2-pt jump shot from 16 ft,0,2
6,1,10:46.0,A. Wiggins misses 2-pt jump shot from 11 ft (block by T. Warren),,0,2
7,1,10:42.0,,Defensive rebound by D. Booker,0,2
8,1,10:37.0,,M. Chriss misses 3-pt jump shot from 25 ft,0,2
9,1,10:35.0,Defensive rebound by K. Towns,,0,2
10,1,10:26.0,J. Butler misses 2-pt jump shot from 14 ft,,0,2
11,1,10:24.0,Offensive rebound by T. Gibson,,0,2
12,1,10:24.0,Shooting foul by M. Chriss (drawn by T. Gibson),,0,2
13,1,10:24.0,T. Gibson misses free throw 1 of 2,,0,2
14,1,10:24.0,Offensive rebound by Team,,0,2
15,1,10:24.0,T. Gibson misses free throw 2 of 2,,0,2
16,1,10:22.0,Offensive rebound by K. Towns,,0,2
17,1,10:20.0,K. Towns misses 2-pt hook shot from 9 ft,,0,2
18,1,10:18.0,,Defensive rebound by M. Chriss,0,2
19,1,10:11.0,,D. Booker makes 2-pt jump shot from 20 ft,0,4
20,1,9:44.0,J. Teague misses 2-pt jump shot from 7 ft,,0,4
21,1,9:42.0,,Defensive rebound by T. Chandler,0,4
22,1,9:39.0,,T. Warren misses 2-pt jump shot from 15 ft,0,4
23,1,9:35.0,Defensive rebound by T. Gibson,,0,4
24,1,9:24.0,A. Wiggins makes 2-pt layup at rim,,2,4
25,1,9:17.0,,D. Booker misses 3-pt jump shot from 23 ft,2,4
26,1,9:13.0,Defensive rebound by K. Towns,,2,4
27,1,9:03.0,A. Wiggins misses 2-pt jump shot from 18 ft,,2,4
28,1,9:01.0,,Defensive rebound by D. Booker,2,4
29,1,8:52.0,,T. Ulis misses 2-pt jump shot from 20 ft,2,4
30,1,8:49.0,Defensive rebound by J. Teague,,2,4
31,1,8:46.0,K. Towns makes 2-pt dunk at rim (assist by J. Teague),,4,4
32,1,8:23.0,,T. Warren makes 2-pt layup at rim,4,6
33,1,8:16.0,Personal foul by T. Ulis (drawn by J. Teague),,4,6
34,1,8:10.0,J. Butler misses 2-pt jump shot from 22 ft,,4,6
35,1,8:06.0,Offensive rebound by T. Gibson,,4,6
36,1,8:02.0,T. Gibson makes 2-pt hook shot from 4 ft,,6,6
37,1,7:53.0,,Turnover by T. Warren (lost ball; steal by J. Teague),6,6
38,1,7:50.0,J. Butler makes 2-pt layup at rim (assist by J. Teague),,8,6
39,1,7:50.0,Shooting foul by T. Warren (drawn by J. Butler),,8,6
40,1,7:50.0,J. Butler makes free throw 1 of 1,,9,6
41,1,7:39.0,,Turnover by D. Booker (bad pass; steal by T. Gibson),9,6
42,1,7:32.0,T. Gibson misses 3-pt jump shot from 22 ft,,9,6
43,1,7:31.0,,Defensive rebound by Team,9,6
44,1,7:31.0,Loose ball foul by K. Towns (drawn by T. Chandler),,9,6
45,1,7:09.0,,T. Warren makes 2-pt jump shot from 10 ft,9,8
46,1,6:49.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),,12,8
47,1,6:27.0,,D. Booker misses 2-pt jump shot from 7 ft,12,8
48,1,6:26.0,Defensive rebound by T. Gibson,,12,8
49,1,6:19.0,J. Butler misses 2-pt jump shot from 15 ft,,12,8
50,1,6:14.0,Offensive rebound by J. Butler,,12,8
51,1,6:14.0,J. Butler misses 2-pt layup at rim (block by M. Chriss),,12,8
52,1,6:11.0,,Defensive rebound by M. Chriss,12,8
53,1,6:09.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by M. Chriss),12,11
54,1,5:54.0,J. Butler misses 2-pt dunk at rim (block by M. Chriss),,12,11
55,1,5:52.0,,Defensive rebound by T. Ulis,12,11
56,1,5:44.0,,Personal foul by J. Teague (drawn by T. Ulis),12,11
57,1,5:44.0,,Phoenix full timeout,12,11
58,1,5:44.0,,A. Len enters the game for M. Chriss,12,11
59,1,5:44.0,,D. Bender enters the game for T. Chandler,12,11
60,1,5:38.0,,T. Warren makes 2-pt layup from 1 ft (assist by D. Bender),12,13
61,1,5:22.0,Turnover by J. Teague (bad pass; steal by D. Booker),,12,13
62,1,5:18.0,,D. Bender misses 2-pt layup from 1 ft,12,13
63,1,5:15.0,Defensive rebound by J. Butler,,12,13
64,1,5:12.0,Shooting foul by T. Ulis (drawn by J. Butler),,12,13
65,1,5:12.0,J. Butler makes free throw 1 of 2,,13,13
66,1,5:12.0,,M. James enters the game for T. Ulis,13,13
67,1,5:12.0,N. Bjelica enters the game for K. Towns,,13,13
68,1,5:12.0,J. Butler makes free throw 2 of 2,,14,13
69,1,5:00.0,,D. Bender misses 3-pt jump shot from 25 ft,14,13
70,1,4:56.0,Defensive rebound by A. Wiggins,,14,13
71,1,4:42.0,Offensive foul by J. Teague (drawn by D. Booker),,14,13
72,1,4:42.0,Turnover by J. Teague (offensive foul),,14,13
73,1,4:42.0,T. Jones enters the game for J. Teague,,14,13
74,1,4:21.0,,T. Warren makes 2-pt jump shot from 17 ft (assist by A. Len),14,15
75,1,3:54.0,T. Gibson misses 2-pt jump shot from 19 ft,,14,15
76,1,3:52.0,,Defensive rebound by T. Warren,14,15
77,1,3:40.0,,T. Warren misses 2-pt jump shot from 21 ft,14,15
78,1,3:38.0,Defensive rebound by T. Jones,,14,15
79,1,3:29.0,T. Gibson misses 2-pt jump shot from 8 ft,,14,15
80,1,3:27.0,,Defensive rebound by D. Booker,14,15
81,1,3:08.0,,D. Bender makes 2-pt layup at rim (assist by M. James),14,17
82,1,2:53.0,T. Jones makes 2-pt jump shot from 2 ft,,16,17
83,1,2:36.0,,D. Bender misses 3-pt jump shot from 26 ft,16,17
84,1,2:34.0,Defensive rebound by T. Gibson,,16,17
85,1,2:26.0,Shooting foul by M. James (drawn by T. Gibson),,16,17
86,1,2:26.0,Minnesota full timeout,,16,17
87,1,2:26.0,,J. Jackson enters the game for T. Warren,16,17
88,1,2:26.0,T. Gibson makes free throw 1 of 2,,17,17
89,1,2:26.0,T. Gibson makes free throw 2 of 2,,18,17
90,1,2:08.0,,Turnover by J. Jackson (lost ball; steal by A. Wiggins),18,17
91,1,2:04.0,A. Wiggins makes 2-pt layup from 1 ft,,20,17
92,1,1:52.0,,D. Bender misses 2-pt layup from 4 ft,20,17
93,1,1:52.0,Defensive rebound by Team,,20,17
94,1,1:35.0,N. Bjelica misses 3-pt jump shot from 25 ft,,20,17
95,1,1:34.0,Offensive rebound by J. Butler,,20,17
96,1,1:34.0,Personal foul by D. Booker (drawn by J. Butler),,20,17
97,1,1:34.0,J. Butler makes free throw 1 of 2,,21,17
98,1,1:34.0,,T. Daniels enters the game for D. Booker,21,17
99,1,1:34.0,J. Butler makes free throw 2 of 2,,22,17
100,1,1:20.0,,T. Daniels misses 3-pt jump shot from 23 ft,22,17
101,1,1:17.0,Defensive rebound by J. Butler,,22,17
102,1,1:04.0,A. Wiggins makes 2-pt jump shot from 17 ft (assist by J. Butler),,24,17
103,1,0:45.0,,Shooting foul by T. Gibson (drawn by J. Jackson),24,17
104,1,0:45.0,,J. Jackson misses free throw 1 of 2,24,17
105,1,0:45.0,,Offensive rebound by Team,24,17
106,1,0:45.0,,J. Jackson misses free throw 2 of 2,24,17
107,1,0:44.0,Defensive rebound by N. Bjelica,,24,17
108,1,0:37.0,Personal foul by J. Jackson (drawn by A. Wiggins),,24,17
109,1,0:37.0,A. Wiggins makes free throw 1 of 2,,25,17
