,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MIAMI_ACTION,LA LAKERS_SCORE,MIAMI_SCORE
0,1,11:44.0,,Turnover by H. Whiteside (lost ball; steal by L. Ball),0,0
1,1,11:38.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Ingram),,2,0
2,1,11:26.0,,G. Dragić makes 2-pt jump shot from 6 ft,2,2
3,1,11:08.0,J. Randle misses 2-pt hook shot from 3 ft,,2,2
4,1,11:08.0,,Defensive rebound by H. Whiteside,2,2
5,1,10:52.0,,G. Dragić misses 3-pt jump shot from 23 ft,2,2
6,1,10:49.0,Defensive rebound by B. Ingram,,2,2
7,1,10:40.0,J. Randle makes 2-pt jump shot from 17 ft,,4,2
8,1,10:16.0,,Shooting foul by J. Randle (drawn by H. Whiteside),4,2
9,1,10:16.0,,H. Whiteside makes free throw 1 of 2,4,3
10,1,10:16.0,,H. Whiteside makes free throw 2 of 2,4,4
11,1,10:04.0,Personal foul by K. Olynyk (drawn by B. Lopez),,4,4
12,1,9:59.0,B. Lopez makes 2-pt jump shot from 10 ft,,6,4
13,1,9:43.0,,G. Dragić misses 3-pt jump shot from 23 ft,6,4
14,1,9:40.0,Defensive rebound by L. Ball,,6,4
15,1,9:34.0,B. Ingram makes 2-pt layup from 1 ft (assist by L. Ball),,8,4
16,1,9:22.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by G. Dragić),8,7
17,1,9:07.0,J. Randle makes 2-pt hook shot from 3 ft (assist by L. Ball),,10,7
18,1,9:07.0,Shooting foul by H. Whiteside (drawn by J. Randle),,10,7
19,1,9:07.0,J. Randle makes free throw 1 of 1,,11,7
20,1,8:56.0,,Turnover by J. Winslow (bad pass; steal by L. Ball),11,7
21,1,8:48.0,J. Randle makes 2-pt layup from 2 ft,,13,7
22,1,8:34.0,,J. Richardson misses 3-pt jump shot from 26 ft,13,7
23,1,8:34.0,Defensive rebound by L. Ball,,13,7
24,1,8:26.0,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by J. Randle),,16,7
25,1,8:25.0,,Miami full timeout,16,7
26,1,8:14.0,,K. Olynyk misses 3-pt jump shot from 25 ft,16,7
27,1,8:12.0,Defensive rebound by L. Ball,,16,7
28,1,8:00.0,K. Caldwell-Pope misses 2-pt jump shot from 7 ft,,16,7
29,1,7:54.0,Offensive rebound by J. Randle,,16,7
30,1,7:54.0,J. Randle makes 2-pt layup at rim,,18,7
31,1,7:52.0,,Personal block foul by K. Caldwell-Pope (drawn by J. Richardson),18,7
32,1,7:45.0,,Personal foul by B. Lopez (drawn by J. Richardson),18,7
33,1,7:40.0,,J. Richardson misses 2-pt jump shot from 11 ft,18,7
34,1,7:37.0,Defensive rebound by B. Ingram,,18,7
35,1,7:32.0,J. Randle makes 2-pt layup from 1 ft (assist by L. Ball),,20,7
36,1,7:14.0,,K. Olynyk misses 3-pt jump shot from 25 ft,20,7
37,1,7:11.0,Defensive rebound by B. Ingram,,20,7
38,1,7:05.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Richardson),,20,7
39,1,7:00.0,,J. Winslow makes 2-pt layup from 1 ft (assist by J. Richardson),20,9
40,1,6:40.0,Turnover by J. Randle (bad pass; steal by J. Winslow),,20,9
41,1,6:39.0,,B. Adebayo enters the game for H. Whiteside,20,9
42,1,6:39.0,,J. Johnson enters the game for K. Olynyk,20,9
43,1,6:20.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Richardson),20,11
