,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SAN ANTONIO_ACTION,CHARLOTTE_SCORE,SAN ANTONIO_SCORE
0,1,11:42.0,D. Bacon makes 3-pt jump shot from 24 ft (assist by K. Walker),,3,0
1,1,11:26.0,,L. Aldridge misses 2-pt jump shot from 17 ft,3,0
2,1,11:22.0,Defensive rebound by D. Howard,,3,0
3,1,11:14.0,M. Williams misses 2-pt jump shot from 14 ft,,3,0
4,1,11:12.0,,Defensive rebound by L. Aldridge,3,0
5,1,10:59.0,,P. Gasol misses 3-pt jump shot from 22 ft,3,0
6,1,10:56.0,Defensive rebound by D. Bacon,,3,0
7,1,10:50.0,D. Howard misses 2-pt jump shot from 16 ft,,3,0
8,1,10:46.0,,Defensive rebound by D. Green,3,0
9,1,10:37.0,,P. Mills makes 2-pt jump shot from 20 ft (assist by P. Gasol),3,2
10,1,10:12.0,J. Lamb misses 2-pt jump shot from 14 ft,,3,2
11,1,10:10.0,,Defensive rebound by D. Green,3,2
12,1,10:06.0,,D. Green makes 2-pt jump shot from 17 ft,3,4
13,1,9:49.0,K. Walker misses 3-pt jump shot from 25 ft,,3,4
14,1,9:47.0,,Defensive rebound by K. Anderson,3,4
15,1,9:42.0,,L. Aldridge makes 3-pt jump shot from 25 ft (assist by K. Anderson),3,7
16,1,9:21.0,K. Walker makes 2-pt jump shot from 9 ft,,5,7
17,1,9:01.0,,P. Mills misses 3-pt jump shot from 22 ft,5,7
18,1,8:59.0,Defensive rebound by D. Howard,,5,7
19,1,8:52.0,M. Williams makes 3-pt jump shot from 25 ft (assist by J. Lamb),,8,7
20,1,8:31.0,,K. Anderson makes 2-pt jump shot from 7 ft (assist by P. Mills),8,9
21,1,8:11.0,Turnover by D. Howard (bad pass),,8,9
22,1,7:49.0,,D. Green misses 2-pt jump shot from 14 ft,8,9
23,1,7:49.0,,Offensive rebound by L. Aldridge,8,9
24,1,7:49.0,,L. Aldridge makes 2-pt hook shot at rim,8,11
25,1,7:49.0,Violation by D. Howard (def goaltending),,8,11
26,1,7:35.0,D. Bacon misses 2-pt jump shot from 19 ft,,8,11
27,1,7:30.0,Offensive rebound by D. Howard,,8,11
28,1,7:28.0,D. Howard misses 2-pt layup from 2 ft (block by P. Gasol),,8,11
29,1,7:28.0,Offensive rebound by D. Howard,,8,11
