,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
0,1,11:46.0,J. Teague makes 2-pt jump shot from 2 ft,,2,0
1,1,11:23.0,,A. Bradley misses 2-pt jump shot from 22 ft,2,0
2,1,11:20.0,Defensive rebound by K. Towns,,2,0
3,1,11:12.0,Personal foul by A. Drummond (drawn by T. Gibson),,2,0
4,1,11:04.0,Personal foul by R. Jackson (drawn by J. Teague),,2,0
5,1,10:58.0,A. Wiggins makes 2-pt jump shot from 16 ft,,4,0
6,1,10:44.0,,T. Harris misses 2-pt jump shot from 16 ft,4,0
7,1,10:42.0,Defensive rebound by S. Muhammad,,4,0
8,1,10:27.0,J. Teague makes 3-pt jump shot from 26 ft (assist by S. Muhammad),,7,0
9,1,10:01.0,,T. Harris misses 2-pt layup from 7 ft (block by T. Gibson),7,0
10,1,9:58.0,Defensive rebound by K. Towns,,7,0
11,1,9:50.0,A. Wiggins misses 2-pt jump shot from 13 ft,,7,0
12,1,9:47.0,,Defensive rebound by A. Drummond,7,0
13,1,9:39.0,,S. Johnson misses 3-pt jump shot from 23 ft,7,0
14,1,9:37.0,Defensive rebound by K. Towns,,7,0
15,1,9:25.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),,9,0
16,1,9:15.0,,Detroit full timeout,9,0
17,1,9:06.0,,A. Bradley misses 2-pt jump shot from 14 ft,9,0
18,1,9:01.0,,Offensive rebound by A. Drummond,9,0
19,1,9:01.0,,A. Drummond makes 2-pt layup at rim,9,2
20,1,8:50.0,K. Towns misses 2-pt jump shot from 9 ft,,9,2
21,1,8:50.0,,Defensive rebound by A. Drummond,9,2
22,1,8:35.0,,A. Bradley makes 2-pt jump shot from 21 ft,9,4
23,1,8:28.0,J. Teague misses 2-pt layup from 6 ft (block by A. Drummond),,9,4
24,1,8:27.0,Offensive rebound by Team,,9,4
25,1,8:18.0,Shooting foul by T. Harris (drawn by A. Wiggins),,9,4
26,1,8:18.0,A. Wiggins misses free throw 1 of 2,,9,4
27,1,8:18.0,Offensive rebound by Team,,9,4
28,1,8:18.0,A. Wiggins makes free throw 2 of 2,,10,4
29,1,8:08.0,,R. Jackson misses 3-pt jump shot from 26 ft,10,4
30,1,8:04.0,Defensive rebound by A. Wiggins,,10,4
31,1,7:57.0,T. Gibson misses 2-pt hook shot from 7 ft,,10,4
32,1,7:53.0,,Defensive rebound by S. Johnson,10,4
33,1,7:46.0,,T. Harris misses 2-pt jump shot from 13 ft,10,4
34,1,7:45.0,,Offensive rebound by A. Drummond,10,4
35,1,7:43.0,,A. Drummond makes 2-pt layup from 1 ft,10,6
36,1,7:33.0,T. Gibson misses 2-pt layup from 10 ft,,10,6
37,1,7:31.0,,Defensive rebound by A. Drummond,10,6
38,1,7:26.0,,A. Bradley misses 3-pt jump shot from 22 ft,10,6
39,1,7:24.0,Defensive rebound by K. Towns,,10,6
40,1,7:15.0,S. Muhammad misses 3-pt jump shot from 25 ft,,10,6
41,1,7:11.0,,Defensive rebound by A. Bradley,10,6
42,1,7:07.0,,A. Bradley misses 2-pt jump shot from 14 ft,10,6
43,1,7:07.0,,Offensive rebound by A. Drummond,10,6
44,1,7:00.0,,T. Harris misses 3-pt jump shot from 26 ft,10,6
45,1,6:57.0,Defensive rebound by S. Muhammad,,10,6
46,1,6:50.0,A. Wiggins makes 2-pt jump shot from 13 ft,,12,6
47,1,6:50.0,Shooting foul by S. Johnson (drawn by A. Wiggins),,12,6
48,1,6:50.0,A. Wiggins makes free throw 1 of 1,,13,6
49,1,6:30.0,,T. Harris makes 2-pt jump shot from 8 ft,13,8
50,1,6:14.0,,Violation by T. Harris (kicked ball),13,8
51,1,6:04.0,A. Wiggins misses 2-pt jump shot from 9 ft,,13,8
52,1,6:00.0,,Defensive rebound by A. Drummond,13,8
53,1,5:43.0,,A. Bradley misses 2-pt jump shot from 19 ft,13,8
54,1,5:41.0,Defensive rebound by A. Wiggins,,13,8
55,1,5:37.0,Turnover by A. Wiggins (bad pass; steal by S. Johnson),,13,8
56,1,5:34.0,,S. Johnson makes 2-pt layup at rim,13,10
57,1,5:22.0,J. Teague makes 2-pt jump shot from 9 ft,,15,10
58,1,5:00.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by T. Harris),15,13
59,1,4:44.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),,18,13
60,1,4:25.0,,Turnover by A. Drummond (bad pass; steal by J. Teague),18,13
61,1,4:12.0,T. Gibson misses 2-pt hook shot from 5 ft,,18,13
62,1,4:10.0,Offensive rebound by Team,,18,13
63,1,4:10.0,,I. Smith enters the game for R. Jackson,18,13
64,1,4:06.0,A. Wiggins misses 2-pt layup from 8 ft,,18,13
