,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
0,1,11:52.0,,L. Ball misses 3-pt jump shot from 26 ft,0,0
1,1,11:48.0,Defensive rebound by C. LeVert,,0,0
2,1,11:43.0,C. LeVert misses 2-pt jump shot from 4 ft (block by B. Lopez),,0,0
3,1,11:40.0,,Defensive rebound by L. Ball,0,0
4,1,11:37.0,,L. Ball makes 2-pt jump shot from 8 ft,0,2
5,1,11:22.0,D. Russell misses 3-pt jump shot from 27 ft,,0,2
6,1,11:17.0,,Defensive rebound by K. Kuzma,0,2
7,1,11:10.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),0,4
8,1,11:01.0,D. Carroll misses 3-pt jump shot from 24 ft,,0,4
9,1,10:59.0,,Defensive rebound by K. Caldwell-Pope,0,4
10,1,10:48.0,,K. Kuzma misses 3-pt jump shot from 25 ft,0,4
11,1,10:45.0,Defensive rebound by D. Carroll,,0,4
12,1,10:30.0,D. Russell makes 2-pt layup from 3 ft (assist by R. Hollis-Jefferson),,2,4
13,1,10:13.0,,L. Ball misses 2-pt jump shot from 3 ft,2,4
14,1,10:10.0,Defensive rebound by T. Mozgov,,2,4
15,1,9:52.0,Turnover by R. Hollis-Jefferson (bad pass),,2,4
16,1,9:30.0,,B. Ingram makes 2-pt jump shot from 3 ft,2,6
17,1,9:19.0,D. Russell makes 2-pt jump shot from 16 ft,,4,6
18,1,9:10.0,,L. Ball misses 2-pt layup from 1 ft,4,6
19,1,9:07.0,Defensive rebound by D. Carroll,,4,6
20,1,9:04.0,C. LeVert makes 3-pt jump shot from 26 ft (assist by D. Carroll),,7,6
21,1,8:50.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by L. Ball),7,9
22,1,8:23.0,D. Carroll makes 2-pt jump shot from 5 ft,,9,9
23,1,8:08.0,,Turnover by B. Lopez (bad pass; steal by D. Russell),9,9
24,1,8:00.0,D. Carroll misses 3-pt jump shot from 25 ft,,9,9
25,1,7:57.0,,Defensive rebound by B. Ingram,9,9
26,1,7:47.0,,B. Ingram makes 2-pt jump shot from 18 ft,9,11
27,1,7:18.0,Turnover by C. LeVert (bad pass; steal by K. Caldwell-Pope),,9,11
28,1,7:15.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,9,13
29,1,7:00.0,D. Russell misses 3-pt jump shot from 25 ft,,9,13
30,1,6:58.0,,Defensive rebound by L. Ball,9,13
31,1,6:53.0,,B. Lopez misses 3-pt jump shot from 26 ft,9,13
32,1,6:50.0,Defensive rebound by D. Russell,,9,13
33,1,6:38.0,R. Hollis-Jefferson makes 2-pt jump shot from 13 ft (assist by D. Russell),,11,13
34,1,6:25.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by L. Ball),11,15
35,1,6:25.0,Brooklyn full timeout,,11,15
36,1,6:25.0,A. Crabbe enters the game for D. Carroll,,11,15
37,1,6:25.0,T. Zeller enters the game for T. Mozgov,,11,15
38,1,6:09.0,Turnover by T. Zeller (lost ball; steal by L. Ball),,11,15
39,1,6:03.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,11,15
40,1,6:02.0,Defensive rebound by Team,,11,15
41,1,5:48.0,A. Crabbe misses 2-pt jump shot from 6 ft,,11,15
42,1,5:43.0,,Defensive rebound by B. Lopez,11,15
43,1,5:36.0,,B. Lopez misses 2-pt jump shot from 7 ft (block by T. Zeller),11,15
44,1,5:36.0,,Offensive rebound by Team,11,15
45,1,5:36.0,J. Harris enters the game for C. LeVert,,11,15
46,1,5:30.0,,K. Kuzma makes 2-pt layup from 1 ft,11,17
47,1,5:18.0,D. Russell misses 2-pt layup from 2 ft,,11,17
48,1,5:18.0,,Defensive rebound by K. Caldwell-Pope,11,17
49,1,5:11.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft,11,19
50,1,5:01.0,T. Zeller makes 2-pt layup from 2 ft (assist by D. Russell),,13,19
51,1,4:43.0,,B. Lopez misses 2-pt jump shot from 9 ft,13,19
52,1,4:43.0,Defensive rebound by A. Crabbe,,13,19
53,1,4:33.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by T. Zeller),,16,19
54,1,4:33.0,,LA Lakers full timeout,16,19
55,1,4:33.0,,J. Randle enters the game for K. Kuzma,16,19
56,1,4:33.0,,J. Clarkson enters the game for B. Lopez,16,19
57,1,4:33.0,S. Dinwiddie enters the game for D. Russell,,16,19
58,1,4:13.0,,J. Clarkson makes 2-pt layup from 2 ft,16,21
59,1,4:13.0,,Shooting foul by S. Dinwiddie (drawn by J. Clarkson),16,21
60,1,4:13.0,,J. Hart enters the game for L. Ball,16,21
61,1,4:13.0,,J. Clarkson makes free throw 1 of 1,16,22
62,1,4:03.0,Shooting foul by J. Hart (drawn by A. Crabbe),,16,22
63,1,4:03.0,A. Crabbe makes free throw 1 of 3,,17,22
64,1,4:03.0,A. Crabbe misses free throw 2 of 3,,17,22
65,1,4:03.0,Offensive rebound by Team,,17,22
66,1,4:03.0,A. Crabbe makes free throw 3 of 3,,18,22
67,1,3:45.0,,J. Clarkson makes 2-pt jump shot from 18 ft (assist by J. Randle),18,24
68,1,3:36.0,T. Zeller makes 2-pt layup from 2 ft (assist by R. Hollis-Jefferson),,20,24
69,1,3:36.0,Shooting foul by B. Ingram (drawn by T. Zeller),,20,24
70,1,3:36.0,T. Zeller misses free throw 1 of 1,,20,24
71,1,3:34.0,,Defensive rebound by J. Randle,20,24
72,1,3:21.0,,J. Randle misses 2-pt jump shot from 18 ft,20,24
73,1,3:17.0,Defensive rebound by S. Dinwiddie,,20,24
74,1,3:12.0,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Ingram),,20,24
75,1,3:08.0,,Shooting foul by T. Zeller (drawn by B. Ingram),20,24
76,1,3:08.0,,B. Ingram misses free throw 1 of 2,20,24
