,QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
0,1,11:43.0,R. Bullock makes 2-pt jump shot from 14 ft (assist by B. Griffin),,2,0
1,1,11:13.0,,N. Jokić misses 2-pt hook shot from 4 ft,2,0
2,1,11:11.0,,Offensive rebound by N. Jokić,2,0
3,1,11:11.0,,N. Jokić makes 2-pt layup at rim,2,2
4,1,10:58.0,Personal foul by G. Harris (drawn by R. Bullock),,2,2
5,1,10:48.0,I. Smith makes 2-pt layup from 1 ft (assist by B. Griffin),,4,2
6,1,10:38.0,,Personal foul by J. Ennis (drawn by W. Chandler),4,2
7,1,10:30.0,,G. Harris makes 2-pt layup from 1 ft,4,4
8,1,10:20.0,R. Bullock misses 3-pt jump shot from 24 ft,,4,4
9,1,10:16.0,,Defensive rebound by J. Murray,4,4
10,1,10:07.0,,P. Millsap misses 2-pt layup from 2 ft,4,4
11,1,10:05.0,Defensive rebound by A. Drummond,,4,4
12,1,10:00.0,B. Griffin misses 2-pt jump shot from 10 ft,,4,4
13,1,9:56.0,,Defensive rebound by W. Chandler,4,4
14,1,9:52.0,,W. Chandler misses 2-pt layup from 2 ft,4,4
15,1,9:50.0,,Offensive rebound by W. Chandler,4,4
16,1,9:49.0,,N. Jokić makes 2-pt layup from 1 ft (assist by W. Chandler),4,6
17,1,9:49.0,,Shooting foul by B. Griffin (drawn by N. Jokić),4,6
18,1,9:49.0,,N. Jokić makes free throw 1 of 1,4,7
19,1,9:33.0,B. Griffin makes 3-pt jump shot from 22 ft (assist by R. Bullock),,7,7
20,1,9:22.0,,P. Millsap misses 2-pt jump shot from 16 ft,7,7
21,1,9:19.0,Defensive rebound by J. Ennis,,7,7
22,1,9:13.0,A. Drummond misses 2-pt hook shot from 2 ft (block by N. Jokić),,7,7
23,1,9:12.0,Offensive rebound by A. Drummond,,7,7
24,1,9:12.0,A. Drummond misses 2-pt layup from 2 ft,,7,7
25,1,9:12.0,,Defensive rebound by Team,7,7
26,1,9:02.0,,N. Jokić misses 2-pt jump shot from 19 ft,7,7
27,1,8:59.0,Defensive rebound by B. Griffin,,7,7
28,1,8:47.0,A. Drummond makes 2-pt hook shot from 7 ft,,9,7
29,1,8:32.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),9,9
30,1,8:13.0,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),,11,9
31,1,8:01.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),11,12
32,1,7:42.0,Shooting foul by P. Millsap (drawn by B. Griffin),,11,12
33,1,7:42.0,B. Griffin makes free throw 1 of 2,,12,12
34,1,7:42.0,B. Griffin makes free throw 2 of 2,,13,12
35,1,7:31.0,,W. Chandler misses 2-pt layup from 2 ft (block by A. Drummond),13,12
36,1,7:28.0,Defensive rebound by I. Smith,,13,12
37,1,7:24.0,I. Smith makes 2-pt jump shot from 16 ft,,15,12
38,1,7:11.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by P. Millsap),15,15
39,1,6:55.0,Turnover by A. Drummond (traveling),,15,15
40,1,6:55.0,,Denver full timeout,15,15
41,1,6:43.0,,N. Jokić makes 2-pt jump shot from 14 ft (assist by G. Harris),15,17
42,1,6:27.0,R. Bullock makes 2-pt jump shot from 15 ft (assist by A. Drummond),,17,17
43,1,6:16.0,,N. Jokić misses 3-pt jump shot from 24 ft,17,17
44,1,6:14.0,Defensive rebound by B. Griffin,,17,17
45,1,6:10.0,Turnover by I. Smith (bad pass; steal by N. Jokić),,17,17
46,1,5:55.0,,P. Millsap makes 2-pt jump shot from 4 ft (assist by W. Chandler),17,19
47,1,5:43.0,R. Bullock misses 3-pt jump shot from 24 ft,,17,19
48,1,5:42.0,,Defensive rebound by P. Millsap,17,19
49,1,5:31.0,,G. Harris misses 3-pt jump shot from 26 ft,17,19
50,1,5:27.0,Defensive rebound by J. Ennis,,17,19
51,1,5:21.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by B. Griffin),,19,19
52,1,5:00.0,,P. Millsap misses 3-pt jump shot from 22 ft,19,19
53,1,4:58.0,Defensive rebound by A. Drummond,,19,19
54,1,4:46.0,B. Griffin makes 2-pt layup from 3 ft (assist by I. Smith),,21,19
55,1,4:45.0,,Denver full timeout,21,19
56,1,4:45.0,,M. Plumlee enters the game for N. Jokić,21,19
57,1,4:45.0,,W. Barton enters the game for W. Chandler,21,19
58,1,4:45.0,S. Johnson enters the game for J. Ennis,,21,19
59,1,4:30.0,,Turnover by P. Millsap (lost ball; steal by S. Johnson),21,19
60,1,4:24.0,B. Griffin makes 3-pt jump shot from 22 ft (assist by I. Smith),,24,19
61,1,4:08.0,,Turnover by W. Barton (bad pass; steal by B. Griffin),24,19
62,1,4:05.0,Turnover by B. Griffin (bad pass; steal by J. Murray),,24,19
63,1,4:01.0,,J. Murray makes 3-pt jump shot from 25 ft,24,22
64,1,3:47.0,Turnover by A. Drummond (bad pass),,24,22
65,1,3:37.0,,G. Harris misses 2-pt jump shot from 14 ft,24,22
66,1,3:34.0,Defensive rebound by A. Drummond,,24,22
67,1,3:20.0,B. Griffin misses 3-pt jump shot from 24 ft,,24,22
68,1,3:17.0,,Defensive rebound by W. Barton,24,22
69,1,3:06.0,,P. Millsap makes 2-pt jump shot from 14 ft (assist by G. Harris),24,24
70,1,2:52.0,I. Smith misses 2-pt jump shot from 9 ft,,24,24
71,1,2:50.0,,Defensive rebound by M. Plumlee,24,24
72,1,2:44.0,,D. Harris enters the game for P. Millsap,24,24
73,1,2:44.0,,N. Jokić enters the game for G. Harris,24,24
74,1,2:44.0,,W. Chandler enters the game for J. Murray,24,24
75,1,2:44.0,E. Moreland enters the game for A. Drummond,,24,24
76,1,2:44.0,D. Buycks enters the game for I. Smith,,24,24
77,1,2:35.0,,N. Jokić misses 2-pt jump shot from 17 ft,24,24
78,1,2:32.0,Defensive rebound by E. Moreland,,24,24
79,1,2:28.0,S. Johnson misses 2-pt jump shot from 19 ft,,24,24
80,1,2:25.0,Offensive rebound by E. Moreland,,24,24
81,1,2:19.0,B. Griffin misses 2-pt jump shot from 7 ft,,24,24
82,1,2:16.0,,Defensive rebound by N. Jokić,24,24
83,1,2:12.0,,W. Barton makes 2-pt dunk from 2 ft (assist by N. Jokić),24,26
84,1,2:04.0,B. Griffin makes 2-pt layup from 1 ft (assist by D. Buycks),,26,26
85,1,1:56.0,,M. Plumlee misses 2-pt hook shot from 2 ft,26,26
86,1,1:56.0,,Offensive rebound by M. Plumlee,26,26
87,1,1:56.0,,M. Plumlee makes 2-pt layup from 2 ft,26,28
88,1,1:56.0,,Shooting foul by E. Moreland (drawn by M. Plumlee),26,28
89,1,1:56.0,,M. Plumlee misses free throw 1 of 1,26,28
90,1,1:53.0,Defensive rebound by E. Moreland,,26,28
91,1,1:38.0,S. Johnson makes 3-pt jump shot from 22 ft (assist by B. Griffin),,29,28
92,1,1:16.0,,D. Harris makes 2-pt layup from 2 ft (assist by W. Barton),29,30
93,1,0:52.0,Turnover by B. Griffin (bad pass; steal by N. Jokić),,29,30
94,1,0:37.0,,D. Harris makes 3-pt jump shot from 23 ft (assist by W. Chandler),29,33
95,1,0:19.0,S. Johnson misses 3-pt jump shot from 22 ft,,29,33
96,1,0:17.0,,Defensive rebound by N. Jokić,29,33
97,1,0:01.0,,D. Harris misses 3-pt jump shot from 24 ft,29,33
98,1,0:01.0,,Offensive rebound by Team,29,33
99,2,11:47.0,,D. Harris misses 2-pt layup from 2 ft,29,33
100,2,11:46.0,Defensive rebound by E. Moreland,,29,33
101,2,11:35.0,Turnover by D. Buycks (traveling),,29,33
102,2,11:26.0,,W. Barton misses 2-pt layup from 2 ft,29,33
103,2,11:23.0,,Offensive rebound by W. Barton,29,33
104,2,11:22.0,,W. Barton makes 2-pt layup from 2 ft,29,35
105,2,11:09.0,E. Moreland misses 2-pt jump shot from 6 ft (block by N. Jokić),,29,35
106,2,11:07.0,,Defensive rebound by W. Chandler,29,35
107,2,10:59.0,,T. Lyles makes 2-pt hook shot from 5 ft (assist by N. Jokić),29,37
108,2,10:51.0,Detroit full timeout,,29,37
109,2,10:44.0,D. Buycks misses 2-pt jump shot from 17 ft,,29,37
110,2,10:42.0,,Defensive rebound by T. Lyles,29,37
111,2,10:29.0,,Shooting foul by D. Buycks (drawn by D. Harris),29,37
112,2,10:29.0,,D. Harris makes free throw 1 of 2,29,38
113,2,10:29.0,,D. Harris makes free throw 2 of 2,29,39
114,2,10:08.0,E. Moreland misses 2-pt layup from 3 ft (block by N. Jokić),,29,39
115,2,10:05.0,,Defensive rebound by W. Chandler,29,39
116,2,9:53.0,,N. Jokić misses 2-pt jump shot from 14 ft,29,39
117,2,9:49.0,Defensive rebound by A. Tolliver,,29,39
118,2,9:41.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by L. Kennard),,32,39
119,2,9:23.0,,W. Barton makes 2-pt jump shot from 10 ft (assist by W. Chandler),32,41
