,QUARTER,TIME_REMAINING,DENVER_ACTION,INDIANA_ACTION,DENVER_SCORE,INDIANA_SCORE
0,1,11:44.0,W. Chandler makes 3-pt jump shot from 22 ft (assist by M. Plumlee),,3,0
1,1,11:27.0,,B. Bogdanović makes 2-pt jump shot from 2 ft (assist by M. Turner),3,2
2,1,11:05.0,W. Chandler makes 3-pt jump shot from 27 ft (assist by W. Barton),,6,2
3,1,10:48.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by V. Oladipo),6,4
4,1,10:35.0,Turnover by M. Plumlee (bad pass; steal by V. Oladipo),,6,4
5,1,10:34.0,,Personal take foul by W. Chandler (drawn by V. Oladipo),6,4
6,1,10:24.0,,V. Oladipo misses 3-pt jump shot from 27 ft,6,4
7,1,10:20.0,Defensive rebound by Team,,6,4
8,1,10:12.0,W. Barton makes 2-pt layup at rim,,8,4
9,1,10:00.0,,Turnover by B. Bogdanović (lost ball; steal by W. Barton),8,4
10,1,9:55.0,W. Chandler makes 2-pt dunk from 1 ft (assist by W. Barton),,10,4
11,1,9:39.0,,M. Turner misses 2-pt jump shot from 20 ft,10,4
12,1,9:36.0,Defensive rebound by W. Chandler,,10,4
13,1,9:30.0,W. Barton makes 3-pt jump shot from 27 ft (assist by J. Murray),,13,4
14,1,9:24.0,,Indiana full timeout,13,4
15,1,9:09.0,,C. Joseph misses 3-pt jump shot from 26 ft,13,4
16,1,9:07.0,Defensive rebound by M. Plumlee,,13,4
17,1,8:53.0,Shooting foul by T. Young (drawn by M. Plumlee),,13,4
18,1,8:53.0,M. Plumlee misses free throw 1 of 2,,13,4
19,1,8:53.0,Offensive rebound by Team,,13,4
20,1,8:53.0,M. Plumlee misses free throw 2 of 2,,13,4
21,1,8:51.0,,Defensive rebound by M. Turner,13,4
22,1,8:36.0,,Turnover by V. Oladipo (bad pass; steal by M. Plumlee),13,4
23,1,8:33.0,G. Harris makes 2-pt layup at rim (assist by M. Plumlee),,15,4
24,1,8:19.0,,M. Turner misses 2-pt jump shot from 17 ft,15,4
25,1,8:16.0,Defensive rebound by G. Harris,,15,4
26,1,8:08.0,G. Harris misses 2-pt jump shot from 15 ft,,15,4
27,1,8:05.0,,Defensive rebound by T. Young,15,4
28,1,7:52.0,,C. Joseph misses 3-pt jump shot from 26 ft,15,4
29,1,7:49.0,Defensive rebound by M. Plumlee,,15,4
30,1,7:43.0,Turnover by J. Murray (lost ball; steal by T. Young),,15,4
31,1,7:39.0,,V. Oladipo makes 2-pt layup at rim (assist by B. Bogdanović),15,6
32,1,7:21.0,W. Chandler makes 2-pt layup at rim,,17,6
33,1,7:21.0,Shooting foul by T. Young (drawn by W. Chandler),,17,6
34,1,7:21.0,W. Chandler makes free throw 1 of 1,,18,6
35,1,7:06.0,,Shooting foul by W. Barton (drawn by B. Bogdanović),18,6
36,1,7:06.0,,B. Bogdanović makes free throw 1 of 2,18,7
37,1,7:06.0,,D. Sabonis enters the game for T. Young,18,7
38,1,7:06.0,,B. Bogdanović makes free throw 2 of 2,18,8
39,1,6:46.0,W. Barton misses 3-pt jump shot from 26 ft,,18,8
40,1,6:43.0,Offensive rebound by M. Plumlee,,18,8
41,1,6:32.0,G. Harris misses 3-pt jump shot from 27 ft,,18,8
42,1,6:29.0,,Defensive rebound by C. Joseph,18,8
43,1,6:18.0,,D. Sabonis misses 2-pt layup at rim,18,8
44,1,6:16.0,Defensive rebound by W. Chandler,,18,8
45,1,6:00.0,W. Barton misses 2-pt jump shot from 8 ft,,18,8
46,1,5:57.0,,Defensive rebound by M. Turner,18,8
47,1,5:51.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),18,10
48,1,5:51.0,Denver full timeout,,18,10
