,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
0,1,11:40.0,,Turnover by R. Lopez (bad pass; steal by J. Butler),0,0
1,1,11:28.0,J. Teague makes 2-pt jump shot from 6 ft,,2,0
2,1,11:11.0,,J. Grant makes 3-pt jump shot from 24 ft,2,3
3,1,10:55.0,J. Butler misses 3-pt jump shot from 25 ft,,2,3
4,1,10:52.0,,Defensive rebound by Z. LaVine,2,3
5,1,10:34.0,,Turnover by J. Holiday (lost ball; steal by J. Butler),2,3
6,1,10:31.0,Shooting foul by Z. LaVine (drawn by J. Butler),,2,3
7,1,10:31.0,J. Butler makes free throw 1 of 2,,3,3
8,1,10:31.0,J. Butler makes free throw 2 of 2,,4,3
9,1,10:21.0,,L. Markkanen misses 3-pt jump shot from 25 ft,4,3
10,1,10:17.0,Defensive rebound by K. Towns,,4,3
11,1,10:09.0,T. Gibson misses 2-pt hook shot from 6 ft,,4,3
12,1,10:09.0,,Defensive rebound by R. Lopez,4,3
13,1,10:00.0,,Z. LaVine misses 2-pt jump shot from 17 ft,4,3
14,1,10:00.0,Defensive rebound by J. Butler,,4,3
15,1,9:38.0,J. Butler misses 2-pt jump shot from 4 ft,,4,3
16,1,9:35.0,,Defensive rebound by J. Grant,4,3
17,1,9:28.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by J. Grant),4,5
18,1,9:10.0,A. Wiggins makes 2-pt jump shot from 2 ft,,6,5
19,1,9:01.0,,Personal foul by K. Towns (drawn by Z. LaVine),6,5
20,1,8:53.0,,Z. LaVine misses 3-pt jump shot from 24 ft,6,5
21,1,8:52.0,,Offensive rebound by Team,6,5
22,1,8:52.0,Loose ball foul by K. Towns (drawn by R. Lopez),,6,5
23,1,8:52.0,G. Dieng enters the game for K. Towns,,6,5
24,1,8:42.0,,R. Lopez misses 2-pt hook shot from 10 ft,6,5
25,1,8:40.0,Defensive rebound by T. Gibson,,6,5
26,1,8:23.0,T. Gibson misses 2-pt jump shot from 20 ft,,6,5
27,1,8:20.0,,Defensive rebound by Z. LaVine,6,5
