,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:47.0,,Turnover by J. Randle (bad pass),0,0
1,1,11:25.0,J. Jackson misses 2-pt layup from 2 ft,,0,0
2,1,11:21.0,Offensive rebound by J. Jackson,,0,0
3,1,11:07.0,T. Warren misses 2-pt layup from 2 ft,,0,0
4,1,11:01.0,,Defensive rebound by K. Caldwell-Pope,0,0
5,1,10:56.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,0,0
6,1,10:53.0,Defensive rebound by T. Chandler,,0,0
7,1,10:45.0,T. Chandler makes 2-pt dunk from 1 ft (assist by T. Warren),,2,0
8,1,10:25.0,,J. Randle makes 2-pt hook shot from 7 ft,2,2
9,1,10:06.0,Shooting foul by K. Caldwell-Pope (drawn by D. Bender),,2,2
10,1,10:06.0,D. Bender makes free throw 1 of 2,,3,2
11,1,10:06.0,D. Bender makes free throw 2 of 2,,4,2
12,1,9:51.0,,J. Randle makes 2-pt hook shot from 9 ft,4,4
13,1,9:51.0,,Shooting foul by D. Bender (drawn by J. Randle),4,4
14,1,9:51.0,,J. Randle misses free throw 1 of 1,4,4
15,1,9:48.0,,Offensive rebound by B. Lopez,4,4
16,1,9:43.0,,J. Randle makes 2-pt layup from 1 ft (assist by J. Hart),4,6
17,1,9:22.0,Turnover by D. Bender (bad pass; steal by J. Hart),,4,6
18,1,9:16.0,,B. Ingram makes 3-pt jump shot from 22 ft (assist by J. Randle),4,9
19,1,8:53.0,T. Warren makes 2-pt jump shot from 13 ft (assist by T. Chandler),,6,9
20,1,8:43.0,,Def 3 sec tech foul by T. Chandler,6,9
21,1,8:43.0,,K. Caldwell-Pope makes technical free throw,6,10
22,1,8:33.0,,J. Randle makes 2-pt hook shot from 6 ft,6,12
23,1,8:18.0,T. Warren makes 2-pt jump shot from 17 ft (assist by T. Ulis),,8,12
24,1,8:06.0,Offensive charge foul by B. Lopez (drawn by T. Chandler),,8,12
25,1,8:06.0,,Turnover by B. Lopez (offensive foul),8,12
26,1,7:52.0,J. Jackson makes 2-pt jump shot from 5 ft,,10,12
27,1,7:41.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,10,12
28,1,7:38.0,Defensive rebound by J. Jackson,,10,12
29,1,7:29.0,T. Ulis misses 2-pt jump shot from 17 ft,,10,12
30,1,7:24.0,,Defensive rebound by B. Ingram,10,12
31,1,7:19.0,,J. Randle misses 2-pt layup at rim,10,12
32,1,7:14.0,Defensive rebound by T. Chandler,,10,12
33,1,7:10.0,J. Jackson makes 2-pt dunk at rim (assist by D. Bender),,12,12
34,1,6:51.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by J. Hart),12,15
35,1,6:33.0,Turnover by T. Ulis (bad pass; steal by K. Caldwell-Pope),,12,15
36,1,6:17.0,,J. Hart misses 3-pt jump shot from 23 ft,12,15
37,1,6:14.0,Defensive rebound by D. Bender,,12,15
38,1,6:10.0,T. Warren misses 2-pt jump shot from 17 ft,,12,15
39,1,6:04.0,Offensive rebound by T. Chandler,,12,15
40,1,5:55.0,Personal foul by J. Hart (drawn by J. Jackson),,12,15
41,1,5:55.0,,LA Lakers full timeout,12,15
42,1,5:55.0,T. Daniels enters the game for T. Chandler,,12,15
43,1,5:55.0,J. Gray enters the game for J. Jackson,,12,15
44,1,5:55.0,A. Len enters the game for T. Ulis,,12,15
45,1,5:47.0,A. Len makes 2-pt jump shot from 14 ft (assist by J. Gray),,14,15
46,1,5:33.0,,Shooting foul by J. Gray (drawn by J. Hart),14,15
47,1,5:33.0,,J. Hart makes free throw 1 of 2,14,16
48,1,5:33.0,M. Chriss enters the game for D. Bender,,14,16
49,1,5:33.0,,J. Hart makes free throw 2 of 2,14,17
50,1,5:15.0,J. Gray makes 3-pt jump shot from 25 ft (assist by M. Chriss),,17,17
51,1,4:54.0,,K. Caldwell-Pope misses 2-pt jump shot from 14 ft,17,17
52,1,4:50.0,Defensive rebound by M. Chriss,,17,17
53,1,4:45.0,Shooting block foul by K. Caldwell-Pope (drawn by T. Warren),,17,17
54,1,4:45.0,T. Warren makes free throw 1 of 2,,18,17
55,1,4:45.0,,J. Clarkson enters the game for K. Caldwell-Pope,18,17
56,1,4:45.0,,K. Kuzma enters the game for J. Randle,18,17
57,1,4:45.0,T. Warren misses free throw 2 of 2,,18,17
58,1,4:42.0,,Defensive rebound by K. Kuzma,18,17
59,1,4:34.0,,Turnover by B. Ingram (lost ball; steal by T. Warren),18,17
60,1,4:30.0,T. Warren makes 2-pt dunk from 1 ft,,20,17
61,1,4:11.0,,J. Hart makes 3-pt jump shot from 26 ft (assist by B. Ingram),20,20
62,1,3:49.0,J. Gray misses 2-pt layup from 1 ft (block by B. Ingram),,20,20
63,1,3:45.0,,Defensive rebound by B. Lopez,20,20
64,1,3:40.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by B. Ingram),20,23
65,1,3:39.0,Phoenix full timeout,,20,23
66,1,3:39.0,,L. Nance enters the game for B. Lopez,20,23
67,1,3:22.0,A. Len misses 2-pt layup from 3 ft,,20,23
68,1,3:18.0,Offensive rebound by A. Len,,20,23
69,1,3:16.0,J. Gray makes 3-pt jump shot from 25 ft,,23,23
70,1,2:56.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by J. Clarkson),23,25
71,1,2:42.0,J. Gray makes 2-pt layup from 1 ft,,25,25
72,1,2:31.0,,B. Ingram misses 2-pt jump shot from 22 ft,25,25
73,1,2:28.0,Defensive rebound by M. Chriss,,25,25
74,1,2:18.0,T. Daniels misses 3-pt jump shot from 23 ft,,25,25
75,1,2:14.0,,Defensive rebound by J. Hart,25,25
76,1,1:58.0,,J. Hart makes 3-pt jump shot from 22 ft (assist by B. Ingram),25,28
77,1,1:44.0,,C. Brewer enters the game for J. Hart,25,28
78,1,1:44.0,,A. Caruso enters the game for B. Ingram,25,28
79,1,1:44.0,J. Jackson enters the game for T. Warren,,25,28
80,1,1:44.0,D. Bender enters the game for A. Len,,25,28
81,1,1:34.0,J. Gray misses 3-pt jump shot from 24 ft,,25,28
82,1,1:30.0,Offensive rebound by D. Bender,,25,28
83,1,1:29.0,D. Bender misses 2-pt layup at rim,,25,28
84,1,1:28.0,Offensive rebound by J. Gray,,25,28
85,1,1:28.0,Turnover by J. Gray (turnover),,25,28
86,1,1:28.0,Loose ball foul by J. Gray (drawn by L. Nance),,25,28
87,1,1:09.0,,K. Kuzma makes 3-pt jump shot from 26 ft,25,31
88,1,0:57.0,T. Daniels misses 2-pt layup from 2 ft,,25,31
89,1,0:56.0,,Defensive rebound by L. Nance,25,31
90,1,0:56.0,Loose ball foul by M. Chriss (drawn by A. Caruso),,25,31
91,1,0:56.0,,A. Caruso makes free throw 1 of 2,25,32
92,1,0:56.0,,A. Caruso makes free throw 2 of 2,25,33
93,1,0:42.0,J. Jackson misses 3-pt jump shot from 25 ft,,25,33
94,1,0:37.0,Offensive rebound by D. Bender,,25,33
95,1,0:35.0,M. Chriss makes 3-pt jump shot from 25 ft (assist by D. Bender),,28,33
96,1,0:19.0,,L. Nance misses 2-pt jump shot from 19 ft,28,33
97,1,0:15.0,Defensive rebound by D. Bender,,28,33
98,1,0:04.0,Personal take foul by A. Caruso (drawn by J. Gray),,28,33
99,1,0:01.0,J. Gray misses 2-pt jump shot from 8 ft,,28,33
100,1,0:00.0,,Defensive rebound by K. Kuzma,28,33
101,2,11:53.0,Turnover by T. Ulis (bad pass; steal by K. Kuzma),,28,33
102,2,11:49.0,,K. Kuzma makes 2-pt dunk from 2 ft,28,35
103,2,11:38.0,D. Bender makes 3-pt jump shot from 25 ft (assist by J. Jackson),,31,35
104,2,11:18.0,,K. Kuzma misses 3-pt jump shot from 25 ft,31,35
105,2,11:14.0,,Offensive rebound by L. Nance,31,35
106,2,11:11.0,,J. Clarkson makes 2-pt layup from 2 ft,31,37
107,2,11:00.0,Shooting foul by K. Kuzma (drawn by T. Daniels),,31,37
108,2,11:00.0,T. Daniels makes free throw 1 of 3,,32,37
109,2,11:00.0,T. Daniels makes free throw 2 of 3,,33,37
110,2,11:00.0,T. Daniels makes free throw 3 of 3,,34,37
111,2,10:50.0,,Shooting foul by M. Chriss (drawn by A. Caruso),34,37
112,2,10:50.0,,A. Caruso makes free throw 1 of 2,34,38
113,2,10:50.0,,A. Caruso makes free throw 2 of 2,34,39
114,2,10:37.0,M. Chriss misses 3-pt jump shot from 24 ft,,34,39
115,2,10:32.0,,Defensive rebound by C. Brewer,34,39
116,2,10:27.0,,K. Kuzma misses 2-pt jump shot from 6 ft (block by J. Jackson),34,39
117,2,10:24.0,Defensive rebound by J. Jackson,,34,39
118,2,10:20.0,Turnover by J. Jackson (bad pass; steal by L. Nance),,34,39
119,2,10:17.0,T. Chandler enters the game for M. Chriss,,34,39
120,2,10:11.0,,J. Clarkson misses 2-pt jump shot from 18 ft,34,39
121,2,10:06.0,,Offensive rebound by L. Nance,34,39
