,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:44.0,,K. Irving makes 2-pt jump shot from 12 ft (assist by A. Baynes),0,2
1,1,11:29.0,T. Zeller misses 2-pt hook shot from 4 ft (block by A. Baynes),,0,2
2,1,11:29.0,Offensive rebound by Team,,0,2
3,1,11:23.0,A. Crabbe misses 2-pt jump shot from 14 ft,,0,2
4,1,11:21.0,,Defensive rebound by J. Tatum,0,2
5,1,11:10.0,,J. Brown misses 2-pt layup from 7 ft (block by A. Crabbe),0,2
6,1,11:09.0,,Offensive rebound by J. Brown,0,2
7,1,11:08.0,,J. Brown makes 2-pt layup from 1 ft,0,4
8,1,10:48.0,Shooting foul by A. Baynes (drawn by R. Hollis-Jefferson),,0,4
9,1,10:48.0,R. Hollis-Jefferson makes free throw 1 of 2,,1,4
10,1,10:48.0,R. Hollis-Jefferson misses free throw 2 of 2,,1,4
11,1,10:46.0,,Defensive rebound by A. Baynes,1,4
12,1,10:30.0,,A. Baynes makes 2-pt jump shot from 18 ft (assist by J. Brown),1,6
13,1,10:12.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by K. Irving),,1,6
14,1,10:09.0,,Defensive rebound by A. Horford,1,6
15,1,10:06.0,,J. Brown misses 3-pt jump shot from 26 ft,1,6
16,1,10:06.0,Defensive rebound by R. Hollis-Jefferson,,1,6
17,1,9:58.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,1,6
18,1,9:57.0,Offensive rebound by Team,,1,6
19,1,9:45.0,D. Carroll makes 2-pt jump shot from 18 ft,,3,6
20,1,9:29.0,,J. Tatum misses 2-pt layup from 2 ft,3,6
21,1,9:27.0,Defensive rebound by D. Carroll,,3,6
22,1,9:19.0,R. Hollis-Jefferson misses 3-pt jump shot from 25 ft,,3,6
23,1,9:16.0,,Defensive rebound by A. Baynes,3,6
24,1,9:12.0,,Personal foul by S. Dinwiddie (drawn by K. Irving),3,6
25,1,9:06.0,,K. Irving makes 2-pt jump shot from 12 ft,3,8
26,1,8:41.0,D. Carroll misses 2-pt layup from 4 ft,,3,8
27,1,8:39.0,,Defensive rebound by K. Irving,3,8
28,1,8:33.0,,J. Tatum misses 2-pt jump shot from 20 ft,3,8
29,1,8:29.0,,Offensive rebound by A. Horford,3,8
30,1,8:27.0,,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),3,11
31,1,8:12.0,T. Zeller misses 2-pt layup from 3 ft,,3,11
32,1,8:09.0,,Defensive rebound by A. Horford,3,11
33,1,8:01.0,,Turnover by K. Irving (bad pass; steal by S. Dinwiddie),3,11
34,1,7:55.0,D. Carroll makes 2-pt layup at rim (assist by S. Dinwiddie),,5,11
