,QUARTER,TIME_REMAINING,MIAMI_ACTION,OKLAHOMA CITY_ACTION,MIAMI_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,Personal foul by T. Johnson (drawn by R. Westbrook),0,0
1,1,11:37.0,,Shooting foul by T. Johnson (drawn by R. Westbrook),0,0
2,1,11:37.0,,R. Westbrook makes free throw 1 of 2,0,1
3,1,11:37.0,R. McGruder enters the game for T. Johnson,,0,1
4,1,11:37.0,,R. Westbrook makes free throw 2 of 2,0,2
5,1,11:27.0,J. Johnson makes 2-pt jump shot from 18 ft (assist by J. Richardson),,2,2
6,1,11:08.0,,P. George misses 2-pt jump shot from 9 ft,2,2
7,1,11:06.0,,Offensive rebound by S. Adams,2,2
8,1,11:06.0,,Shooting foul by R. McGruder (drawn by S. Adams),2,2
9,1,11:06.0,,S. Adams misses free throw 1 of 2,2,2
10,1,11:06.0,,Offensive rebound by Team,2,2
11,1,11:06.0,,S. Adams makes free throw 2 of 2,2,3
12,1,10:51.0,J. Richardson misses 2-pt jump shot from 20 ft,,2,3
13,1,10:49.0,,Defensive rebound by C. Anthony,2,3
14,1,10:43.0,,C. Anthony misses 3-pt jump shot from 25 ft,2,3
15,1,10:40.0,,Offensive rebound by S. Adams,2,3
16,1,10:39.0,,S. Adams makes 2-pt dunk at rim,2,5
17,1,10:28.0,J. Richardson misses 2-pt layup from 3 ft,,2,5
18,1,10:28.0,Offensive rebound by J. Richardson,,2,5
19,1,10:25.0,J. Johnson makes 2-pt jump shot from 3 ft (assist by J. Richardson),,4,5
20,1,10:02.0,,Offensive foul by C. Anthony (drawn by R. McGruder),4,5
21,1,10:02.0,,Turnover by C. Anthony (offensive foul),4,5
22,1,9:50.0,R. McGruder misses 2-pt jump shot from 5 ft,,4,5
23,1,9:48.0,Offensive rebound by R. McGruder,,4,5
24,1,9:46.0,G. Dragić makes 3-pt jump shot from 24 ft (assist by J. Richardson),,7,5
25,1,9:37.0,,Turnover by P. George (bad pass),7,5
26,1,9:29.0,J. Johnson misses 2-pt layup from 6 ft,,7,5
27,1,9:27.0,,Defensive rebound by S. Adams,7,5
28,1,9:18.0,,R. Westbrook makes 2-pt jump shot from 14 ft,7,7
29,1,9:09.0,Turnover by G. Dragić (out of bounds lost ball),,7,7
30,1,8:48.0,,C. Anthony misses 3-pt jump shot from 22 ft,7,7
31,1,8:46.0,,Offensive rebound by P. George,7,7
32,1,8:42.0,,Turnover by P. George (bad pass),7,7
33,1,8:37.0,Personal foul by S. Adams (drawn by B. Adebayo),,7,7
34,1,8:23.0,B. Adebayo misses 2-pt hook shot from 4 ft,,7,7
35,1,8:21.0,,Defensive rebound by R. Westbrook,7,7
36,1,8:18.0,,Offensive foul by C. Brewer (drawn by G. Dragić),7,7
37,1,8:18.0,,Turnover by C. Brewer (offensive foul),7,7
38,1,8:03.0,,Offensive charge foul by G. Dragić (drawn by C. Brewer),7,7
39,1,8:03.0,Turnover by G. Dragić (offensive foul),,7,7
40,1,7:53.0,,P. George misses 3-pt jump shot from 25 ft,7,7
41,1,7:49.0,,Offensive rebound by C. Brewer,7,7
42,1,7:47.0,,Turnover by R. Westbrook (bad pass; steal by R. McGruder),7,7
43,1,7:26.0,J. Johnson misses 3-pt jump shot from 22 ft,,7,7
44,1,7:24.0,,Defensive rebound by R. Westbrook,7,7
45,1,7:15.0,,C. Anthony makes 2-pt jump shot from 16 ft (assist by P. George),7,9
46,1,6:57.0,Turnover by B. Adebayo (bad pass; steal by S. Adams),,7,9
47,1,6:53.0,,Shooting foul by J. Johnson (drawn by P. George),7,9
48,1,6:53.0,,Oklahoma City full timeout,7,9
49,1,6:53.0,,P. George makes free throw 1 of 2,7,10
50,1,6:53.0,,P. George makes free throw 2 of 2,7,11
51,1,6:39.0,J. Richardson misses 3-pt jump shot from 25 ft,,7,11
52,1,6:36.0,,Defensive rebound by R. Westbrook,7,11
53,1,6:27.0,,P. George misses 2-pt layup from 1 ft,7,11
54,1,6:23.0,Defensive rebound by G. Dragić,,7,11
55,1,6:20.0,R. McGruder misses 3-pt jump shot from 23 ft,,7,11
56,1,6:18.0,,Defensive rebound by C. Anthony,7,11
57,1,6:16.0,,P. George makes 2-pt dunk at rim (assist by C. Anthony),7,13
58,1,6:03.0,G. Dragić misses 2-pt jump shot from 17 ft,,7,13
59,1,6:00.0,,Defensive rebound by R. Westbrook,7,13
60,1,5:45.0,,C. Anthony makes 2-pt jump shot from 14 ft (assist by R. Westbrook),7,15
61,1,5:39.0,Miami full timeout,,7,15
62,1,5:39.0,K. Olynyk enters the game for J. Richardson,,7,15
63,1,5:39.0,J. Winslow enters the game for B. Adebayo,,7,15
64,1,5:29.0,Turnover by G. Dragić (bad pass; steal by C. Brewer),,7,15
65,1,5:15.0,,C. Brewer misses 2-pt jump shot from 4 ft,7,15
66,1,5:10.0,Defensive rebound by J. Johnson,,7,15
