,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MINNESOTA_ACTION,CHICAGO_SCORE,MINNESOTA_SCORE
0,1,11:46.0,,K. Towns misses 2-pt hook shot from 6 ft,0,0
1,1,11:43.0,Defensive rebound by Z. LaVine,,0,0
2,1,11:36.0,C. Felício misses 2-pt jump shot from 5 ft,,0,0
3,1,11:34.0,,Defensive rebound by T. Gibson,0,0
4,1,11:30.0,,J. Teague misses 3-pt jump shot from 24 ft,0,0
5,1,11:25.0,Defensive rebound by L. Markkanen,,0,0
6,1,11:18.0,Z. LaVine makes 2-pt layup from 1 ft,,2,0
7,1,10:52.0,,A. Wiggins misses 2-pt jump shot from 11 ft,2,0
8,1,10:50.0,Defensive rebound by K. Dunn,,2,0
9,1,10:46.0,Turnover by K. Dunn (bad pass),,2,0
10,1,10:35.0,,A. Wiggins makes 2-pt dunk at rim (assist by N. Bjelica),2,2
11,1,10:20.0,K. Dunn makes 2-pt jump shot from 21 ft,,4,2
12,1,10:04.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Wiggins),4,5
13,1,10:00.0,Turnover by K. Dunn (bad pass),,4,5
14,1,9:48.0,,K. Towns misses 2-pt jump shot from 2 ft (block by L. Markkanen),4,5
15,1,9:48.0,Defensive rebound by D. Nwaba,,4,5
16,1,9:43.0,K. Dunn misses 3-pt jump shot from 25 ft,,4,5
17,1,9:43.0,,Defensive rebound by J. Teague,4,5
18,1,9:37.0,,N. Bjelica misses 3-pt jump shot from 24 ft,4,5
19,1,9:33.0,Defensive rebound by K. Dunn,,4,5
20,1,9:28.0,K. Dunn makes 2-pt jump shot from 17 ft,,6,5
21,1,9:20.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),6,7
22,1,8:59.0,K. Dunn misses 2-pt layup from 2 ft (block by J. Teague),,6,7
23,1,8:56.0,,Defensive rebound by J. Teague,6,7
24,1,8:53.0,,J. Teague misses 2-pt layup from 1 ft,6,7
25,1,8:53.0,Defensive rebound by L. Markkanen,,6,7
26,1,8:43.0,Z. LaVine misses 3-pt jump shot from 26 ft,,6,7
27,1,8:39.0,,Defensive rebound by N. Bjelica,6,7
28,1,8:29.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),6,9
29,1,8:04.0,Z. LaVine misses 2-pt jump shot from 17 ft,,6,9
30,1,8:02.0,,Defensive rebound by T. Gibson,6,9
31,1,7:52.0,,N. Bjelica makes 3-pt jump shot from 24 ft (assist by J. Teague),6,12
32,1,7:35.0,D. Nwaba misses 3-pt jump shot from 22 ft,,6,12
33,1,7:32.0,,Defensive rebound by T. Gibson,6,12
34,1,7:26.0,,A. Wiggins makes 2-pt layup at rim,6,14
35,1,7:26.0,Chicago full timeout,,6,14
36,1,7:11.0,L. Markkanen misses 2-pt jump shot from 12 ft,,6,14
37,1,7:10.0,Offensive rebound by C. Felício,,6,14
38,1,7:08.0,Turnover by C. Felício (bad pass; steal by J. Teague),,6,14
39,1,7:03.0,,Turnover by J. Teague (out of bounds lost ball),6,14
40,1,6:55.0,Personal foul by T. Gibson (drawn by L. Markkanen),,6,14
41,1,6:52.0,K. Dunn misses 2-pt layup from 1 ft,,6,14
42,1,6:50.0,,Defensive rebound by J. Teague,6,14
43,1,6:50.0,,Personal foul by K. Dunn (drawn by J. Teague),6,14
44,1,6:42.0,,J. Teague makes 3-pt jump shot from 24 ft,6,17
45,1,6:25.0,Z. LaVine makes 2-pt jump shot from 8 ft,,8,17
46,1,6:10.0,,T. Gibson misses 2-pt jump shot from 11 ft,8,17
47,1,6:06.0,Defensive rebound by D. Nwaba,,8,17
48,1,6:03.0,D. Nwaba makes 2-pt dunk from 1 ft (assist by C. Felício),,10,17
49,1,5:43.0,,J. Teague misses 3-pt jump shot from 24 ft,10,17
50,1,5:41.0,Defensive rebound by D. Nwaba,,10,17
51,1,5:37.0,Shooting foul by N. Bjelica (drawn by Z. LaVine),,10,17
52,1,5:37.0,Z. LaVine makes free throw 1 of 2,,11,17
53,1,5:37.0,Z. LaVine makes free throw 2 of 2,,12,17
54,1,5:27.0,,A. Wiggins misses 3-pt jump shot from 22 ft,12,17
55,1,5:24.0,Defensive rebound by K. Dunn,,12,17
56,1,5:20.0,K. Dunn misses 3-pt jump shot from 25 ft,,12,17
57,1,5:20.0,,Defensive rebound by J. Teague,12,17
58,1,5:11.0,,A. Wiggins makes 2-pt jump shot from 9 ft,12,19
59,1,5:11.0,,Shooting foul by D. Nwaba (drawn by A. Wiggins),12,19
60,1,5:11.0,,A. Wiggins makes free throw 1 of 1,12,20
61,1,4:49.0,L. Markkanen misses 2-pt jump shot from 14 ft,,12,20
62,1,4:46.0,,Defensive rebound by N. Bjelica,12,20
63,1,4:37.0,,Turnover by K. Towns (bad pass; steal by K. Dunn),12,20
64,1,4:33.0,K. Dunn misses 2-pt dunk at rim,,12,20
65,1,4:31.0,Offensive rebound by D. Nwaba,,12,20
66,1,4:30.0,D. Nwaba makes 2-pt layup from 1 ft,,14,20
67,1,4:20.0,,T. Gibson makes 2-pt dunk at rim (assist by N. Bjelica),14,22
