,QUARTER,TIME_REMAINING,DETROIT_ACTION,HOUSTON_ACTION,DETROIT_SCORE,HOUSTON_SCORE
0,1,11:41.0,Turnover by S. Johnson (step out of bounds),,0,0
1,1,11:33.0,,Shooting foul by A. Drummond (drawn by J. Harden),0,0
2,1,11:33.0,,J. Harden misses free throw 1 of 2,0,0
3,1,11:33.0,,Offensive rebound by Team,0,0
4,1,11:33.0,,J. Harden makes free throw 2 of 2,0,1
5,1,11:14.0,A. Drummond makes 2-pt hook shot from 10 ft (assist by R. Bullock),,2,1
6,1,10:53.0,,T. Ariza misses 3-pt jump shot from 24 ft,2,1
7,1,10:50.0,Defensive rebound by A. Drummond,,2,1
8,1,10:45.0,R. Jackson makes 2-pt jump shot from 10 ft,,4,1
9,1,10:26.0,,E. Gordon misses 2-pt jump shot from 12 ft,4,1
10,1,10:25.0,,Offensive rebound by Team,4,1
11,1,10:17.0,,J. Harden misses 2-pt jump shot from 13 ft,4,1
12,1,10:12.0,Defensive rebound by B. Griffin,,4,1
13,1,10:07.0,B. Griffin misses 3-pt jump shot from 25 ft,,4,1
14,1,10:05.0,,Defensive rebound by E. Gordon,4,1
15,1,9:58.0,,Shooting foul by S. Johnson (drawn by C. Capela),4,1
16,1,9:58.0,,C. Capela misses free throw 1 of 2,4,1
17,1,9:58.0,,Offensive rebound by Team,4,1
18,1,9:58.0,,C. Capela misses free throw 2 of 2,4,1
19,1,9:58.0,Defensive rebound by A. Drummond,,4,1
20,1,9:45.0,S. Johnson misses 3-pt jump shot from 23 ft,,4,1
21,1,9:43.0,,Defensive rebound by T. Ariza,4,1
22,1,9:36.0,,Personal foul by S. Johnson (drawn by C. Capela),4,1
23,1,9:36.0,J. Ennis enters the game for S. Johnson,,4,1
24,1,9:24.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Gordon),4,4
25,1,9:05.0,Turnover by A. Drummond (bad pass; steal by T. Ariza),,4,4
26,1,8:58.0,,P. Tucker misses 3-pt jump shot from 23 ft,4,4
27,1,8:56.0,Defensive rebound by R. Bullock,,4,4
28,1,8:47.0,R. Bullock makes 2-pt jump shot from 22 ft (assist by B. Griffin),,6,4
29,1,8:33.0,,T. Ariza misses 3-pt jump shot from 25 ft,6,4
30,1,8:32.0,,Offensive rebound by Team,6,4
31,1,8:25.0,,J. Harden misses 3-pt jump shot from 23 ft,6,4
32,1,8:22.0,Defensive rebound by A. Drummond,,6,4
33,1,8:19.0,Personal foul by T. Ariza (drawn by J. Ennis),,6,4
34,1,8:07.0,R. Jackson makes 2-pt jump shot from 22 ft,,8,4
35,1,7:47.0,,E. Gordon misses 3-pt jump shot from 26 ft,8,4
36,1,7:44.0,Defensive rebound by A. Drummond,,8,4
37,1,7:37.0,R. Bullock misses 3-pt jump shot from 28 ft,,8,4
38,1,7:35.0,,Defensive rebound by C. Capela,8,4
39,1,7:22.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),8,6
40,1,7:10.0,R. Jackson misses 3-pt jump shot from 25 ft,,8,6
41,1,7:08.0,,Defensive rebound by J. Harden,8,6
42,1,7:03.0,,C. Capela makes 2-pt dunk at rim (assist by T. Ariza),8,8
43,1,6:55.0,Detroit full timeout,,8,8
44,1,6:55.0,,L. Mbah a Moute enters the game for E. Gordon,8,8
45,1,6:55.0,I. Smith enters the game for R. Jackson,,8,8
46,1,6:50.0,R. Bullock makes 3-pt jump shot from 25 ft (assist by B. Griffin),,11,8
47,1,6:28.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by C. Capela),11,11
48,1,6:16.0,R. Bullock makes 2-pt layup at rim (assist by B. Griffin),,13,11
49,1,6:05.0,,Turnover by J. Harden (bad pass; steal by B. Griffin),13,11
50,1,5:59.0,Turnover by R. Bullock (turnover; steal by J. Harden),,13,11
51,1,5:50.0,,Turnover by P. Tucker (bad pass; steal by A. Drummond),13,11
52,1,5:46.0,I. Smith makes 2-pt layup at rim (assist by R. Bullock),,15,11
53,1,5:32.0,,L. Mbah a Moute makes 2-pt dunk at rim (assist by J. Harden),15,13
54,1,5:11.0,B. Griffin misses 2-pt jump shot from 13 ft,,15,13
55,1,5:10.0,,Defensive rebound by C. Capela,15,13
56,1,4:51.0,,L. Mbah a Moute makes 2-pt layup at rim (assist by J. Harden),15,15
57,1,4:31.0,B. Griffin makes 2-pt hook shot from 7 ft,,17,15
58,1,4:14.0,,P. Tucker misses 2-pt layup from 1 ft,17,15
59,1,4:14.0,,Offensive rebound by C. Capela,17,15
60,1,4:12.0,,C. Capela misses 2-pt layup at rim,17,15
61,1,4:09.0,Defensive rebound by R. Bullock,,17,15
62,1,4:06.0,Personal foul by L. Mbah a Moute (drawn by B. Griffin),,17,15
63,1,4:06.0,,J. Johnson enters the game for T. Ariza,17,15
64,1,4:06.0,,R. Anderson enters the game for P. Tucker,17,15
65,1,4:06.0,,G. Green enters the game for C. Capela,17,15
66,1,4:06.0,A. Tolliver enters the game for A. Drummond,,17,15
67,1,3:51.0,A. Tolliver misses 3-pt jump shot from 23 ft,,17,15
68,1,3:43.0,Offensive rebound by J. Ennis,,17,15
69,1,3:43.0,J. Ennis misses 2-pt layup at rim,,17,15
70,1,3:42.0,,Defensive rebound by R. Anderson,17,15
