,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:43.0,,J. Nurkić makes 2-pt layup at rim (assist by D. Lillard),0,2
1,1,11:29.0,Personal foul by J. Nurkić (drawn by K. Towns),,0,2
2,1,11:21.0,K. Towns misses 2-pt jump shot from 15 ft,,0,2
3,1,11:19.0,,Defensive rebound by A. Aminu,0,2
4,1,11:13.0,Violation by K. Towns (kicked ball),,0,2
5,1,11:06.0,,D. Lillard misses 2-pt jump shot from 17 ft,0,2
6,1,11:04.0,Defensive rebound by N. Bjelica,,0,2
7,1,10:53.0,J. Teague makes 2-pt layup from 1 ft,,2,2
8,1,10:34.0,,C. McCollum misses 2-pt jump shot from 10 ft,2,2
9,1,10:31.0,Defensive rebound by N. Bjelica,,2,2
10,1,10:26.0,A. Wiggins misses 2-pt layup from 1 ft,,2,2
11,1,10:25.0,,Defensive rebound by A. Aminu,2,2
12,1,10:16.0,,D. Lillard misses 3-pt jump shot from 27 ft,2,2
13,1,10:13.0,Defensive rebound by K. Towns,,2,2
14,1,9:50.0,J. Teague makes 2-pt layup from 1 ft,,4,2
15,1,9:38.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by C. McCollum),4,4
16,1,9:29.0,T. Gibson makes 2-pt dunk at rim (assist by A. Wiggins),,6,4
17,1,9:12.0,,Turnover by J. Nurkić (bad pass; steal by N. Bjelica),6,4
18,1,9:07.0,J. Teague misses 3-pt jump shot from 24 ft,,6,4
19,1,9:04.0,,Defensive rebound by D. Lillard,6,4
20,1,8:58.0,,C. McCollum misses 2-pt layup from 2 ft,6,4
21,1,8:56.0,Defensive rebound by N. Bjelica,,6,4
22,1,8:50.0,Turnover by J. Teague (bad pass; steal by J. Nurkić),,6,4
23,1,8:49.0,,Personal foul by N. Bjelica (drawn by D. Lillard),6,4
24,1,8:37.0,,A. Aminu misses 3-pt jump shot from 22 ft,6,4
25,1,8:35.0,Defensive rebound by J. Teague,,6,4
26,1,8:30.0,N. Bjelica misses 3-pt jump shot from 25 ft,,6,4
27,1,8:27.0,,Defensive rebound by M. Harkless,6,4
28,1,8:18.0,,C. McCollum makes 2-pt jump shot from 11 ft,6,6
29,1,8:04.0,A. Wiggins misses 3-pt jump shot from 24 ft,,6,6
30,1,8:02.0,,Defensive rebound by J. Nurkić,6,6
31,1,7:55.0,,J. Nurkić makes 2-pt jump shot from 21 ft (assist by D. Lillard),6,8
32,1,7:36.0,A. Wiggins makes 2-pt layup from 2 ft,,8,8
33,1,7:18.0,,M. Harkless misses 3-pt jump shot from 24 ft,8,8
34,1,7:16.0,Defensive rebound by J. Teague,,8,8
35,1,7:13.0,Turnover by J. Teague (traveling),,8,8
36,1,6:55.0,,M. Harkless misses 2-pt jump shot from 22 ft,8,8
37,1,6:52.0,Defensive rebound by A. Wiggins,,8,8
38,1,6:38.0,Personal foul by A. Aminu (drawn by T. Gibson),,8,8
39,1,6:38.0,,Portland full timeout,8,8
40,1,6:24.0,T. Gibson makes 2-pt hook shot from 1 ft,,10,8
41,1,6:10.0,,Shooting foul by K. Towns (drawn by J. Nurkić),10,8
42,1,6:10.0,,J. Nurkić makes free throw 1 of 2,10,9
43,1,6:10.0,,J. Nurkić makes free throw 2 of 2,10,10
44,1,6:01.0,Turnover by J. Teague (bad pass; steal by M. Harkless),,10,10
45,1,5:56.0,,M. Harkless misses 2-pt layup from 2 ft (block by J. Teague),10,10
46,1,5:53.0,Defensive rebound by K. Towns,,10,10
47,1,5:51.0,J. Teague misses 2-pt jump shot from 1 ft,,10,10
48,1,5:50.0,Offensive rebound by J. Teague,,10,10
49,1,5:49.0,J. Teague misses 2-pt layup from 1 ft,,10,10
50,1,5:47.0,,Defensive rebound by C. McCollum,10,10
51,1,5:43.0,,Shooting foul by J. Teague (drawn by D. Lillard),10,10
52,1,5:43.0,,D. Lillard makes free throw 1 of 3,10,11
53,1,5:43.0,,D. Lillard makes free throw 2 of 3,10,12
54,1,5:43.0,,D. Lillard makes free throw 3 of 3,10,13
55,1,5:27.0,A. Wiggins makes 2-pt jump shot from 14 ft,,12,13
56,1,5:16.0,,J. Nurkić misses 2-pt jump shot from 20 ft,12,13
57,1,5:13.0,Defensive rebound by T. Gibson,,12,13
58,1,4:59.0,K. Towns makes 2-pt jump shot from 21 ft,,14,13
59,1,4:44.0,,C. McCollum misses 2-pt jump shot from 21 ft,14,13
60,1,4:42.0,,Offensive rebound by J. Nurkić,14,13
61,1,4:37.0,,Turnover by J. Nurkić (lost ball; steal by K. Towns),14,13
62,1,4:23.0,A. Wiggins misses 2-pt jump shot from 17 ft (block by C. McCollum),,14,13
63,1,4:23.0,,Defensive rebound by C. McCollum,14,13
64,1,4:18.0,,C. McCollum misses 3-pt jump shot from 25 ft,14,13
65,1,4:15.0,,Offensive rebound by Team,14,13
66,1,4:15.0,,P. Connaughton enters the game for M. Harkless,14,13
67,1,4:15.0,,E. Turner enters the game for J. Nurkić,14,13
68,1,4:15.0,,E. Davis enters the game for C. McCollum,14,13
69,1,4:15.0,J. Crawford enters the game for K. Towns,,14,13
70,1,4:15.0,G. Dieng enters the game for A. Wiggins,,14,13
71,1,4:11.0,,D. Lillard misses 3-pt jump shot from 24 ft,14,13
