,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:42.0,R. Jackson misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,,Defensive rebound by T. Young,0,0
2,1,11:22.0,,B. Bogdanović misses 2-pt jump shot from 1 ft (block by L. Kennard),0,0
3,1,11:22.0,,Offensive rebound by Team,0,0
4,1,11:16.0,,D. Collison makes 2-pt layup from 1 ft,0,2
5,1,10:50.0,T. Harris misses 3-pt jump shot from 29 ft,,0,2
6,1,10:48.0,,Defensive rebound by D. Collison,0,2
7,1,10:41.0,,V. Oladipo misses 3-pt jump shot from 25 ft,0,2
8,1,10:35.0,Defensive rebound by A. Drummond,,0,2
9,1,10:33.0,Turnover by T. Harris (offensive foul),,0,2
10,1,10:23.0,,Turnover by D. Collison (step out of bounds),0,2
11,1,9:58.0,A. Drummond makes 2-pt layup from 1 ft,,2,2
12,1,9:35.0,,T. Young misses 2-pt hook shot from 6 ft,2,2
13,1,9:32.0,Defensive rebound by T. Harris,,2,2
14,1,9:18.0,T. Harris makes 3-pt jump shot from 23 ft (assist by L. Kennard),,5,2
15,1,8:57.0,,Turnover by B. Bogdanović (traveling),5,2
16,1,8:47.0,L. Kennard misses 2-pt jump shot from 11 ft,,5,2
17,1,8:43.0,Offensive rebound by L. Kennard,,5,2
18,1,8:37.0,T. Harris misses 2-pt jump shot from 5 ft,,5,2
19,1,8:35.0,,Defensive rebound by V. Oladipo,5,2
20,1,8:31.0,,V. Oladipo misses 2-pt jump shot from 13 ft (block by R. Jackson),5,2
21,1,8:31.0,Defensive rebound by Team,,5,2
22,1,8:17.0,T. Harris misses 3-pt jump shot from 21 ft,,5,2
23,1,8:13.0,,Defensive rebound by T. Young,5,2
24,1,8:05.0,,B. Bogdanović misses 2-pt jump shot from 18 ft,5,2
25,1,8:03.0,Defensive rebound by A. Drummond,,5,2
26,1,7:53.0,A. Drummond misses 2-pt layup at rim,,5,2
27,1,7:52.0,Offensive rebound by Team,,5,2
28,1,7:51.0,L. Kennard makes 2-pt jump shot from 15 ft (assist by R. Jackson),,7,2
29,1,7:25.0,,V. Oladipo misses 2-pt jump shot from 17 ft (block by R. Bullock),7,2
30,1,7:22.0,Defensive rebound by A. Drummond,,7,2
31,1,7:16.0,R. Jackson misses 2-pt jump shot from 20 ft,,7,2
32,1,7:09.0,,Offensive rebound by M. Turner,7,2
33,1,7:00.0,,M. Turner makes 2-pt dunk from 1 ft (assist by T. Young),7,4
34,1,6:48.0,T. Harris makes 3-pt jump shot from 25 ft,,10,4
35,1,6:30.0,,Turnover by B. Bogdanović (bad pass),10,4
36,1,6:30.0,,Indiana full timeout,10,4
37,1,6:18.0,R. Bullock misses 2-pt layup from 3 ft,,10,4
38,1,6:16.0,,Defensive rebound by M. Turner,10,4
39,1,6:07.0,,Personal foul by R. Jackson (drawn by V. Oladipo),10,4
40,1,6:01.0,,T. Young misses 3-pt jump shot from 26 ft,10,4
41,1,5:56.0,,Offensive rebound by T. Young,10,4
42,1,5:50.0,,V. Oladipo makes 2-pt layup at rim,10,6
43,1,5:35.0,T. Harris misses 2-pt jump shot from 20 ft,,10,6
44,1,5:31.0,Offensive rebound by A. Drummond,,10,6
45,1,5:29.0,A. Drummond misses 2-pt layup at rim (block by M. Turner),,10,6
46,1,5:27.0,,Defensive rebound by D. Collison,10,6
47,1,5:15.0,,M. Turner makes 2-pt jump shot from 6 ft,10,8
48,1,5:04.0,Detroit full timeout,,10,8
49,1,5:04.0,I. Smith enters the game for R. Jackson,,10,8
50,1,4:58.0,T. Harris misses 3-pt jump shot from 27 ft,,10,8
51,1,4:54.0,,Defensive rebound by V. Oladipo,10,8
52,1,4:36.0,,V. Oladipo makes 3-pt jump shot from 24 ft (assist by D. Collison),10,11
53,1,4:11.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by T. Harris),,13,11
54,1,3:50.0,,M. Turner misses 3-pt jump shot from 28 ft,13,11
55,1,3:47.0,Defensive rebound by I. Smith,,13,11
56,1,3:33.0,I. Smith makes 2-pt jump shot from 12 ft,,15,11
57,1,3:25.0,,Turnover by V. Oladipo (lost ball; steal by R. Bullock),15,11
58,1,3:20.0,R. Bullock misses 3-pt jump shot from 22 ft,,15,11
59,1,3:17.0,Offensive rebound by T. Harris,,15,11
60,1,3:16.0,R. Bullock makes 3-pt jump shot from 27 ft (assist by T. Harris),,18,11
61,1,3:01.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,18,11
62,1,2:58.0,Defensive rebound by A. Drummond,,18,11
63,1,2:49.0,Turnover by I. Smith (bad pass; steal by D. Collison),,18,11
64,1,2:44.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),18,13
65,1,2:29.0,I. Smith misses 2-pt layup from 1 ft,,18,13
66,1,2:25.0,Offensive rebound by A. Drummond,,18,13
67,1,2:25.0,A. Drummond makes 2-pt dunk at rim,,20,13
68,1,2:15.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by V. Oladipo),20,15
69,1,1:56.0,I. Smith misses 2-pt jump shot from 16 ft,,20,15
70,1,1:52.0,Offensive rebound by A. Drummond,,20,15
71,1,1:51.0,A. Drummond makes 2-pt layup from 5 ft,,22,15
72,1,1:37.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,22,15
73,1,1:33.0,Defensive rebound by L. Kennard,,22,15
74,1,1:27.0,I. Smith misses 2-pt jump shot from 16 ft,,22,15
75,1,1:25.0,Offensive rebound by A. Drummond,,22,15
76,1,1:24.0,A. Drummond makes 2-pt jump shot from 7 ft,,24,15
77,1,1:12.0,,Personal foul by A. Drummond (drawn by V. Oladipo),24,15
78,1,1:12.0,,D. Sabonis enters the game for D. Collison,24,15
79,1,1:12.0,,T. Leaf enters the game for T. Young,24,15
80,1,1:12.0,,C. Joseph enters the game for M. Turner,24,15
81,1,1:12.0,,L. Stephenson enters the game for B. Bogdanović,24,15
82,1,1:12.0,S. Johnson enters the game for A. Drummond,,24,15
83,1,1:12.0,L. Galloway enters the game for L. Kennard,,24,15
84,1,1:12.0,E. Moreland enters the game for R. Bullock,,24,15
85,1,1:08.0,,V. Oladipo misses 2-pt jump shot from 17 ft,24,15
86,1,1:05.0,Defensive rebound by E. Moreland,,24,15
87,1,0:54.0,T. Harris misses 2-pt layup at rim,,24,15
88,1,0:53.0,,Defensive rebound by D. Sabonis,24,15
89,1,0:48.0,,L. Stephenson makes 2-pt jump shot from 21 ft,24,17
90,1,0:38.0,L. Galloway makes 3-pt jump shot from 25 ft (assist by I. Smith),,27,17
91,1,0:23.0,,T. Leaf misses 2-pt jump shot from 16 ft (block by E. Moreland),27,17
92,1,0:19.0,,Offensive rebound by T. Leaf,27,17
93,1,0:14.0,,C. Joseph misses 2-pt jump shot from 18 ft,27,17
94,1,0:12.0,,Offensive rebound by T. Leaf,27,17
95,1,0:12.0,,T. Leaf makes 2-pt layup at rim,27,19
96,1,0:00.0,I. Smith misses 2-pt jump shot from 15 ft,,27,19
97,1,0:00.0,Offensive rebound by Team,,27,19
98,2,11:45.0,,L. Stephenson misses 2-pt jump shot from 18 ft,27,19
99,2,11:41.0,Defensive rebound by S. Johnson,,27,19
100,2,11:33.0,S. Johnson makes 2-pt jump shot from 18 ft,,29,19
101,2,11:23.0,,Personal foul by S. Johnson (drawn by L. Stephenson),29,19
102,2,11:18.0,,C. Joseph misses 2-pt jump shot from 18 ft,29,19
103,2,11:14.0,,Offensive rebound by D. Sabonis,29,19
104,2,11:05.0,,L. Stephenson misses 3-pt jump shot from 28 ft,29,19
105,2,11:03.0,,Offensive rebound by D. Sabonis,29,19
106,2,11:00.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,29,19
107,2,11:00.0,,Offensive rebound by D. Sabonis,29,19
108,2,10:55.0,,Turnover by B. Bogdanović (traveling),29,19
109,2,10:45.0,L. Galloway misses 3-pt jump shot from 27 ft,,29,19
110,2,10:42.0,,Defensive rebound by B. Bogdanović,29,19
111,2,10:36.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by C. Joseph),29,21
112,2,10:17.0,L. Galloway misses 2-pt jump shot from 19 ft,,29,21
113,2,10:15.0,,Defensive rebound by L. Stephenson,29,21
114,2,10:11.0,,D. Sabonis makes 2-pt layup at rim (assist by L. Stephenson),29,23
115,2,10:11.0,Violation by E. Moreland (def goaltending),,29,23
116,2,9:57.0,S. Johnson makes 2-pt jump shot from 20 ft (assist by A. Tolliver),,31,23
