,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,Personal foul by D. Fox (drawn by R. Westbrook),0,0
1,1,11:33.0,,Turnover by R. Westbrook (bad pass; steal by W. Cauley-Stein),0,0
2,1,11:25.0,S. Labissière misses 2-pt jump shot from 19 ft,,0,0
3,1,11:22.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:18.0,,Turnover by P. George (bad pass; steal by G. Temple),0,0
5,1,11:15.0,G. Temple makes 2-pt dunk from 2 ft (assist by D. Fox),,2,0
6,1,10:59.0,,P. George makes 2-pt layup from 1 ft,2,2
7,1,10:59.0,,Shooting foul by G. Temple (drawn by P. George),2,2
8,1,10:59.0,,P. George makes free throw 1 of 1,2,3
9,1,10:46.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by G. Temple),,4,3
10,1,10:21.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),4,5
11,1,10:12.0,Personal foul by R. Westbrook (drawn by D. Fox),,4,5
12,1,10:05.0,D. Fox makes 3-pt jump shot from 22 ft (assist by W. Cauley-Stein),,7,5
13,1,9:57.0,,Shooting foul by S. Labissière (drawn by R. Westbrook),7,5
14,1,9:57.0,,R. Westbrook misses free throw 1 of 2,7,5
15,1,9:57.0,,Offensive rebound by Team,7,5
16,1,9:57.0,,R. Westbrook misses free throw 2 of 2,7,5
17,1,9:54.0,Defensive rebound by G. Temple,,7,5
18,1,9:46.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,7,5
19,1,9:42.0,Offensive rebound by B. Bogdanović,,7,5
20,1,9:31.0,D. Fox makes 2-pt layup at rim (assist by S. Labissière),,9,5
21,1,9:16.0,,P. George misses 2-pt jump shot from 15 ft,9,5
22,1,9:14.0,,Offensive rebound by S. Adams,9,5
23,1,9:14.0,,Turnover by S. Adams (step out of bounds),9,5
24,1,8:59.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,9,5
25,1,8:57.0,,Defensive rebound by R. Westbrook,9,5
26,1,8:54.0,,R. Westbrook makes 2-pt jump shot from 12 ft,9,7
27,1,8:40.0,Shooting foul by C. Anthony (drawn by S. Labissière),,9,7
28,1,8:40.0,S. Labissière misses free throw 1 of 2,,9,7
29,1,8:40.0,Offensive rebound by Team,,9,7
30,1,8:40.0,S. Labissière makes free throw 2 of 2,,10,7
31,1,8:26.0,,C. Anthony misses 3-pt jump shot from 25 ft,10,7
32,1,8:25.0,,Offensive rebound by Team,10,7
33,1,8:25.0,Loose ball foul by W. Cauley-Stein (drawn by S. Adams),,10,7
34,1,8:20.0,,R. Westbrook makes 2-pt layup from 1 ft,10,9
35,1,8:10.0,G. Temple makes 2-pt jump shot from 14 ft,,12,9
36,1,7:44.0,,C. Anthony misses 2-pt jump shot from 14 ft,12,9
37,1,7:41.0,,Offensive rebound by Team,12,9
38,1,7:41.0,,Oklahoma City full timeout,12,9
39,1,7:41.0,K. Koufos enters the game for W. Cauley-Stein,,12,9
40,1,7:40.0,,S. Adams misses 2-pt layup at rim,12,9
41,1,7:39.0,,Offensive rebound by S. Adams,12,9
42,1,7:39.0,,S. Adams misses 2-pt layup at rim,12,9
43,1,7:38.0,,Offensive rebound by R. Westbrook,12,9
44,1,7:35.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),12,11
45,1,7:08.0,S. Labissière misses 3-pt jump shot from 25 ft,,12,11
46,1,7:07.0,,Defensive rebound by R. Westbrook,12,11
47,1,6:59.0,,Turnover by R. Westbrook (bad pass),12,11
48,1,6:47.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,12,11
49,1,6:47.0,,Defensive rebound by R. Westbrook,12,11
50,1,6:36.0,,R. Westbrook makes 2-pt jump shot from 16 ft,12,13
51,1,6:20.0,K. Koufos misses 2-pt dunk from 1 ft (block by T. Ferguson),,12,13
52,1,6:19.0,Offensive rebound by Team,,12,13
53,1,6:12.0,K. Koufos makes 2-pt hook shot from 1 ft (assist by D. Fox),,14,13
54,1,5:54.0,,P. George misses 2-pt layup at rim,14,13
55,1,5:51.0,,Offensive rebound by S. Adams,14,13
56,1,5:51.0,,S. Adams makes 2-pt layup at rim,14,15
57,1,5:47.0,S. Labissière misses 2-pt jump shot from 5 ft,,14,15
58,1,5:45.0,,Defensive rebound by C. Anthony,14,15
59,1,5:35.0,,C. Anthony misses 2-pt jump shot from 17 ft,14,15
60,1,5:31.0,Defensive rebound by S. Labissière,,14,15
61,1,5:13.0,S. Labissière makes 2-pt dunk from 1 ft (assist by G. Temple),,16,15
62,1,4:51.0,,P. George misses 3-pt jump shot from 25 ft,16,15
63,1,4:51.0,Defensive rebound by S. Labissière,,16,15
64,1,4:47.0,Turnover by S. Labissière (bad pass; steal by P. George),,16,15
65,1,4:47.0,,P. George misses 2-pt layup from 2 ft,16,15
66,1,4:46.0,,Offensive rebound by C. Anthony,16,15
67,1,4:46.0,,C. Anthony makes 2-pt dunk at rim,16,17
68,1,4:23.0,K. Koufos makes 2-pt jump shot from 2 ft,,18,17
69,1,4:11.0,,Shooting foul by S. Labissière (drawn by S. Adams),18,17
70,1,4:11.0,,S. Adams misses free throw 1 of 2,18,17
71,1,4:11.0,,Offensive rebound by Team,18,17
72,1,4:11.0,G. Hill enters the game for D. Fox,,18,17
73,1,4:11.0,B. Hield enters the game for G. Temple,,18,17
74,1,4:11.0,,S. Adams misses free throw 2 of 2,18,17
75,1,4:09.0,Defensive rebound by G. Hill,,18,17
76,1,4:08.0,Sacramento full timeout,,18,17
77,1,3:52.0,S. Labissière misses 2-pt jump shot from 11 ft,,18,17
78,1,3:50.0,,Defensive rebound by R. Westbrook,18,17
79,1,3:43.0,,Turnover by R. Westbrook (lost ball; steal by G. Hill),18,17
80,1,3:36.0,B. Hield misses 3-pt jump shot from 25 ft,,18,17
81,1,3:31.0,Offensive rebound by S. Labissière,,18,17
82,1,3:17.0,S. Labissière makes 2-pt layup at rim (assist by B. Bogdanović),,20,17
83,1,2:56.0,,Turnover by R. Westbrook (bad pass),20,17
