,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:33.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,0
1,1,11:30.0,Offensive rebound by T. Black,,0,0
2,1,11:22.0,Turnover by J. Harden (lost ball; steal by D. Mitchell),,0,0
3,1,11:03.0,,Turnover by R. Rubio (bad pass; steal by T. Black),0,0
4,1,10:50.0,T. Black misses 2-pt layup from 4 ft,,0,0
5,1,10:48.0,,Defensive rebound by D. Favors,0,0
6,1,10:44.0,,Personal foul by T. Black (drawn by R. Rubio),0,0
7,1,10:33.0,,D. Mitchell makes 3-pt jump shot from 22 ft (assist by R. Gobert),0,3
8,1,10:05.0,T. Black makes 2-pt hook shot from 6 ft,,2,3
9,1,9:50.0,,Shooting foul by P. Tucker (drawn by D. Mitchell),2,3
10,1,9:50.0,,D. Mitchell makes free throw 1 of 2,2,4
11,1,9:50.0,,D. Mitchell makes free throw 2 of 2,2,5
12,1,9:28.0,J. Harden makes 2-pt layup from 1 ft,,4,5
13,1,9:03.0,,D. Mitchell misses 3-pt jump shot from 28 ft,4,5
14,1,9:01.0,,Offensive rebound by R. Gobert,4,5
15,1,8:58.0,,D. Mitchell misses 3-pt jump shot from 25 ft,4,5
16,1,8:55.0,Defensive rebound by J. Harden,,4,5
17,1,8:52.0,T. Black makes 2-pt layup from 3 ft (assist by J. Harden),,6,5
18,1,8:52.0,,Violation by D. Mitchell (def goaltending),6,5
19,1,8:52.0,Shooting foul by R. Rubio (drawn by T. Black),,6,5
20,1,8:52.0,T. Black misses free throw 1 of 1,,6,5
21,1,8:52.0,,Defensive rebound by D. Favors,6,5
22,1,8:40.0,,J. Ingles misses 3-pt jump shot from 25 ft,6,5
23,1,8:38.0,Defensive rebound by T. Ariza,,6,5
24,1,8:19.0,J. Harden misses 3-pt jump shot from 25 ft,,6,5
25,1,8:13.0,,Defensive rebound by R. Rubio,6,5
26,1,8:07.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),6,7
27,1,7:43.0,C. Paul makes 3-pt jump shot from 23 ft,,9,7
28,1,7:28.0,,Turnover by D. Mitchell (step out of bounds),9,7
29,1,7:21.0,P. Tucker misses 3-pt jump shot from 25 ft,,9,7
30,1,7:16.0,,Defensive rebound by D. Mitchell,9,7
31,1,7:06.0,,D. Favors misses 2-pt layup from 6 ft,9,7
32,1,7:03.0,Defensive rebound by C. Paul,,9,7
33,1,6:57.0,J. Harden makes 2-pt layup from 2 ft,,11,7
34,1,6:40.0,,D. Favors misses 2-pt jump shot from 16 ft,11,7
35,1,6:38.0,Defensive rebound by C. Paul,,11,7
36,1,6:34.0,Shooting foul by D. Favors (drawn by J. Harden),,11,7
37,1,6:34.0,,Utah full timeout,11,7
38,1,6:34.0,,J. Crowder enters the game for R. Rubio,11,7
39,1,6:34.0,L. Mbah a Moute enters the game for T. Black,,11,7
40,1,6:34.0,N. Hilário enters the game for C. Paul,,11,7
41,1,6:34.0,J. Harden misses free throw 1 of 3,,11,7
42,1,6:34.0,Offensive rebound by Team,,11,7
43,1,6:34.0,J. Harden misses free throw 2 of 3,,11,7
44,1,6:34.0,Offensive rebound by Team,,11,7
45,1,6:34.0,J. Harden makes free throw 3 of 3,,12,7
46,1,6:17.0,,J. Ingles misses 2-pt jump shot from 16 ft,12,7
47,1,6:14.0,Defensive rebound by N. Hilário,,12,7
48,1,6:04.0,Turnover by J. Harden (bad pass),,12,7
49,1,6:04.0,,R. O'Neale enters the game for J. Ingles,12,7
50,1,5:47.0,,J. Crowder misses 3-pt jump shot from 25 ft,12,7
51,1,5:44.0,Defensive rebound by J. Harden,,12,7
52,1,5:28.0,N. Hilário makes 2-pt hook shot from 8 ft,,14,7
53,1,5:12.0,,Turnover by D. Favors (bad pass; steal by P. Tucker),14,7
54,1,5:08.0,Turnover by J. Harden (lost ball; steal by R. O'Neale),,14,7
55,1,5:02.0,,D. Favors makes 2-pt dunk from 1 ft (assist by R. O'Neale),14,9
56,1,4:59.0,Turnover by N. Hilário (bad pass),,14,9
57,1,4:59.0,,J. Jerebko enters the game for D. Favors,14,9
58,1,4:59.0,G. Green enters the game for T. Ariza,,14,9
59,1,4:59.0,J. Johnson enters the game for P. Tucker,,14,9
60,1,4:49.0,,D. Mitchell misses 3-pt jump shot from 25 ft,14,9
61,1,4:45.0,Defensive rebound by L. Mbah a Moute,,14,9
62,1,4:32.0,G. Green misses 3-pt jump shot from 24 ft,,14,9
63,1,4:28.0,Offensive rebound by J. Harden,,14,9
64,1,4:20.0,Shooting foul by R. Gobert (drawn by N. Hilário),,14,9
65,1,4:20.0,N. Hilário makes free throw 1 of 2,,15,9
66,1,4:20.0,N. Hilário makes free throw 2 of 2,,16,9
67,1,4:00.0,,J. Jerebko makes 2-pt layup from 3 ft (assist by D. Mitchell),16,11
68,1,4:00.0,,Shooting foul by G. Green (drawn by J. Jerebko),16,11
69,1,4:00.0,,J. Jerebko makes free throw 1 of 1,16,12
70,1,3:51.0,G. Green misses 3-pt jump shot from 24 ft,,16,12
71,1,3:49.0,,Defensive rebound by R. Gobert,16,12
72,1,3:36.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. O'Neale),16,14
73,1,3:10.0,J. Harden misses 3-pt jump shot from 25 ft,,16,14
74,1,3:09.0,Offensive rebound by Team,,16,14
75,1,3:08.0,Turnover by Team (shot clock),,16,14
76,1,2:48.0,,J. Crowder makes 2-pt layup from 3 ft,16,16
77,1,2:22.0,J. Harden misses 3-pt jump shot from 27 ft,,16,16
78,1,2:18.0,,Defensive rebound by J. Crowder,16,16
79,1,2:13.0,,J. Crowder makes 3-pt jump shot from 25 ft,16,19
80,1,2:12.0,Houston full timeout,,16,19
81,1,2:12.0,,D. Favors enters the game for R. Gobert,16,19
82,1,2:12.0,,J. Ingles enters the game for D. Mitchell,16,19
