,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
0,1,11:40.0,K. Towns misses 2-pt jump shot from 6 ft,,0,0
1,1,11:37.0,,Defensive rebound by T. Ariza,0,0
2,1,11:34.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),0,2
3,1,11:18.0,T. Gibson misses 2-pt jump shot from 16 ft,,0,2
4,1,11:15.0,,Defensive rebound by C. Paul,0,2
5,1,11:07.0,,T. Ariza makes 3-pt jump shot from 22 ft (assist by J. Harden),0,5
6,1,10:48.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),,3,5
7,1,10:28.0,,J. Harden misses 2-pt jump shot from 7 ft,3,5
8,1,10:26.0,Defensive rebound by J. Teague,,3,5
9,1,10:17.0,Shooting foul by T. Ariza (drawn by T. Gibson),,3,5
10,1,10:17.0,T. Gibson makes free throw 1 of 2,,4,5
11,1,10:17.0,T. Gibson misses free throw 2 of 2,,4,5
12,1,10:13.0,Offensive rebound by J. Butler,,4,5
13,1,10:11.0,J. Butler makes 2-pt layup from 1 ft,,6,5
14,1,9:56.0,,Turnover by C. Capela (traveling),6,5
15,1,9:44.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Towns),,8,5
16,1,9:29.0,,Shooting foul by A. Wiggins (drawn by C. Capela),8,5
17,1,9:29.0,,C. Capela misses free throw 1 of 2,8,5
18,1,9:29.0,,Offensive rebound by Team,8,5
19,1,9:29.0,,C. Capela makes free throw 2 of 2,8,6
20,1,9:14.0,A. Wiggins makes 2-pt jump shot from 12 ft,,10,6
21,1,9:04.0,,C. Paul misses 3-pt jump shot from 26 ft,10,6
22,1,9:00.0,Defensive rebound by K. Towns,,10,6
23,1,8:53.0,J. Butler makes 3-pt jump shot from 25 ft,,13,6
24,1,8:38.0,,J. Harden misses 2-pt layup from 4 ft (block by K. Towns),13,6
25,1,8:38.0,,Offensive rebound by Team,13,6
26,1,8:31.0,,Shooting foul by J. Butler (drawn by J. Harden),13,6
27,1,8:31.0,,J. Harden makes free throw 1 of 2,13,7
28,1,8:31.0,,J. Harden makes free throw 2 of 2,13,8
29,1,8:21.0,J. Butler makes 2-pt jump shot from 16 ft,,15,8
30,1,8:10.0,,J. Harden misses 3-pt jump shot from 28 ft,15,8
31,1,8:06.0,,Offensive rebound by P. Tucker,15,8
32,1,7:50.0,,T. Ariza misses 3-pt jump shot from 25 ft,15,8
33,1,7:49.0,,Offensive rebound by C. Capela,15,8
34,1,7:43.0,,Turnover by Team (shot clock),15,8
35,1,7:27.0,J. Butler misses 2-pt jump shot from 15 ft,,15,8
36,1,7:24.0,,Defensive rebound by P. Tucker,15,8
37,1,7:19.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),15,10
38,1,7:07.0,A. Wiggins misses 2-pt jump shot from 7 ft,,15,10
39,1,7:07.0,Offensive rebound by K. Towns,,15,10
40,1,7:02.0,K. Towns makes 2-pt layup at rim,,17,10
41,1,6:53.0,,J. Harden misses 3-pt jump shot from 26 ft,17,10
42,1,6:50.0,Defensive rebound by K. Towns,,17,10
43,1,6:47.0,J. Teague makes 2-pt layup from 1 ft,,19,10
44,1,6:47.0,,Violation by C. Capela (def goaltending),19,10
45,1,6:47.0,,Houston full timeout,19,10
46,1,6:47.0,,J. Johnson enters the game for T. Ariza,19,10
47,1,6:47.0,,L. Mbah a Moute enters the game for C. Paul,19,10
48,1,6:34.0,,J. Harden makes 3-pt jump shot from 23 ft (assist by C. Capela),19,13
49,1,6:19.0,T. Jones enters the game for J. Teague,,19,13
50,1,6:15.0,K. Towns misses 2-pt jump shot from 12 ft,,19,13
51,1,6:09.0,,Defensive rebound by J. Harden,19,13
52,1,6:00.0,,L. Mbah a Moute misses 2-pt layup from 2 ft,19,13
53,1,5:56.0,Defensive rebound by T. Gibson,,19,13
54,1,5:47.0,A. Wiggins makes 3-pt jump shot from 22 ft (assist by J. Butler),,22,13
55,1,5:37.0,,J. Harden makes 2-pt layup from 1 ft,22,15
56,1,5:16.0,Personal foul by P. Tucker (drawn by A. Wiggins),,22,15
57,1,5:16.0,,R. Anderson enters the game for P. Tucker,22,15
58,1,5:03.0,Def 3 sec tech foul by L. Mbah a Moute,,22,15
59,1,5:03.0,J. Butler makes technical free throw,,23,15
60,1,4:51.0,J. Butler misses 2-pt layup from 1 ft,,23,15
61,1,4:48.0,,Defensive rebound by C. Capela,23,15
62,1,4:35.0,,Shooting foul by T. Jones (drawn by J. Harden),23,15
63,1,4:35.0,,J. Harden makes free throw 1 of 2,23,16
64,1,4:35.0,,N. Hilário enters the game for C. Capela,23,16
65,1,4:35.0,G. Dieng enters the game for A. Wiggins,,23,16
66,1,4:35.0,J. Crawford enters the game for K. Towns,,23,16
67,1,4:35.0,,J. Harden makes free throw 2 of 2,23,17
68,1,4:18.0,J. Butler misses 2-pt jump shot from 10 ft,,23,17
69,1,4:15.0,Offensive rebound by G. Dieng,,23,17
70,1,4:10.0,J. Butler misses 2-pt jump shot from 22 ft,,23,17
71,1,4:10.0,Offensive rebound by J. Butler,,23,17
72,1,3:55.0,J. Crawford misses 2-pt jump shot from 17 ft,,23,17
73,1,3:55.0,Offensive rebound by G. Dieng,,23,17
74,1,3:46.0,J. Crawford makes 3-pt jump shot from 26 ft (assist by T. Gibson),,26,17
75,1,3:30.0,,N. Hilário makes 2-pt hook shot from 6 ft,26,19
76,1,3:14.0,T. Jones misses 2-pt jump shot from 18 ft,,26,19
77,1,3:12.0,,Defensive rebound by R. Anderson,26,19
78,1,3:07.0,,J. Harden makes 2-pt layup from 2 ft,26,21
79,1,2:39.0,T. Jones misses 3-pt jump shot from 23 ft,,26,21
80,1,2:36.0,,Defensive rebound by L. Mbah a Moute,26,21
81,1,2:32.0,,Personal foul by J. Crawford (drawn by J. Harden),26,21
82,1,2:32.0,Minnesota full timeout,,26,21
83,1,2:15.0,,J. Harden misses 2-pt jump shot from 12 ft,26,21
84,1,2:11.0,Defensive rebound by J. Butler,,26,21
85,1,1:52.0,J. Butler makes 2-pt layup from 1 ft,,28,21
86,1,1:41.0,,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),28,24
87,1,1:17.0,T. Gibson makes 2-pt layup from 1 ft (assist by T. Jones),,30,24
88,1,1:07.0,,J. Johnson misses 3-pt jump shot from 23 ft,30,24
89,1,1:07.0,,Offensive rebound by R. Anderson,30,24
90,1,1:01.0,,Personal foul by T. Gibson (drawn by J. Harden),30,24
91,1,1:01.0,,J. Harden makes free throw 1 of 2,30,25
92,1,1:01.0,J. Teague enters the game for J. Butler,,30,25
93,1,1:01.0,,J. Harden makes free throw 2 of 2,30,26
94,1,0:41.0,J. Teague makes 2-pt jump shot from 9 ft,,32,26
95,1,0:30.0,,R. Anderson misses 3-pt jump shot from 28 ft,32,26
96,1,0:27.0,Defensive rebound by J. Crawford,,32,26
97,1,0:06.0,J. Crawford misses 2-pt jump shot from 16 ft,,32,26
98,1,0:04.0,,Defensive rebound by J. Harden,32,26
99,1,0:01.0,,Turnover by J. Harden (lost ball; steal by T. Jones),32,26
100,1,0:00.0,J. Crawford misses 3-pt jump shot from 31 ft,,32,26
101,1,0:00.0,Offensive rebound by Team,,32,26
102,2,11:40.0,,Shooting foul by G. Dieng (drawn by N. Hilário),32,26
103,2,11:40.0,,N. Hilário makes free throw 1 of 2,32,27
104,2,11:40.0,A. Wiggins enters the game for T. Jones,,32,27
105,2,11:40.0,,N. Hilário misses free throw 2 of 2,32,27
106,2,11:40.0,Defensive rebound by N. Bjelica,,32,27
107,2,11:25.0,J. Crawford makes 2-pt jump shot from 20 ft,,34,27
108,2,11:03.0,,R. Anderson misses 2-pt jump shot from 9 ft,34,27
109,2,11:01.0,Defensive rebound by G. Dieng,,34,27
110,2,10:55.0,J. Teague misses 3-pt jump shot from 25 ft,,34,27
