,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,A. Davis misses 2-pt jump shot from 11 ft,,0,0
1,1,11:41.0,,Defensive rebound by J. Embiid,0,0
2,1,11:28.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Redick),0,3
3,1,11:11.0,N. Mirotić misses 2-pt jump shot from 19 ft,,0,3
4,1,11:05.0,,Defensive rebound by J. Redick,0,3
5,1,11:02.0,,J. Embiid makes 3-pt jump shot from 28 ft (assist by B. Simmons),0,6
6,1,10:51.0,J. Holiday misses 2-pt jump shot from 7 ft,,0,6
7,1,10:49.0,,Defensive rebound by J. Embiid,0,6
8,1,10:38.0,,Turnover by B. Simmons (bad pass),0,6
9,1,10:20.0,A. Davis misses 2-pt jump shot from 10 ft,,0,6
10,1,10:15.0,,Defensive rebound by B. Simmons,0,6
11,1,9:59.0,,Shooting foul by E. Moore (drawn by B. Simmons),0,6
12,1,9:59.0,,B. Simmons makes free throw 1 of 2,0,7
13,1,9:59.0,,B. Simmons makes free throw 2 of 2,0,8
14,1,9:43.0,J. Holiday makes 2-pt layup from 2 ft (assist by N. Mirotić),,2,8
15,1,9:34.0,Offensive charge foul by J. Embiid (drawn by D. Liggins),,2,8
16,1,9:34.0,,Turnover by J. Embiid (offensive foul),2,8
17,1,9:20.0,J. Holiday misses 3-pt jump shot from 25 ft,,2,8
18,1,9:18.0,,Defensive rebound by B. Simmons,2,8
19,1,9:12.0,,B. Simmons makes 2-pt dunk at rim,2,10
20,1,8:58.0,J. Holiday misses 2-pt layup from 1 ft,,2,10
21,1,8:56.0,,Defensive rebound by J. Embiid,2,10
22,1,8:46.0,,J. Embiid makes 2-pt jump shot from 11 ft,2,12
23,1,8:31.0,Turnover by N. Mirotić (bad pass; steal by J. Embiid),,2,12
24,1,8:23.0,,D. Šarić makes 2-pt layup from 2 ft (assist by R. Covington),2,14
25,1,8:18.0,New Orleans full timeout,,2,14
26,1,8:04.0,J. Holiday misses 2-pt jump shot from 8 ft,,2,14
27,1,8:02.0,,Defensive rebound by J. Redick,2,14
28,1,7:46.0,,Personal foul by A. Davis (drawn by J. Embiid),2,14
29,1,7:46.0,,T. McConnell enters the game for J. Redick,2,14
30,1,7:32.0,,T. McConnell misses 2-pt jump shot from 14 ft,2,14
31,1,7:28.0,Defensive rebound by A. Davis,,2,14
32,1,7:23.0,A. Davis makes 2-pt jump shot from 18 ft,,4,14
33,1,7:10.0,,B. Simmons makes 2-pt dunk at rim,4,16
34,1,6:55.0,E. Moore misses 2-pt jump shot from 15 ft,,4,16
35,1,6:50.0,Offensive rebound by N. Mirotić,,4,16
36,1,6:50.0,N. Mirotić misses 2-pt layup at rim,,4,16
37,1,6:49.0,,Defensive rebound by D. Šarić,4,16
38,1,6:43.0,,J. Embiid makes 2-pt jump shot from 9 ft,4,18
39,1,6:24.0,A. Davis misses 2-pt jump shot from 18 ft (block by B. Simmons),,4,18
40,1,6:21.0,,Defensive rebound by T. McConnell,4,18
41,1,6:18.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),4,20
42,1,6:11.0,Turnover by J. Holiday (bad pass; steal by B. Simmons),,4,20
43,1,6:05.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by B. Simmons),4,23
44,1,5:57.0,New Orleans full timeout,,4,23
45,1,5:57.0,,A. Johnson enters the game for J. Embiid,4,23
46,1,5:57.0,R. Rondo enters the game for D. Liggins,,4,23
47,1,5:44.0,Def 3 sec tech foul by D. Šarić,,4,23
48,1,5:44.0,J. Holiday misses technical free throw,,4,23
49,1,5:44.0,Offensive rebound by Team,,4,23
50,1,5:36.0,Turnover by J. Holiday (bad pass; steal by B. Simmons),,4,23
51,1,5:28.0,,R. Covington misses 3-pt jump shot from 27 ft,4,23
52,1,5:28.0,Defensive rebound by Team,,4,23
53,1,5:18.0,,Violation by B. Simmons (kicked ball),4,23
54,1,5:12.0,Shooting foul by A. Johnson (drawn by A. Davis),,4,23
55,1,5:12.0,A. Davis makes free throw 1 of 2,,5,23
56,1,5:12.0,A. Davis makes free throw 2 of 2,,6,23
57,1,4:55.0,,D. Šarić makes 3-pt jump shot from 27 ft (assist by T. McConnell),6,26
