,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MILWAUKEE_ACTION,PHOENIX_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,Turnover by E. Bledsoe (bad pass; steal by T. Warren),0,0
1,1,11:22.0,G. Monroe makes 2-pt layup at rim (assist by D. Booker),,2,0
2,1,11:07.0,,Shooting foul by D. Booker (drawn by J. Henson),2,0
3,1,11:07.0,,J. Henson makes free throw 1 of 2,2,1
4,1,11:07.0,,J. Henson makes free throw 2 of 2,2,2
5,1,10:49.0,D. Booker makes 3-pt jump shot from 23 ft,,5,2
6,1,10:21.0,,E. Bledsoe misses 2-pt jump shot from 19 ft,5,2
7,1,10:18.0,Defensive rebound by D. Booker,,5,2
8,1,10:07.0,T. Warren misses 3-pt jump shot from 22 ft,,5,2
9,1,10:03.0,,Defensive rebound by M. Brogdon,5,2
10,1,9:59.0,,Turnover by M. Brogdon (bad pass; steal by G. Monroe),5,2
11,1,9:56.0,T. Warren makes 2-pt dunk at rim (assist by G. Monroe),,7,2
12,1,9:26.0,,J. Henson misses 2-pt jump shot from 20 ft,7,2
13,1,9:26.0,Defensive rebound by G. Monroe,,7,2
14,1,9:11.0,D. Bender makes 3-pt jump shot from 26 ft (assist by G. Monroe),,10,2
15,1,9:09.0,,Milwaukee full timeout,10,2
16,1,8:55.0,,K. Middleton misses 2-pt jump shot from 17 ft (block by T. Warren),10,2
17,1,8:49.0,,Offensive rebound by J. Henson,10,2
18,1,8:45.0,,K. Middleton makes 3-pt jump shot from 25 ft (assist by S. Brown),10,5
19,1,8:24.0,D. Bender misses 2-pt hook shot from 2 ft,,10,5
20,1,8:22.0,Offensive rebound by G. Monroe,,10,5
21,1,8:20.0,G. Monroe makes 2-pt layup from 2 ft,,12,5
22,1,8:06.0,,M. Brogdon misses 2-pt jump shot from 11 ft (block by T. Warren),12,5
23,1,8:04.0,Defensive rebound by G. Monroe,,12,5
24,1,8:00.0,T. Warren makes 2-pt layup at rim (assist by D. Booker),,14,5
25,1,7:41.0,,K. Middleton misses 3-pt jump shot from 27 ft,14,5
26,1,7:38.0,,Offensive rebound by S. Brown,14,5
27,1,7:35.0,,Shooting foul by G. Monroe (drawn by M. Brogdon),14,5
28,1,7:35.0,,M. Brogdon misses free throw 1 of 2,14,5
29,1,7:35.0,,Offensive rebound by Team,14,5
30,1,7:35.0,,M. Brogdon makes free throw 2 of 2,14,6
31,1,7:14.0,G. Monroe misses 2-pt hook shot from 4 ft (block by J. Henson),,14,6
32,1,7:14.0,Offensive rebound by Team,,14,6
33,1,7:12.0,T. Warren makes 2-pt layup at rim (assist by T. Ulis),,16,6
34,1,6:52.0,,K. Middleton makes 2-pt layup from 2 ft (assist by M. Brogdon),16,8
35,1,6:39.0,Turnover by T. Ulis (bad pass; steal by S. Brown),,16,8
36,1,6:33.0,,S. Brown makes 2-pt layup from 1 ft,16,10
37,1,6:21.0,,Offensive charge foul by G. Monroe (drawn by M. Brogdon),16,10
38,1,6:21.0,Turnover by G. Monroe (offensive foul),,16,10
39,1,6:21.0,,T. Snell enters the game for S. Brown,16,10
40,1,6:06.0,,E. Bledsoe misses 2-pt layup from 1 ft,16,10
41,1,6:02.0,,Offensive rebound by J. Henson,16,10
42,1,6:02.0,,J. Henson makes 2-pt dunk at rim,16,12
43,1,5:55.0,D. Booker misses 2-pt jump shot from 20 ft,,16,12
44,1,5:52.0,,Defensive rebound by K. Middleton,16,12
45,1,5:47.0,,K. Middleton misses 2-pt jump shot from 2 ft,16,12
46,1,5:44.0,Defensive rebound by G. Monroe,,16,12
47,1,5:42.0,Turnover by T. Ulis (lost ball; steal by M. Brogdon),,16,12
48,1,5:40.0,,J. Henson makes 2-pt layup at rim (assist by M. Brogdon),16,14
49,1,5:40.0,Phoenix full timeout,,16,14
50,1,5:40.0,I. Canaan enters the game for T. Ulis,,16,14
51,1,5:40.0,A. Len enters the game for G. Monroe,,16,14
52,1,5:25.0,Turnover by D. Bender (bad pass; steal by T. Snell),,16,14
53,1,5:16.0,,J. Henson makes 2-pt dunk from 1 ft (assist by E. Bledsoe),16,16
54,1,4:51.0,Turnover by D. Booker (lost ball; steal by J. Henson),,16,16
55,1,4:47.0,,M. Brogdon makes 2-pt layup at rim (assist by J. Henson),16,18
56,1,4:29.0,I. Canaan makes 2-pt layup at rim (assist by A. Len),,18,18
57,1,4:15.0,,E. Bledsoe makes 2-pt jump shot from 9 ft (assist by K. Middleton),18,20
58,1,3:55.0,Turnover by T. Warren (bad pass; steal by E. Bledsoe),,18,20
59,1,3:52.0,,Turnover by E. Bledsoe (bad pass),18,20
60,1,3:52.0,,M. Dellavedova enters the game for E. Bledsoe,18,20
61,1,3:52.0,,T. Maker enters the game for J. Henson,18,20
62,1,3:52.0,J. Dudley enters the game for D. Booker,,18,20
63,1,3:52.0,T. Daniels enters the game for D. Bender,,18,20
64,1,3:25.0,A. Len makes 2-pt layup from 1 ft (assist by J. Dudley),,20,20
65,1,3:15.0,,K. Middleton makes 2-pt jump shot from 10 ft,20,22
66,1,3:09.0,T. Warren makes 2-pt layup from 1 ft,,22,22
67,1,2:51.0,,M. Dellavedova misses 2-pt jump shot from 8 ft,22,22
68,1,2:48.0,Defensive rebound by A. Len,,22,22
69,1,2:36.0,J. Dudley makes 2-pt layup from 1 ft (assist by T. Warren),,24,22
70,1,2:13.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by M. Dellavedova),24,24
71,1,2:01.0,Personal foul by M. Brogdon (drawn by T. Daniels),,24,24
72,1,2:01.0,,J. Terry enters the game for M. Brogdon,24,24
73,1,1:50.0,Turnover by A. Len (bad pass),,24,24
74,1,1:27.0,,K. Middleton makes 2-pt jump shot from 13 ft,24,26
75,1,1:15.0,T. Daniels misses 3-pt jump shot from 26 ft,,24,26
76,1,1:15.0,Offensive rebound by Team,,24,26
77,1,1:15.0,,Loose ball foul by T. Maker (drawn by A. Len),24,26
78,1,1:15.0,J. Jackson enters the game for T. Warren,,24,26
79,1,1:11.0,J. Jackson makes 2-pt layup at rim (assist by J. Dudley),,26,26
80,1,0:52.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by M. Dellavedova),26,28
81,1,0:44.0,Turnover by J. Dudley (bad pass),,26,28
82,1,0:31.0,,K. Middleton makes 2-pt jump shot from 12 ft,26,30
83,1,0:11.0,,Violation by T. Maker (kicked ball),26,30
84,1,0:01.0,J. Jackson misses 3-pt jump shot from 26 ft,,26,30
85,1,0:01.0,Offensive rebound by Team,,26,30
86,2,11:45.0,I. Canaan makes 3-pt jump shot from 28 ft (assist by J. Dudley),,29,30
87,2,11:25.0,,T. Maker misses 2-pt jump shot from 13 ft,29,30
88,2,11:22.0,Defensive rebound by J. Jackson,,29,30
89,2,11:08.0,A. Len misses 2-pt layup from 1 ft (block by T. Maker),,29,30
90,2,11:05.0,,Defensive rebound by M. Dellavedova,29,30
91,2,11:01.0,,S. Brown misses 3-pt jump shot from 26 ft,29,30
92,2,11:01.0,Defensive rebound by Team,,29,30
93,2,10:50.0,J. Jackson misses 3-pt jump shot from 26 ft,,29,30
94,2,10:48.0,,Defensive rebound by Team,29,30
95,2,10:27.0,,S. Brown misses 3-pt jump shot from 22 ft,29,30
96,2,10:24.0,Defensive rebound by A. Len,,29,30
97,2,10:07.0,J. Dudley makes 3-pt jump shot from 26 ft (assist by I. Canaan),,32,30
