,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PORTLAND_ACTION,LA LAKERS_SCORE,PORTLAND_SCORE
0,1,11:45.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,0
1,1,11:45.0,Offensive rebound by Team,,0,0
2,1,11:33.0,B. Lopez misses 2-pt layup from 2 ft,,0,0
3,1,11:32.0,,Defensive rebound by M. Harkless,0,0
4,1,11:20.0,,C. McCollum makes 2-pt jump shot at rim,0,2
5,1,10:53.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft,,2,2
6,1,10:37.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by J. Nurkić),2,4
7,1,10:20.0,B. Ingram makes 2-pt jump shot from 21 ft (assist by L. Nance),,4,4
8,1,9:56.0,,J. Nurkić misses 2-pt hook shot from 6 ft,4,4
9,1,9:53.0,,Offensive rebound by N. Vonleh,4,4
10,1,9:51.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by N. Vonleh),4,7
11,1,9:28.0,B. Ingram misses 2-pt jump shot from 8 ft (block by N. Vonleh),,4,7
12,1,9:26.0,,Defensive rebound by C. McCollum,4,7
13,1,9:17.0,,N. Vonleh misses 2-pt layup at rim,4,7
14,1,9:17.0,Defensive rebound by L. Nance,,4,7
15,1,9:03.0,Turnover by K. Caldwell-Pope (lost ball; steal by J. Nurkić),,4,7
16,1,8:54.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by J. Nurkić),4,10
17,1,8:40.0,B. Lopez makes 2-pt jump shot from 15 ft (assist by L. Ball),,6,10
18,1,8:25.0,,J. Nurkić makes 2-pt jump shot from 19 ft (assist by C. McCollum),6,12
19,1,8:11.0,L. Nance misses 2-pt jump shot from 18 ft,,6,12
20,1,8:09.0,,Defensive rebound by M. Harkless,6,12
21,1,7:58.0,,J. Nurkić makes 2-pt jump shot from 11 ft (assist by D. Lillard),6,14
22,1,7:50.0,LA Lakers full timeout,,6,14
23,1,7:46.0,Turnover by L. Ball (out of bounds lost ball),,6,14
24,1,7:34.0,,M. Harkless makes 2-pt dunk at rim (assist by J. Nurkić),6,16
25,1,7:19.0,Personal foul by N. Vonleh (drawn by B. Ingram),,6,16
26,1,7:11.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,6,16
27,1,7:05.0,Offensive rebound by L. Nance,,6,16
28,1,7:05.0,L. Nance makes 2-pt layup at rim,,8,16
29,1,6:56.0,,Turnover by D. Lillard (bad pass; steal by K. Caldwell-Pope),8,16
30,1,6:51.0,K. Caldwell-Pope makes 2-pt layup at rim,,10,16
