,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
0,1,11:41.0,C. Lee misses 2-pt layup from 5 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. DeRozan,0,0
2,1,11:35.0,,K. Lowry makes 2-pt layup from 1 ft (assist by D. DeRozan),0,2
3,1,11:14.0,J. Jack makes 2-pt jump shot from 8 ft (assist by E. Freedom),,2,2
4,1,10:52.0,,J. Valančiūnas misses 2-pt hook shot from 5 ft,2,2
5,1,10:51.0,Defensive rebound by K. Porziņģis,,2,2
6,1,10:44.0,J. Jack makes 2-pt jump shot from 12 ft,,4,2
7,1,10:24.0,,P. Siakam misses 3-pt jump shot from 26 ft,4,2
8,1,10:21.0,Defensive rebound by T. Hardaway,,4,2
9,1,10:08.0,K. Porziņģis misses 2-pt jump shot from 14 ft (block by P. Siakam),,4,2
10,1,10:08.0,,Defensive rebound by Team,4,2
11,1,9:50.0,,O. Anunoby makes 2-pt layup from 1 ft,4,4
12,1,9:40.0,T. Hardaway misses 3-pt jump shot from 25 ft,,4,4
13,1,9:36.0,,Defensive rebound by J. Valančiūnas,4,4
14,1,9:30.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),4,6
15,1,9:13.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,4,6
16,1,9:11.0,,Defensive rebound by D. DeRozan,4,6
17,1,9:01.0,,P. Siakam makes 2-pt layup from 1 ft (assist by D. DeRozan),4,8
18,1,8:45.0,T. Hardaway makes 3-pt jump shot from 25 ft,,7,8
19,1,8:35.0,,D. DeRozan misses 2-pt layup from 2 ft,7,8
20,1,8:34.0,Defensive rebound by E. Freedom,,7,8
21,1,8:29.0,J. Jack makes 2-pt jump shot from 19 ft,,9,8
22,1,8:06.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,9,8
23,1,8:05.0,Defensive rebound by T. Hardaway,,9,8
24,1,7:49.0,K. Porziņģis misses 2-pt jump shot from 8 ft,,9,8
25,1,7:46.0,,Defensive rebound by P. Siakam,9,8
26,1,7:39.0,,Shooting foul by K. Porziņģis (drawn by D. DeRozan),9,8
27,1,7:39.0,,D. DeRozan makes free throw 1 of 2,9,9
28,1,7:39.0,,D. DeRozan makes free throw 2 of 2,9,10
29,1,7:19.0,E. Freedom misses 2-pt hook shot from 5 ft,,9,10
