,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:39.0,,L. Markkanen misses 3-pt jump shot from 25 ft,0,0
1,1,11:35.0,Defensive rebound by E. Freedom,,0,0
2,1,11:20.0,E. Freedom makes 2-pt layup at rim (assist by K. Porziņģis),,2,0
3,1,10:58.0,,R. Lopez makes 2-pt hook shot from 6 ft,2,2
4,1,10:37.0,E. Freedom misses 2-pt layup from 1 ft,,2,2
5,1,10:37.0,,Defensive rebound by Team,2,2
6,1,10:22.0,,K. Dunn misses 2-pt jump shot from 10 ft,2,2
7,1,10:19.0,Defensive rebound by J. Jack,,2,2
8,1,10:12.0,L. Thomas misses 3-pt jump shot from 22 ft,,2,2
9,1,10:00.0,,Defensive rebound by K. Dunn,2,2
10,1,9:56.0,,D. Valentine misses 3-pt jump shot from 24 ft,2,2
11,1,9:55.0,,Offensive rebound by K. Dunn,2,2
12,1,9:55.0,,Shooting foul by E. Freedom (drawn by K. Dunn),2,2
13,1,9:55.0,,K. Dunn makes free throw 1 of 2,2,3
14,1,9:55.0,,K. Dunn misses free throw 2 of 2,2,3
15,1,9:52.0,Defensive rebound by E. Freedom,,2,3
16,1,9:34.0,K. Porziņģis makes 2-pt jump shot from 13 ft,,4,3
17,1,9:15.0,,Turnover by D. Valentine (bad pass; steal by C. Lee),4,3
18,1,9:07.0,K. Porziņģis misses 2-pt jump shot from 11 ft,,4,3
19,1,9:05.0,,Defensive rebound by D. Valentine,4,3
20,1,8:57.0,,L. Markkanen makes 2-pt jump shot from 19 ft (assist by D. Valentine),4,5
21,1,8:47.0,Personal foul by K. Dunn (drawn by J. Jack),,4,5
22,1,8:41.0,C. Lee misses 2-pt jump shot from 8 ft (block by J. Holiday),,4,5
23,1,8:41.0,Offensive rebound by Team,,4,5
24,1,8:32.0,J. Jack misses 2-pt jump shot from 14 ft,,4,5
25,1,8:27.0,,Defensive rebound by J. Holiday,4,5
26,1,8:14.0,,K. Dunn makes 2-pt jump shot from 19 ft,4,7
27,1,7:58.0,C. Lee misses 3-pt jump shot from 25 ft,,4,7
28,1,7:53.0,,Defensive rebound by R. Lopez,4,7
29,1,7:43.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by K. Dunn),4,9
30,1,7:26.0,K. Porziņģis misses 2-pt jump shot from 14 ft (block by L. Markkanen),,4,9
31,1,7:23.0,,Defensive rebound by L. Markkanen,4,9
32,1,7:22.0,,Personal foul by C. Lee (drawn by L. Markkanen),4,9
33,1,7:11.0,,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Dunn),4,11
34,1,7:07.0,New York full timeout,,4,11
35,1,6:49.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,4,11
36,1,6:47.0,,Defensive rebound by K. Dunn,4,11
37,1,6:26.0,,J. Holiday misses 3-pt jump shot from 25 ft,4,11
38,1,6:20.0,Defensive rebound by C. Lee,,4,11
39,1,6:13.0,K. Porziņģis makes 2-pt jump shot from 8 ft,,6,11
40,1,5:59.0,,L. Markkanen misses 2-pt layup from 1 ft,6,11
41,1,5:56.0,,Offensive rebound by R. Lopez,6,11
42,1,5:56.0,,L. Markkanen makes 3-pt jump shot from 22 ft (assist by K. Dunn),6,14
43,1,5:33.0,K. Porziņģis misses 2-pt jump shot from 12 ft (block by L. Markkanen),,6,14
44,1,5:30.0,,Defensive rebound by D. Valentine,6,14
45,1,5:15.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Lopez),6,17
46,1,4:58.0,Turnover by L. Thomas (bad pass; steal by K. Dunn),,6,17
47,1,4:53.0,,K. Dunn makes 2-pt dunk at rim,6,19
48,1,4:32.0,C. Lee misses 2-pt jump shot from 5 ft,,6,19
49,1,4:30.0,,Defensive rebound by K. Dunn,6,19
50,1,4:22.0,,D. Valentine misses 2-pt jump shot from 22 ft,6,19
51,1,4:18.0,Defensive rebound by E. Freedom,,6,19
52,1,4:03.0,K. Porziņģis misses 2-pt jump shot from 22 ft,,6,19
53,1,4:03.0,,Defensive rebound by L. Markkanen,6,19
54,1,3:57.0,Personal foul by R. Lopez (drawn by L. Thomas),,6,19
55,1,3:57.0,,Turnover by R. Lopez (turnover),6,19
56,1,3:57.0,,J. Grant enters the game for K. Dunn,6,19
