,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MEMPHIS_ACTION,PHOENIX_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,Turnover by M. Gasol (lost ball; steal by G. Monroe),0,0
1,1,11:16.0,T. Warren misses 3-pt jump shot from 30 ft,,0,0
2,1,11:16.0,Offensive rebound by Team,,0,0
3,1,11:16.0,Turnover by Team (shot clock),,0,0
4,1,11:01.0,,J. Martin misses 2-pt jump shot from 19 ft,0,0
5,1,10:56.0,Defensive rebound by I. Canaan,,0,0
6,1,10:48.0,Turnover by D. Bender (bad pass; steal by J. Martin),,0,0
7,1,10:37.0,,Turnover by D. Brooks (bad pass),0,0
8,1,10:18.0,G. Monroe makes 2-pt jump shot from 6 ft,,2,0
9,1,10:06.0,,W. Selden misses 2-pt jump shot from 7 ft,2,0
10,1,10:02.0,Defensive rebound by D. Bender,,2,0
11,1,9:59.0,T. Warren makes 2-pt layup from 7 ft (assist by I. Canaan),,4,0
12,1,9:55.0,,Personal foul by T. Warren (drawn by D. Brooks),4,0
13,1,9:49.0,,D. Brooks makes 2-pt layup from 1 ft (assist by W. Selden),4,2
14,1,9:30.0,Turnover by G. Monroe (bad pass; steal by M. Gasol),,4,2
15,1,9:27.0,,Shooting foul by D. Bender (drawn by D. Brooks),4,2
16,1,9:27.0,,D. Brooks misses free throw 1 of 2,4,2
17,1,9:27.0,,Offensive rebound by Team,4,2
18,1,9:27.0,,D. Brooks makes free throw 2 of 2,4,3
19,1,9:15.0,T. Daniels makes 3-pt jump shot from 24 ft (assist by G. Monroe),,7,3
20,1,9:02.0,,J. Martin misses 2-pt dunk from 1 ft (block by T. Daniels),7,3
21,1,8:58.0,Defensive rebound by I. Canaan,,7,3
22,1,8:51.0,T. Warren makes 2-pt layup from 1 ft (assist by G. Monroe),,9,3
23,1,8:35.0,,M. Gasol makes 2-pt layup from 1 ft (assist by J. Martin),9,5
24,1,8:15.0,T. Warren misses 2-pt jump shot from 11 ft,,9,5
25,1,8:12.0,,Defensive rebound by A. Harrison,9,5
26,1,8:10.0,,Turnover by W. Selden (traveling),9,5
27,1,7:48.0,G. Monroe misses 2-pt layup at rim (block by J. Martin),,9,5
28,1,7:45.0,,Defensive rebound by M. Gasol,9,5
29,1,7:36.0,,A. Harrison misses 3-pt jump shot from 23 ft,9,5
30,1,7:34.0,Defensive rebound by D. Bender,,9,5
31,1,7:23.0,T. Daniels misses 3-pt jump shot from 26 ft,,9,5
32,1,7:21.0,,Defensive rebound by M. Gasol,9,5
33,1,7:17.0,,Turnover by M. Gasol (bad pass),9,5
34,1,7:02.0,T. Warren makes 2-pt jump shot from 7 ft,,11,5
35,1,7:02.0,,Memphis full timeout,11,5
36,1,6:43.0,,D. Brooks makes 2-pt layup at rim (assist by W. Selden),11,7
37,1,6:22.0,Shooting foul by W. Selden (drawn by T. Daniels),,11,7
38,1,6:22.0,T. Daniels makes free throw 1 of 3,,12,7
39,1,6:22.0,T. Daniels makes free throw 2 of 3,,13,7
40,1,6:22.0,,T. Evans enters the game for W. Selden,13,7
41,1,6:22.0,T. Daniels makes free throw 3 of 3,,14,7
42,1,6:10.0,,A. Harrison misses 2-pt layup at rim,14,7
43,1,6:08.0,Defensive rebound by I. Canaan,,14,7
44,1,6:04.0,Turnover by D. Bender (bad pass),,14,7
45,1,6:04.0,,I. Rabb enters the game for J. Martin,14,7
46,1,5:42.0,,M. Gasol makes 2-pt jump shot from 14 ft (assist by I. Rabb),14,9
47,1,5:24.0,G. Monroe misses 2-pt layup from 7 ft (block by M. Gasol),,14,9
48,1,5:24.0,,M. Chalmers enters the game for A. Harrison,14,9
49,1,5:24.0,,Offensive rebound by Team,14,9
50,1,5:10.0,,Personal foul by G. Monroe (drawn by M. Gasol),14,9
51,1,5:10.0,A. Len enters the game for G. Monroe,,14,9
52,1,5:10.0,J. Jackson enters the game for T. Daniels,,14,9
53,1,5:05.0,,M. Gasol misses 3-pt jump shot from 28 ft,14,9
54,1,5:03.0,,Offensive rebound by Team,14,9
55,1,4:54.0,,T. Evans misses 2-pt layup at rim,14,9
56,1,4:52.0,Defensive rebound by J. Jackson,,14,9
57,1,4:42.0,Personal foul by M. Chalmers (drawn by A. Len),,14,9
58,1,4:36.0,Turnover by D. Bender (lost ball; steal by M. Chalmers),,14,9
59,1,4:32.0,,Turnover by I. Rabb (lost ball; steal by T. Warren),14,9
60,1,4:30.0,T. Warren misses 2-pt layup from 1 ft (block by M. Gasol),,14,9
61,1,4:28.0,,Defensive rebound by M. Gasol,14,9
62,1,4:25.0,,Turnover by M. Gasol (bad pass; steal by A. Len),14,9
63,1,4:23.0,Shooting foul by M. Gasol (drawn by T. Warren),,14,9
