,QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
0,1,11:42.0,,K. Porziņģis makes 2-pt jump shot from 21 ft (assist by J. Jack),0,2
1,1,11:23.0,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Waiters),,3,2
2,1,11:06.0,,K. Porziņģis makes 2-pt jump shot from 20 ft (assist by J. Jack),3,4
3,1,10:48.0,D. Waiters misses 3-pt jump shot from 26 ft,,3,4
4,1,10:45.0,,Defensive rebound by C. Lee,3,4
5,1,10:38.0,,C. Lee misses 2-pt layup at rim,3,4
6,1,10:36.0,Defensive rebound by J. Winslow,,3,4
7,1,10:32.0,B. Adebayo makes 2-pt dunk at rim (assist by J. Winslow),,5,4
8,1,10:11.0,,Turnover by K. Porziņģis (bad pass; steal by J. Richardson),5,4
9,1,10:05.0,G. Dragić misses 2-pt jump shot from 14 ft,,5,4
10,1,10:03.0,,Defensive rebound by J. Jack,5,4
11,1,9:59.0,,T. Hardaway makes 3-pt jump shot from 22 ft (assist by J. Jack),5,7
12,1,9:42.0,J. Winslow misses 3-pt jump shot from 22 ft,,5,7
13,1,9:36.0,Offensive rebound by J. Winslow,,5,7
14,1,9:34.0,J. Winslow misses 2-pt layup from 1 ft,,5,7
15,1,9:30.0,,Defensive rebound by C. Lee,5,7
16,1,9:30.0,,New York full timeout,5,7
17,1,9:30.0,,M. Beasley enters the game for K. Porziņģis,5,7
18,1,9:13.0,,C. Lee makes 3-pt jump shot from 25 ft (assist by T. Hardaway),5,10
19,1,8:58.0,G. Dragić makes 2-pt layup from 1 ft (assist by J. Winslow),,7,10
20,1,8:47.0,,M. Beasley makes 2-pt jump shot from 14 ft,7,12
21,1,8:29.0,Turnover by J. Winslow (bad pass; steal by J. Jack),,7,12
22,1,8:25.0,,Turnover by J. Jack (bad pass; steal by B. Adebayo),7,12
23,1,8:20.0,G. Dragić misses 2-pt layup from 1 ft,,7,12
24,1,8:19.0,Offensive rebound by Team,,7,12
25,1,8:12.0,Shooting foul by M. Beasley (drawn by J. Winslow),,7,12
26,1,8:12.0,J. Winslow misses free throw 2 of 2,,7,12
27,1,8:12.0,,Defensive rebound by C. Lee,7,12
28,1,8:12.0,J. Winslow makes free throw 1 of 2,,8,12
29,1,7:52.0,,E. Freedom makes 2-pt layup from 1 ft,8,14
30,1,7:38.0,D. Waiters misses 2-pt layup from 2 ft,,8,14
31,1,7:37.0,,Defensive rebound by Team,8,14
32,1,7:19.0,,Turnover by M. Beasley (lost ball; steal by J. Winslow),8,14
33,1,7:13.0,G. Dragić misses 3-pt jump shot from 23 ft,,8,14
34,1,7:09.0,,Defensive rebound by E. Freedom,8,14
35,1,7:02.0,,J. Jack makes 2-pt jump shot from 12 ft,8,16
36,1,6:36.0,J. Richardson misses 2-pt jump shot from 14 ft,,8,16
37,1,6:35.0,,Defensive rebound by E. Freedom,8,16
38,1,6:22.0,,J. Jack misses 2-pt jump shot from 11 ft,8,16
39,1,6:19.0,,Offensive rebound by E. Freedom,8,16
40,1,6:18.0,,E. Freedom misses 2-pt layup from 1 ft,8,16
41,1,6:15.0,Defensive rebound by B. Adebayo,,8,16
42,1,5:59.0,J. Winslow makes 2-pt layup from 3 ft (assist by D. Waiters),,10,16
43,1,5:59.0,,Violation by M. Beasley (def goaltending),10,16
44,1,5:49.0,,Shooting foul by D. Waiters (drawn by C. Lee),10,16
45,1,5:49.0,,R. Sessions enters the game for J. Jack,10,16
46,1,5:49.0,T. Johnson enters the game for J. Richardson,,10,16
47,1,5:49.0,K. Olynyk enters the game for B. Adebayo,,10,16
48,1,5:49.0,,C. Lee makes free throw 1 of 2,10,17
49,1,5:49.0,,C. Lee makes free throw 2 of 2,10,18
50,1,5:38.0,D. Waiters makes 2-pt jump shot from 17 ft,,12,18
51,1,5:16.0,,E. Freedom misses 2-pt layup from 1 ft,12,18
52,1,5:15.0,Defensive rebound by J. Winslow,,12,18
53,1,4:57.0,K. Olynyk misses 2-pt layup from 2 ft (block by M. Beasley),,12,18
54,1,4:53.0,,Defensive rebound by M. Beasley,12,18
55,1,4:53.0,,T. Hardaway misses 3-pt jump shot from 24 ft,12,18
56,1,4:53.0,,Offensive rebound by E. Freedom,12,18
57,1,4:53.0,,Personal foul by K. Olynyk (drawn by E. Freedom),12,18
58,1,4:53.0,W. Ellington enters the game for G. Dragić,,12,18
59,1,4:53.0,J. Johnson enters the game for J. Winslow,,12,18
60,1,4:41.0,,R. Sessions misses 2-pt layup from 1 ft,12,18
61,1,4:41.0,,Offensive rebound by E. Freedom,12,18
62,1,4:35.0,,E. Freedom makes 2-pt layup at rim,12,20
63,1,4:32.0,Miami full timeout,,12,20
64,1,4:32.0,,K. O'Quinn enters the game for E. Freedom,12,20
65,1,4:32.0,,D. McDermott enters the game for T. Hardaway,12,20
66,1,4:22.0,W. Ellington misses 3-pt jump shot from 26 ft,,12,20
67,1,4:21.0,,Defensive rebound by K. O'Quinn,12,20
68,1,4:09.0,,Offensive foul by K. O'Quinn (drawn by K. Olynyk),12,20
69,1,4:09.0,,Turnover by K. O'Quinn (offensive foul),12,20
