,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
1,1,11:28.0,G. Hill misses 3-pt jump shot from 25 ft,,0,2
2,1,11:24.0,Offensive rebound by T. Thompson,,0,2
3,1,11:20.0,J. Smith makes 3-pt jump shot from 24 ft (assist by T. Thompson),,3,2
4,1,11:00.0,,C. Anthony misses 3-pt jump shot from 24 ft,3,2
5,1,10:58.0,Defensive rebound by J. Smith,,3,2
6,1,10:41.0,L. James makes 2-pt jump shot from 13 ft,,5,2
7,1,10:27.0,,P. George makes 3-pt jump shot from 24 ft (assist by R. Westbrook),5,5
8,1,10:09.0,L. James makes 2-pt layup from 1 ft,,7,5
9,1,10:00.0,,R. Westbrook misses 2-pt jump shot from 15 ft,7,5
10,1,9:57.0,,Offensive rebound by S. Adams,7,5
11,1,9:51.0,,Personal foul by G. Hill (drawn by C. Anthony),7,5
12,1,9:38.0,,R. Westbrook misses 2-pt jump shot from 13 ft,7,5
13,1,9:36.0,,Offensive rebound by S. Adams,7,5
14,1,9:36.0,,S. Adams misses 2-pt layup at rim,7,5
15,1,9:35.0,,Offensive rebound by Team,7,5
16,1,9:32.0,,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),7,7
17,1,9:13.0,T. Thompson misses 2-pt hook shot from 10 ft,,7,7
18,1,9:09.0,,Defensive rebound by C. Anthony,7,7
19,1,9:04.0,,C. Anthony makes 2-pt jump shot from 20 ft,7,9
20,1,8:41.0,Turnover by L. James (bad pass; steal by S. Adams),,7,9
21,1,8:40.0,,Personal foul by J. Smith (drawn by R. Westbrook),7,9
22,1,8:33.0,,P. George misses 3-pt jump shot from 24 ft,7,9
23,1,8:33.0,,Offensive rebound by S. Adams,7,9
24,1,8:28.0,,Shooting foul by T. Thompson (drawn by S. Adams),7,9
25,1,8:28.0,,S. Adams misses free throw 1 of 2,7,9
26,1,8:28.0,,Offensive rebound by Team,7,9
27,1,8:28.0,,S. Adams makes free throw 2 of 2,7,10
28,1,8:12.0,J. Smith misses 2-pt jump shot from 20 ft,,7,10
29,1,8:10.0,Offensive rebound by G. Hill,,7,10
30,1,8:04.0,C. Osman makes 3-pt jump shot from 25 ft (assist by L. James),,10,10
31,1,7:47.0,,P. George makes 2-pt jump shot from 6 ft,10,12
32,1,7:40.0,Shooting foul by Á. Abrines (drawn by L. James),,10,12
33,1,7:40.0,L. James makes free throw 1 of 2,,11,12
34,1,7:40.0,L. James makes free throw 2 of 2,,12,12
35,1,7:24.0,,C. Anthony makes 2-pt layup at rim,12,14
36,1,7:09.0,G. Hill misses 2-pt layup from 1 ft (block by S. Adams),,12,14
37,1,7:09.0,Offensive rebound by Team,,12,14
38,1,7:01.0,C. Osman misses 2-pt jump shot from 19 ft,,12,14
39,1,6:59.0,,Defensive rebound by Á. Abrines,12,14
40,1,6:54.0,,R. Westbrook misses 2-pt jump shot from 15 ft,12,14
41,1,6:52.0,,Offensive rebound by S. Adams,12,14
42,1,6:50.0,,R. Westbrook makes 2-pt jump shot from 9 ft (assist by S. Adams),12,16
43,1,6:42.0,Cleveland full timeout,,12,16
44,1,6:35.0,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),,15,16
45,1,6:15.0,,S. Adams misses 2-pt layup at rim,15,16
46,1,6:14.0,,Offensive rebound by S. Adams,15,16
47,1,6:14.0,,S. Adams makes 2-pt layup at rim,15,18
48,1,6:00.0,L. James makes 2-pt dunk at rim,,17,18
49,1,5:43.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),17,20
50,1,5:25.0,C. Osman misses 2-pt jump shot from 6 ft,,17,20
51,1,5:24.0,,Defensive rebound by Á. Abrines,17,20
52,1,5:17.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by P. George),17,22
53,1,4:59.0,L. James misses 3-pt jump shot from 22 ft,,17,22
54,1,4:57.0,,Defensive rebound by C. Anthony,17,22
55,1,4:51.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by R. Westbrook),17,24
56,1,4:25.0,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),,20,24
57,1,4:03.0,,C. Anthony misses 3-pt jump shot from 24 ft,20,24
58,1,4:01.0,Defensive rebound by C. Osman,,20,24
59,1,3:53.0,Turnover by T. Thompson (lost ball; steal by C. Anthony),,20,24
60,1,3:45.0,,C. Anthony misses 2-pt layup at rim,20,24
61,1,3:43.0,Defensive rebound by L. James,,20,24
62,1,3:38.0,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),,23,24
63,1,3:23.0,,Personal foul by C. Osman (drawn by P. George),23,24
64,1,3:23.0,,J. Huestis enters the game for P. George,23,24
65,1,3:23.0,R. Hood enters the game for C. Osman,,23,24
66,1,3:15.0,,R. Westbrook misses 2-pt layup at rim,23,24
67,1,3:14.0,Defensive rebound by T. Thompson,,23,24
68,1,3:14.0,,Technical foul by R. Westbrook,23,24
69,1,3:14.0,L. James misses technical free throw,,23,24
70,1,3:14.0,Offensive rebound by Team,,23,24
71,1,2:56.0,T. Thompson makes 2-pt dunk from 1 ft (assist by G. Hill),,25,24
72,1,2:43.0,,Shooting foul by R. Hood (drawn by R. Westbrook),25,24
73,1,2:43.0,,Oklahoma City full timeout,25,24
74,1,2:43.0,,P. Patterson enters the game for S. Adams,25,24
75,1,2:43.0,J. Green enters the game for G. Hill,,25,24
76,1,2:43.0,L. Nance enters the game for J. Smith,,25,24
77,1,2:43.0,J. Clarkson enters the game for T. Thompson,,25,24
78,1,2:43.0,,R. Westbrook makes free throw 1 of 2,25,25
79,1,2:43.0,,R. Westbrook makes free throw 2 of 2,25,26
80,1,2:23.0,L. James misses 2-pt jump shot from 3 ft,,25,26
81,1,2:21.0,,Defensive rebound by J. Huestis,25,26
82,1,2:13.0,,C. Anthony misses 2-pt layup at rim,25,26
83,1,2:11.0,Defensive rebound by J. Green,,25,26
84,1,2:05.0,J. Green misses 2-pt layup from 1 ft,,25,26
85,1,2:03.0,,Defensive rebound by P. Patterson,25,26
86,1,1:49.0,,R. Westbrook misses 2-pt jump shot from 18 ft,25,26
87,1,1:47.0,Defensive rebound by L. James,,25,26
88,1,1:42.0,Shooting foul by J. Huestis (drawn by L. James),,25,26
89,1,1:42.0,L. James misses free throw 1 of 2,,25,26
90,1,1:42.0,Offensive rebound by Team,,25,26
91,1,1:42.0,,R. Felton enters the game for R. Westbrook,25,26
92,1,1:42.0,,J. Grant enters the game for C. Anthony,25,26
93,1,1:42.0,L. James makes free throw 2 of 2,,26,26
94,1,1:21.0,,Á. Abrines misses 3-pt jump shot from 23 ft,26,26
95,1,1:18.0,Defensive rebound by J. Clarkson,,26,26
96,1,1:08.0,J. Green misses 3-pt jump shot from 23 ft,,26,26
97,1,1:04.0,Offensive rebound by L. Nance,,26,26
98,1,1:03.0,R. Hood misses 3-pt jump shot from 25 ft,,26,26
99,1,1:00.0,,Defensive rebound by J. Grant,26,26
100,1,0:49.0,,J. Grant makes 2-pt layup at rim,26,28
101,1,0:49.0,,Shooting foul by J. Clarkson (drawn by J. Grant),26,28
102,1,0:49.0,,P. George enters the game for Á. Abrines,26,28
103,1,0:49.0,K. Korver enters the game for L. James,,26,28
104,1,0:49.0,,J. Grant misses free throw 1 of 1,26,28
105,1,0:47.0,Defensive rebound by R. Hood,,26,28
106,1,0:37.0,J. Clarkson makes 2-pt layup from 1 ft,,28,28
107,1,0:14.0,,J. Grant misses 2-pt jump shot from 6 ft (block by L. Nance),28,28
108,1,0:13.0,,Offensive rebound by P. Patterson,28,28
109,1,0:13.0,,Turnover by Team (shot clock),28,28
110,1,0:03.0,Personal foul by P. Patterson (drawn by J. Clarkson),,28,28
111,1,0:03.0,J. Clarkson makes free throw 1 of 2,,29,28
112,1,0:03.0,J. Clarkson misses free throw 2 of 2,,29,28
113,1,0:02.0,,Defensive rebound by J. Grant,29,28
114,1,0:00.0,,R. Felton misses 3-pt jump shot from 49 ft,29,28
115,1,0:00.0,,Offensive rebound by Team,29,28
116,2,11:49.0,R. Hood makes 3-pt jump shot from 25 ft (assist by L. Nance),,32,28
117,2,11:24.0,,R. Felton makes 3-pt jump shot from 24 ft (assist by P. Patterson),32,31
118,2,11:12.0,L. Nance makes 2-pt layup from 2 ft (assist by J. Clarkson),,34,31
119,2,10:54.0,,Turnover by P. George (lost ball; steal by R. Hood),34,31
120,2,10:49.0,R. Hood misses 3-pt jump shot from 26 ft,,34,31
121,2,10:45.0,,Defensive rebound by J. Grant,34,31
122,2,10:41.0,,P. George makes 2-pt layup at rim (assist by J. Grant),34,33
123,2,10:27.0,J. Clarkson misses 3-pt jump shot from 25 ft,,34,33
124,2,10:27.0,Offensive rebound by L. Nance,,34,33
125,2,10:24.0,L. Nance makes 2-pt layup from 1 ft,,36,33
126,2,10:23.0,,Oklahoma City full timeout,36,33
127,2,10:07.0,,R. Felton makes 3-pt jump shot from 23 ft (assist by P. George),36,36
128,2,9:44.0,J. Green misses 2-pt jump shot from 10 ft,,36,36
129,2,9:43.0,,Defensive rebound by P. Patterson,36,36
130,2,9:32.0,,J. Grant misses 2-pt layup at rim (block by L. Nance),36,36
131,2,9:29.0,Defensive rebound by K. Korver,,36,36
132,2,9:17.0,K. Korver misses 2-pt jump shot from 21 ft,,36,36
133,2,9:16.0,,Defensive rebound by S. Adams,36,36
134,2,9:06.0,,Personal foul by L. Nance (drawn by S. Adams),36,36
135,2,9:06.0,,R. Westbrook enters the game for P. Patterson,36,36
136,2,8:55.0,,S. Adams makes 2-pt dunk at rim (assist by J. Grant),36,38
137,2,8:34.0,R. Hood makes 3-pt jump shot from 26 ft,,39,38
138,2,8:21.0,L. James enters the game for K. Korver,,39,38
139,2,8:15.0,,R. Felton misses 3-pt jump shot from 25 ft,39,38
140,2,8:11.0,Defensive rebound by J. Clarkson,,39,38
141,2,8:06.0,L. James makes 2-pt layup from 1 ft (assist by J. Clarkson),,41,38
142,2,7:56.0,,R. Westbrook misses 2-pt jump shot from 13 ft,41,38
143,2,7:54.0,Defensive rebound by J. Green,,41,38
144,2,7:50.0,Shooting foul by P. George (drawn by J. Green),,41,38
145,2,7:50.0,J. Green makes free throw 1 of 2,,42,38
146,2,7:50.0,,J. Huestis enters the game for R. Felton,42,38
147,2,7:50.0,J. Green makes free throw 2 of 2,,43,38
148,2,7:33.0,,J. Grant misses 3-pt jump shot from 23 ft,43,38
149,2,7:29.0,Defensive rebound by L. Nance,,43,38
150,2,7:14.0,L. Nance misses 2-pt layup from 4 ft,,43,38
151,2,7:13.0,,Defensive rebound by P. George,43,38
152,2,7:04.0,,C. Anthony enters the game for J. Grant,43,38
153,2,7:01.0,,R. Westbrook misses 3-pt jump shot from 24 ft,43,38
154,2,6:59.0,Defensive rebound by L. James,,43,38
155,2,6:52.0,J. Clarkson makes 2-pt jump shot from 15 ft,,45,38
156,2,6:27.0,,C. Anthony makes 2-pt jump shot from 10 ft,45,40
157,2,6:13.0,R. Hood makes 3-pt jump shot from 22 ft (assist by L. James),,48,40
158,2,5:53.0,,S. Adams makes 2-pt jump shot from 11 ft (assist by P. George),48,42
159,2,5:47.0,Cleveland full timeout,,48,42
160,2,5:47.0,,J. Grant enters the game for P. George,48,42
161,2,5:47.0,T. Thompson enters the game for R. Hood,,48,42
162,2,5:47.0,J. Smith enters the game for L. Nance,,48,42
163,2,5:33.0,Turnover by J. Clarkson (bad pass; steal by R. Westbrook),,48,42
164,2,5:28.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),48,44
165,2,5:06.0,J. Green makes 2-pt jump shot from 8 ft,,50,44
166,2,4:45.0,,C. Anthony misses 2-pt jump shot from 8 ft,50,44
167,2,4:43.0,Defensive rebound by J. Green,,50,44
168,2,4:36.0,L. James makes 3-pt jump shot from 28 ft (assist by J. Clarkson),,53,44
169,2,4:21.0,,R. Westbrook makes 2-pt jump shot from 18 ft,53,46
170,2,3:58.0,J. Smith makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,56,46
171,2,3:50.0,,Shooting foul by J. Green (drawn by R. Westbrook),56,46
172,2,3:50.0,,R. Westbrook makes free throw 1 of 2,56,47
173,2,3:50.0,,Á. Abrines enters the game for J. Huestis,56,47
174,2,3:50.0,,P. George enters the game for J. Grant,56,47
175,2,3:50.0,,R. Westbrook makes free throw 2 of 2,56,48
176,2,3:50.0,G. Hill enters the game for J. Clarkson,,56,48
177,2,3:42.0,Personal foul by P. George (drawn by G. Hill),,56,48
178,2,3:27.0,J. Green makes 2-pt jump shot from 4 ft,,58,48
179,2,3:13.0,,P. George misses 3-pt jump shot from 25 ft,58,48
