,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:38.0,,R. Lopez misses 2-pt hook shot from 8 ft,0,0
1,1,11:35.0,Defensive rebound by E. Freedom,,0,0
2,1,11:20.0,K. Porziņģis makes 2-pt jump shot from 18 ft (assist by C. Lee),,2,0
3,1,11:08.0,,L. Markkanen misses 3-pt jump shot from 24 ft,2,0
4,1,11:05.0,Defensive rebound by J. Jack,,2,0
5,1,11:02.0,K. Porziņģis makes 2-pt dunk at rim (assist by J. Jack),,4,0
6,1,10:50.0,,L. Markkanen makes 2-pt dunk at rim (assist by K. Dunn),4,2
7,1,10:27.0,C. Lee misses 2-pt jump shot from 4 ft,,4,2
8,1,10:24.0,,Defensive rebound by R. Lopez,4,2
9,1,10:11.0,,Turnover by K. Dunn (bad pass; steal by K. Porziņģis),4,2
10,1,10:05.0,J. Jack makes 2-pt layup from 2 ft (assist by C. Lee),,6,2
11,1,9:52.0,,Turnover by K. Dunn (bad pass),6,2
12,1,9:30.0,C. Lee misses 3-pt jump shot from 23 ft,,6,2
13,1,9:26.0,,Defensive rebound by R. Lopez,6,2
14,1,9:14.0,,R. Lopez makes 2-pt layup from 1 ft (assist by J. Holiday),6,4
15,1,9:14.0,,Shooting foul by E. Freedom (drawn by R. Lopez),6,4
16,1,9:14.0,,R. Lopez makes free throw 1 of 1,6,5
17,1,8:54.0,D. McDermott misses 3-pt jump shot from 25 ft,,6,5
18,1,8:49.0,,Defensive rebound by J. Holiday,6,5
19,1,8:41.0,,K. Dunn misses 2-pt layup at rim,6,5
20,1,8:39.0,Defensive rebound by E. Freedom,,6,5
21,1,8:35.0,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by J. Jack),,8,5
22,1,8:22.0,,R. Lopez misses 2-pt jump shot from 19 ft,8,5
23,1,8:19.0,Defensive rebound by E. Freedom,,8,5
24,1,8:12.0,J. Jack makes 2-pt jump shot from 20 ft,,10,5
25,1,8:02.0,,Turnover by D. Valentine (traveling),10,5
26,1,7:52.0,J. Jack misses 2-pt jump shot from 4 ft,,10,5
27,1,7:48.0,,Defensive rebound by D. Valentine,10,5
28,1,7:34.0,,K. Dunn misses 2-pt jump shot from 5 ft,10,5
29,1,7:33.0,Defensive rebound by E. Freedom,,10,5
30,1,7:25.0,C. Lee misses 2-pt jump shot from 17 ft,,10,5
31,1,7:21.0,,Defensive rebound by D. Valentine,10,5
32,1,7:13.0,,L. Markkanen misses 2-pt jump shot from 18 ft,10,5
33,1,7:09.0,Defensive rebound by J. Jack,,10,5
34,1,7:02.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,10,5
35,1,7:00.0,,Defensive rebound by J. Holiday,10,5
