,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
0,1,11:43.0,,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),0,3
1,1,11:28.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by T. Prince),,3,3
2,1,11:13.0,,J. Crowder misses 3-pt jump shot from 24 ft,3,3
3,1,11:11.0,Defensive rebound by T. Prince,,3,3
4,1,11:02.0,K. Bazemore makes 3-pt jump shot from 22 ft (assist by T. Prince),,6,3
5,1,10:46.0,,Offensive foul by K. Love (drawn by E. İlyasova),6,3
6,1,10:46.0,,Turnover by K. Love (offensive foul),6,3
7,1,10:26.0,K. Bazemore misses 2-pt jump shot from 12 ft,,6,3
8,1,10:23.0,,Defensive rebound by K. Love,6,3
9,1,10:10.0,,L. James makes 3-pt jump shot from 25 ft,6,6
10,1,9:53.0,E. İlyasova misses 2-pt layup from 4 ft,,6,6
11,1,9:49.0,Offensive rebound by E. İlyasova,,6,6
12,1,9:43.0,D. Schröder misses 2-pt layup from 1 ft,,6,6
13,1,9:43.0,,Defensive rebound by Team,6,6
14,1,9:42.0,Loose ball foul by T. Cavanaugh (drawn by L. James),,6,6
15,1,9:34.0,,J. Crowder misses 3-pt jump shot from 26 ft,6,6
16,1,9:30.0,Defensive rebound by K. Bazemore,,6,6
17,1,9:18.0,K. Bazemore misses 3-pt jump shot from 27 ft,,6,6
18,1,9:15.0,,Defensive rebound by J. Smith,6,6
19,1,9:11.0,,Turnover by L. James (bad pass; steal by K. Bazemore),6,6
20,1,9:01.0,T. Prince misses 3-pt jump shot from 30 ft,,6,6
21,1,8:59.0,,Defensive rebound by K. Love,6,6
22,1,8:50.0,,K. Love makes 3-pt jump shot from 22 ft (assist by J. Smith),6,9
23,1,8:37.0,D. Schröder makes 2-pt layup from 1 ft,,8,9
24,1,8:25.0,,J. Calderón misses 2-pt jump shot from 18 ft,8,9
25,1,8:25.0,Defensive rebound by T. Prince,,8,9
