,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:42.0,M. Gasol makes 2-pt layup from 2 ft (assist by C. Parsons),,2,0
1,1,11:17.0,,N. Jokić makes 2-pt layup from 2 ft,2,2
2,1,11:02.0,M. Gasol makes 2-pt jump shot from 19 ft,,4,2
3,1,10:50.0,,W. Chandler misses 3-pt jump shot from 25 ft,4,2
4,1,10:46.0,Defensive rebound by M. Chalmers,,4,2
5,1,10:28.0,J. Green makes 2-pt dunk from 1 ft (assist by M. Gasol),,6,2
6,1,10:13.0,,K. Faried makes 2-pt dunk from 1 ft (assist by J. Murray),6,4
7,1,9:49.0,M. Gasol misses 3-pt jump shot from 25 ft,,6,4
8,1,9:46.0,,Defensive rebound by W. Chandler,6,4
9,1,9:41.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Chandler),6,6
10,1,9:12.0,C. Parsons makes 2-pt dunk from 1 ft (assist by J. Green),,8,6
11,1,8:54.0,,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),8,8
12,1,8:40.0,M. Gasol misses 2-pt jump shot from 9 ft,,8,8
13,1,8:37.0,,Defensive rebound by K. Faried,8,8
14,1,8:34.0,Offensive charge foul by W. Chandler (drawn by C. Parsons),,8,8
15,1,8:34.0,,Turnover by W. Chandler (offensive foul),8,8
16,1,8:13.0,,Offensive charge foul by M. Gasol (drawn by N. Jokić),8,8
17,1,8:13.0,Turnover by M. Gasol (offensive foul),,8,8
18,1,7:52.0,,Shooting foul by D. Brooks (drawn by K. Faried),8,8
19,1,7:52.0,,K. Faried misses free throw 1 of 2,8,8
20,1,7:52.0,,Offensive rebound by Team,8,8
21,1,7:52.0,,K. Faried makes free throw 2 of 2,8,9
22,1,7:32.0,M. Chalmers misses 2-pt jump shot from 8 ft,,8,9
23,1,7:29.0,,Defensive rebound by N. Jokić,8,9
24,1,7:22.0,,G. Harris misses 2-pt layup from 6 ft,8,9
25,1,7:19.0,Defensive rebound by J. Green,,8,9
26,1,7:17.0,Turnover by C. Parsons (turnover),,8,9
27,1,7:09.0,,J. Murray makes 3-pt jump shot from 25 ft,8,12
28,1,6:53.0,C. Parsons misses 3-pt jump shot from 25 ft,,8,12
29,1,6:49.0,,Defensive rebound by J. Murray,8,12
30,1,6:48.0,,Turnover by J. Murray (bad pass),8,12
31,1,6:48.0,,Denver full timeout,8,12
32,1,6:38.0,Turnover by M. Chalmers (bad pass; steal by W. Chandler),,8,12
33,1,6:24.0,,Shooting foul by D. Brooks (drawn by K. Faried),8,12
34,1,6:24.0,,K. Faried misses free throw 1 of 2,8,12
35,1,6:24.0,,Offensive rebound by Team,8,12
36,1,6:24.0,T. Evans enters the game for C. Parsons,,8,12
37,1,6:24.0,B. McLemore enters the game for D. Brooks,,8,12
38,1,6:24.0,,K. Faried makes free throw 2 of 2,8,13
39,1,6:13.0,J. Green makes 2-pt layup from 2 ft (assist by M. Gasol),,10,13
40,1,5:51.0,,J. Murray misses 3-pt jump shot from 26 ft,10,13
41,1,5:47.0,Defensive rebound by M. Gasol,,10,13
42,1,5:42.0,M. Chalmers misses 3-pt jump shot from 24 ft,,10,13
43,1,5:37.0,,Defensive rebound by G. Harris,10,13
44,1,5:35.0,,Turnover by G. Harris (bad pass),10,13
45,1,5:12.0,J. Green makes 2-pt dunk from 1 ft (assist by M. Chalmers),,12,13
46,1,5:10.0,,Denver full timeout,12,13
47,1,5:10.0,,T. Lyles enters the game for W. Chandler,12,13
48,1,5:10.0,,W. Barton enters the game for K. Faried,12,13
49,1,5:10.0,D. Davis enters the game for M. Gasol,,12,13
50,1,5:02.0,,Turnover by N. Jokić (bad pass; steal by T. Evans),12,13
51,1,4:57.0,T. Evans misses 2-pt layup from 3 ft,,12,13
52,1,4:54.0,,Defensive rebound by W. Barton,12,13
53,1,4:52.0,,G. Harris makes 2-pt dunk from 3 ft (assist by W. Barton),12,15
54,1,4:26.0,M. Chalmers misses 3-pt jump shot from 28 ft,,12,15
55,1,4:24.0,,Defensive rebound by T. Lyles,12,15
56,1,4:05.0,,J. Murray makes 2-pt jump shot from 17 ft,12,17
57,1,3:48.0,Personal foul by N. Jokić (drawn by T. Evans),,12,17
58,1,3:48.0,,M. Plumlee enters the game for N. Jokić,12,17
59,1,3:48.0,J. Martin enters the game for J. Green,,12,17
60,1,3:34.0,T. Evans misses 3-pt jump shot from 25 ft,,12,17
61,1,3:29.0,,Defensive rebound by T. Lyles,12,17
62,1,3:19.0,,Turnover by G. Harris (bad pass; steal by B. McLemore),12,17
63,1,3:16.0,T. Evans makes 2-pt dunk from 1 ft (assist by B. McLemore),,14,17
64,1,2:56.0,,J. Murray makes 2-pt jump shot from 13 ft,14,19
65,1,2:42.0,T. Evans makes 2-pt layup from 2 ft (assist by M. Chalmers),,16,19
66,1,2:24.0,,T. Lyles makes 3-pt jump shot from 23 ft (assist by J. Murray),16,22
67,1,2:10.0,J. Martin misses 2-pt jump shot from 18 ft,,16,22
68,1,2:07.0,,Defensive rebound by G. Harris,16,22
69,1,2:01.0,,G. Harris misses 2-pt layup from 3 ft,16,22
70,1,2:00.0,Defensive rebound by Team,,16,22
71,1,2:00.0,,E. Mudiay enters the game for J. Murray,16,22
72,1,2:00.0,M. Gasol enters the game for M. Chalmers,,16,22
73,1,1:45.0,T. Evans misses 2-pt layup from 4 ft,,16,22
74,1,1:44.0,Offensive rebound by T. Evans,,16,22
75,1,1:35.0,T. Evans misses 2-pt layup from 1 ft (block by M. Plumlee),,16,22
