,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,OKLAHOMA CITY_ACTION,SAN ANTONIO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:36.0,L. Aldridge misses 3-pt jump shot from 25 ft,,0,0
1,1,11:32.0,,Defensive rebound by C. Anthony,0,0
2,1,11:13.0,,R. Westbrook misses 2-pt layup from 2 ft,0,0
3,1,11:13.0,Defensive rebound by Team,,0,0
4,1,11:13.0,,Loose ball foul by S. Adams (drawn by P. Gasol),0,0
5,1,10:59.0,P. Gasol misses 2-pt jump shot from 8 ft,,0,0
6,1,10:55.0,,Defensive rebound by C. Brewer,0,0
7,1,10:44.0,,S. Adams makes 2-pt layup at rim,0,2
8,1,10:34.0,Turnover by P. Mills (traveling),,0,2
9,1,10:28.0,,Offensive foul by P. George (drawn by K. Anderson),0,2
10,1,10:28.0,,Turnover by P. George (offensive foul),0,2
11,1,10:15.0,P. Mills misses 2-pt jump shot from 19 ft,,0,2
12,1,10:13.0,,Defensive rebound by R. Westbrook,0,2
13,1,10:06.0,,C. Brewer makes 2-pt layup at rim,0,4
14,1,9:54.0,L. Aldridge misses 2-pt hook shot from 1 ft,,0,4
15,1,9:51.0,,Defensive rebound by C. Brewer,0,4
16,1,9:47.0,,C. Anthony misses 3-pt jump shot from 24 ft,0,4
17,1,9:44.0,Defensive rebound by D. Murray,,0,4
18,1,9:39.0,P. Gasol makes 3-pt jump shot from 24 ft (assist by K. Anderson),,3,4
19,1,9:19.0,,Turnover by P. George (lost ball; steal by K. Anderson),3,4
20,1,9:15.0,P. Mills misses 3-pt jump shot from 25 ft,,3,4
21,1,9:11.0,,Defensive rebound by P. George,3,4
22,1,9:07.0,,Personal foul by P. Gasol (drawn by S. Adams),3,4
23,1,9:01.0,,Turnover by R. Westbrook (lost ball; steal by L. Aldridge),3,4
24,1,8:47.0,Turnover by L. Aldridge (bad pass; steal by R. Westbrook),,3,4
25,1,8:41.0,,P. George misses 2-pt layup at rim,3,4
26,1,8:39.0,Defensive rebound by L. Aldridge,,3,4
27,1,8:15.0,K. Anderson misses 2-pt jump shot from 13 ft,,3,4
