,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:42.0,J. Redick misses 3-pt jump shot from 22 ft,,0,0
1,1,11:37.0,Offensive rebound by D. Šarić,,0,0
2,1,11:34.0,D. Šarić makes 2-pt layup at rim,,2,0
3,1,11:22.0,,Turnover by H. Whiteside (lost ball; steal by B. Simmons),2,0
4,1,11:15.0,J. Embiid makes 2-pt dunk at rim (assist by R. Covington),,4,0
5,1,11:03.0,,J. Johnson makes 2-pt layup at rim (assist by J. Richardson),4,2
6,1,10:54.0,B. Simmons misses 2-pt layup from 2 ft,,4,2
7,1,10:51.0,,Defensive rebound by J. Johnson,4,2
8,1,10:49.0,,Shooting foul by J. Embiid (drawn by G. Dragić),4,2
9,1,10:49.0,,G. Dragić misses free throw 1 of 2,4,2
10,1,10:49.0,,Offensive rebound by Team,4,2
11,1,10:49.0,,G. Dragić misses free throw 2 of 2,4,2
12,1,10:45.0,Defensive rebound by D. Šarić,,4,2
13,1,10:37.0,D. Šarić misses 2-pt jump shot from 20 ft,,4,2
14,1,10:33.0,,Defensive rebound by H. Whiteside,4,2
15,1,10:30.0,,G. Dragić misses 2-pt layup from 1 ft,4,2
16,1,10:24.0,,Offensive rebound by J. Johnson,4,2
17,1,10:24.0,,J. Johnson makes 2-pt layup at rim,4,4
18,1,10:22.0,Turnover by B. Simmons (bad pass; steal by J. Richardson),,4,4
19,1,10:18.0,,G. Dragić makes 2-pt layup from 1 ft (assist by J. Richardson),4,6
20,1,10:07.0,J. Redick makes 2-pt jump shot from 11 ft (assist by B. Simmons),,6,6
21,1,9:51.0,,J. Richardson makes 3-pt jump shot from 24 ft (assist by J. Johnson),6,9
22,1,9:31.0,Personal foul by J. Richardson (drawn by J. Embiid),,6,9
23,1,9:27.0,R. Covington makes 2-pt layup at rim (assist by J. Redick),,8,9
24,1,8:59.0,,J. Richardson misses 3-pt jump shot from 26 ft,8,9
25,1,8:57.0,Defensive rebound by B. Simmons,,8,9
26,1,8:53.0,J. Redick misses 3-pt jump shot from 25 ft,,8,9
27,1,8:50.0,,Defensive rebound by J. Johnson,8,9
28,1,8:42.0,,G. Dragić misses 2-pt jump shot from 5 ft,8,9
29,1,8:40.0,,Offensive rebound by J. Richardson,8,9
30,1,8:36.0,,J. Richardson makes 2-pt jump shot from 15 ft,8,11
31,1,8:29.0,J. Embiid misses 3-pt jump shot from 25 ft,,8,11
32,1,8:22.0,,Defensive rebound by H. Whiteside,8,11
33,1,8:19.0,,Turnover by H. Whiteside (bad pass; steal by B. Simmons),8,11
34,1,8:12.0,J. Embiid makes 2-pt jump shot from 9 ft,,10,11
35,1,8:12.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,10,11
36,1,8:12.0,J. Embiid misses free throw 1 of 1,,10,11
37,1,8:12.0,,Defensive rebound by H. Whiteside,10,11
38,1,8:04.0,,J. Richardson misses 2-pt layup from 1 ft,10,11
39,1,8:01.0,Defensive rebound by B. Simmons,,10,11
40,1,7:57.0,D. Šarić makes 2-pt layup at rim (assist by B. Simmons),,12,11
41,1,7:41.0,,G. Dragić misses 3-pt jump shot from 25 ft,12,11
42,1,7:37.0,Defensive rebound by R. Covington,,12,11
43,1,7:24.0,Turnover by J. Embiid (lost ball; steal by J. Richardson),,12,11
44,1,7:22.0,,Shooting foul by D. Šarić (drawn by J. Richardson),12,11
45,1,7:22.0,,J. Richardson makes free throw 1 of 2,12,12
46,1,7:22.0,,J. Winslow enters the game for T. Johnson,12,12
47,1,7:22.0,A. Johnson enters the game for J. Embiid,,12,12
48,1,7:22.0,,J. Richardson misses free throw 2 of 2,12,12
49,1,7:19.0,Defensive rebound by B. Simmons,,12,12
50,1,7:13.0,A. Johnson makes 2-pt layup from 1 ft (assist by B. Simmons),,14,12
51,1,6:57.0,,Personal foul by R. Covington (drawn by J. Richardson),14,12
52,1,6:57.0,,Miami full timeout,14,12
53,1,6:57.0,,W. Ellington enters the game for J. Richardson,14,12
54,1,6:57.0,M. Belinelli enters the game for J. Redick,,14,12
55,1,6:44.0,,J. Winslow misses 3-pt jump shot from 23 ft,14,12
56,1,6:41.0,Defensive rebound by R. Covington,,14,12
57,1,6:23.0,M. Belinelli misses 2-pt jump shot from 8 ft,,14,12
58,1,6:21.0,Offensive rebound by A. Johnson,,14,12
59,1,6:20.0,A. Johnson misses 2-pt layup at rim,,14,12
60,1,6:19.0,Offensive rebound by D. Šarić,,14,12
61,1,6:18.0,D. Šarić misses 2-pt layup at rim,,14,12
62,1,6:17.0,Offensive rebound by D. Šarić,,14,12
63,1,6:15.0,D. Šarić misses 2-pt layup from 1 ft,,14,12
64,1,6:15.0,,Defensive rebound by H. Whiteside,14,12
65,1,6:13.0,Offensive charge foul by J. Winslow (drawn by D. Šarić),,14,12
66,1,6:13.0,,Turnover by J. Winslow (offensive foul),14,12
67,1,5:57.0,D. Šarić makes 3-pt jump shot from 24 ft (assist by B. Simmons),,17,12
68,1,5:42.0,,J. Winslow misses 2-pt layup from 1 ft,17,12
69,1,5:41.0,,Offensive rebound by Team,17,12
70,1,5:33.0,,Turnover by J. Johnson (bad pass; steal by A. Johnson),17,12
71,1,5:28.0,R. Covington makes 3-pt jump shot from 23 ft (assist by B. Simmons),,20,12
72,1,5:11.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by J. Winslow),20,15
73,1,5:11.0,Philadelphia full timeout,,20,15
74,1,5:11.0,,K. Olynyk enters the game for H. Whiteside,20,15
75,1,4:52.0,Shooting foul by K. Olynyk (drawn by A. Johnson),,20,15
76,1,4:52.0,A. Johnson makes free throw 1 of 2,,21,15
77,1,4:52.0,A. Johnson makes free throw 2 of 2,,22,15
78,1,4:32.0,,Turnover by G. Dragić (bad pass; steal by M. Belinelli),22,15
79,1,4:25.0,Turnover by A. Johnson (bad pass; steal by G. Dragić),,22,15
80,1,4:20.0,,G. Dragić makes 2-pt layup from 1 ft (assist by W. Ellington),22,17
81,1,4:14.0,D. Šarić misses 3-pt jump shot from 26 ft,,22,17
82,1,4:10.0,Offensive rebound by D. Šarić,,22,17
83,1,4:08.0,R. Covington misses 3-pt jump shot from 25 ft,,22,17
84,1,4:05.0,,Defensive rebound by W. Ellington,22,17
85,1,4:00.0,,W. Ellington misses 3-pt jump shot from 24 ft,22,17
86,1,3:57.0,Defensive rebound by B. Simmons,,22,17
87,1,3:50.0,B. Simmons makes 2-pt jump shot from 11 ft,,24,17
88,1,3:35.0,,G. Dragić misses 2-pt jump shot from 18 ft,24,17
89,1,3:33.0,Defensive rebound by B. Simmons,,24,17
90,1,3:24.0,Turnover by R. Covington (lost ball; steal by K. Olynyk),,24,17
91,1,3:20.0,,G. Dragić makes 2-pt layup at rim (assist by J. Winslow),24,19
92,1,3:01.0,,Offensive charge foul by B. Simmons (drawn by K. Olynyk),24,19
93,1,3:01.0,Turnover by B. Simmons (offensive foul),,24,19
94,1,3:01.0,,J. Richardson enters the game for G. Dragić,24,19
95,1,3:01.0,,D. Wade enters the game for J. Johnson,24,19
96,1,3:01.0,J. Embiid enters the game for A. Johnson,,24,19
97,1,3:01.0,J. Redick enters the game for D. Šarić,,24,19
98,1,3:01.0,J. Anderson enters the game for M. Belinelli,,24,19
99,1,3:01.0,E. İlyasova enters the game for B. Simmons,,24,19
100,1,3:01.0,T. McConnell enters the game for R. Covington,,24,19
101,1,2:47.0,,J. Winslow misses 2-pt jump shot from 4 ft,24,19
102,1,2:44.0,Defensive rebound by E. İlyasova,,24,19
103,1,2:43.0,Personal foul by K. Olynyk (drawn by J. Embiid),,24,19
104,1,2:43.0,,B. Adebayo enters the game for K. Olynyk,24,19
105,1,2:35.0,Turnover by J. Redick (traveling),,24,19
106,1,2:20.0,,D. Wade misses 2-pt jump shot from 15 ft,24,19
107,1,2:17.0,,Offensive rebound by B. Adebayo,24,19
108,1,2:15.0,,J. Richardson misses 3-pt jump shot from 25 ft,24,19
109,1,2:12.0,Defensive rebound by J. Embiid,,24,19
110,1,2:08.0,J. Anderson misses 3-pt jump shot from 24 ft,,24,19
111,1,2:05.0,,Defensive rebound by J. Winslow,24,19
112,1,2:03.0,,Shooting foul by T. McConnell (drawn by B. Adebayo),24,19
113,1,2:03.0,,B. Adebayo misses free throw 1 of 2,24,19
114,1,2:03.0,,Offensive rebound by Team,24,19
115,1,2:03.0,,B. Adebayo misses free throw 2 of 2,24,19
116,1,1:59.0,Defensive rebound by J. Anderson,,24,19
117,1,1:42.0,Personal foul by J. Winslow (drawn by J. Embiid),,24,19
118,1,1:42.0,J. Embiid makes free throw 1 of 2,,25,19
119,1,1:42.0,J. Embiid makes free throw 2 of 2,,26,19
120,1,1:33.0,,Shooting foul by J. Anderson (drawn by D. Wade),26,19
121,1,1:33.0,,D. Wade makes free throw 1 of 2,26,20
122,1,1:33.0,,D. Wade makes free throw 2 of 2,26,21
123,1,1:16.0,Turnover by E. İlyasova (lost ball; steal by J. Richardson),,26,21
124,1,1:10.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),26,23
125,1,0:59.0,Offensive foul by J. Embiid (drawn by B. Adebayo),,26,23
126,1,0:59.0,Turnover by J. Embiid (offensive foul),,26,23
127,1,0:59.0,A. Johnson enters the game for J. Embiid,,26,23
128,1,0:48.0,,J. Richardson misses 2-pt jump shot from 9 ft,26,23
129,1,0:45.0,Defensive rebound by E. İlyasova,,26,23
130,1,0:29.0,J. Redick misses 2-pt jump shot from 17 ft,,26,23
131,1,0:26.0,,Defensive rebound by J. Winslow,26,23
132,1,0:07.0,,W. Ellington makes 3-pt jump shot from 24 ft (assist by J. Winslow),26,26
133,1,0:00.0,E. İlyasova misses 3-pt jump shot from 25 ft,,26,26
134,1,0:00.0,,Defensive rebound by D. Wade,26,26
135,2,11:43.0,,Personal foul by A. Johnson (drawn by D. Wade),26,26
136,2,11:43.0,,K. Olynyk enters the game for J. Winslow,26,26
137,2,11:31.0,,D. Wade makes 2-pt jump shot from 4 ft,26,28
138,2,11:14.0,J. Redick makes 2-pt jump shot from 20 ft (assist by M. Belinelli),,28,28
139,2,10:53.0,,K. Olynyk misses 2-pt jump shot from 8 ft,28,28
140,2,10:51.0,,Offensive rebound by B. Adebayo,28,28
141,2,10:51.0,,B. Adebayo misses 2-pt layup from 1 ft,28,28
142,2,10:50.0,Defensive rebound by T. McConnell,,28,28
143,2,10:44.0,E. İlyasova misses 2-pt jump shot from 6 ft (block by J. Richardson),,28,28
144,2,10:44.0,,Defensive rebound by Team,28,28
145,2,10:32.0,,Offensive foul by B. Adebayo (drawn by T. McConnell),28,28
146,2,10:32.0,,Turnover by B. Adebayo (offensive foul),28,28
147,2,10:21.0,J. Redick makes 3-pt jump shot from 25 ft (assist by A. Johnson),,31,28
148,2,10:05.0,,D. Wade misses 2-pt dunk from 1 ft,31,28
149,2,10:03.0,Defensive rebound by T. McConnell,,31,28
150,2,10:02.0,Turnover by T. McConnell (bad pass),,31,28
151,2,10:02.0,B. Simmons enters the game for T. McConnell,,31,28
152,2,9:52.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by J. Richardson),31,31
153,2,9:52.0,,Shooting foul by J. Redick (drawn by W. Ellington),31,31
154,2,9:52.0,,W. Ellington makes free throw 1 of 1,31,32
155,2,9:38.0,M. Belinelli misses 3-pt jump shot from 25 ft,,31,32
156,2,9:36.0,Offensive rebound by E. İlyasova,,31,32
157,2,9:33.0,E. İlyasova makes 2-pt jump shot from 19 ft,,33,32
158,2,9:16.0,,W. Ellington misses 3-pt jump shot from 24 ft,33,32
159,2,9:14.0,Defensive rebound by E. İlyasova,,33,32
160,2,9:12.0,J. Redick misses 3-pt jump shot from 24 ft,,33,32
161,2,9:09.0,,Defensive rebound by J. Richardson,33,32
162,2,9:04.0,,D. Wade makes 2-pt layup from 1 ft (assist by J. Richardson),33,34
163,2,9:04.0,,Shooting foul by M. Belinelli (drawn by D. Wade),33,34
164,2,9:04.0,,D. Wade makes free throw 1 of 1,33,35
165,2,8:47.0,A. Johnson makes 2-pt layup from 1 ft,,35,35
166,2,8:38.0,,D. Wade makes 2-pt jump shot from 12 ft,35,37
167,2,8:31.0,Turnover by B. Simmons (bad pass; steal by D. Wade),,35,37
168,2,8:27.0,,Turnover by D. Wade (bad pass; steal by B. Simmons),35,37
169,2,8:21.0,J. Redick makes 3-pt jump shot from 24 ft (assist by B. Simmons),,38,37
170,2,8:06.0,,Personal foul by E. İlyasova (drawn by J. Richardson),38,37
171,2,8:06.0,,H. Whiteside enters the game for W. Ellington,38,37
172,2,8:06.0,,G. Dragić enters the game for B. Adebayo,38,37
173,2,8:06.0,R. Covington enters the game for M. Belinelli,,38,37
174,2,8:06.0,D. Šarić enters the game for E. İlyasova,,38,37
175,2,7:55.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Richardson),38,39
176,2,7:55.0,,Shooting foul by J. Redick (drawn by H. Whiteside),38,39
177,2,7:55.0,,H. Whiteside misses free throw 1 of 1,38,39
178,2,7:55.0,Defensive rebound by R. Covington,,38,39
179,2,7:42.0,Shooting foul by J. Richardson (drawn by J. Redick),,38,39
180,2,7:42.0,J. Redick makes free throw 1 of 2,,39,39
181,2,7:42.0,J. Embiid enters the game for A. Johnson,,39,39
182,2,7:42.0,J. Redick makes free throw 2 of 2,,40,39
183,2,7:30.0,,G. Dragić makes 2-pt layup from 2 ft,40,41
184,2,7:09.0,B. Simmons misses 2-pt jump shot from 4 ft,,40,41
185,2,7:07.0,Offensive rebound by B. Simmons,,40,41
186,2,7:05.0,J. Embiid misses 3-pt jump shot from 25 ft,,40,41
187,2,7:01.0,,Defensive rebound by H. Whiteside,40,41
188,2,6:57.0,,D. Wade misses 2-pt jump shot from 16 ft,40,41
189,2,6:53.0,Defensive rebound by D. Šarić,,40,41
190,2,6:53.0,Personal foul by D. Wade (drawn by D. Šarić),,40,41
191,2,6:53.0,,Miami full timeout,40,41
