,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:40.0,,W. Barton makes 2-pt jump shot from 13 ft (assist by N. Jokić),0,2
1,1,11:18.0,T. Harris misses 2-pt jump shot from 3 ft,,0,2
2,1,11:18.0,Offensive rebound by Team,,0,2
3,1,11:18.0,,Loose ball foul by N. Jokić (drawn by D. Jordan),0,2
4,1,11:13.0,A. Rivers makes 3-pt jump shot from 24 ft,,3,2
5,1,11:04.0,,Turnover by W. Barton (out of bounds lost ball),3,2
6,1,10:47.0,T. Wallace makes 2-pt jump shot from 9 ft,,5,2
7,1,10:35.0,,J. Murray misses 3-pt jump shot from 24 ft,5,2
8,1,10:32.0,Defensive rebound by A. Rivers,,5,2
9,1,10:21.0,W. Johnson misses 3-pt jump shot from 23 ft,,5,2
10,1,10:18.0,,Defensive rebound by N. Jokić,5,2
11,1,10:12.0,,G. Harris misses 2-pt layup from 4 ft (block by A. Rivers),5,2
12,1,10:12.0,Defensive rebound by A. Rivers,,5,2
13,1,10:12.0,Personal foul by J. Murray (drawn by T. Wallace),,5,2
14,1,9:57.0,A. Rivers misses 3-pt jump shot from 22 ft,,5,2
15,1,9:52.0,,Defensive rebound by W. Chandler,5,2
16,1,9:49.0,,W. Chandler misses 2-pt layup from 2 ft (block by T. Harris),5,2
17,1,9:46.0,,Offensive rebound by G. Harris,5,2
18,1,9:36.0,,W. Chandler makes 2-pt layup from 1 ft,5,4
19,1,9:12.0,T. Harris misses 2-pt jump shot from 20 ft,,5,4
20,1,9:09.0,,Defensive rebound by J. Murray,5,4
21,1,9:03.0,,W. Chandler misses 3-pt jump shot from 24 ft,5,4
22,1,8:58.0,Defensive rebound by T. Harris,,5,4
23,1,8:50.0,A. Rivers makes 2-pt layup from 1 ft,,7,4
24,1,8:38.0,,Turnover by J. Murray (bad pass; steal by A. Rivers),7,4
25,1,8:33.0,T. Wallace makes 2-pt dunk at rim (assist by A. Rivers),,9,4
26,1,8:33.0,,Denver full timeout,9,4
27,1,8:24.0,,Turnover by G. Harris (bad pass; steal by D. Jordan),9,4
28,1,8:24.0,Personal foul by G. Harris (drawn by A. Rivers),,9,4
29,1,8:12.0,T. Harris misses 3-pt jump shot from 23 ft,,9,4
30,1,8:10.0,Offensive rebound by D. Jordan,,9,4
31,1,8:08.0,Turnover by D. Jordan (bad pass; steal by J. Murray),,9,4
32,1,8:03.0,,J. Murray makes 2-pt layup from 2 ft,9,6
33,1,7:39.0,T. Harris makes 3-pt jump shot from 25 ft,,12,6
34,1,7:30.0,,W. Barton makes 2-pt layup from 3 ft,12,8
35,1,7:09.0,T. Wallace makes 2-pt jump shot from 12 ft,,14,8
36,1,6:54.0,,G. Harris makes 3-pt jump shot from 22 ft (assist by W. Chandler),14,11
37,1,6:35.0,,Loose ball foul by N. Jokić (drawn by D. Jordan),14,11
38,1,6:35.0,,M. Plumlee enters the game for N. Jokić,14,11
39,1,6:27.0,D. Jordan makes 2-pt dunk from 1 ft (assist by T. Harris),,16,11
40,1,6:27.0,Shooting foul by M. Plumlee (drawn by D. Jordan),,16,11
41,1,6:27.0,L. Williams enters the game for W. Johnson,,16,11
42,1,6:27.0,D. Jordan misses free throw 1 of 1,,16,11
43,1,6:25.0,,Defensive rebound by W. Barton,16,11
44,1,6:14.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by W. Barton),16,13
