,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:47.0,,D. Green misses 2-pt jump shot from 21 ft,0,0
1,1,11:44.0,Defensive rebound by Team,,0,0
2,1,11:30.0,A. Harrison misses 2-pt jump shot from 9 ft,,0,0
3,1,11:27.0,,Defensive rebound by Z. Pachulia,0,0
4,1,11:22.0,,K. Durant makes 2-pt layup from 1 ft (assist by D. Green),0,2
5,1,11:08.0,D. Brooks misses 3-pt jump shot from 25 ft,,0,2
6,1,11:06.0,,Defensive rebound by Z. Pachulia,0,2
7,1,10:58.0,,D. Green makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),0,5
8,1,10:36.0,T. Evans misses 3-pt jump shot from 26 ft,,0,5
9,1,10:32.0,,Defensive rebound by Z. Pachulia,0,5
10,1,10:27.0,,S. Curry makes 2-pt layup from 2 ft (assist by D. Green),0,7
11,1,10:27.0,Memphis full timeout,,0,7
12,1,10:02.0,Turnover by Team (shot clock),,0,7
13,1,9:52.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),0,10
14,1,9:36.0,J. Green makes 2-pt jump shot from 18 ft (assist by T. Evans),,2,10
15,1,9:29.0,,Turnover by D. Green (bad pass),2,10
16,1,9:17.0,Personal foul by Z. Pachulia (drawn by M. Gasol),,2,10
17,1,9:07.0,T. Evans makes 2-pt layup from 1 ft (assist by J. Green),,4,10
18,1,9:01.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),4,13
19,1,8:47.0,A. Harrison makes 3-pt jump shot from 23 ft (assist by T. Evans),,7,13
20,1,8:38.0,,K. Thompson makes 3-pt jump shot from 27 ft (assist by K. Durant),7,16
21,1,8:19.0,Shooting foul by K. Thompson (drawn by M. Gasol),,7,16
22,1,8:19.0,M. Gasol makes free throw 1 of 2,,8,16
23,1,8:19.0,M. Gasol makes free throw 2 of 2,,9,16
24,1,8:11.0,,Personal foul by J. Green (drawn by K. Durant),9,16
25,1,8:02.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Thompson),9,18
26,1,7:53.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by A. Harrison),,12,18
27,1,7:31.0,,K. Thompson misses 3-pt jump shot from 24 ft,12,18
28,1,7:26.0,Defensive rebound by M. Gasol,,12,18
29,1,7:21.0,M. Gasol makes 2-pt hook shot from 7 ft (assist by A. Harrison),,14,18
30,1,7:21.0,Shooting foul by S. Curry (drawn by M. Gasol),,14,18
31,1,7:21.0,M. Gasol makes free throw 1 of 1,,15,18
32,1,7:06.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Green),15,21
33,1,6:51.0,T. Evans makes 2-pt layup from 1 ft,,17,21
34,1,6:38.0,,Turnover by K. Thompson (bad pass; steal by M. Gasol),17,21
35,1,6:32.0,J. Green misses 3-pt jump shot from 22 ft,,17,21
36,1,6:28.0,,Defensive rebound by S. Curry,17,21
37,1,6:18.0,,S. Curry misses 3-pt jump shot from 29 ft,17,21
38,1,6:14.0,Defensive rebound by M. Gasol,,17,21
39,1,6:10.0,J. Ennis enters the game for J. Green,,17,21
40,1,6:10.0,J. Martin enters the game for A. Harrison,,17,21
41,1,6:07.0,M. Gasol misses 2-pt hook shot from 6 ft,,17,21
42,1,6:04.0,Offensive rebound by M. Gasol,,17,21
43,1,6:02.0,M. Gasol makes 2-pt layup from 2 ft,,19,21
44,1,5:53.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),19,23
45,1,5:53.0,,Shooting foul by M. Gasol (drawn by Z. Pachulia),19,23
46,1,5:53.0,,Z. Pachulia makes free throw 1 of 1,19,24
47,1,5:39.0,M. Gasol makes 2-pt layup at rim (assist by T. Evans),,21,24
48,1,5:28.0,,S. Curry makes 2-pt layup from 1 ft,21,26
49,1,5:17.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by T. Evans),,24,26
50,1,5:05.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),24,29
51,1,4:41.0,J. Martin misses 2-pt jump shot from 20 ft,,24,29
