,QUARTER,TIME_REMAINING,UTAH_ACTION,INDIANA_ACTION,UTAH_SCORE,INDIANA_SCORE
0,1,11:48.0,D. Favors makes 2-pt layup at rim (assist by R. Rubio),,2,0
1,1,11:35.0,,V. Oladipo makes 2-pt jump shot from 18 ft,2,2
2,1,11:18.0,D. Mitchell misses 3-pt jump shot from 27 ft,,2,2
3,1,11:14.0,,Defensive rebound by B. Bogdanović,2,2
4,1,11:00.0,,T. Young misses 2-pt jump shot from 14 ft,2,2
5,1,10:57.0,Defensive rebound by R. Rubio,,2,2
6,1,10:45.0,J. Ingles misses 3-pt jump shot from 24 ft,,2,2
7,1,10:42.0,Offensive rebound by D. Mitchell,,2,2
8,1,10:35.0,Personal foul by M. Turner (drawn by R. Rubio),,2,2
9,1,10:21.0,R. Rubio misses 3-pt jump shot from 23 ft,,2,2
10,1,10:18.0,,Defensive rebound by T. Young,2,2
11,1,10:03.0,,M. Turner makes 2-pt layup from 5 ft (assist by V. Oladipo),2,4
12,1,9:44.0,D. Mitchell misses 2-pt jump shot from 17 ft,,2,4
13,1,9:41.0,,Defensive rebound by T. Young,2,4
14,1,9:37.0,,B. Bogdanović makes 2-pt jump shot from 18 ft,2,6
15,1,9:13.0,R. Gobert misses 2-pt hook shot from 5 ft,,2,6
16,1,9:10.0,Offensive rebound by D. Favors,,2,6
17,1,9:09.0,R. Rubio misses 3-pt jump shot from 25 ft,,2,6
18,1,9:06.0,,Defensive rebound by B. Bogdanović,2,6
19,1,8:58.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by V. Oladipo),2,8
20,1,8:57.0,Utah full timeout,,2,8
21,1,8:44.0,D. Mitchell makes 2-pt jump shot from 20 ft (assist by J. Ingles),,4,8
22,1,8:21.0,,M. Turner makes 2-pt layup from 5 ft,4,10
23,1,8:04.0,R. Gobert makes 2-pt layup at rim (assist by J. Ingles),,6,10
24,1,7:52.0,,M. Turner misses 3-pt jump shot from 26 ft,6,10
25,1,7:49.0,Defensive rebound by D. Favors,,6,10
26,1,7:44.0,Personal foul by B. Bogdanović (drawn by J. Ingles),,6,10
27,1,7:38.0,D. Mitchell makes 2-pt jump shot from 18 ft,,8,10
28,1,7:23.0,,V. Oladipo misses 3-pt jump shot from 28 ft,8,10
29,1,7:22.0,,Offensive rebound by T. Young,8,10
30,1,7:19.0,,Turnover by T. Young (bad pass; steal by R. Rubio),8,10
31,1,7:14.0,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Favors),,10,10
32,1,6:57.0,,C. Joseph misses 2-pt jump shot from 19 ft,10,10
33,1,6:54.0,Defensive rebound by R. Gobert,,10,10
34,1,6:47.0,J. Ingles misses 2-pt jump shot from 15 ft,,10,10
35,1,6:43.0,,Defensive rebound by C. Joseph,10,10
36,1,6:38.0,,B. Bogdanović misses 3-pt jump shot from 22 ft,10,10
37,1,6:36.0,Defensive rebound by D. Favors,,10,10
38,1,6:28.0,Shooting foul by V. Oladipo (drawn by R. Rubio),,10,10
39,1,6:28.0,R. Rubio misses free throw 1 of 2,,10,10
40,1,6:28.0,Offensive rebound by Team,,10,10
41,1,6:28.0,R. Rubio makes free throw 2 of 2,,11,10
42,1,6:16.0,,T. Young makes 2-pt layup from 1 ft,11,12
43,1,6:02.0,J. Crowder enters the game for D. Favors,,11,12
44,1,5:58.0,R. Gobert misses 2-pt layup from 1 ft,,11,12
45,1,5:55.0,,Defensive rebound by C. Joseph,11,12
46,1,5:50.0,,C. Joseph misses 2-pt layup from 1 ft (block by R. Gobert),11,12
47,1,5:50.0,,Offensive rebound by Team,11,12
48,1,5:40.0,,Shooting foul by R. Gobert (drawn by V. Oladipo),11,12
49,1,5:40.0,Technical foul by R. Gobert,,11,12
50,1,5:40.0,,B. Bogdanović makes technical free throw,11,13
51,1,5:40.0,,V. Oladipo makes free throw 1 of 2,11,14
52,1,5:40.0,,V. Oladipo misses free throw 2 of 2,11,14
53,1,5:38.0,Defensive rebound by J. Crowder,,11,14
54,1,5:23.0,R. Rubio makes 2-pt jump shot from 11 ft,,13,14
55,1,5:12.0,,V. Oladipo misses 2-pt jump shot from 14 ft,13,14
56,1,5:10.0,Defensive rebound by R. Rubio,,13,14
57,1,5:05.0,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio),,16,14
58,1,4:46.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,16,14
59,1,4:43.0,Defensive rebound by J. Ingles,,16,14
60,1,4:34.0,R. Gobert makes 2-pt dunk from 2 ft,,18,14
61,1,4:34.0,,Indiana full timeout,18,14
62,1,4:34.0,,D. Sabonis enters the game for T. Young,18,14
63,1,4:34.0,,G. Robinson enters the game for B. Bogdanović,18,14
64,1,4:16.0,,C. Joseph misses 2-pt jump shot from 18 ft,18,14
65,1,4:14.0,Defensive rebound by R. Rubio,,18,14
66,1,4:05.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by R. Rubio),,21,14
67,1,3:45.0,,V. Oladipo misses 2-pt jump shot from 16 ft,21,14
68,1,3:43.0,Defensive rebound by R. Gobert,,21,14
69,1,3:38.0,J. Ingles misses 3-pt jump shot from 25 ft,,21,14
70,1,3:36.0,,Defensive rebound by D. Sabonis,21,14
71,1,3:25.0,,M. Turner makes 2-pt hook shot from 6 ft (assist by D. Sabonis),21,16
72,1,3:04.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by R. Rubio),,24,16
73,1,2:49.0,,L. Stephenson enters the game for V. Oladipo,24,16
74,1,2:49.0,,T. Booker enters the game for M. Turner,24,16
75,1,2:49.0,J. Jerebko enters the game for J. Ingles,,24,16
76,1,2:49.0,R. O'Neale enters the game for R. Rubio,,24,16
77,1,2:37.0,,D. Sabonis misses 2-pt jump shot from 19 ft,24,16
78,1,2:35.0,,Offensive rebound by T. Booker,24,16
79,1,2:12.0,,G. Robinson makes 2-pt jump shot from 11 ft (assist by C. Joseph),24,18
80,1,1:47.0,D. Mitchell makes 3-pt jump shot from 28 ft (assist by J. Crowder),,27,18
81,1,1:33.0,,C. Joseph makes 2-pt jump shot from 18 ft,27,20
82,1,1:17.0,D. Mitchell makes 3-pt jump shot from 27 ft,,30,20
83,1,1:08.0,,Offensive foul by T. Booker (drawn by R. O'Neale),30,20
84,1,1:08.0,,Turnover by T. Booker (offensive foul),30,20
85,1,1:08.0,,J. Young enters the game for C. Joseph,30,20
86,1,1:08.0,D. Favors enters the game for R. Gobert,,30,20
87,1,0:56.0,Turnover by D. Mitchell (lost ball; steal by J. Young),,30,20
88,1,0:56.0,,Personal foul by J. Crowder (drawn by J. Young),30,20
89,1,0:49.0,,L. Stephenson misses 2-pt jump shot from 18 ft,30,20
90,1,0:45.0,Defensive rebound by J. Crowder,,30,20
91,1,0:33.0,J. Crowder makes 2-pt layup at rim (assist by D. Mitchell),,32,20
92,1,0:11.0,,L. Stephenson misses 3-pt jump shot from 26 ft,32,20
93,1,0:09.0,Defensive rebound by Team,,32,20
94,1,0:04.0,Personal take foul by J. Young (drawn by D. Mitchell),,32,20
95,1,0:01.0,D. Mitchell misses 3-pt jump shot from 34 ft,,32,20
96,1,0:01.0,Offensive rebound by Team,,32,20
97,2,11:45.0,,D. Sabonis misses 2-pt layup at rim,32,20
98,2,11:43.0,Defensive rebound by D. Favors,,32,20
99,2,11:23.0,D. Favors makes 2-pt dunk at rim (assist by R. Neto),,34,20
100,2,11:03.0,,L. Stephenson misses 3-pt jump shot from 28 ft,34,20
101,2,10:59.0,,Offensive rebound by T. Booker,34,20
102,2,10:53.0,,T. Booker makes 2-pt jump shot from 3 ft,34,22
103,2,10:36.0,J. Crowder misses 2-pt jump shot from 20 ft,,34,22
104,2,10:33.0,,Defensive rebound by D. Sabonis,34,22
105,2,10:21.0,,D. Sabonis misses 2-pt jump shot from 14 ft,34,22
106,2,10:17.0,Defensive rebound by J. Crowder,,34,22
107,2,10:05.0,,Violation by L. Stephenson (kicked ball),34,22
108,2,9:53.0,J. Crowder misses 3-pt jump shot from 27 ft,,34,22
109,2,9:51.0,,Defensive rebound by D. Sabonis,34,22
110,2,9:51.0,Loose ball foul by D. Favors (drawn by D. Sabonis),,34,22
111,2,9:38.0,,L. Stephenson misses 2-pt layup at rim,34,22
112,2,9:35.0,Defensive rebound by R. O'Neale,,34,22
113,2,9:29.0,R. O'Neale makes 2-pt jump shot from 10 ft (assist by J. Jerebko),,36,22
114,2,9:29.0,Shooting foul by D. Sabonis (drawn by R. O'Neale),,36,22
115,2,9:29.0,R. O'Neale misses free throw 1 of 1,,36,22
116,2,9:27.0,,Defensive rebound by D. Sabonis,36,22
117,2,9:15.0,,B. Bogdanović misses 2-pt jump shot from 15 ft,36,22
118,2,9:10.0,,Offensive rebound by J. Young,36,22
119,2,9:06.0,,J. Young misses 2-pt jump shot from 18 ft,36,22
120,2,9:02.0,,Offensive rebound by D. Sabonis,36,22
121,2,8:59.0,,Shooting foul by R. Neto (drawn by B. Bogdanović),36,22
122,2,8:59.0,,B. Bogdanović makes free throw 1 of 2,36,23
123,2,8:59.0,,T. Young enters the game for T. Booker,36,23
124,2,8:59.0,,B. Bogdanović makes free throw 2 of 2,36,24
125,2,8:47.0,J. Crowder makes 2-pt layup at rim (assist by R. Neto),,38,24
126,2,8:33.0,,D. Sabonis misses 2-pt jump shot from 19 ft,38,24
127,2,8:31.0,,Offensive rebound by L. Stephenson,38,24
128,2,8:31.0,,Personal foul by J. Crowder (drawn by L. Stephenson),38,24
129,2,8:31.0,,Indiana full timeout,38,24
130,2,8:31.0,,V. Oladipo enters the game for L. Stephenson,38,24
131,2,8:31.0,,C. Joseph enters the game for J. Young,38,24
132,2,8:31.0,R. Gobert enters the game for J. Jerebko,,38,24
133,2,8:31.0,J. Ingles enters the game for R. Neto,,38,24
134,2,8:31.0,R. Rubio enters the game for J. Crowder,,38,24
135,2,8:08.0,,D. Sabonis makes 2-pt dunk from 1 ft (assist by V. Oladipo),38,26
136,2,7:51.0,R. Rubio makes 2-pt jump shot from 19 ft (assist by J. Ingles),,40,26
137,2,7:35.0,,Turnover by V. Oladipo (bad pass; steal by R. O'Neale),40,26
138,2,7:20.0,R. Rubio makes 2-pt jump shot from 19 ft,,42,26
