,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:47.0,,Personal foul by D. Šarić (drawn by J. Collins),0,0
1,1,11:47.0,E. İlyasova enters the game for D. Šarić,,0,0
2,1,11:41.0,Violation by A. Johnson (kicked ball),,0,0
3,1,11:33.0,,Turnover by T. Prince (lost ball; steal by B. Simmons),0,0
4,1,11:29.0,B. Simmons makes 2-pt dunk at rim (assist by R. Covington),,2,0
5,1,11:11.0,,D. Dedmon makes 2-pt hook shot from 2 ft (assist by T. Prince),2,2
6,1,11:00.0,E. İlyasova misses 2-pt layup from 1 ft,,2,2
7,1,10:57.0,,Defensive rebound by J. Collins,2,2
8,1,10:53.0,,D. Bembry makes 2-pt layup from 1 ft,2,4
9,1,10:43.0,Personal foul by D. Bembry (drawn by J. Redick),,2,4
10,1,10:37.0,J. Redick makes 3-pt jump shot from 24 ft,,5,4
11,1,10:18.0,,Turnover by T. Prince (bad pass; steal by R. Covington),5,4
12,1,10:11.0,Turnover by R. Covington (bad pass; steal by D. Bembry),,5,4
13,1,10:06.0,,J. Collins makes 2-pt dunk from 2 ft (assist by T. Prince),5,6
14,1,10:01.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Redick),,7,6
15,1,9:50.0,,T. Prince makes 3-pt jump shot from 27 ft (assist by D. Bembry),7,9
16,1,9:35.0,Turnover by J. Redick (lost ball; steal by D. Bembry),,7,9
17,1,9:31.0,,D. Bembry makes 2-pt dunk from 2 ft,7,11
18,1,9:31.0,Philadelphia full timeout,,7,11
19,1,9:17.0,J. Redick misses 2-pt jump shot from 19 ft (block by D. Dedmon),,7,11
20,1,9:17.0,Offensive rebound by Team,,7,11
21,1,9:11.0,Turnover by B. Simmons (traveling),,7,11
22,1,8:49.0,,D. Bembry misses 2-pt layup from 1 ft,7,11
23,1,8:46.0,Defensive rebound by B. Simmons,,7,11
24,1,8:43.0,Turnover by B. Simmons (bad pass),,7,11
25,1,8:29.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by D. Bembry),7,14
26,1,8:11.0,J. Redick misses 2-pt layup from 3 ft,,7,14
27,1,8:09.0,,Defensive rebound by D. Bembry,7,14
28,1,8:05.0,,D. Lee misses 3-pt jump shot from 24 ft,7,14
29,1,8:01.0,Defensive rebound by J. Redick,,7,14
30,1,7:54.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,10,14
31,1,7:44.0,,D. Lee misses 2-pt jump shot from 6 ft,10,14
32,1,7:41.0,Defensive rebound by A. Johnson,,10,14
33,1,7:37.0,J. Redick misses 3-pt jump shot from 25 ft,,10,14
34,1,7:33.0,,Defensive rebound by D. Lee,10,14
35,1,7:29.0,,D. Lee misses 2-pt layup from 1 ft (block by R. Covington),10,14
36,1,7:25.0,Defensive rebound by E. İlyasova,,10,14
37,1,7:24.0,Turnover by R. Covington (bad pass; steal by D. Bembry),,10,14
38,1,7:15.0,,T. Prince misses 3-pt jump shot from 25 ft,10,14
39,1,7:13.0,Defensive rebound by B. Simmons,,10,14
40,1,7:07.0,B. Simmons misses 2-pt layup from 1 ft,,10,14
41,1,7:01.0,,Defensive rebound by D. Bembry,10,14
42,1,6:43.0,,T. Prince misses 2-pt layup from 3 ft,10,14
43,1,6:40.0,Defensive rebound by B. Simmons,,10,14
44,1,6:33.0,E. İlyasova makes 2-pt jump shot from 21 ft,,12,14
45,1,6:31.0,,Atlanta full timeout,12,14
46,1,6:31.0,,I. Taylor enters the game for D. Bembry,12,14
47,1,6:31.0,M. Belinelli enters the game for A. Johnson,,12,14
48,1,6:31.0,T. McConnell enters the game for J. Redick,,12,14
49,1,6:31.0,R. Holmes enters the game for R. Covington,,12,14
50,1,6:11.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by J. Collins),12,17
51,1,5:52.0,M. Belinelli misses 2-pt jump shot from 18 ft,,12,17
52,1,5:49.0,,Defensive rebound by D. Dedmon,12,17
53,1,5:32.0,,D. Dedmon makes 2-pt hook shot from 3 ft (assist by T. Prince),12,19
54,1,5:19.0,Shooting foul by J. Collins (drawn by B. Simmons),,12,19
55,1,5:19.0,B. Simmons makes free throw 1 of 2,,13,19
56,1,5:19.0,,M. Plumlee enters the game for D. Dedmon,13,19
57,1,5:19.0,,M. Muscala enters the game for J. Collins,13,19
58,1,5:19.0,B. Simmons makes free throw 2 of 2,,14,19
59,1,5:05.0,,T. Prince misses 3-pt jump shot from 24 ft,14,19
60,1,5:02.0,Defensive rebound by M. Belinelli,,14,19
61,1,4:55.0,,T. Dorsey enters the game for D. Lee,14,19
62,1,4:50.0,T. McConnell misses 2-pt jump shot from 13 ft,,14,19
63,1,4:45.0,,Defensive rebound by M. Muscala,14,19
64,1,4:37.0,,T. Dorsey makes 2-pt jump shot from 15 ft (assist by T. Prince),14,21
65,1,4:21.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by T. McConnell),,17,21
66,1,4:08.0,,T. Prince misses 3-pt jump shot from 24 ft,17,21
67,1,4:06.0,Defensive rebound by M. Belinelli,,17,21
68,1,3:52.0,M. Belinelli misses 3-pt jump shot from 25 ft,,17,21
69,1,3:49.0,Offensive rebound by R. Holmes,,17,21
70,1,3:47.0,R. Holmes makes 2-pt layup from 1 ft (assist by B. Simmons),,19,21
71,1,3:47.0,Shooting foul by M. Plumlee (drawn by R. Holmes),,19,21
72,1,3:47.0,M. Fultz enters the game for B. Simmons,,19,21
73,1,3:47.0,R. Holmes misses free throw 1 of 1,,19,21
74,1,3:47.0,,Defensive rebound by M. Plumlee,19,21
75,1,3:32.0,,T. Dorsey makes 3-pt jump shot from 25 ft,19,24
76,1,3:18.0,M. Belinelli makes 2-pt jump shot from 20 ft (assist by E. İlyasova),,21,24
77,1,3:06.0,,M. Muscala misses 3-pt jump shot from 25 ft,21,24
78,1,3:04.0,Defensive rebound by M. Fultz,,21,24
79,1,3:02.0,R. Holmes makes 2-pt dunk at rim (assist by M. Fultz),,23,24
80,1,2:35.0,,T. Prince misses 3-pt jump shot from 24 ft,23,24
81,1,2:31.0,,Offensive rebound by M. Plumlee,23,24
