,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHICAGO_ACTION,HOUSTON_SCORE,CHICAGO_SCORE
0,1,11:39.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by J. Holiday),0,3
1,1,11:22.0,E. Gordon misses 3-pt jump shot from 24 ft,,0,3
2,1,11:18.0,,Defensive rebound by L. Markkanen,0,3
3,1,11:04.0,,R. Lopez misses 2-pt hook shot from 6 ft,0,3
4,1,11:02.0,Defensive rebound by C. Capela,,0,3
5,1,10:53.0,E. Gordon makes 2-pt layup from 1 ft (assist by C. Capela),,2,3
6,1,10:39.0,,L. Markkanen misses 2-pt jump shot from 4 ft,2,3
7,1,10:39.0,,Offensive rebound by Team,2,3
8,1,10:39.0,Loose ball foul by C. Capela (drawn by R. Lopez),,2,3
9,1,10:29.0,,K. Dunn misses 2-pt jump shot from 13 ft,2,3
10,1,10:26.0,Defensive rebound by C. Paul,,2,3
11,1,10:20.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by C. Paul),,5,3
12,1,9:58.0,,R. Lopez misses 2-pt hook shot from 7 ft,5,3
13,1,9:56.0,Defensive rebound by C. Capela,,5,3
14,1,9:52.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by E. Gordon),,8,3
15,1,9:24.0,,R. Lopez misses 2-pt hook shot from 4 ft (block by C. Capela),8,3
16,1,9:21.0,Defensive rebound by C. Capela,,8,3
17,1,9:18.0,C. Capela misses 2-pt layup from 1 ft (block by R. Lopez),,8,3
18,1,9:18.0,,Defensive rebound by L. Markkanen,8,3
19,1,9:12.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by L. Markkanen),8,6
20,1,8:55.0,Shooting foul by L. Markkanen (drawn by R. Anderson),,8,6
21,1,8:55.0,R. Anderson makes free throw 1 of 2,,9,6
22,1,8:55.0,R. Anderson misses free throw 2 of 2,,9,6
23,1,8:52.0,,Defensive rebound by K. Dunn,9,6
24,1,8:45.0,,K. Dunn misses 2-pt layup from 1 ft (block by T. Ariza),9,6
25,1,8:42.0,Defensive rebound by T. Ariza,,9,6
