,QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,M. Chriss misses 3-pt jump shot from 26 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Embiid,0,0
2,1,11:33.0,,Turnover by J. Redick (traveling),0,0
3,1,11:23.0,D. Booker makes 2-pt dunk at rim (assist by T. Chandler),,2,0
4,1,11:05.0,,J. Embiid misses 2-pt hook shot from 8 ft,2,0
5,1,11:03.0,Defensive rebound by D. Booker,,2,0
6,1,10:57.0,T. Ulis misses 2-pt jump shot from 15 ft,,2,0
7,1,10:53.0,,Defensive rebound by J. Redick,2,0
8,1,10:37.0,,B. Simmons makes 2-pt jump shot from 8 ft (assist by R. Covington),2,2
9,1,10:26.0,D. Booker misses 3-pt jump shot from 25 ft,,2,2
10,1,10:22.0,,Defensive rebound by B. Simmons,2,2
11,1,10:15.0,,D. Šarić makes 2-pt layup from 1 ft (assist by B. Simmons),2,4
12,1,9:52.0,T. Ulis misses 3-pt jump shot from 25 ft,,2,4
13,1,9:50.0,Offensive rebound by T. Chandler,,2,4
14,1,9:46.0,T. Chandler makes 2-pt dunk at rim (assist by T. Warren),,4,4
15,1,9:30.0,,B. Simmons makes 2-pt layup from 2 ft,4,6
16,1,9:20.0,T. Warren makes 2-pt jump shot from 14 ft (assist by T. Ulis),,6,6
17,1,8:55.0,,J. Embiid makes 2-pt jump shot from 10 ft,6,8
18,1,8:31.0,M. Chriss misses 2-pt jump shot from 3 ft,,6,8
19,1,8:31.0,,Defensive rebound by B. Simmons,6,8
20,1,8:23.0,,J. Redick misses 3-pt jump shot from 23 ft,6,8
21,1,8:21.0,Defensive rebound by T. Chandler,,6,8
22,1,8:16.0,D. Booker misses 2-pt layup from 3 ft,,6,8
23,1,8:11.0,Offensive rebound by M. Chriss,,6,8
24,1,8:11.0,M. Chriss misses 2-pt layup at rim,,6,8
25,1,8:11.0,,Defensive rebound by D. Šarić,6,8
26,1,8:10.0,,R. Covington misses 2-pt jump shot from 14 ft,6,8
27,1,8:10.0,Defensive rebound by Team,,6,8
28,1,8:10.0,,Loose ball foul by D. Šarić (drawn by T. Chandler),6,8
29,1,8:10.0,,A. Johnson enters the game for J. Embiid,6,8
30,1,8:10.0,D. Bender enters the game for M. Chriss,,6,8
31,1,7:56.0,T. Warren makes 2-pt jump shot from 10 ft,,8,8
32,1,7:46.0,,B. Simmons makes 2-pt dunk at rim,8,10
33,1,7:28.0,T. Warren makes 3-pt jump shot from 25 ft (assist by T. Ulis),,11,10
34,1,7:08.0,,R. Covington misses 3-pt jump shot from 25 ft (block by D. Bender),11,10
35,1,7:03.0,Defensive rebound by T. Warren,,11,10
36,1,6:57.0,Shooting foul by B. Simmons (drawn by T. Chandler),,11,10
37,1,6:57.0,,Philadelphia full timeout,11,10
38,1,6:57.0,,J. Bayless enters the game for D. Šarić,11,10
39,1,6:57.0,,T. Luwawu-Cabarrot enters the game for J. Redick,11,10
40,1,6:57.0,J. Jackson enters the game for T. Warren,,11,10
41,1,6:57.0,T. Chandler misses free throw 1 of 2,,11,10
42,1,6:57.0,Offensive rebound by Team,,11,10
43,1,6:57.0,T. Chandler makes free throw 2 of 2,,12,10
44,1,6:35.0,,Turnover by R. Covington (bad pass; steal by T. Chandler),12,10
45,1,6:18.0,D. Booker misses 2-pt jump shot from 19 ft,,12,10
