,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
0,1,11:41.0,P. Gasol misses 2-pt hook shot from 3 ft,,0,0
1,1,11:37.0,,Defensive rebound by S. Napier,0,0
2,1,11:26.0,,E. Turner misses 3-pt jump shot from 23 ft,0,0
3,1,11:24.0,Defensive rebound by L. Aldridge,,0,0
4,1,11:11.0,P. Gasol makes 3-pt jump shot from 22 ft (assist by L. Aldridge),,3,0
5,1,10:53.0,,C. McCollum makes 2-pt jump shot from 18 ft (assist by J. Nurkić),3,2
6,1,10:31.0,L. Aldridge misses 2-pt jump shot from 13 ft (block by S. Napier),,3,2
7,1,10:31.0,,Defensive rebound by Team,3,2
8,1,10:17.0,,C. McCollum misses 2-pt layup from 1 ft (block by P. Gasol),3,2
9,1,10:17.0,Defensive rebound by Team,,3,2
10,1,10:00.0,B. Forbes makes 2-pt jump shot from 14 ft (assist by P. Gasol),,5,2
11,1,9:37.0,,E. Turner makes 2-pt jump shot from 8 ft,5,4
12,1,9:24.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Murray),,7,4
13,1,9:09.0,,J. Nurkić misses 2-pt layup from 1 ft (block by P. Gasol),7,4
14,1,9:07.0,Defensive rebound by P. Gasol,,7,4
15,1,9:00.0,L. Aldridge makes 3-pt jump shot from 24 ft (assist by D. Murray),,10,4
16,1,8:43.0,,S. Napier makes 2-pt layup from 1 ft,10,6
17,1,8:34.0,Offensive foul by B. Forbes (drawn by A. Aminu),,10,6
18,1,8:34.0,Turnover by B. Forbes (offensive foul),,10,6
19,1,8:24.0,,Offensive foul by J. Nurkić (drawn by K. Anderson),10,6
20,1,8:24.0,,Turnover by J. Nurkić (offensive foul),10,6
21,1,8:12.0,Turnover by P. Gasol (bad pass; steal by S. Napier),,10,6
22,1,8:07.0,,C. McCollum misses 2-pt layup from 2 ft,10,6
23,1,8:05.0,Defensive rebound by P. Gasol,,10,6
24,1,7:59.0,D. Murray misses 2-pt jump shot from 14 ft,,10,6
25,1,7:56.0,,Defensive rebound by S. Napier,10,6
26,1,7:45.0,,A. Aminu makes 2-pt jump shot from 5 ft,10,8
27,1,7:25.0,B. Forbes misses 2-pt jump shot from 16 ft,,10,8
28,1,7:23.0,,Defensive rebound by J. Nurkić,10,8
29,1,7:15.0,,C. McCollum misses 2-pt jump shot from 14 ft,10,8
30,1,7:12.0,Defensive rebound by K. Anderson,,10,8
31,1,7:04.0,P. Gasol makes 2-pt layup from 1 ft (assist by K. Anderson),,12,8
32,1,6:46.0,,J. Nurkić makes 2-pt jump shot from 13 ft,12,10
33,1,6:29.0,Turnover by D. Murray (step out of bounds),,12,10
34,1,6:29.0,,Portland full timeout,12,10
35,1,6:29.0,P. Mills enters the game for D. Murray,,12,10
36,1,6:16.0,Violation by P. Gasol (kicked ball),,12,10
37,1,6:10.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by C. McCollum),12,12
38,1,5:49.0,P. Gasol misses 2-pt jump shot from 21 ft,,12,12
39,1,5:47.0,,Defensive rebound by J. Nurkić,12,12
40,1,5:40.0,,Personal foul by P. Mills (drawn by E. Turner),12,12
41,1,5:40.0,,P. Connaughton enters the game for S. Napier,12,12
42,1,5:40.0,D. Bertāns enters the game for B. Forbes,,12,12
43,1,5:40.0,M. Ginóbili enters the game for P. Gasol,,12,12
44,1,5:31.0,,A. Aminu misses 3-pt jump shot from 25 ft,12,12
45,1,5:31.0,,Offensive rebound by Team,12,12
46,1,5:31.0,Loose ball foul by L. Aldridge (drawn by J. Nurkić),,12,12
