,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
0,1,11:43.0,J. Green makes 2-pt layup from 1 ft (assist by M. Gasol),,2,0
1,1,11:24.0,,L. Markkanen misses 3-pt jump shot from 25 ft,2,0
2,1,11:24.0,Defensive rebound by K. Simmons,,2,0
3,1,11:04.0,B. McLemore makes 3-pt jump shot from 22 ft (assist by D. Brooks),,5,0
4,1,10:41.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by Z. LaVine),5,3
5,1,10:16.0,D. Brooks misses 2-pt jump shot from 10 ft,,5,3
6,1,10:13.0,,Defensive rebound by B. Portis,5,3
7,1,10:07.0,,B. Portis misses 2-pt jump shot from 20 ft,5,3
8,1,10:07.0,Defensive rebound by J. Green,,5,3
9,1,9:45.0,B. McLemore misses 3-pt jump shot from 23 ft,,5,3
10,1,9:41.0,,Defensive rebound by B. Portis,5,3
11,1,9:35.0,,Z. LaVine misses 3-pt jump shot from 25 ft,5,3
12,1,9:31.0,Defensive rebound by B. McLemore,,5,3
13,1,9:20.0,Shooting foul by K. Dunn (drawn by M. Gasol),,5,3
14,1,9:20.0,M. Gasol misses free throw 1 of 2,,5,3
15,1,9:20.0,Offensive rebound by Team,,5,3
16,1,9:20.0,M. Gasol makes free throw 2 of 2,,6,3
17,1,9:05.0,,Z. LaVine makes 2-pt layup from 2 ft,6,5
18,1,8:44.0,J. Green makes 2-pt dunk from 2 ft (assist by D. Brooks),,8,5
19,1,8:31.0,,Turnover by J. Holiday (bad pass; steal by K. Simmons),8,5
20,1,8:27.0,D. Brooks misses 3-pt jump shot from 24 ft,,8,5
21,1,8:24.0,,Defensive rebound by B. Portis,8,5
22,1,8:17.0,,K. Dunn makes 2-pt layup from 2 ft,8,7
23,1,8:10.0,Turnover by K. Simmons (bad pass; steal by J. Holiday),,8,7
24,1,8:07.0,,B. Portis misses 3-pt jump shot from 26 ft,8,7
25,1,8:06.0,Defensive rebound by J. Green,,8,7
26,1,7:58.0,Turnover by J. Green (bad pass; steal by K. Dunn),,8,7
27,1,7:52.0,,L. Markkanen makes 2-pt dunk at rim (assist by K. Dunn),8,9
28,1,7:52.0,Memphis full timeout,,8,9
29,1,7:52.0,W. Selden enters the game for K. Simmons,,8,9
30,1,7:52.0,X. Rathan-Mayes enters the game for B. McLemore,,8,9
31,1,7:52.0,M. Henry enters the game for D. Brooks,,8,9
32,1,7:30.0,M. Gasol makes 2-pt jump shot from 13 ft (assist by W. Selden),,10,9
33,1,7:15.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by K. Dunn),10,11
34,1,6:51.0,J. Green makes 2-pt layup from 1 ft,,12,11
35,1,6:41.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by B. Portis),12,14
36,1,6:24.0,M. Gasol makes 2-pt jump shot from 15 ft (assist by X. Rathan-Mayes),,14,14
37,1,6:12.0,,Personal foul by J. Green (drawn by L. Markkanen),14,14
38,1,6:07.0,,K. Dunn makes 3-pt jump shot from 26 ft,14,17
39,1,5:46.0,M. Henry misses 2-pt layup at rim,,14,17
40,1,5:43.0,,Defensive rebound by B. Portis,14,17
41,1,5:36.0,,L. Markkanen misses 3-pt jump shot from 24 ft,14,17
42,1,5:34.0,Defensive rebound by J. Green,,14,17
43,1,5:29.0,Shooting foul by K. Dunn (drawn by X. Rathan-Mayes),,14,17
44,1,5:29.0,X. Rathan-Mayes makes free throw 1 of 2,,15,17
45,1,5:29.0,,C. Payne enters the game for B. Portis,15,17
46,1,5:29.0,,C. Felício enters the game for K. Dunn,15,17
47,1,5:29.0,X. Rathan-Mayes misses free throw 2 of 2,,15,17
48,1,5:26.0,,Defensive rebound by C. Felício,15,17
49,1,5:14.0,,Turnover by L. Markkanen (traveling),15,17
50,1,4:49.0,W. Selden misses 2-pt layup from 1 ft,,15,17
51,1,4:46.0,,Defensive rebound by C. Felício,15,17
52,1,4:35.0,,L. Markkanen misses 2-pt jump shot from 20 ft,15,17
53,1,4:31.0,Defensive rebound by M. Henry,,15,17
54,1,4:26.0,X. Rathan-Mayes misses 3-pt jump shot from 26 ft,,15,17
55,1,4:26.0,,Defensive rebound by J. Holiday,15,17
56,1,4:15.0,,J. Holiday makes 3-pt jump shot from 24 ft,15,20
57,1,3:50.0,M. Henry misses 3-pt jump shot from 23 ft,,15,20
58,1,3:47.0,,Defensive rebound by C. Payne,15,20
59,1,3:38.0,,Z. LaVine misses 3-pt jump shot from 26 ft,15,20
60,1,3:35.0,Defensive rebound by M. Gasol,,15,20
61,1,3:22.0,Shooting foul by C. Felício (drawn by J. Green),,15,20
62,1,3:22.0,J. Green makes free throw 1 of 2,,16,20
63,1,3:22.0,,D. Valentine enters the game for J. Holiday,16,20
64,1,3:22.0,K. Simmons enters the game for M. Henry,,16,20
65,1,3:22.0,D. Brooks enters the game for X. Rathan-Mayes,,16,20
66,1,3:22.0,J. Green misses free throw 2 of 2,,16,20
67,1,3:19.0,,Defensive rebound by L. Markkanen,16,20
68,1,2:58.0,,Z. LaVine makes 2-pt layup from 2 ft,16,22
