,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CLEVELAND_ACTION,PHILADELPHIA_SCORE,CLEVELAND_SCORE
0,1,11:51.0,Turnover by B. Simmons (bad pass),,0,0
1,1,11:38.0,,G. Hill misses 2-pt jump shot from 18 ft,0,0
2,1,11:35.0,Defensive rebound by D. Šarić,,0,0
3,1,11:24.0,B. Simmons makes 2-pt layup at rim (assist by J. Embiid),,2,0
4,1,11:06.0,,R. Hood makes 2-pt jump shot from 15 ft,2,2
5,1,10:57.0,J. Redick misses 3-pt jump shot from 24 ft,,2,2
6,1,10:55.0,,Defensive rebound by L. James,2,2
7,1,10:45.0,,L. James misses 2-pt jump shot from 17 ft,2,2
8,1,10:42.0,Defensive rebound by B. Simmons,,2,2
9,1,10:37.0,R. Covington makes 3-pt jump shot from 23 ft (assist by J. Redick),,5,2
10,1,10:14.0,,C. Osman misses 3-pt jump shot from 25 ft,5,2
11,1,10:11.0,Defensive rebound by B. Simmons,,5,2
12,1,10:08.0,R. Covington makes 3-pt jump shot from 23 ft (assist by B. Simmons),,8,2
13,1,9:51.0,,Personal foul by J. Redick (drawn by R. Hood),8,2
14,1,9:44.0,,R. Hood makes 2-pt jump shot from 12 ft,8,4
15,1,9:36.0,J. Redick makes 3-pt jump shot from 25 ft,,11,4
16,1,9:23.0,,Shooting foul by J. Embiid (drawn by G. Hill),11,4
17,1,9:23.0,,G. Hill makes free throw 1 of 2,11,5
18,1,9:23.0,,G. Hill misses free throw 2 of 2,11,5
19,1,9:20.0,Defensive rebound by J. Embiid,,11,5
20,1,9:10.0,Shooting foul by T. Thompson (drawn by J. Embiid),,11,5
21,1,9:10.0,J. Embiid makes free throw 1 of 2,,12,5
22,1,9:10.0,J. Embiid misses free throw 2 of 2,,12,5
23,1,9:09.0,,Defensive rebound by Team,12,5
24,1,8:58.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by G. Hill),12,8
25,1,8:43.0,Personal foul by L. James (drawn by J. Redick),,12,8
26,1,8:35.0,J. Redick makes 3-pt jump shot from 23 ft (assist by J. Embiid),,15,8
27,1,8:21.0,,T. Thompson misses 2-pt jump shot from 13 ft (block by J. Embiid),15,8
28,1,8:21.0,,Offensive rebound by Team,15,8
29,1,8:15.0,,L. James makes 2-pt jump shot from 9 ft (assist by C. Osman),15,10
30,1,8:15.0,,Shooting foul by R. Covington (drawn by L. James),15,10
31,1,8:15.0,,L. James makes free throw 1 of 1,15,11
32,1,7:58.0,J. Redick makes 2-pt layup at rim,,17,11
33,1,7:58.0,Shooting foul by C. Osman (drawn by J. Redick),,17,11
34,1,7:58.0,J. Redick makes free throw 1 of 1,,18,11
35,1,7:42.0,,L. James makes 2-pt layup at rim (assist by G. Hill),18,13
36,1,7:42.0,,Shooting foul by B. Simmons (drawn by L. James),18,13
37,1,7:42.0,M. Belinelli enters the game for J. Redick,,18,13
38,1,7:42.0,,L. James misses free throw 1 of 1,18,13
39,1,7:40.0,,Offensive rebound by T. Thompson,18,13
40,1,7:29.0,,L. James misses 2-pt jump shot from 15 ft,18,13
41,1,7:25.0,,Offensive rebound by G. Hill,18,13
42,1,7:21.0,,Turnover by G. Hill (bad pass; steal by B. Simmons),18,13
43,1,7:21.0,Personal foul by R. Hood (drawn by B. Simmons),,18,13
44,1,7:09.0,Shooting foul by T. Thompson (drawn by J. Embiid),,18,13
45,1,7:09.0,J. Embiid makes free throw 1 of 2,,19,13
46,1,7:09.0,J. Embiid misses free throw 2 of 2,,19,13
47,1,7:05.0,,Defensive rebound by C. Osman,19,13
