,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
0,1,11:43.0,J. Wall misses 3-pt jump shot from 24 ft,,0,0
1,1,11:38.0,,Defensive rebound by N. Jokić,0,0
2,1,11:21.0,,G. Harris makes 2-pt layup from 2 ft (assist by J. Murray),0,2
3,1,11:08.0,M. Gortat makes 2-pt jump shot from 12 ft (assist by B. Beal),,2,2
4,1,10:44.0,,N. Jokić makes 2-pt layup from 11 ft (assist by G. Harris),2,4
5,1,10:29.0,J. Wall misses 2-pt layup from 4 ft (block by J. Murray),,2,4
6,1,10:27.0,,Defensive rebound by N. Jokić,2,4
7,1,10:22.0,,J. Murray makes 2-pt layup from 4 ft (assist by W. Chandler),2,6
8,1,9:56.0,J. Wall misses 2-pt layup from 3 ft,,2,6
9,1,9:54.0,,Defensive rebound by P. Millsap,2,6
10,1,9:54.0,,Turnover by N. Jokić (bad pass),2,6
11,1,9:40.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,5,6
12,1,9:17.0,,N. Jokić makes 2-pt layup from 5 ft,5,8
13,1,8:59.0,B. Beal misses 3-pt jump shot from 22 ft,,5,8
14,1,8:57.0,,Defensive rebound by J. Murray,5,8
15,1,8:46.0,,G. Harris misses 3-pt jump shot from 26 ft,5,8
16,1,8:42.0,,Offensive rebound by W. Chandler,5,8
17,1,8:36.0,,W. Chandler makes 2-pt layup from 3 ft (assist by N. Jokić),5,10
18,1,8:21.0,K. Oubre misses 3-pt jump shot from 23 ft,,5,10
19,1,8:18.0,,Defensive rebound by G. Harris,5,10
20,1,8:16.0,,W. Chandler makes 2-pt layup from 2 ft (assist by G. Harris),5,12
21,1,8:00.0,O. Porter misses 2-pt jump shot from 12 ft,,5,12
22,1,7:58.0,,Defensive rebound by N. Jokić,5,12
23,1,7:51.0,,Personal block foul by K. Oubre (drawn by G. Harris),5,12
24,1,7:46.0,,J. Murray misses 2-pt jump shot from 17 ft,5,12
25,1,7:45.0,Defensive rebound by Team,,5,12
26,1,7:28.0,O. Porter makes 3-pt jump shot from 24 ft (assist by B. Beal),,8,12
27,1,7:06.0,,P. Millsap misses 3-pt jump shot from 24 ft,8,12
28,1,7:01.0,Defensive rebound by M. Gortat,,8,12
29,1,6:54.0,Shooting block foul by P. Millsap (drawn by J. Wall),,8,12
30,1,6:54.0,,Denver full timeout,8,12
31,1,6:54.0,J. Wall makes free throw 1 of 2,,9,12
32,1,6:54.0,J. Wall makes free throw 2 of 2,,10,12
33,1,6:38.0,,P. Millsap misses 2-pt hook shot from 4 ft,10,12
34,1,6:36.0,Defensive rebound by B. Beal,,10,12
35,1,6:31.0,K. Oubre makes 2-pt layup from 3 ft (assist by J. Wall),,12,12
36,1,6:24.0,,W. Chandler misses 2-pt layup from 3 ft,12,12
37,1,6:22.0,,Offensive rebound by P. Millsap,12,12
38,1,6:22.0,,W. Barton enters the game for W. Chandler,12,12
39,1,6:08.0,,W. Barton misses 2-pt jump shot from 18 ft,12,12
40,1,6:05.0,Defensive rebound by O. Porter,,12,12
41,1,5:47.0,M. Gortat makes 2-pt hook shot from 3 ft (assist by J. Wall),,14,12
42,1,5:34.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by J. Murray),14,14
43,1,5:12.0,Turnover by M. Gortat (bad pass; steal by N. Jokić),,14,14
44,1,5:07.0,,J. Murray makes 2-pt dunk from 3 ft (assist by N. Jokić),14,16
45,1,4:52.0,O. Porter misses 2-pt jump shot from 20 ft,,14,16
46,1,4:49.0,Offensive rebound by M. Gortat,,14,16
47,1,4:48.0,M. Gortat makes 2-pt layup from 4 ft (assist by O. Porter),,16,16
48,1,4:39.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),16,19
49,1,4:22.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,19,19
50,1,4:08.0,,J. Murray misses 3-pt jump shot from 27 ft,19,19
51,1,4:05.0,Defensive rebound by K. Oubre,,19,19
52,1,3:56.0,J. Wall misses 2-pt jump shot from 17 ft,,19,19
53,1,3:52.0,Offensive rebound by M. Gortat,,19,19
54,1,3:50.0,O. Porter misses 3-pt jump shot from 26 ft,,19,19
55,1,3:47.0,,Defensive rebound by G. Harris,19,19
56,1,3:40.0,,N. Jokić makes 3-pt jump shot from 26 ft (assist by W. Barton),19,22
57,1,3:29.0,B. Beal misses 3-pt jump shot from 25 ft,,19,22
58,1,3:29.0,,Defensive rebound by Team,19,22
59,1,3:29.0,,E. Mudiay enters the game for N. Jokić,19,22
60,1,3:29.0,,M. Plumlee enters the game for J. Murray,19,22
61,1,3:29.0,J. Meeks enters the game for K. Oubre,,19,22
62,1,3:13.0,,P. Millsap makes 2-pt layup from 4 ft (assist by G. Harris),19,24
63,1,3:06.0,Washington full timeout,,19,24
64,1,3:06.0,,J. Murray enters the game for P. Millsap,19,24
65,1,3:06.0,M. Scott enters the game for B. Beal,,19,24
66,1,3:06.0,I. Mahinmi enters the game for M. Gortat,,19,24
67,1,2:55.0,I. Mahinmi makes 2-pt hook shot from 6 ft (assist by M. Scott),,21,24
68,1,2:55.0,,W. Chandler enters the game for J. Murray,21,24
69,1,2:43.0,,Turnover by W. Chandler (traveling),21,24
70,1,2:31.0,J. Meeks misses 3-pt jump shot from 23 ft,,21,24
71,1,2:28.0,,Defensive rebound by M. Plumlee,21,24
