,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,GOLDEN STATE_ACTION,MINNESOTA_SCORE,GOLDEN STATE_SCORE
0,1,11:38.0,J. Teague misses 3-pt jump shot from 25 ft,,0,0
1,1,11:32.0,,Defensive rebound by Z. Pachulia,0,0
2,1,11:22.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),0,3
3,1,11:02.0,J. Butler misses 3-pt jump shot from 25 ft,,0,3
4,1,10:59.0,,Defensive rebound by S. Curry,0,3
5,1,10:56.0,,K. Thompson misses 2-pt jump shot from 16 ft,0,3
6,1,10:51.0,Defensive rebound by A. Wiggins,,0,3
7,1,10:45.0,A. Wiggins makes 2-pt jump shot from 15 ft,,2,3
8,1,10:37.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),2,5
9,1,10:24.0,K. Towns misses 3-pt jump shot from 25 ft,,2,5
10,1,10:21.0,,Defensive rebound by D. Green,2,5
11,1,10:18.0,,K. Thompson misses 3-pt jump shot from 25 ft,2,5
12,1,10:12.0,,Offensive rebound by A. Iguodala,2,5
13,1,10:09.0,,Personal foul by J. Teague (drawn by S. Curry),2,5
14,1,10:07.0,,Turnover by S. Curry (bad pass; steal by J. Teague),2,5
15,1,10:01.0,J. Teague makes 2-pt layup from 2 ft,,4,5
16,1,9:37.0,,A. Iguodala misses 3-pt jump shot from 25 ft,4,5
17,1,9:34.0,,Offensive rebound by Team,4,5
18,1,9:34.0,,Turnover by Z. Pachulia (turnover),4,5
19,1,9:20.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),,6,5
20,1,9:13.0,,D. Green misses 2-pt jump shot from 11 ft,6,5
21,1,9:10.0,Defensive rebound by K. Towns,,6,5
22,1,9:00.0,Personal foul by A. Iguodala (drawn by K. Towns),,6,5
23,1,8:51.0,J. Butler makes 2-pt jump shot from 9 ft,,8,5
24,1,8:42.0,,Turnover by S. Curry (bad pass),8,5
25,1,8:23.0,Turnover by T. Gibson (bad pass; steal by K. Thompson),,8,5
26,1,8:09.0,,Z. Pachulia misses 2-pt jump shot from 8 ft,8,5
27,1,8:05.0,Defensive rebound by K. Towns,,8,5
28,1,7:54.0,J. Teague misses 2-pt layup from 2 ft (block by D. Green),,8,5
29,1,7:54.0,Offensive rebound by Team,,8,5
30,1,7:41.0,K. Towns misses 2-pt jump shot from 7 ft,,8,5
31,1,7:38.0,,Defensive rebound by Z. Pachulia,8,5
32,1,7:35.0,,D. Green misses 3-pt jump shot from 25 ft,8,5
33,1,7:30.0,Defensive rebound by A. Wiggins,,8,5
34,1,7:25.0,A. Wiggins misses 3-pt jump shot from 25 ft (block by A. Iguodala),,8,5
35,1,7:19.0,,Defensive rebound by S. Curry,8,5
36,1,7:18.0,,Turnover by Z. Pachulia (lost ball; steal by A. Wiggins),8,5
