,QUARTER,TIME_REMAINING,MIAMI_ACTION,GOLDEN STATE_ACTION,MIAMI_SCORE,GOLDEN STATE_SCORE
0,1,11:48.0,O. White misses 3-pt jump shot from 22 ft,,0,0
1,1,11:44.0,,Defensive rebound by Z. Pachulia,0,0
2,1,11:23.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Durant),0,3
3,1,11:02.0,G. Dragić misses 2-pt jump shot from 8 ft (block by K. Thompson),,0,3
4,1,11:02.0,Offensive rebound by Team,,0,3
5,1,11:02.0,Turnover by J. Richardson (bad pass; steal by Z. Pachulia),,0,3
6,1,10:43.0,,K. Durant makes 2-pt jump shot from 11 ft,0,5
7,1,10:31.0,Personal foul by S. Curry (drawn by O. White),,0,5
8,1,10:20.0,H. Whiteside misses 2-pt layup from 1 ft,,0,5
9,1,10:14.0,,Defensive rebound by K. Durant,0,5
10,1,10:11.0,,S. Curry misses 2-pt jump shot from 15 ft,0,5
11,1,10:06.0,Defensive rebound by O. White,,0,5
12,1,10:00.0,O. White misses 3-pt jump shot from 25 ft,,0,5
13,1,9:53.0,,Defensive rebound by K. Thompson,0,5
14,1,9:49.0,,D. Green misses 2-pt jump shot from 10 ft,0,5
15,1,9:41.0,Defensive rebound by H. Whiteside,,0,5
16,1,9:40.0,G. Dragić makes 2-pt layup from 1 ft,,2,5
17,1,9:40.0,Shooting foul by Z. Pachulia (drawn by G. Dragić),,2,5
18,1,9:40.0,G. Dragić misses free throw 1 of 1,,2,5
19,1,9:37.0,Offensive rebound by G. Dragić,,2,5
20,1,9:35.0,Turnover by G. Dragić (lost ball; steal by Z. Pachulia),,2,5
21,1,9:28.0,,Personal foul by J. Richardson (drawn by K. Durant),2,5
22,1,9:26.0,,K. Thompson misses 3-pt jump shot from 26 ft,2,5
23,1,9:20.0,Defensive rebound by J. Winslow,,2,5
24,1,9:13.0,Turnover by H. Whiteside (bad pass; steal by S. Curry),,2,5
25,1,9:08.0,,Turnover by Z. Pachulia (traveling),2,5
26,1,8:50.0,H. Whiteside misses 2-pt jump shot from 10 ft,,2,5
27,1,8:43.0,,Defensive rebound by D. Green,2,5
28,1,8:40.0,,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),2,8
29,1,8:17.0,J. Winslow misses 2-pt jump shot from 10 ft,,2,8
30,1,8:12.0,,Defensive rebound by K. Durant,2,8
31,1,8:11.0,,Personal foul by O. White (drawn by K. Durant),2,8
32,1,8:11.0,J. Johnson enters the game for O. White,,2,8
33,1,8:01.0,,Z. Pachulia misses 2-pt hook shot from 5 ft (block by H. Whiteside),2,8
34,1,7:56.0,,Offensive rebound by D. Green,2,8
35,1,7:55.0,,K. Durant misses 2-pt jump shot from 9 ft,2,8
36,1,7:51.0,Defensive rebound by H. Whiteside,,2,8
