,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,DENVER_ACTION,GOLDEN STATE_SCORE,DENVER_SCORE
0,1,11:41.0,D. Green makes 3-pt jump shot from 25 ft (assist by S. Curry),,3,0
1,1,11:25.0,,N. Jokić misses 2-pt hook shot from 6 ft,3,0
2,1,11:22.0,Defensive rebound by D. Green,,3,0
3,1,11:17.0,Turnover by K. Durant (bad pass; steal by N. Jokić),,3,0
4,1,11:03.0,,Turnover by P. Millsap (bad pass; steal by D. Green),3,0
5,1,10:49.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by Z. Pachulia),,6,0
6,1,10:34.0,,N. Jokić misses 2-pt jump shot from 18 ft,6,0
7,1,10:30.0,Defensive rebound by Z. Pachulia,,6,0
8,1,10:25.0,D. Green makes 2-pt layup from 2 ft,,8,0
9,1,10:05.0,,P. Millsap makes 2-pt jump shot from 10 ft,8,2
10,1,9:59.0,Turnover by S. Curry (bad pass; steal by P. Millsap),,8,2
11,1,9:52.0,,Turnover by N. Jokić (bad pass; steal by Z. Pachulia),8,2
12,1,9:45.0,K. Durant makes 2-pt dunk from 1 ft (assist by D. Green),,10,2
13,1,9:45.0,,Denver full timeout,10,2
14,1,9:35.0,,Personal foul by Z. Pachulia (drawn by N. Jokić),10,2
15,1,9:23.0,,W. Chandler misses 2-pt jump shot from 19 ft,10,2
16,1,9:20.0,Defensive rebound by Z. Pachulia,,10,2
17,1,9:13.0,S. Curry misses 3-pt jump shot from 25 ft,,10,2
18,1,9:10.0,,Defensive rebound by N. Jokić,10,2
19,1,9:04.0,,Turnover by P. Millsap (bad pass),10,2
20,1,8:50.0,K. Durant misses 3-pt jump shot from 24 ft,,10,2
21,1,8:47.0,,Defensive rebound by N. Jokić,10,2
22,1,8:30.0,,P. Millsap misses 2-pt jump shot from 20 ft,10,2
23,1,8:30.0,Defensive rebound by Team,,10,2
24,1,8:20.0,S. Curry misses 2-pt jump shot from 17 ft,,10,2
25,1,8:17.0,,Defensive rebound by N. Jokić,10,2
26,1,8:12.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by G. Harris),10,5
27,1,7:51.0,Turnover by K. Thompson (bad pass; steal by J. Murray),,10,5
28,1,7:40.0,,N. Jokić makes 2-pt hook shot from 7 ft,10,7
29,1,7:35.0,K. Thompson makes 2-pt jump shot from 21 ft (assist by S. Curry),,12,7
30,1,7:17.0,,N. Jokić misses 2-pt jump shot from 18 ft,12,7
31,1,7:15.0,Defensive rebound by Z. Pachulia,,12,7
32,1,7:12.0,K. Durant makes 3-pt jump shot from 24 ft (assist by D. Green),,15,7
33,1,6:58.0,,J. Murray misses 2-pt jump shot from 11 ft,15,7
34,1,6:55.0,Defensive rebound by K. Durant,,15,7
35,1,6:53.0,K. Durant misses 3-pt jump shot from 25 ft,,15,7
